"id","startTime","endTime","text","title"
"1",143039,145126,"Will!","Pirates of the Caribbean: Dead Man's Chest"
"2",145710,148670,"- Why is this happening?- I don't know.","Pirates of the Caribbean: Dead Man's Chest"
"3",149963,152174,"You look beautiful.","Pirates of the Caribbean: Dead Man's Chest"
"4",153675,156971,"It's bad luck for the groomto see the bride before the wedding.","Pirates of the Caribbean: Dead Man's Chest"
"5",157096,160307,"Make way! Let me through!How dare you!","Pirates of the Caribbean: Dead Man's Chest"
"6",160432,163894,"Stand your men down at once.Do you hear me?","Pirates of the Caribbean: Dead Man's Chest"
"7",165271,168274,"Governor Weatherby Swann,it's been too long.","Pirates of the Caribbean: Dead Man's Chest"
"8",168274,171860,"- Cutler Beckett?- It's Lord now, actually.","Pirates of the Caribbean: Dead Man's Chest"
"9",173528,178867,"Lord or not, you have no reasonand no authority to arrest this man.","Pirates of the Caribbean: Dead Man's Chest"
"10",179284,181829,"In fact, I do. Mr Mercer?","Pirates of the Caribbean: Dead Man's Chest"
"11",184289,187835,"The warrant for the arrestof one William Turner.","Pirates of the Caribbean: Dead Man's Chest"
"12",192798,197469,"- This warrant is for Elizabeth Swann.- Is it? That's annoying. My mistake.","Pirates of the Caribbean: Dead Man's Chest"
"13",197635,199972,"- Arrest her.- On what charges?","Pirates of the Caribbean: Dead Man's Chest"
"14",200056,203768,"Aha. Here's the one for William Turner.","Pirates of the Caribbean: Dead Man's Chest"
"15",203850,207937,"And I have another onefor a Mr James Norrington.","Pirates of the Caribbean: Dead Man's Chest"
"16",208063,210191,"- Is he present?- What are the charges?","Pirates of the Caribbean: Dead Man's Chest"
"17",210231,214110,"Commodore Norrington resignedhis commission some months ago.","Pirates of the Caribbean: Dead Man's Chest"
"18",214194,216489,"That wasn't the answerto the question I asked.","Pirates of the Caribbean: Dead Man's Chest"
"19",216489,220283,"Lord Beckett. In the categoryof questions not answered...","Pirates of the Caribbean: Dead Man's Chest"
"20",220283,223746,"We are under the jurisdictionof the king's governor of Port Royal","Pirates of the Caribbean: Dead Man's Chest"
"21",223871,226665,"and you will tell uswhat we are charged with.","Pirates of the Caribbean: Dead Man's Chest"
