"id","startTime","endTime","text","title"
"1",61770,63939,"Father's Curse.","Pirates of the Caribbean: Dead Men Tell No Tales"
"2",68109,70028,"DEAD or ALIVE.","Pirates of the Caribbean: Dead Men Tell No Tales"
"3",179638,182974,"THE FLYING DUTCHMAN","Pirates of the Caribbean: Dead Men Tell No Tales"
"4",213921,217759,"- Father.- Henry. What have you done?","Pirates of the Caribbean: Dead Men Tell No Tales"
"5",218551,221763,"- I said I'd find you.- Look at me, son.","Pirates of the Caribbean: Dead Men Tell No Tales"
"6",224891,228395,"- I don't care!- There is no place for you on the Dutchman.","Pirates of the Caribbean: Dead Men Tell No Tales"
"7",232316,235485,"They know you're here...Get home to your mother.","Pirates of the Caribbean: Dead Men Tell No Tales"
"8",235526,236527,"No!","Pirates of the Caribbean: Dead Men Tell No Tales"
"9",237069,240324,"- Leave now, before it's too late.- I won't!","Pirates of the Caribbean: Dead Men Tell No Tales"
"10",240657,243534,"I'll never stop...And if you throw me over,","Pirates of the Caribbean: Dead Men Tell No Tales"
"11",243868,245662,"I'll come straight back..","Pirates of the Caribbean: Dead Men Tell No Tales"
"12",246913,248956,"Don't you see,I'm cursed to this ship?","Pirates of the Caribbean: Dead Men Tell No Tales"
"13",248998,250125,"That's why I'm here.","Pirates of the Caribbean: Dead Men Tell No Tales"
"14",250292,252211,"I think I know a wayto break your curse.","Pirates of the Caribbean: Dead Men Tell No Tales"
"15",252252,253628,"To free you from the Dutchman.","Pirates of the Caribbean: Dead Men Tell No Tales"
"16",253711,256255,"- Henry, no.- I've read about a treasure.","Pirates of the Caribbean: Dead Men Tell No Tales"
"17",256298,258716,"A treasure that holdsall the power of the sea,","Pirates of the Caribbean: Dead Men Tell No Tales"
"18",258759,259843,"The Trident of Poseidon,","Pirates of the Caribbean: Dead Men Tell No Tales"
"19",259927,261552,"can break your curse.","Pirates of the Caribbean: Dead Men Tell No Tales"
"20",264680,265891,"Henry.","Pirates of the Caribbean: Dead Men Tell No Tales"
"21",267016,269019,"The Trident can never be found.","Pirates of the Caribbean: Dead Men Tell No Tales"
"22",269519,271103,"I found you.","Pirates of the Caribbean: Dead Men Tell No Tales"
"23",271980,274816,"- It's just a tale.- Like the tales of you.","Pirates of the Caribbean: Dead Men Tell No Tales"
"24",274858,276360,"And Captain Jack Sparrow?","Pirates of the Caribbean: Dead Men Tell No Tales"
"25",276401,278069,"He will help me find the trident.","Pirates of the Caribbean: Dead Men Tell No Tales"
"26",278110,279654,"You stay away from Jack.","Pirates of the Caribbean: Dead Men Tell No Tales"
"27",280238,283283,"Leave the sea forever.You've to stop acting like a.","Pirates of the Caribbean: Dead Men Tell No Tales"
"28",283324,285826,"A pirate. I won't stop.","Pirates of the Caribbean: Dead Men Tell No Tales"
"29",286786,288288,"I want you to come home.","Pirates of the Caribbean: Dead Men Tell No Tales"
"30",295586,296713,"Henry.","Pirates of the Caribbean: Dead Men Tell No Tales"
"31",297673,298923,"I'm sorry.","Pirates of the Caribbean: Dead Men Tell No Tales"
"32",300800,302636,"My curse will never be broken.","Pirates of the Caribbean: Dead Men Tell No Tales"
"33",305305,306723,"This is my fate.","Pirates of the Caribbean: Dead Men Tell No Tales"
"34",307516,309393,"You must let me go.","Pirates of the Caribbean: Dead Men Tell No Tales"
"35",316233,317608,"I love you son.","Pirates of the Caribbean: Dead Men Tell No Tales"
"36",345928,347598,"Captain Jack Sparrow.","Pirates of the Caribbean: Dead Men Tell No Tales"
"37",351393,355898,"Nine years later..","Pirates of the Caribbean: Dead Men Tell No Tales"
"38",372331,376502,"Faster you pathetic built rats,you pump the builds..","Pirates of the Caribbean: Dead Men Tell No Tales"
"39",376584,378127,"And fill the scuppers.","Pirates of the Caribbean: Dead Men Tell No Tales"
"40",378211,380463,"We are chasing down pirates.","Pirates of the Caribbean: Dead Men Tell No Tales"
"41",380505,384091,"Henry get back here. You don't wannaget kicked off an another ship.","Pirates of the Caribbean: Dead Men Tell No Tales"
"42",384259,387596,"It's a Dutch boat.Probably stolen by the Pirate Bonet.","Pirates of the Caribbean: Dead Men Tell No Tales"
"43",396812,398148,"My God.","Pirates of the Caribbean: Dead Men Tell No Tales"
"44",398649,400526,"I warned you of leaving your post, boy.","Pirates of the Caribbean: Dead Men Tell No Tales"
"45",400567,401733,"I need to speak with the captain.","Pirates of the Caribbean: Dead Men Tell No Tales"
"46",401735,403153,"- What did you say?- Move.","Pirates of the Caribbean: Dead Men Tell No Tales"
"47",411536,412995,"It is going in, sir.","Pirates of the Caribbean: Dead Men Tell No Tales"
"48",414747,415874,"Chase her down.","Pirates of the Caribbean: Dead Men Tell No Tales"
"49",419711,421338,"No, don't do it!","Pirates of the Caribbean: Dead Men Tell No Tales"
"50",422673,423548,"Don't do it..","Pirates of the Caribbean: Dead Men Tell No Tales"
"51",423589,426093,"You will not address a Captain, boy.","Pirates of the Caribbean: Dead Men Tell No Tales"
"52",426134,428218,"Sir, look at your charts.I believe you're sailing us,","Pirates of the Caribbean: Dead Men Tell No Tales"
"53",428220,429596,"in to the Devil's Triangle.","Pirates of the Caribbean: Dead Men Tell No Tales"
"54",429680,430721,"Do you hear this man?","Pirates of the Caribbean: Dead Men Tell No Tales"
"55",430764,433766,"This landsman,believes an old sailor's myth.","Pirates of the Caribbean: Dead Men Tell No Tales"
"56",433809,434810,"Sir.","Pirates of the Caribbean: Dead Men Tell No Tales"
"57",435101,437103,"With all due respectI have spent my life studying,","Pirates of the Caribbean: Dead Men Tell No Tales"
"58",437103,439605,"the myths of the sea.I know every legend and every curse.","Pirates of the Caribbean: Dead Men Tell No Tales"
"59",440064,441774,"Do I know, ships thatsail into the triangle","Pirates of the Caribbean: Dead Men Tell No Tales"
"60",441774,442817,"do not necessarily sail out.","Pirates of the Caribbean: Dead Men Tell No Tales"
"61",442817,443819,"Don't worry sir.","Pirates of the Caribbean: Dead Men Tell No Tales"
"62",444862,447822,"- This one is clearly disturbed.- Sir, trust in what I say.","Pirates of the Caribbean: Dead Men Tell No Tales"
"63",447865,448781,"Change your course.","Pirates of the Caribbean: Dead Men Tell No Tales"
"64",448824,451326,"You dare to give me orders, boy?","Pirates of the Caribbean: Dead Men Tell No Tales"
"65",451367,452369,"Arrest him!","Pirates of the Caribbean: Dead Men Tell No Tales"
"66",453245,454245,"Turner!","Pirates of the Caribbean: Dead Men Tell No Tales"
"67",454454,456122,"I'll not let you kill us all.","Pirates of the Caribbean: Dead Men Tell No Tales"
"68",458000,459042,"Come on.","Pirates of the Caribbean: Dead Men Tell No Tales"
"69",474432,475600,"This is treason!","Pirates of the Caribbean: Dead Men Tell No Tales"
"70",478769,479562,"Lock him up.","Pirates of the Caribbean: Dead Men Tell No Tales"
"71",479687,480939,"- No.- I'm going in.","Pirates of the Caribbean: Dead Men Tell No Tales"
"72",487487,489615,"This was your last chance, Turner.","Pirates of the Caribbean: Dead Men Tell No Tales"
"73",492283,494995,"If it were up to me,I would string you from the yard.","Pirates of the Caribbean: Dead Men Tell No Tales"
"74",495745,496829,"On deck!","Pirates of the Caribbean: Dead Men Tell No Tales"
"75",505672,507257,"Jack Sparrow.","Pirates of the Caribbean: Dead Men Tell No Tales"
"76",508050,509300,"He's dead.","Pirates of the Caribbean: Dead Men Tell No Tales"
"77",509675,512678,"Buried in an unmarked graveyardof St. Martin.","Pirates of the Caribbean: Dead Men Tell No Tales"
"78",544586,546797,"Sir, there's something in the water.","Pirates of the Caribbean: Dead Men Tell No Tales"
"79",548590,549758,"Ship to starboard!","Pirates of the Caribbean: Dead Men Tell No Tales"
"80",552260,555054,"That's no ship, sir.It's a shipwreck.","Pirates of the Caribbean: Dead Men Tell No Tales"
"81",565774,566774,"No.","Pirates of the Caribbean: Dead Men Tell No Tales"
"82",567650,569278,"She's sailing straight towards us.","Pirates of the Caribbean: Dead Men Tell No Tales"
"83",569695,571822,"Open fire!","Pirates of the Caribbean: Dead Men Tell No Tales"
"84",651067,652860,"What are you?","Pirates of the Caribbean: Dead Men Tell No Tales"
"85",658658,659951,"Death.","Pirates of the Caribbean: Dead Men Tell No Tales"
"86",709334,711961,"WANTED!JACK SPARROW.","Pirates of the Caribbean: Dead Men Tell No Tales"
"87",714255,715966,"Jack Sparrow.","Pirates of the Caribbean: Dead Men Tell No Tales"
"88",721721,723389,"Do you know this pirate?","Pirates of the Caribbean: Dead Men Tell No Tales"
"89",724975,728019,"- Only by name.- You could look me for him?","Pirates of the Caribbean: Dead Men Tell No Tales"
"90",735568,738363,"- Is that a yes?- Yes.","Pirates of the Caribbean: Dead Men Tell No Tales"
"91",739405,742576,"For too many yearsthe Triangle has cursed us.","Pirates of the Caribbean: Dead Men Tell No Tales"
"92",742743,745578,"Condemned usto this Hell on Earth.","Pirates of the Caribbean: Dead Men Tell No Tales"
"93",746163,747914,"The key to our escape..","Pirates of the Caribbean: Dead Men Tell No Tales"
"94",747998,752126,"Is Jack Sparrow and the compass,which he holds.","Pirates of the Caribbean: Dead Men Tell No Tales"
"95",752628,754796,"No, no. No need to fear me boy.","Pirates of the Caribbean: Dead Men Tell No Tales"
"96",754837,756965,"I always leave one man alive.","Pirates of the Caribbean: Dead Men Tell No Tales"
"97",757006,758133,"To tell the tale.","Pirates of the Caribbean: Dead Men Tell No Tales"
"98",758966,763304,"Find Sparrow for meand relay a message.","Pirates of the Caribbean: Dead Men Tell No Tales"
"99",763346,765182,"From Capitan Salazar.","Pirates of the Caribbean: Dead Men Tell No Tales"
"100",765515,766975,"Salazar.","Pirates of the Caribbean: Dead Men Tell No Tales"
"101",768309,772272,"Tell him I'll beholdthe daylight again.","Pirates of the Caribbean: Dead Men Tell No Tales"
"102",772813,774357,"And on that day.","Pirates of the Caribbean: Dead Men Tell No Tales"
"103",779696,781030,"Death.","Pirates of the Caribbean: Dead Men Tell No Tales"
"104",782407,785244,"Death.. comes straight for him.","Pirates of the Caribbean: Dead Men Tell No Tales"
"105",786410,789081,"Would you say that to him? Please?","Pirates of the Caribbean: Dead Men Tell No Tales"
"106",789206,791958,"- Yes.- I wish I could tell him myself, but.","Pirates of the Caribbean: Dead Men Tell No Tales"
"107",793460,795546,"Dead men tell no tales.","Pirates of the Caribbean: Dead Men Tell No Tales"
"108",810644,814063,"Previo: TamaBien.Subtitled by Asmita/BioHapzard.
Psagmeno.com","Pirates of the Caribbean: Dead Men Tell No Tales"
"109",814605,818735,"Psagmeno.com","Pirates of the Caribbean: Dead Men Tell No Tales"
"110",823030,825116,"SAN MARTIN, THE CARIBBEAN.- Carina Smyth.","Pirates of the Caribbean: Dead Men Tell No Tales"
"111",825491,827911,"You're an orphan,born of the devil.","Pirates of the Caribbean: Dead Men Tell No Tales"
"112",828120,830246,"Accused of practicing witchcraft.","Pirates of the Caribbean: Dead Men Tell No Tales"
"113",830913,832415,"Before you die.","Pirates of the Caribbean: Dead Men Tell No Tales"
"114",832832,835251,"Do you have anything to confess?","Pirates of the Caribbean: Dead Men Tell No Tales"
"115",837421,842259,"I confess that I am not a witch.That I'm a woman of science.","Pirates of the Caribbean: Dead Men Tell No Tales"
"116",842592,846679,"I confess that I have survived on my own,with nothing but a dairy.","Pirates of the Caribbean: Dead Men Tell No Tales"
"117",846721,848097,"From a father I never knew.","Pirates of the Caribbean: Dead Men Tell No Tales"
"118",848849,851518,"On a questfor the truth of who I am.","Pirates of the Caribbean: Dead Men Tell No Tales"
"119",851559,855438,"I confess that I will diebefore I give up this search.","Pirates of the Caribbean: Dead Men Tell No Tales"
"120",855688,857065,"And I confess.","Pirates of the Caribbean: Dead Men Tell No Tales"
"121",858024,861068,"That while we've been talking.I pitched this lock.","Pirates of the Caribbean: Dead Men Tell No Tales"
