"id","startTime","endTime","text","title"
"1",29576,34070,"Drink up, me hearties,yo ho","Pirates of the Caribbean: The Curse of the Black Pearl"
"2",34148,38743,"We kidnap and ravageand don't give a hoot","Pirates of the Caribbean: The Curse of the Black Pearl"
"3",38819,42686,"Drink up, me hearties,yo ho","Pirates of the Caribbean: The Curse of the Black Pearl"
"4",42756,46192,"Yo ho, yo ho","Pirates of the Caribbean: The Curse of the Black Pearl"
"5",46259,49695,"A pirate's life for me","Pirates of the Caribbean: The Curse of the Black Pearl"
"6",49762,54097,"We extort, we pilfer,we filch and sack","Pirates of the Caribbean: The Curse of the Black Pearl"
"7",54167,55259,"Drink up","Pirates of the Caribbean: The Curse of the Black Pearl"
"8",55335,56597,"Quiet, missy.","Pirates of the Caribbean: The Curse of the Black Pearl"
"9",56670,59264,"Cursed pirates sailthese waters.","Pirates of the Caribbean: The Curse of the Black Pearl"
"10",59340,61034,"You don't want to bring them.","Pirates of the Caribbean: The Curse of the Black Pearl"
"11",61107,63735,"Mr. Gibbs, that will do.","Pirates of the Caribbean: The Curse of the Black Pearl"
"12",63811,66040,"She was singing about pirates.","Pirates of the Caribbean: The Curse of the Black Pearl"
"13",66112,67841,"It's bad luck to be singingabout pirates","Pirates of the Caribbean: The Curse of the Black Pearl"
"14",67915,69974,"with us miredin this unnatural fog.","Pirates of the Caribbean: The Curse of the Black Pearl"
"15",70049,71210,"Mark my words.","Pirates of the Caribbean: The Curse of the Black Pearl"
"16",71284,73218,"Consider them marked.","Pirates of the Caribbean: The Curse of the Black Pearl"
"17",74355,75582,"On your way.","Pirates of the Caribbean: The Curse of the Black Pearl"
"18",75656,76748,"Aye, Lieutenant.","Pirates of the Caribbean: The Curse of the Black Pearl"
"19",76823,79418,"It's bad luck to havea woman on board, too.","Pirates of the Caribbean: The Curse of the Black Pearl"
"20",79492,82222,"Even a miniature one.","Pirates of the Caribbean: The Curse of the Black Pearl"
"21",82295,85527,"I think it'd be rather excitingto meet a pirate.","Pirates of the Caribbean: The Curse of the Black Pearl"
"22",86632,88623,"Think again, Miss Swann.","Pirates of the Caribbean: The Curse of the Black Pearl"
