"id","startTime","endTime","text","title"
"1",119567,120858,"Johnson!","Platoon"
"2",121194,122486,"Yes, sir!","Platoon"
"3",122569,124028,"- Honeycutt!- Here!","Platoon"
"4",124070,125572,"- Melvin!- Here.","Platoon"
"5",126198,129408,"Oh, man.Is that what I think it is?","Platoon"
"6",129493,132871,"All right, you cheese dicks,welcome to the Nam. Follow me!","Platoon"
"7",140712,142546,"I'll be dipped in shit!","Platoon"
"8",142590,145466,"New meat!You dudes gonna love the Nam.","Platoon"
"9",145634,147134,"For fucking ever.","Platoon"
"10",147219,149179,"365 and a wake-up.","Platoon"
"11",149305,150680,"Oh, Lord!","Platoon"
"12",150723,152307,"Xin loi, buddy.","Platoon"
"13",186717,188300,"Get him up here.","Platoon"
"14",205569,208697,"Sky Six, Ripper Six, radiocheck. Over.","Platoon"
"15",215788,217288,"Watch it below!","Platoon"
"16",241146,243314,"Morehouse, drop back to slack.","Platoon"
"17",252157,254158,"Who's on Tail-end Charlie?","Platoon"
"18",265838,268714,"Eagle, Eagle, Ripper Six.Pos rep follows.","Platoon"
"19",268798,273637,"I, Shackle, Lima, Whiskey,Alpha, Whiskey, Foxtrot.","Platoon"
"20",273887,276723,"Warren, move Sandersonout on flank.","Platoon"
"21",278183,280143,"- Say, Huffmeister!- Yo!","Platoon"
"22",280353,282978,"- You got a smoke?- No, I'm out of those!","Platoon"
"23",283021,284521,"Xin loi, man.","Platoon"
"24",285316,286483,"Bravo Two-Six.","Platoon"
"25",286524,288151,"What's the delay up on point?","Platoon"
"26",288194,290778,"You having compasstrouble again, Wolfe?","Platoon"
"27",296494,297869,"Come higher.","Platoon"
"28",297911,298995,"Shit.","Platoon"
"29",310216,312132,"- Get up.- Get up.","Platoon"
"30",320810,322560,"Get a move on, boy.","Platoon"
"31",351215,353257,"Boy, what you waiting for?","Platoon"
"32",353509,355300,"Ain't gonna bite you.","Platoon"
"33",356428,358053,"That's a good gook.","Platoon"
"34",358096,359596,"Good and dead.","Platoon"
"35",384956,387125,"Cherry. Yo! Cherry!","Platoon"
"36",388627,392963,"Two-five-two actual. Move it out. Six sayswe're jamming them up back there. Over.","Platoon"
"37",393007,395341,"Tell that dipshit to get unfucked.","Platoon"
"38",396093,399220,"This is Two-Five, be advised.We're moving out shortly. Out.","Platoon"
"39",399637,402264,"What the hell's the matterwith you, Taylor?","Platoon"
"40",402557,404558,"You are one simple son of a bitch.","Platoon"
"41",404643,406144,"I'm sorry, Sergeant.","Platoon"
"42",406228,408646,"Get that other cherryup here. Gardner.","Platoon"
"43",408939,411483,"- And the Doc.- Gardner! Doc! Up!","Platoon"
"44",412108,414903,"Gardner and the Doc,to the front! To the front!","Platoon"
"45",417113,418156,"Gardner, up.","Platoon"
"46",418240,420949,"Gardner, get your ass up the hill,you fat fuck!","Platoon"
"47",420992,422869,"Hurry up, bubble-butt!","Platoon"
"48",427665,429000,"Pos rep follows.","Platoon"
"49",429084,431627,"l, Shackle, Lima, Whiskey,","Platoon"
"50",431670,434129,"Alpha, Whiskey, Foxtrot,","Platoon"
"51",434173,437175,"Foxtrot, Echo, Whiskey, Shackle.","Platoon"
"52",440387,441596,"You all right?","Platoon"
"53",441680,444682,"Ants. I got antsall over my neck.","Platoon"
"54",446644,448519,"You got some fucking red ants.","Platoon"
"55",449521,450939,"Bites are killers.","Platoon"
"56",451356,453149,"Black ants are the worst.","Platoon"
"57",454192,455610,"Hurry up, lard-ass.","Platoon"
"58",456069,458529,"- Better lose some weight.- Better hustle up, bacon.","Platoon"
"59",458613,460072,"I'm so tired!","Platoon"
"60",462701,463867,"Just a little.","Platoon"
"61",463911,465202,"Don't drink too much.","Platoon"
"62",465245,467329,"Look, I don't want you drinkingany more. All right?","Platoon"
"63",467372,468872,"l don't want you cramping up.","Platoon"
"64",468957,471459,"You're humping toomuch stuff, troop.","Platoon"
"65",471543,473752,"You don't need half this shit.","Platoon"
"66",474963,476713,"I'll haul it for you,","Platoon"
"67",477132,480218,"but next time you check withme first, all right?","Platoon"
"68",480302,482846,"Okay. Thanks, Sarge.","Platoon"
"69",489728,491855,"- All right, you okay?- Yeah.","Platoon"
"70",500781,502197,"Two-Two, this is Six.","Platoon"
"71",502240,505660,"l understand you have a birdinbound at your pos at this time.","Platoon"
"72",509038,511582,"Bravo Six, BravoSix, be advised.","Platoon"
"73",511667,514961,"Resupply helo is inboundat this time. Over.","Platoon"
"74",518591,521592,"- Come on, you people! Get ready.Get that ammo off now!","Platoon"
"75",528600,529767,"Move it!","Platoon"
"76",563594,567138,"It ain't D-E-R-E, it's D-E-A-R.","Platoon"
"77",567181,570600,"And Sarah ain't got notwo ""R""s, King. Damn, you dumb!","Platoon"
"78",572061,575312,"It don't make no difference.She know what I mean.","Platoon"
"79",575648,577941,"She don't read too good nohow.","Platoon"
"80",583404,585657,"Look at this shit! Pork again!","Platoon"
"81",585740,588493,"Man, why don't you let me have thatturkey loaf for this pork shit, man?","Platoon"
"82",588534,590870,"Just today. I can't eatthis shit, Harold!","Platoon"
"83",590955,592830,"What you been smoking, Junior?","Platoon"
"84",593331,595625,"l hope you don't get thatlaundry gig. I hope Manny get it.","Platoon"
"85",595668,598586,"'Cause your ass needto hump, hump, and hump.","Platoon"
"86",598671,603466,"Hey, white boy, what you waiting for?That hole ain't gonna dig itself.","Platoon"
"87",603509,606052,"Come on, boy. Get yourdick skin on that thing! Dig!","Platoon"
"88",606135,608428,"We ain't got all day! Dig! Dig!","Platoon"
"89",610057,611640,"Somebody once wrote,","Platoon"
"90",611683,614351,"""Hell is the impossibilityof reason.""","Platoon"
"91",614519,617230,"That's what this placefeels like. Hell.","Platoon"
"92",617690,621900,"l hate it already, and it's only beena week. Some goddamn week, Grandma.","Platoon"
"93",622860,627197,"The hardest thing I think I've ever doneis go on point. Three times this week.","Platoon"
"94",627283,629366,"l don't even know what I'm doing.","Platoon"
"95",629409,633162,"A gook could be standing three feetin front of me, and I wouldn't know it.","Platoon"
"96",633205,634706,"I'm so tired.","Platoon"
"97",635915,638543,"We get up at 5:00 a.m.,hump all day,","Platoon"
"98",639003,642629,"camp around 4:00 or 5:00,dig a foxhole, eat.","Platoon"
"99",642715,646384,"Then put out an all-night ambush or athree-man listening post in the jungle.","Platoon"
"100",646467,649721,"It's scary, 'cause nobody tells mehow to do anything 'cause I'm new.","Platoon"
"101",649763,653765,"Nobody cares about the new guys.They don't even want to know your name.","Platoon"
"102",653975,656561,"The unwritten rule is a newguy's life isn't worth as much,","Platoon"
"103",656602,658730,"'cause he hasn't puthis time in yet.","Platoon"
"104",658813,661274,"And they say if you're gonnaget killed in the Nam,","Platoon"
"105",661357,663525,"it's better to get it inthe first few weeks.","Platoon"
"106",663568,666486,"The logic being youdon't suffer that much.","Platoon"
"107",666904,669490,"If you're lucky, you get tostay in the perimeter at night,","Platoon"
"108",669575,671491,"and then you pull athree-hour guard shift.","Platoon"
"109",671576,673910,"So, maybe you sleep three,four hours a night,","Platoon"
