"id","startTime","endTime","text","title"
"1",53030,57707,"(ZORDON BREATHING HEAVILY)","Power Rangers"
"2",66430,67500,"(GRUNTS)","Power Rangers"
"3",67590,69263,"(SPACESHIP APPROACHING)","Power Rangers"
"4",71829,73628,"(GROANS)","Power Rangers"
"5",75989,77742,"(GRUNTING)","Power Rangers"
"6",92109,93668,"(YELLOW RANGER GASPING)","Power Rangers"
"7",93750,95741,"(ZORDON SPEAKING ALIEN LANGUAGE)","Power Rangers"
"8",98310,100141,"(GASPING)","Power Rangers"
"9",128509,130502,"(RITA LAUGHING)","Power Rangers"
"10",132389,134268,"(BOTH SPEAKING ALIEN LANGUAGE)","Power Rangers"
"11",148349,149466,"(GASPS)","Power Rangers"
"12",151829,153343,"(RITA SCREAMING)","Power Rangers"
"13",179229,180788,"(ZORDON BREATHING RAGGEDLY)","Power Rangers"
"14",191150,192741,"(BANGING ON DOOR)","Power Rangers"
"15",192766,194450,"(BULL BELLOWING)","Power Rangers"
"16",196150,197186,"It had to be a cow.","Power Rangers"
"17",197270,200024,"Couldn't be like a dog or somethingthat isn't 10,000 pounds.","Power Rangers"
"18",200110,202829,"- Come on! Can you just help me, dude?- I'm doing all the work here, man.","Power Rangers"
"19",202909,205344,"- JASON: Push! Push! Come on!- Jason, it stepped on my foot.","Power Rangers"
"20",205430,206545,"JASON: Pull yourself together.","Power Rangers"
"21",207550,208665,"- (BULL BELLOWING WILDLY)- Just tie it to the bench","Power Rangers"
"22",208750,210706,"- and let's get out of here, please.- Cow seems unhappy, huh?","Power Rangers"
"23",210789,213259,"Well, it shouldn't be unhappy,because I just milked her.","Power Rangers"
"24",213389,215426,"(BULL BELLOWS)Him.","Power Rangers"
"25",215509,217502,"- You just milked him.- This is a him?","Power Rangers"
"26",217590,219308,"- Was it one udder?- Yeah.","Power Rangers"
"27",219389,220585,"Yeah, that's not an udder, dude.","Power Rangers"
"28",220670,221899,"I was gonna say,it was actually kinda weird.","Power Rangers"
"29",221990,223549,"It was really big,and I had to use two hands.","Power Rangers"
"30",223629,225542,"- It didn't...- Stop. We will never discuss this again.","Power Rangers"
"31",225629,226620,"That'd be great.","Power Rangers"
"32",228349,229670,"(BULL BELLOWS)","Power Rangers"
"33",229750,230740,"( SIRENS WAILING )(HAWKEYE) Cops!","Power Rangers"
"34",230829,232264,"The cops are coming.","Power Rangers"
"35",232349,233420,"(GRUNTS QUESTIONINGLY)","Power Rangers"
"36",236030,237668,"Beefcake, hide!","Power Rangers"
"37",238670,240423,"(SIRENS CONTINUE WAILING)","Power Rangers"
"38",241750,243229,"(PANTING)","Power Rangers"
"39",244750,246150,"(BELLOWING)","Power Rangers"
"40",247191,247573,"(GRUNTS)","Power Rangers"
"41",247637,248449,"(ENGINE STARTS)","Power Rangers"
"42",248550,249824,"♪ (POP SONG PLAYING ON RADIO) ♪","Power Rangers"
