"id","startTime","endTime","text","title"
"1",73948,76371,"Burn them! Burn them! Burn them!","Professor Marston and the Wonder Women"
"2",100516,104442,"Ms. Frank, I'd like to remind youthat I came here voluntarily.","Professor Marston and the Wonder Women"
"3",104604,107448,"No, you came herebecause your superiors will fire you...","Professor Marston and the Wonder Women"
"4",107608,109450,"...unless I tell them to do otherwise.","Professor Marston and the Wonder Women"
"5",111402,115623,"As you know, we are reviewingyour handling of Wonder Woman...","Professor Marston and the Wonder Women"
"6",115781,119912,"- ...given the current controversy.- You're gonna give her to someone else?","Professor Marston and the Wonder Women"
"7",120828,124504,"She's a smash successbecause of me. I created her.","Professor Marston and the Wonder Women"
"8",124665,127043,"Dr. Marston,Wonder Woman has drawn criticism...","Professor Marston and the Wonder Women"
"9",127209,130180,"...for being full ofdepictions of bondage...","Professor Marston and the Wonder Women"
"10",130338,134844,"...spanking, torture, homosexuality,and other sex perversions.","Professor Marston and the Wonder Women"
"11",135009,137432,"Would you say that's a fair assessmentof your work?","Professor Marston and the Wonder Women"
"12",137596,140849,"I can see how people with a fairly limitedunderstanding of my work...","Professor Marston and the Wonder Women"
"13",141015,143735,"...could arriveat these simplistic descriptions.","Professor Marston and the Wonder Women"
"14",143894,145236,"They'd be wrong, of course.","Professor Marston and the Wonder Women"
"15",146312,148691,"Would you care to explain yourself?","Professor Marston and the Wonder Women"
"16",156656,158033,"Are you normal?","Professor Marston and the Wonder Women"
"17",163163,164210,"What is normal?","Professor Marston and the Wonder Women"
"18",171671,174265,"Psychology is a young scienceat Harvard...","Professor Marston and the Wonder Women"
"19",174424,177973,"...and here at our sister school,Radcliffe, with you fine young ladies...","Professor Marston and the Wonder Women"
"20",178135,181480,"...we have only just now broken awayfrom the philosophy department...","Professor Marston and the Wonder Women"
"21",181639,184313,"...into our very owndistinct field of study.","Professor Marston and the Wonder Women"
"22",184475,187150,"Emotion's what we will bestudying this semester...","Professor Marston and the Wonder Women"
"23",187312,191067,"...specifically as it relates to deception.","Professor Marston and the Wonder Women"
"24",194777,197122,"I've invented a model of human emotion...","Professor Marston and the Wonder Women"
"25",197280,200283,"...which will guide usthrough our investigation.","Professor Marston and the Wonder Women"
"26",200449,201872,"DISC theory.","Professor Marston and the Wonder Women"
"27",202911,205914,"I will be testing my theory on you.","Professor Marston and the Wonder Women"
"28",207748,212504,"I make a vow to you allto discover the truth of who we are.","Professor Marston and the Wonder Women"
"29",213212,216716,"And I look forward to undertakingthis adventure with you all.","Professor Marston and the Wonder Women"
"30",220804,223728,"And students who wish to volunteerto help assist me...","Professor Marston and the Wonder Women"
"31",223889,227394,"...and my notable associate and wife,Mrs. Elizabeth Marston, please...","Professor Marston and the Wonder Women"
"32",227561,229528,"...add your namesto the sign-up sheet, thank you.","Professor Marston and the Wonder Women"
"33",234401,237199,"Dean is insistingwe give him receipts again.","Professor Marston and the Wonder Women"
"34",237361,239615,"I don't knowwhy he doesn't go work in a bank.","Professor Marston and the Wonder Women"
"35",239781,242455,"The cocksuckers denied me again.","Professor Marston and the Wonder Women"
"36",244618,246837,"I'm smarter, more rigorous...","Professor Marston and the Wonder Women"
"37",246997,251877,"...more accomplished than anyof the so-called ""men"" in this department.","Professor Marston and the Wonder Women"
"38",252043,254295,"They will issue you a degreefrom Radcliffe.","Professor Marston and the Wonder Women"
"39",254462,256511,"That degree is a load of horseshit.You know it.","Professor Marston and the Wonder Women"
"40",256673,260848,"It is not. It is taught by the sameprofessors, it has the same standards.","Professor Marston and the Wonder Women"
"41",261011,262728,"Precisely. If it is the same work...","Professor Marston and the Wonder Women"
"42",262887,265812,"...then why can I not receivea PhD from Harvard?","Professor Marston and the Wonder Women"
"43",265973,268773,"- Because I have a vagina?- Elizabeth.","Professor Marston and the Wonder Women"
"44",270187,271733,"Where did you hide the liquor?","Professor Marston and the Wonder Women"
"45",292000,294218,"We will make a great discovery.","Professor Marston and the Wonder Women"
"46",294377,296220,"We will make a great discovery...","Professor Marston and the Wonder Women"
"47",296379,299427,"...and then they will be forcedto acknowledge us.","Professor Marston and the Wonder Women"
"48",300509,302226,"You are very brilliant.","Professor Marston and the Wonder Women"
"49",302636,304228,"I know.","Professor Marston and the Wonder Women"
"50",304553,306601,"Smarter than me.","Professor Marston and the Wonder Women"
"51",307348,309396,"I know that too.","Professor Marston and the Wonder Women"
"52",321028,324329,"Dear, we... We can't fuckin the laboratory like animals.","Professor Marston and the Wonder Women"
"53",324490,326084,"Why not?","Professor Marston and the Wonder Women"
"54",330704,332706,"I'm going to resubmit my application.","Professor Marston and the Wonder Women"
"55",332874,336468,"I'm taking it all the wayto the board of trustees this time.","Professor Marston and the Wonder Women"
"56",344677,347851,"I'd appreciate it if you stop drooling.","Professor Marston and the Wonder Women"
"57",349266,352644,"She signed up to assist us.Her application was first-rate.","Professor Marston and the Wonder Women"
"58",353644,355738,"Look at the boys and girls circling.","Professor Marston and the Wonder Women"
"59",355896,357649,"He's gonna do it.","Professor Marston and the Wonder Women"
"60",359483,362704,"Her beauty gives heran advantage over the other girls.","Professor Marston and the Wonder Women"
"61",362862,364911,"No, you can't be serious. Her beauty?","Professor Marston and the Wonder Women"
"62",365072,367576,"- Beauty is an albatross.- Ha.","Professor Marston and the Wonder Women"
"63",367742,370290,"No, she's at war right now. See?","Professor Marston and the Wonder Women"
"64",370452,371954,"Watch how she averts her eyes.","Professor Marston and the Wonder Women"
"65",372581,375004,"If she makes eye contactwith that boy for too long...","Professor Marston and the Wonder Women"
"66",375165,377588,"...he will misunderstandand think she's interested in him...","Professor Marston and the Wonder Women"
"67",377752,382052,"...and then when she invariably rejectshis advances...","Professor Marston and the Wonder Women"
"68",382214,384764,"...he'll think that she's a slut.","Professor Marston and the Wonder Women"
"69",385218,389723,"Meanwhile, the blond girl next to herfancies the same boy.","Professor Marston and the Wonder Women"
"70",390514,394314,"Oh, the blond girl hates our girlwith a passion...","Professor Marston and the Wonder Women"
"71",394476,397321,"...so fierce she can barely sit there.","Professor Marston and the Wonder Women"
"72",398814,401658,"But they both have to...","Professor Marston and the Wonder Women"
"73",401817,405867,"...sit there, and smile, and pretend...","Professor Marston and the Wonder Women"
"74",406406,409534,"...because that's the life they've chosen.","Professor Marston and the Wonder Women"
"75",410076,412295,"And what have you chosen?","Professor Marston and the Wonder Women"
"76",413788,415290,"I've chosen you.","Professor Marston and the Wonder Women"
"77",419418,421716,"I want to study her.","Professor Marston and the Wonder Women"
"78",421879,423848,"She'll break your heart...","Professor Marston and the Wonder Women"
"79",424007,429184,"...leave you eviscerated in a pileof your own expended semen and bile.","Professor Marston and the Wonder Women"
"80",429346,432725,"- Oh, please, dear, the hyperbole.- Ha-ha. It wouldn't be her fault either.","Professor Marston and the Wonder Women"
"81",433307,437062,"She'll just be surviving,like an animal in the jungle.","Professor Marston and the Wonder Women"
"82",437228,440606,"They're given fur and clawsand teeth to survive.","Professor Marston and the Wonder Women"
"83",444444,448449,"- Well, then, do it.- You won't be jealous?","Professor Marston and the Wonder Women"
"84",448990,452290,"No, I don't experience sexual jealousy.","Professor Marston and the Wonder Women"
"85",453202,455547,"Who am I to fight nature?","Professor Marston and the Wonder Women"
"86",455704,458709,"I'm your wife, not your jailer.","Professor Marston and the Wonder Women"
"87",482232,483653,"It's a lie detector.","Professor Marston and the Wonder Women"
"88",483817,486069,"Or it would be,if we could get it to work.","Professor Marston and the Wonder Women"
"89",486235,488237,"Right now it's just a pile of crap.","Professor Marston and the Wonder Women"
"90",489154,492750,"I'm Olive Byrne,the new teacher's assistant.","Professor Marston and the Wonder Women"
"91",493701,495170,"Yes.","Professor Marston and the Wonder Women"
