"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Prometheus"
"2",331581,332834,"Get Charlie.","Prometheus"
"3",343927,345596,"Dr. Holloway!","Prometheus"
"4",348473,349808,"Charlie!","Prometheus"
"5",358692,359444,"What?","Prometheus"
"6",360194,362029,"Come quick!","Prometheus"
"7",391850,394062,"- Did you date it?- Thirty-five thousand...","Prometheus"
"8",394228,396271,"...years. Maybe older.","Prometheus"
"9",420004,422380,"You gotta be kidding me.","Prometheus"
"10",425259,427011,"It's the same configuration.","Prometheus"
"11",428805,432100,"I mean, it's gotta predatethe others by millennia.","Prometheus"
"12",445862,448156,"I think they want usto come and find them.","Prometheus"
"13",450867,451952,"Yeah.","Prometheus"
"14",517894,520437,"What happened to that man?","Prometheus"
"15",520605,521688,"He died.","Prometheus"
"16",523149,524567,"Why aren't you helping them?","Prometheus"
"17",525860,527570,"They don't want my help.","Prometheus"
"18",527736,529279,"Their God is different than ours.","Prometheus"
"19",531615,533033,"Why did he die?","Prometheus"
"20",533951,535870,"Because sooner or later, everyone does.","Prometheus"
"21",536037,537288,"Like Mummy?","Prometheus"
"22",539289,540541,"Like Mummy.","Prometheus"
"23",542293,543919,"Where do they go?","Prometheus"
"24",545462,547548,"Everyone has their own word.","Prometheus"
"25",547798,548966,"Heaven.","Prometheus"
"26",549634,550467,"Paradise.","Prometheus"
"27",552302,554596,"Whatever it's called,it's someplace beautiful.","Prometheus"
"28",554764,556432,"How do you know it's beautiful?","Prometheus"
"29",558475,559976,"That's what I choose to believe.","Prometheus"
"30",560311,561937,"What do you believe, Ellie?","Prometheus"
"31",596304,598099,"Good morning, David.","Prometheus"
"32",599182,600643,"Transmitting message.","Prometheus"
"33",603854,605690,"No response.","Prometheus"
"34",615408,616866,"Whilst this articulation...","Prometheus"
"35",617033,619787,"...is attested inthe lndo-European descendants...","Prometheus"
"36",619953,621831,"...as a purely paralinguistic form...","Prometheus"
"37",621998,625083,"it is phonemic in the ancestral formdating back...","Prometheus"
"38",625250,627211,"...five millennia or more.","Prometheus"
"39",627878,629379,"Let's attempt Schleicher's fable.","Prometheus"
"40",629879,630673,"Repeat after me.","Prometheus"
"41",644061,645187,"Perfect.","Prometheus"
"42",645770,648065,"- Mr. Lawrence?- Yes?","Prometheus"
"43",648566,650484,"- Flimsy, sir.- Thank you.","Prometheus"
"44",657533,660160,"You do that once too often.It's only flesh and blood!","Prometheus"
"45",660910,663413,"Michael George Hartley,you're a philosopher.","Prometheus"
"46",663956,665249,"And you're barmy.","Prometheus"
"47",670712,673090,"- It damn well hurts!- Certainly, it hurts.","Prometheus"
"48",674216,675717,"Well, what's the trick, then?","Prometheus"
"49",676594,679679,"The trick, William Potter,is not minding that it hurts.","Prometheus"
"50",680139,683433,"The trick, William Potter...","Prometheus"
"51",683600,686687,"...is not minding that it hurts.","Prometheus"
"52",692234,695236,"The trick, William Potter...","Prometheus"
"53",695821,699325,"...is not minding that it hurts.","Prometheus"
"54",712962,714631,"Attention:","Prometheus"
"55",714798,716216,"Destination threshold.","Prometheus"
"56",716634,717717,"Attention:","Prometheus"
"57",717884,719886,"Destination threshold.","Prometheus"
"58",720346,722847,"Attention: Destination threshold.","Prometheus"
"59",785160,786202,"Robe.","Prometheus"
"60",797673,798966,"HOW long?","Prometheus"
"61",799216,801509,"Two years, four months, 18 days...","Prometheus"
"62",801677,802886,"...36 hours, 15 minutes.","Prometheus"
"63",803220,804471,"Any casualties?","Prometheus"
"64",805014,806139,"Casualties, ma'am?","Prometheus"
