"id","startTime","endTime","text","title"
"1",61216,63716,"(ENGINE REVVING)","Quantum of Solace"
"2",77899,79358,"(TIRES SCREECHING)","Quantum of Solace"
"3",105509,107885,"(HORN BLARING)","Quantum of Solace"
"4",117021,119063,"(MACHINE GUNS FIRING)","Quantum of Solace"
"5",122192,125570,"(SPEAKING ITALIAN)","Quantum of Solace"
"6",130742,133787,"(CHATTERING OVER RADIO)","Quantum of Solace"
"7",245525,246733,"(GROANS)","Quantum of Solace"
"8",248485,249819,"It's time to get out.","Quantum of Solace"
"9",250697,252906,"(ANOTHER WAY TO DIE PLAYING)","Quantum of Solace"
"10",272593,276555,"Another ringer withthe slick trigger finger
for Her Majesty","Quantum of Solace"
"11",279141,284062,"Another onewith the golden tongue
Poisoning your fantasy","Quantum of Solace"
"12",286064,290485,"Another bill from a killerTurned a thriller to a tragedy","Quantum of Solace"
"13",291194,295031,"A door left openA woman walking by","Quantum of Solace"
"14",295115,298284,"A drop in the waterA look in the eye","Quantum of Solace"
"15",298369,301579,"A phone on the tableA man on your side","Quantum of Solace"
"16",301663,305000,"Oh, someone that you thinkthat you can trust
is just","Quantum of Solace"
"17",305084,307752,"Another way to die","Quantum of Solace"
"18",319723,323268,"Another tricky little gunGiving silence to the one","Quantum of Solace"
"19",323353,326521,"That will neversee the sunshine","Quantum of Solace"
"20",326605,332819,"Another inch of your lifesacrificed for your brother
In the nick of time","Quantum of Solace"
"21",333278,337615,"Another dirty moneyheaven-sent honey
Turning on a dime","Quantum of Solace"
"22",338283,342036,"Well, a door left openA woman walking by","Quantum of Solace"
"23",342120,345415,"A drop in the waterA look in the eye","Quantum of Solace"
"24",345500,348793,"A phone on the tableA man on your side","Quantum of Solace"
"25",348877,352088,"Oh, someone that you thinkthat you can trust
is just","Quantum of Solace"
"26",352173,354800,"Another way to die","Quantum of Solace"
"27",356218,358261,"Hey!","Quantum of Solace"
"28",358596,360971,"You know you're gonna die","Quantum of Solace"
"29",368814,371899,"Shoot 'em, bang, bang!","Quantum of Solace"
"30",385831,389084,"A door left openA woman walking by","Quantum of Solace"
"31",389168,392420,"A drop in the waterA look in the eye","Quantum of Solace"
"32",392504,395923,"A phone on the tableA man on your side","Quantum of Solace"
"33",396007,399177,"Oh, someone that you thinkthat you can trust
is just","Quantum of Solace"
"34",399262,401512,"Another way to die","Quantum of Solace"
"35",402682,405683,"Another","Quantum of Solace"
"36",405768,407935,"It's just another way","Quantum of Solace"
"37",412066,414608,"Shoot 'em up, bang, bang!","Quantum of Solace"
"38",421408,423033,"You know you're gonna","Quantum of Solace"
"39",423286,427497,"Die!","Quantum of Solace"
"40",427706,432752,"Just another","Quantum of Solace"
"41",433129,435880,"It's just another way","Quantum of Solace"
"42",437591,439884,"Bang, bang, bang, bang","Quantum of Solace"
"43",450271,452855,"(MAN CHATTERING OVER P.A.)","Quantum of Solace"
"44",452939,455399,"(PEOPLE CHEERING)","Quantum of Solace"
"45",459697,460779,"Don't bleedto death.","Quantum of Solace"
"46",466161,467620,"Hello, Mitchell.Bond.","Quantum of Solace"
"47",468163,470247,"The Americans are gonna benone too pleased about this.","Quantum of Solace"
"48",470790,472750,"I promised them Le Chiffre,and they got Le Chiffre.","Quantum of Solace"
"49",472834,474293,"They got his body.","Quantum of Solace"
"50",474377,477047,"If they'd wanted his soul,they should have made
a deal with a priest.","Quantum of Solace"
"51",478548,479632,"M: Has he saidanything?","Quantum of Solace"
"52",479716,480884,"No.","Quantum of Solace"
"53",480968,482511,"I'm going to checkthe perimeter, ma'am.","Quantum of Solace"
"54",484930,486514,"You look like hell.","Quantum of Solace"
"55",486598,488016,"When's the lasttime you slept?","Quantum of Solace"
"56",490060,493480,"Vesper's boyfriend,Yusef Kabira, the one who was
abducted in Morocco,","Quantum of Solace"
"57",493564,495189,"the one she wastrying to save.","Quantum of Solace"
"58",495274,497608,"His body was washed upon a beach in lbiza.","Quantum of Solace"
"59",497692,500362,"We're meant to believethe fish did that to his face.","Quantum of Solace"
"60",500446,502238,"His wallet and IDwere in his pocket.","Quantum of Solace"
"61",502322,504031,"BOND: Well,that's convenient.
Quite.","Quantum of Solace"
"62",504115,505699,"Which is why I dida DNA check","Quantum of Solace"
"63",505785,508327,"on a lock of his hairfound in Vesper's
apartment.","Quantum of Solace"
"64",508411,509495,"It's not him.","Quantum of Solace"
"65",509579,511247,"A lock of his hair?","Quantum of Solace"
"66",511331,513124,"I wouldn't have thoughtVesper the sentimental type.","Quantum of Solace"
"67",514210,516461,"Well, we never reallyknow anyone, do we?","Quantum of Solace"
"68",518548,520673,"But I do needto know, Bond.","Quantum of Solace"
"69",521049,523634,"I need to knowthat I can trust you.","Quantum of Solace"
"70",524553,525553,"And you don't?","Quantum of Solace"
"71",525638,527054,"Well, it'd bea pretty cold bastard","Quantum of Solace"
"72",527139,530015,"who didn't want revengefor the death of
someone he loved.","Quantum of Solace"
"73",530100,532184,"You don't haveto worry about me.","Quantum of Solace"
"74",532269,535522,"I'm not gonnago chasing him.
He's not important.","Quantum of Solace"
"75",537774,539525,"And neither was she.","Quantum of Solace"
"76",540485,541820,"It's clear, ma'am.","Quantum of Solace"
"77",541903,544197,"Thanks, Mitchell.Shall we?","Quantum of Solace"
"78",544823,547033,"(PEOPLE CLAMORING)","Quantum of Solace"
"79",547118,548951,"(MAN ANNOUNCING ON P.A.)","Quantum of Solace"
"80",549035,551120,"(PEOPLE CHEERING)","Quantum of Solace"
"81",563384,564967,"Are you gonna tell uswho you work for?","Quantum of Solace"
