"id","startTime","endTime","text","title"
"1",177000,178760,"I remember those cheers,","Raging Bull"
"2",179370,180960,"they still ring in my ears,","Raging Bull"
"3",181070,183900,"and for yearsthey remain in my thoughts,","Raging Bull"
"4",184010,185340,"'cause one night,","Raging Bull"
"5",185440,187500,"I took off my robe,and what'd I do?","Raging Bull"
"6",187610,189740,"I forgot to wear shorts.","Raging Bull"
"7",191610,195410,"I recall every fall,every hook, every jab,","Raging Bull"
"8",195950,198680,"the worst way a guycan get rid of his flab,","Raging Bull"
"9",198790,201080,"as you know,my life wasn't drab.","Raging Bull"
"10",202460,203920,"Though I'd much...","Raging Bull"
"11",204960,207260,"Though I'd rather hear youcheer when you delve--","Raging Bull"
"12",207360,210330,"Though I'd rather hear you cheerwhen I delve into Shakespeare...","Raging Bull"
"13",210970,213200,"""A horse! A horse!My kingdom for a horse!""","Raging Bull"
"14",213300,215270,"I haven't had a winnerin six months.","Raging Bull"
"15",219970,222910,"And though I'm no Olivier,I would much rather...","Raging Bull"
"16",224980,227610,"And though I'm no Olivier,if he fought Sugar Ray,","Raging Bull"
"17",227720,230550,"he would say that the thingain't the ring, it's the play.","Raging Bull"
"18",230650,234050,"So, give me a stage wherethis bull here can rage,","Raging Bull"
"19",234160,237120,"and though I can fight,I'd much rather recite.","Raging Bull"
"20",238260,239780,"That's entertainment.","Raging Bull"
"21",245400,246830,"That's entertainment.","Raging Bull"
"22",246940,248560,"Jake La Mottaand Jimmy Reeves","Raging Bull"
"23",248670,250140,"in the Cleveland Arena.","Raging Bull"
"24",250240,253260,"La Motta is undefeated,but he's well behind on points.","Raging Bull"
"25",253370,256470,"The Bronx Bull has takena lot of punishment in this bout.","Raging Bull"
"26",256580,259840,"Jake is cut around the left eye.Jimmy Reeves has outboxed him...","Raging Bull"
"27",259950,263250,"Jack, tell me, why the fuck do wehave to come to Cleveland for you","Raging Bull"
"28",263350,264480,"to get beaten by a mulignane?","Raging Bull"
"29",264590,266490,"Come on, do the fuckin' right thing.","Raging Bull"
"30",266590,268750,"He's got you by the balls,you're outpointed.","Raging Bull"
"31",268860,271480,"You're comin' up for the tenth,you're gonna have to knock him out.","Raging Bull"
"32",271590,273750,"I want you to bite him, kick him,do anything you gotta do.","Raging Bull"
"33",273860,275690,"Nobody's lookin',you know what to do.","Raging Bull"
"34",275800,277770,"Just like home--all over the fuckin' moolies.","Raging Bull"
"35",277870,280660,"Knock the motherfucker out.You understand? Knock him out.","Raging Bull"
"36",280770,283030,"Hey, you wanna go in there?You wanna go in and do it?","Raging Bull"
"37",287080,288200,"Help!","Raging Bull"
"38",289980,291780,"We need a knockout,let's go get a knockout,","Raging Bull"
"39",291880,292850,"that's where it's at.","Raging Bull"
"40",292950,295640,"Tenth and final round.Good luck to you both.","Raging Bull"
"41",295750,297780,"La Motta fightingout of a half crouch.","Raging Bull"
"42",297890,299880,"Reeves is up againsta tough fighter,","Raging Bull"
"43",299990,301960,"a man who doesn't knowhow to back up.","Raging Bull"
"44",302060,305620,"La Motta continues to bore in,out of the bob and weave,","Raging Bull"
"45",305730,308220,"hooks a left hand to the jaw,and Reeves is down!","Raging Bull"
"46",309930,312230,"The crowd is urging Jake on.","Raging Bull"
"47",313000,316230,"The referee is tolling over Reeves.He's got to get up.","Raging Bull"
"48",316340,318970,"La Motta comes at him once again,Reeves misses a right,","Raging Bull"
"49",319070,321970,"takes a left, and another left,a hard left hand to the jaw,","Raging Bull"
"50",322080,324510,"and Reeves is downfor the second time.","Raging Bull"
"51",324610,327840,"A determined Jake La Mottais making a great comeback","Raging Bull"
"52",327950,329420,"here in the tenth round.","Raging Bull"
"53",330820,333580,"Reeves is up again.La Motta comes at him.","Raging Bull"
"54",333690,336850,"A left hook to the jaw,another left, and a right to the body.","Raging Bull"
"55",336960,339590,"Three more lefts to the midsection,a hook on the jaw,","Raging Bull"
"56",339690,342690,"two more lefts to the head,a right and a left to the jaw.","Raging Bull"
"57",342800,344790,"Reeves goes downfor the third time,","Raging Bull"
"58",344900,347160,"and the refereeis pulling La Motta away.","Raging Bull"
"59",347270,349260,"Two... three...","Raging Bull"
"60",349370,350860,"four... five...","Raging Bull"
"61",350970,353460,"- The referee is counting over Reeves,- six... seven...","Raging Bull"
"62",353570,355600,"- but time is running out...- eight... nine...","Raging Bull"
"63",355710,357180,"...and there is the bell.","Raging Bull"
"64",357910,361370,"He can't walk, but Reeveshas been saved by the bell.","Raging Bull"
"65",361480,363380,"But did La Mottado it soon enough?","Raging Bull"
"66",363480,364920,"Jack, Jack, come here.","Raging Bull"
"67",365020,367890,"It's no good.This is Ohio, not New York!","Raging Bull"
"68",367990,370320,"- You waited too long!- That dumb bastard!","Raging Bull"
"69",370430,373290,"Put the robe on right, huh?Put my robe on right!","Raging Bull"
"70",374530,376550,"Ladies and gentlemen...","Raging Bull"
"71",377930,382100,"...under the rules ofthe Ohio Boxing Commission,","Raging Bull"
"72",382870,384840,"after ten rounds,","Raging Bull"
"73",385510,389500,"the winner,by unanimous decision,","Raging Bull"
"74",390680,393480,"- Jimmy Reeves!- The colorful Jake La Motta,","Raging Bull"
