"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Raiders of the Lost Ark"
"2",36578,38411,"(MAN CHATTERINGIN FOREIGN LANGUAGE)","Raiders of the Lost Ark"
"3",88421,92341,"(SCREAMING)","Raiders of the Lost Ark"
"4",135468,137469,"The Hovitos are near.","Raiders of the Lost Ark"
"5",137721,138721,"(SPITS)","Raiders of the Lost Ark"
"6",138805,141056,"The poison is still fresh,three days.","Raiders of the Lost Ark"
"7",141140,142807,"They're following us.","Raiders of the Lost Ark"
"8",144144,147812,"If they knew we were here,they would've killed us already.","Raiders of the Lost Ark"
"9",147980,150024,"(ANIMALS CHATTERING)","Raiders of the Lost Ark"
"10",194443,195527,"(GUN FIRES)","Raiders of the Lost Ark"
"11",233150,234859,"This is it.","Raiders of the Lost Ark"
"12",234985,236819,"This is where Forrestalcashed in.","Raiders of the Lost Ark"
"13",237153,239070,"- SATIPO: A friend of yours?- A competitor.","Raiders of the Lost Ark"
"14",239406,241782,"He was good.","Raiders of the Lost Ark"
"15",241907,243491,"He was very, very good.","Raiders of the Lost Ark"
"16",243576,247413,"Señor, nobody'scome out of there alive.","Raiders of the Lost Ark"
"17",247497,249497,"Please...","Raiders of the Lost Ark"
"18",286244,287452,"Señor.","Raiders of the Lost Ark"
"19",300634,303052,"(WHIMPERING SOFTLY)","Raiders of the Lost Ark"
"20",316565,317690,"Stop.","Raiders of the Lost Ark"
"21",318526,319819,"Stay out of the light.","Raiders of the Lost Ark"
"22",334875,336252,"(SCREAMING)","Raiders of the Lost Ark"
"23",342425,343884,"Forrestal.","Raiders of the Lost Ark"
"24",344761,345761,"(WHIP CRACKS)","Raiders of the Lost Ark"
"25",390598,392600,"SATIPO: Let us hurry.There is nothing to fear here.","Raiders of the Lost Ark"
"26",395769,397146,"That's what scares me.","Raiders of the Lost Ark"
"27",416081,417332,"Stay here.","Raiders of the Lost Ark"
"28",417542,419168,"If you insist, señor.","Raiders of the Lost Ark"
"29",433016,434098,"(WINCES)","Raiders of the Lost Ark"
"30",487987,491490,"(RUMBLING)","Raiders of the Lost Ark"
"31",497831,499999,"(ARROWS WHIZZING)","Raiders of the Lost Ark"
"32",505754,506922,"Give me the whip.","Raiders of the Lost Ark"
"33",507048,508214,"Throw me the idol.","Raiders of the Lost Ark"
"34",510718,511927,"No time to argue.","Raiders of the Lost Ark"
"35",512095,513095,"Throw me the idol,I throw you the whip.","Raiders of the Lost Ark"
"36",514431,515889,"Give me the whip!","Raiders of the Lost Ark"
"37",515974,517640,"Adiós, señor.","Raiders of the Lost Ark"
"38",551551,552967,"(LOUD RUMBLE)","Raiders of the Lost Ark"
"39",554136,555220,"(GASPS)","Raiders of the Lost Ark"
"40",561101,562477,"Adiós, Satipo.","Raiders of the Lost Ark"
"41",562644,563979,"(RUMBLING)","Raiders of the Lost Ark"
"42",580871,581996,"(GRUNTS)","Raiders of the Lost Ark"
"43",602976,604477,"Dr. Jones.","Raiders of the Lost Ark"
"44",604895,607355,"Again we see there is nothingyou can possess","Raiders of the Lost Ark"
"45",607440,609066,"which I cannot take away.","Raiders of the Lost Ark"
"46",609484,611067,"And you thought I had given up.","Raiders of the Lost Ark"
"47",622663,625916,"You chose the wrong friends.This time, it will cost you.","Raiders of the Lost Ark"
"48",629504,633841,"Too bad the Hovitosdon't know you the way I do, Belloq.","Raiders of the Lost Ark"
"49",634384,635926,"Yes, too bad.","Raiders of the Lost Ark"
"50",636760,640764,"You could warn them,if only you spoke Hovitos.","Raiders of the Lost Ark"
"51",641724,643057,"(SPEAKING HOVITOS)","Raiders of the Lost Ark"
"52",648438,649648,"(MAKES CUTTING SOUNDS)","Raiders of the Lost Ark"
"53",649731,651441,"(MEN SHOUTING)","Raiders of the Lost Ark"
"54",653570,654570,"(LAUGHING TRIUMPHANTLY)","Raiders of the Lost Ark"
"55",668625,669750,"(BIRDS CHIRPING)","Raiders of the Lost Ark"
"56",687812,689145,"Jock! Start the engines!","Raiders of the Lost Ark"
"57",689938,690938,"Get it up!","Raiders of the Lost Ark"
"58",695068,696820,"Jock, the engines!","Raiders of the Lost Ark"
"59",697654,699280,"Start the engines, Jock!","Raiders of the Lost Ark"
"60",720470,721510,"(ARROWS WHIZZING)","Raiders of the Lost Ark"
"61",748789,751041,"There's a big snake in the plane, Jock!","Raiders of the Lost Ark"
"62",751833,754378,"Oh, that's justmy pet snake Reggie!","Raiders of the Lost Ark"
"63",755254,757004,"I hate snakes, Jock!","Raiders of the Lost Ark"
"64",757090,758215,"I hate 'em!","Raiders of the Lost Ark"
"65",758508,761217,"Come on!Show a little backbone, will ya?","Raiders of the Lost Ark"
"66",777985,779278,"""Neo,"" meaning ""new""","Raiders of the Lost Ark"
"67",779361,783072,"and ""Lithic""... ""I-T-H""...","Raiders of the Lost Ark"
"68",783198,785993,"""...I-C,"" meaning ""stone.""","Raiders of the Lost Ark"
"69",786201,787785,"All right, let's get back to this site:","Raiders of the Lost Ark"
"70",787870,789453,"Turkdean Barrow, near Hazelton.","Raiders of the Lost Ark"
"71",789538,794333,"Contains a central passageand three chambers, or cysts...","Raiders of the Lost Ark"
"72",799881,803217,"...don't confuse thatwith robbing, in which case we mean","Raiders of the Lost Ark"
"73",803552,806304,"the removal of the contentsof the barrow.","Raiders of the Lost Ark"
"74",806389,808307,"This site also demonstrates...","Raiders of the Lost Ark"
"75",811019,812977,"...one of the great dangersof archeology,","Raiders of the Lost Ark"
"76",813062,816230,"not to life and limb, althoughthat does sometimes take place.","Raiders of the Lost Ark"
"77",816356,818649,"No, I'm talking about folklore.","Raiders of the Lost Ark"
"78",818735,820443,"In this case,local tradition held","Raiders of the Lost Ark"
"79",820570,823989,"that there was a golden coffinburied at the site,","Raiders of the Lost Ark"
"80",824072,827326,"and this accounts for the holesdug all over the barrow","Raiders of the Lost Ark"
"81",827409,829702,"and the generally poor conditionof the find.","Raiders of the Lost Ark"
"82",829787,832706,"However, chamber threewas undisturbed,","Raiders of the Lost Ark"
"83",832789,834415,"and the undisturbed chamberand the grave goods","Raiders of the Lost Ark"
"84",834500,835917,"that were found in another, uh...","Raiders of the Lost Ark"
"85",836418,838336,"in the area, give us a r...","Raiders of the Lost Ark"
"86",840255,841548,"Uh...","Raiders of the Lost Ark"
"87",842924,845969,"...reason to da...to, uh, to-to date this,","Raiders of the Lost Ark"
"88",846053,847346,"uh, find as we have.","Raiders of the Lost Ark"
"89",847429,848596,"(BELL RINGING)","Raiders of the Lost Ark"
"90",848889,850139,"Um... Any questions, then?","Raiders of the Lost Ark"
"91",850932,852725,"No? Okay, that's itfor the day, then.","Raiders of the Lost Ark"
"92",853769,855479,"Um, don't forget...","Raiders of the Lost Ark"
"93",855562,859357,"Michaelson, chapters fourand five for next time.","Raiders of the Lost Ark"
"94",859442,862152,"And I will be in my officeon Thursday, but not Wednesday.","Raiders of the Lost Ark"
"95",872245,873330,"I had it, Marcus.","Raiders of the Lost Ark"
"96",873413,875706,"I had it in my hand.","Raiders of the Lost Ark"
"97",875792,877625,"- What happened?- Guess.","Raiders of the Lost Ark"
"98",878503,879543,"(CHUCKLES)","Raiders of the Lost Ark"
"99",879629,881546,"- Belloq?- You want to hear about it?","Raiders of the Lost Ark"
"100",881630,883215,"Not at all.","Raiders of the Lost Ark"
"101",883298,885091,"I'm sure everything you dofor the museum","Raiders of the Lost Ark"
"102",885176,888302,"conforms to the International Treatyfor the Protection of Antiquities.","Raiders of the Lost Ark"
"103",888428,889638,"It's beautiful, Marcus.","Raiders of the Lost Ark"
"104",889721,891639,"I can get it.I got it all figured out.","Raiders of the Lost Ark"
"105",891807,893350,"There's only one placehe can sell it: Marrakech.","Raiders of the Lost Ark"
"106",893433,894725,"I need $2,000. Look...","Raiders of the Lost Ark"
"107",894811,895894,"Listen to me, old boy.","Raiders of the Lost Ark"
"108",895977,897354,"I brought some peopleto see you.","Raiders of the Lost Ark"
"109",897437,898437,"Look.","Raiders of the Lost Ark"
"110",898523,899605,"I got these pieces.","Raiders of the Lost Ark"
"111",899690,900941,"They're good pieces, Marcus.","Raiders of the Lost Ark"
"112",901024,903067,"- Look.- Indiana...","Raiders of the Lost Ark"
"113",903152,906196,"Yes, the museum will buy them,as usual, no questions asked.","Raiders of the Lost Ark"
"114",906279,907739,"- Yes, they are nice.- They're worth at least","Raiders of the Lost Ark"
"115",907823,909157,"the priceof a ticket to Marrakech.","Raiders of the Lost Ark"
"116",909283,910491,"But the peopleI brought are important,","Raiders of the Lost Ark"
"117",910576,911951,"- and they're waiting.- What people?","Raiders of the Lost Ark"
"118",912035,913912,"Army Intelligence.","Raiders of the Lost Ark"
"119",914121,915621,"They knew you were comingbefore I did.","Raiders of the Lost Ark"
"120",915914,917164,"Seem to know everything.","Raiders of the Lost Ark"
"121",917707,919250,"They wouldn't tell mewhat they want.","Raiders of the Lost Ark"
"122",919376,921336,"Well, what do I wantto see them for?","Raiders of the Lost Ark"
"123",921421,923337,"What am I, in trouble?","Raiders of the Lost Ark"
"124",923673,924798,"EATON: Yes, Dr. Jones,","Raiders of the Lost Ark"
"125",924881,926341,"we've heard a great dealabout you.","Raiders of the Lost Ark"
"126",926426,928134,"INDY: Have you?","Raiders of the Lost Ark"
"127",928219,930428,"Uh, professor of archeology,","Raiders of the Lost Ark"
"128",930513,932179,"expert on the occult,","Raiders of the Lost Ark"
"129",932264,933807,"and, uh, how does one say it?","Raiders of the Lost Ark"
"130",933890,936559,"Obtainer of rare antiquities.","Raiders of the Lost Ark"
"131",936686,937769,"That's one way of saying it.","Raiders of the Lost Ark"
"132",937854,939104,"Why don't you sit down?You'll be more comfortable.","Raiders of the Lost Ark"
"133",939187,940688,"- Oh, thank you.- Thank you.","Raiders of the Lost Ark"
"134",940773,944067,"Yes, you're a manof many talents.","Raiders of the Lost Ark"
"135",944277,946485,"Now, you studiedunder Professor Ravenwood","Raiders of the Lost Ark"
"136",946611,948279,"at the University of Chicago.","Raiders of the Lost Ark"
"137",948405,950615,"Yes, I did.","Raiders of the Lost Ark"
"138",950700,953243,"You have no ideaof his present whereabouts?","Raiders of the Lost Ark"
"139",954495,956620,"Uh... well, just rumors, really.","Raiders of the Lost Ark"
"140",956706,958373,"Somewhere in Asia, I think.","Raiders of the Lost Ark"
"141",958457,960125,"I haven't really spokento him for ten years.","Raiders of the Lost Ark"
"142",960208,962793,"We were friends, but, uh...","Raiders of the Lost Ark"
"143",962879,965087,"had a bit of a falling out,I'm afraid.","Raiders of the Lost Ark"
"144",965173,966339,"Mmm.","Raiders of the Lost Ark"
"145",966716,968966,"Dr. Jones, now,you must understand","Raiders of the Lost Ark"
"146",969092,971760,"that this is allstrictly confidential, eh?","Raiders of the Lost Ark"
"147",971846,972803,"I understand.","Raiders of the Lost Ark"
"148",972889,975264,"Uh... (CLEARS THROAT)","Raiders of the Lost Ark"
"149",975349,978894,"Yesterday afternoon,our European sections","Raiders of the Lost Ark"
"150",978977,981730,"intercepted a...a German communiqué","Raiders of the Lost Ark"
"151",981898,984231,"that was sentfrom Cairo to Berlin.","Raiders of the Lost Ark"
"152",984774,986610,"- Now, to Cairo...- See, over the last two years,","Raiders of the Lost Ark"
"153",986735,988695,"the Nazis have had teamsof archeologists","Raiders of the Lost Ark"
"154",988778,992740,"running around the world lookingfor all kinds of religious artifacts.","Raiders of the Lost Ark"
"155",993033,994366,"Hitler's a nut on the subject.","Raiders of the Lost Ark"
"156",994451,995494,"He's crazy.","Raiders of the Lost Ark"
"157",995577,997620,"He's obsessed with the occult.","Raiders of the Lost Ark"
"158",997746,999331,"And, right now, apparently,","Raiders of the Lost Ark"
"159",999414,1001832,"there's some kindof German archeological dig","Raiders of the Lost Ark"
"160",1001918,1004001,"going on in the desertoutside of Cairo.","Raiders of the Lost Ark"
"161",1004086,1005586,"Now, we've got someinformation here,","Raiders of the Lost Ark"
"162",1005671,1008215,"but we can't make anythingout of it, and maybe you can.","Raiders of the Lost Ark"
"163",1009341,1012177,"""Tanis development proceeding.","Raiders of the Lost Ark"
"164",1012636,1016472,"""Acquire headpiece, Staff of Ra.","Raiders of the Lost Ark"
"165",1016640,1018725,"""Abner Ravenwood, U.S.""","Raiders of the Lost Ark"
"166",1020101,1022394,"The Nazis have discovered Tanis.","Raiders of the Lost Ark"
"167",1022480,1025565,"EATON: Just what doesthat mean to you, uh, Tanis?","Raiders of the Lost Ark"
"168",1025650,1026691,"Well, it...","Raiders of the Lost Ark"
"169",1026776,1029193,"The city of Tanis is one of the possibleresting places of the Lost Ark.","Raiders of the Lost Ark"
"170",1029487,1030945,"The Lost Ark?","Raiders of the Lost Ark"
"171",1031071,1032279,"Yeah, the Ark of the Covenant.","Raiders of the Lost Ark"
"172",1032448,1033531,"The chest the Hebrews used","Raiders of the Lost Ark"
"173",1033615,1034950,"to carry aroundthe Ten Commandments.","Raiders of the Lost Ark"
"174",1035034,1036116,"What do you mean,""commandments""?","Raiders of the Lost Ark"
"175",1036201,1037701,"You talkingabout the Ten Commandments?","Raiders of the Lost Ark"
"176",1037787,1039871,"Yes, the actualTen Commandments.","Raiders of the Lost Ark"
"177",1039955,1041455,"The original stone tablets","Raiders of the Lost Ark"
"178",1041540,1043500,"that Moses brought downout of Mount Horeb and smashed,","Raiders of the Lost Ark"
"179",1043625,1045626,"if you believein that sort of thing.","Raiders of the Lost Ark"
"180",1046878,1048587,"Any of you guysever go to Sunday school?","Raiders of the Lost Ark"
"181",1048673,1050673,"- Well, I...- Oh, look.","Raiders of the Lost Ark"
"182",1050758,1052342,"The Hebrews tookthe broken pieces","Raiders of the Lost Ark"
"183",1052425,1054802,"and put them in the Ark.When they settled in Canaan,","Raiders of the Lost Ark"
"184",1055011,1057513,"they put the Ark in a placecalled the Temple of Solomon.","Raiders of the Lost Ark"
"185",1057597,1058640,"In Jerusalem.","Raiders of the Lost Ark"
"186",1058723,1060224,"Where it stayed for many years.","Raiders of the Lost Ark"
"187",1060308,1062394,"Until, all of a sudden,whoosh, it's gone.","Raiders of the Lost Ark"
"188",1062478,1063644,"Where?","Raiders of the Lost Ark"
"189",1063729,1065605,"Well, nobody knowswhere or when.","Raiders of the Lost Ark"
"190",1065690,1067566,"However, an Egyptian pharaoh...","Raiders of the Lost Ark"
"191",1067650,1068650,"- Shishak.- Yes.","Raiders of the Lost Ark"
"192",1068733,1071486,"...invaded the city of Jerusalemright about 980 BC,","Raiders of the Lost Ark"
"193",1071570,1074530,"and he may have taken the Arkback to the city of Tanis","Raiders of the Lost Ark"
"194",1074615,1076532,"and hidden itin a secret chamber","Raiders of the Lost Ark"
"195",1076616,1077866,"called the Well of Souls.","Raiders of the Lost Ark"
"196",1078451,1079536,"Secret chamber?","Raiders of the Lost Ark"
"197",1079619,1081246,"BRODY: However, about a year","Raiders of the Lost Ark"
"198",1081329,1083498,"after the pharaohwould return to Egypt,","Raiders of the Lost Ark"
"199",1083665,1086835,"the city of Tanis wasconsumed by the desert","Raiders of the Lost Ark"
"200",1086961,1090005,"in a sandstorm whichlasted a whole year.","Raiders of the Lost Ark"
"201",1090172,1092339,"Wiped clean by the wrath of God.","Raiders of the Lost Ark"
"202",1094676,1096094,"Uh-huh.","Raiders of the Lost Ark"
"203",1096178,1097886,"Obviously, we've cometo the right men.","Raiders of the Lost Ark"
"204",1097971,1099513,"Now you seem to know, uh,","Raiders of the Lost Ark"
"205",1099682,1100848,"all about this Tanis, then.","Raiders of the Lost Ark"
"206",1101182,1102349,"No, no, not really.","Raiders of the Lost Ark"
"207",1102434,1104853,"Ravenwood is the real expert.","Raiders of the Lost Ark"
"208",1104979,1106938,"Abner did the first serious workon Tanis.","Raiders of the Lost Ark"
"209",1107064,1109566,"Collected some of its relics.","Raiders of the Lost Ark"
"210",1109775,1112443,"It was his obsession, really.","Raiders of the Lost Ark"
"211",1112528,1113862,"But he never found the city.","Raiders of the Lost Ark"
"212",1113945,1117281,"Frankly, we're somewhatsuspicious of Mr. Ravenwood.","Raiders of the Lost Ark"
"213",1117365,1119034,"An American being mentionedso prominently","Raiders of the Lost Ark"
"214",1119160,1121286,"in a secret Nazi cable.","Raiders of the Lost Ark"
"215",1121369,1123704,"Oh, rubbish.Ravenwood's no Nazi.","Raiders of the Lost Ark"
"216",1124039,1125539,"Well, what do the Naziswant him for, then?","Raiders of the Lost Ark"
"217",1126250,1128084,"Well, obviously,the Nazis are looking","Raiders of the Lost Ark"
"218",1128169,1129961,"for the headpieceto the Staff of Ra","Raiders of the Lost Ark"
"219",1130211,1132255,"and they think Abner's got it.","Raiders of the Lost Ark"
"220",1132339,1135008,"What exactly is a headpieceto the Staff of Ra?","Raiders of the Lost Ark"
"221",1135217,1136593,"Well, the staffis just a stick...","Raiders of the Lost Ark"
"222",1136719,1137926,"I don't know, about this big,","Raiders of the Lost Ark"
"223",1138136,1139762,"nobody really knowsfor sure how high...","Raiders of the Lost Ark"
"224",1139846,1142848,"And it's... it's, uh...it's capped","Raiders of the Lost Ark"
"225",1142932,1145434,"with an elaborate headpiece...","Raiders of the Lost Ark"
"226",1145519,1148480,"in the shape of the sun,with a crystal in the center.","Raiders of the Lost Ark"
"227",1148564,1150147,"And what you did was","Raiders of the Lost Ark"
"228",1150231,1152983,"you take the staffto a special room in Tanis...","Raiders of the Lost Ark"
"229",1153068,1154402,"A map room with a miniature","Raiders of the Lost Ark"
"230",1154487,1155903,"of the city all laid outon the floor,","Raiders of the Lost Ark"
"231",1156279,1157989,"and if you put the staffin a certain place,","Raiders of the Lost Ark"
"232",1158074,1160950,"at a certain time of day,the sun shone through here","Raiders of the Lost Ark"
"233",1161035,1164788,"and made a beam that came downon the floor here...","Raiders of the Lost Ark"
"234",1164872,1167790,"and gave you the exact locationof the Well of the Souls.","Raiders of the Lost Ark"
"235",1168084,1170292,"Where the Ark of the Covenantwas kept, right?","Raiders of the Lost Ark"
"236",1170419,1172628,"Which is exactly what the Nazisare looking for.","Raiders of the Lost Ark"
"237",1172712,1174963,"What does this Ark look like?","Raiders of the Lost Ark"
"238",1175215,1176383,"Uh...","Raiders of the Lost Ark"
"239",1176884,1178759,"INDY: There's a picture of itright here.","Raiders of the Lost Ark"
"240",1183473,1185266,"That's it.","Raiders of the Lost Ark"
"241",1191941,1193107,"EATON: Good God.","Raiders of the Lost Ark"
"242",1193275,1195734,"Yes, that's justwhat the Hebrews thought.","Raiders of the Lost Ark"
"243",1196028,1197194,"Uh...","Raiders of the Lost Ark"
"244",1197278,1199739,"now, what's that supposed to becoming out of there?","Raiders of the Lost Ark"
"245",1199824,1201490,"INDY: Lightning...","Raiders of the Lost Ark"
"246",1201575,1203535,"fire...","Raiders of the Lost Ark"
"247",1203661,1205787,"power of God or something.","Raiders of the Lost Ark"
"248",1207623,1208664,"EATON: I'm beginning to understand","Raiders of the Lost Ark"
"249",1208749,1210165,"Hitler's interest in this.","Raiders of the Lost Ark"
"250",1210291,1211625,"BRODY: Oh, yes.","Raiders of the Lost Ark"
"251",1211711,1213877,"The Bible speaks of theArk leveling mountains,","Raiders of the Lost Ark"
"252",1213962,1217464,"and laying wasteto entire regions.","Raiders of the Lost Ark"
