"id","startTime","endTime","text","title"
"1",85751,89796,"♪ My grandma and your grandmasittin' by the fire","Rain Man"
"2",89963,93841,"♪ My grandma said to your grandma""I'm gonna set your flag on fire""","Rain Man"
"3",94009,96552,"♪ Talkin' 'bout hey now, hey now","Rain Man"
"4",96721,98930,"♪ Iko iko unday","Rain Man"
"5",99098,101265,"♪ Jockamo fina anane","Rain Man"
"6",101433,103811,"♪ Jockamo fina anane","Rain Man"
"7",108149,110275,"♪ Look at my king all dressed in red","Rain Man"
"8",110442,112527,"♪ Iko iko unday","Rain Man"
"9",112694,114695,"♪ Bet you five dollarshe'll kill you dead","Rain Man"
"10",114864,116365,"♪ Jockamo fina anane","Rain Man"
"11",116533,119200,"♪ Talkin' 'bout hey now, hey now","Rain Man"
"12",119368,121245,"♪ Iko iko unday","Rain Man"
"13",121412,123789,"♪ Jockamo fino anane","Rain Man"
"14",123956,126125,"♪ Jockamo fina anane","Rain Man"
"15",130671,134883,"♪ My flag boy and your flag boysittin' by the fire","Rain Man"
"16",135050,138719,"♪ My flag boy said to your flag boy""I'm gonna set your flag on fire""","Rain Man"
"17",138888,141598,"♪ Talkin' 'bout hey now, hey now","Rain Man"
"18",141765,143891,"♪ Iko iko unday","Rain Man"
"19",144060,146061,"♪ Jockamo fina anane","Rain Man"
"20",146228,148396,"♪ Jockamo fina anane","Rain Man"
"21",148564,150858,"♪ Jockamo fina anane","Rain Man"
"22",164247,166581,"♪ Hey now, hey now","Rain Man"
"23",168751,171043,"♪ Hey now, hey now","Rain Man"
"24",173256,174506,"♪ Jockamo fina anane","Rain Man"
"25",174674,175716,"♪ Iko! ♪","Rain Man"
"26",188312,191189,"How many times you wash outwith EPA?","Rain Man"
"27",191356,194943,"- Just one or two more days.- Three times? You're on a roll.","Rain Man"
"28",195110,197278,"Four cars, three times each.","Rain Man"
"29",197447,200782,"That's zip for 12. What are you,a mechanic or a NASA engineer?","Rain Man"
"30",200949,203326,"I told you I'd never dealtwith Lamborghinis.","Rain Man"
"31",203493,206538,"You assured me you could deliverthese cars with that time frame.","Rain Man"
"32",206705,208956,"Don't tell me that,'cause I'm not listening.","Rain Man"
"33",209125,211126,"Sir, I hardly think that's necessary!","Rain Man"
"34",211294,214795,"I'll explain that to my swing loan.I'm into him for 200,000.","Rain Man"
"35",214963,216715,"That's thousand. Three zeros.","Rain Man"
"36",216883,221719,"I got all my money in these cars, and ifI don't get my money out, I am finished.","Rain Man"
"37",221888,223555,"You have to understand our situation.","Rain Man"
"38",223723,226641,"I got the sharkssnapping at my heels here.","Rain Man"
"39",226808,229144,"They could've taken my business11 days ago.","Rain Man"
"40",229312,231646,"I had to hold them offwith a whip and a chair.","Rain Man"
"41",231813,234316,"I know delivery is way overdue...","Rain Man"
"42",234484,237485,"Fucking EPA!The world is choking on smog,","Rain Man"
"43",237653,241365,"and they're gonna correct the situationby keeping my four cars off the road?","Rain Man"
"44",241532,243783,"Babbitt Collectibles.","Rain Man"
"45",243951,247663,"Have you tried cash? How much canone of these EPA guys earn in a week?","Rain Man"
"46",247830,249997,"- Mr. Wyatt.- Wyatt?","Rain Man"
"47",250165,254544,"About the swing loan. He doesn't getthe money by 5:30, he'll seize the cars.","Rain Man"
"48",254711,257964,"- I'm gonna have to call you back.- Talk to Mr. Babbitt on this.","Rain Man"
"49",258132,262677,"Tell him you watched me sign the check,then you gave it to the mail girl.","Rain Man"
"50",262845,265055,"Come on, come on. I need this!","Rain Man"
"51",265223,268100,"I wouldn't do that, sir,until you talk to Mr. Babbitt.","Rain Man"
"52",268268,270560,"A number for him?No, he's on the road.","Rain Man"
"53",270728,272396,"- He wants you to call him...- Charlie!","Rain Man"
"54",272562,275649,"Tell him I'm on my way to Barbados,can he leave a number.","Rain Man"
"55",275817,278192,"- Charlie!- What, Lenny? I'm here. Talk to me.","Rain Man"
