"id","startTime","endTime","text","title"
"1",58098,60183,"- Peter, I'm so happy to see you.- Hi. How are you?","Ransom"
"2",60268,62770,"- I'm wonderful. How are you?- Good, good.","Ransom"
"3",62853,64521,"Is this a night for a party or what?","Ransom"
"4",67067,70069,"- We had this huge mix-up...Okay, everyone.","Ransom"
"5",70153,73155,"- I found his commercial. Come on in.Oh, I can't wait to see it.","Ransom"
"6",73239,75823,"Oh, he can't weasel out ofthis one. We're gonna show it.","Ransom"
"7",75992,78326,"It's show time, folks. Let's go.","Ransom"
"8",78411,79870,"Hey, quiet!","Ransom"
"9",79995,82331,"I came from fairly humble beginningsfrom upstate New York.","Ransom"
"10",82414,83664,"- And to be honest...Nice make-up.","Ransom"
"11",83750,85334,"...I'd never even beenon an airplane before.","Ransom"
"12",85418,88212,"Not until the Air Force taught me to flyin 1969.","Ransom"
"13",88337,91715,"I ended up doing 28 combat missionsfor them.","Ransom"
"14",91841,94468,"In 1971... Oh, a tough year.","Ransom"
"15",94551,96594,"I threw everything I ownedinto a charter service.","Ransom"
"16",96679,98889,"You look better than those frogsin that beer commercial.","Ransom"
"17",99015,100682,"When we kicked off,we had a six-seater and one DC-3,","Ransom"
"18",100766,102475,"and we would fly anywhere.","Ransom"
"19",102560,104353,"We were like the yellow cabsof the sky.","Ransom"
"20",104436,106938,"In 1979, we started Endeavor,","Ransom"
"21",107022,109691,"and we only flewto four different cities,","Ransom"
"22",109776,113903,"but I think the passengerspicked up on myjoy in flying.","Ransom"
"23",114030,116740,"And we've grownto 37 countries worldwide.","Ransom"
"24",116865,118575,"We're still pretty smallin the scheme of things.","Ransom"
"25",118700,121995,"But then, I never wantedto be the biggest, just the best.","Ransom"
"26",122079,125415,"The most important thingto me these days: family.","Ransom"
"27",126292,128085,"Mine. Yours.","Ransom"
"28",128711,130211,"That's the good thing about an airline.","Ransom"
"29",130295,132923,"It actually brings familiescloser together, among other things.","Ransom"
"30",133049,134550,"And that makes me feel good.","Ransom"
"31",134717,137093,"1971. Man.","Ransom"
"32",137512,141556,"I had the devil in me back then.But today people change.","Ransom"
"33",144185,145435,"Sort of.","Ransom"
"34",149566,152401,"He really didn't want to do it.I thought he was great.","Ransom"
"35",152526,154319,"- He was good.Encore!","Ransom"
"36",154403,155695,"Where did he go?","Ransom"
"37",156573,158490,"Okay, get it over with,you pack of freeloaders.","Ransom"
"38",158574,159949,"- Put it there. I got big shoulders.- When's it air?","Ransom"
"39",160075,162953,"I was afraid to ask, actually.No, you're too kind. No, you're too kind.","Ransom"
"40",163079,165204,"Actually, I'm contemplating suicidebefore it airs.","Ransom"
"41",165289,167165,"Oh, yes, of course.Because he's so shy.","Ransom"
"42",167250,168876,"And next month he's doingthe underwear billboard","Ransom"
"43",168960,170252,"in Times Square. Ow!","Ransom"
"44",207539,209123,"You should have seenthe look on his face.","Ransom"
"45",209209,210959,"He couldn't figure outwhere I got that information.","Ransom"
"46",211044,213878,"And where did you?I took safe-cracking at MIT.","Ransom"
"47",213962,215546,"No, the guy couldn't believe it, I swear.","Ransom"
"48",215632,217049,"Hey, Sean, you eat something?You okay?","Ransom"
"49",217133,218216,"- Yeah.- Good.","Ransom"
"50",218300,220509,"You know, the guy's a wacko.I mean, seriously, he's, like... Whoo!","Ransom"
"51",220594,221637,"Unbelievable, unbelievable.","Ransom"
"52",221721,223722,"What I can't figure outis how someone expects you to bite","Ransom"
"53",223805,225723,"without expecting you to knoweverything about his business.","Ransom"
"54",225807,230062,"I agree.- Yeah. Anyway, David's on the carpet.","Ransom"
"55",256380,258130,"All right, time to fold the tent, fellow.Come on.","Ransom"
