"id","startTime","endTime","text","title"
"1",28094,30118,"Although each of the world's countries","Ratatouille"
"2",30230,31457,"would like to dispute this fact,","Ratatouille"
"3",31564,32996,"we French know the truth:","Ratatouille"
"4",33098,35329,"The best food in the worldis made in France.","Ratatouille"
"5",35435,37493,"The best food in Franceis made in Paris.","Ratatouille"
"6",37603,42097,"And the best food in Paris, some say,is made by Chef Auguste Gusteau.","Ratatouille"
"7",42207,44573,"Gusteau's restaurantis the toast of Paris,","Ratatouille"
"8",44676,46304,"booked five months in advance.","Ratatouille"
"9",46412,49143,"And his dazzling ascentto the top of fine French cuisine","Ratatouille"
"10",49249,51581,"has made his competitors envious.","Ratatouille"
"11",51683,54982,"He is the youngest chef everto achieve a five-star rating.","Ratatouille"
"12",55121,57247,"Chef Gusteau's cookbook,Anyone Can Cook!","Ratatouille"
"13",57356,59484,"Climbed to the top of the bestseller list.","Ratatouille"
"14",59591,61890,"But not everyonecelebrates its success.","Ratatouille"
"15",61994,64896,"Amusing title, Anyone Can Cook!","Ratatouille"
"16",64998,68694,"What's even more amusing is thatGusteau actually seems to believe it.","Ratatouille"
"17",68801,71293,"I, on the other hand,take cooking seriously.","Ratatouille"
"18",71403,75170,"And, no, I don't think anyone can do it.","Ratatouille"
"19",113445,115436,"This is me.","Ratatouille"
"20",115814,119251,"I think it's apparentI need to rethink my life a little bit.","Ratatouille"
"21",119352,120944,"What's my problem?","Ratatouille"
"22",121054,122987,"First of all, I'm a rat.","Ratatouille"
"23",125057,127549,"Which means life is hard.","Ratatouille"
"24",128794,133128,"And second, I have a highly developedsense of taste and smell.","Ratatouille"
"25",134567,138901,"Flour, eggs, sugar, vanilla bean...","Ratatouille"
"26",139004,141165,"Oh! Small twist of lemon.","Ratatouille"
"27",141274,144902,"Whoa, you can smell all that?You have a gift.","Ratatouille"
"28",145010,148447,"This is Emile, my brother.He's easily impressed.","Ratatouille"
"29",148548,152109,"So you can smell ingredients?So what?","Ratatouille"
"30",152352,155287,"This is my dad. He's never impressed.","Ratatouille"
"31",155722,158622,"He also happens to bethe leader of our clan.","Ratatouille"
"32",158891,162191,"So, what's wrongwith having highly developed senses?","Ratatouille"
"33",162295,166425,"- Whoa, whoa, whoa! Don't eat that!- What's going on here?","Ratatouille"
"34",167000,170436,"Turns out that funny smellwas rat poison.","Ratatouille"
"35",170537,173903,"Suddenly, Dad didn't thinkmy talent was useless.","Ratatouille"
"36",174007,176474,"I was feeling pretty good about my gift,","Ratatouille"
"37",176575,178975,"until Dad gave me a job.","Ratatouille"
"38",179412,180709,"Clean.","Ratatouille"
"39",181080,182046,"Clean.","Ratatouille"
"40",182181,183546,"That's right. Poison checker.","Ratatouille"
"41",183650,184776,"Cleanerific.","Ratatouille"
"42",184918,186384,"Cleanerino.","Ratatouille"
"43",186853,188581,"Close to godliness.","Ratatouille"
"44",189521,193822,"Which means clean.You know, cleanliness is close to...","Ratatouille"
"45",194060,195788,"Never mind. Move on.","Ratatouille"
"46",196429,198396,"Well, it made my dad proud.","Ratatouille"
"47",198497,203093,"Now, don't you feel better, Remy?You've helped a noble cause.","Ratatouille"
"48",203203,205763,"Noble? We're thieves, Dad.","Ratatouille"
"49",205872,209466,"And what we're stealing is,let's face it, garbage.","Ratatouille"
"50",209575,211567,"It isn't stealing if no one wants it.","Ratatouille"
"51",211677,214168,"If no one wants it,why are we stealing it?","Ratatouille"
"52",215381,217246,"Let's just saywe have different points of view.","Ratatouille"
"53",218350,219841,"This much I knew:","Ratatouille"
"54",219953,223889,"If you are what you eat,then I only want to eat the good stuff.","Ratatouille"
"55",224057,225524,"But to my dad...","Ratatouille"
"56",225625,226751,"Food is fuel.","Ratatouille"
"57",226859,230487,"You get picky about what you putin the tank, your engine is gonna die.","Ratatouille"
"58",230597,232155,"Now shut up and eat your garbage.","Ratatouille"
"59",232264,233754,"Look, if we're going to be thieves,","Ratatouille"
"60",233865,235730,"why not steal the good stuffin the kitchen,","Ratatouille"
"61",235835,237426,"where nothing is poisoned?","Ratatouille"
"62",237537,240097,"First of all, we are not thieves.","Ratatouille"
"63",240205,243073,"Secondly, stay out of the kitchenand away from the humans.","Ratatouille"
"64",243175,244370,"It's dangerous.","Ratatouille"
"65",244477,246205,"I knowI'm supposed to hate humans,","Ratatouille"
"66",246312,248336,"but there's something about them.","Ratatouille"
"67",248448,252817,"They don't just survive.They discover, they create.","Ratatouille"
"68",253186,255347,"I mean,just look at what they do with food.","Ratatouille"
"69",255455,256944,"How can I describe it?","Ratatouille"
"70",257055,261014,"Good food is like music you can taste,color you can smell.","Ratatouille"
"71",261127,263595,"There is excellence all around you.","Ratatouille"
"72",263696,267223,"You need only be aware to stopand savor it.","Ratatouille"
"73",271137,273331,"Oh, Gusteau was right.","Ratatouille"
"74",273605,276165,"Oh, mmm, yeah.","Ratatouille"
"75",276576,278168,"Oh, amazing.","Ratatouille"
"76",278877,282040,"Each flavor was totally unique.","Ratatouille"
"77",286119,289316,"But combine one flavor with another,","Ratatouille"
"78",289422,292185,"and something new was created.","Ratatouille"
"79",297896,300387,"So now I had a secret life.","Ratatouille"
"80",308240,310800,"The only one who knew about itwas Emile.","Ratatouille"
"81",311110,313305,"Hey, Emile. Emile.","Ratatouille"
"82",313646,315637,"I found a mushroom.","Ratatouille"
"83",315747,319081,"Come on, you're good at hiding food.Help me find a good place to put this.","Ratatouille"
"84",319519,322612,"He doesn't understand me,but I can be myself around him.","Ratatouille"
"85",322721,324451,"Why are you walking like that?","Ratatouille"
"86",324557,327526,"I don't want to constantlyhave to wash my paws.","Ratatouille"
"87",327627,329685,"Did you ever think about how we walkon the same paws","Ratatouille"
"88",329795,330990,"that we handle food with?","Ratatouille"
"89",331096,333156,"You ever think aboutwhat we put into our mouths?","Ratatouille"
"90",333266,334324,"All the time.","Ratatouille"
"91",334433,336994,"When I eat, I don't want to tasteeverywhere my paws have been.","Ratatouille"
"92",337103,338228,"Well, go ahead.","Ratatouille"
"93",338338,340932,"But if Dad sees you walking like that,he's not going to like it.","Ratatouille"
"94",342175,344005,"What have you got there?","Ratatouille"
"95",344343,345367,"Ah, oh, oh...","Ratatouille"
"96",346778,348473,"You found cheese?","Ratatouille"
"97",348980,353314,"And not just any cheese.Tomme de chevre de pays!","Ratatouille"
"98",353519,356009,"That would go beautifullywith my mushroom.","Ratatouille"
"99",356122,357088,"And...","Ratatouille"
"100",359324,362521,"This rosemary! This rosemary","Ratatouille"
"101",362627,366290,"with maybe with a few dropsfrom this sweet grass.","Ratatouille"
"102",366766,369757,"Well, throw it on the pile, I guess,and then we'll... You know...","Ratatouille"
"103",369869,374271,"We don't want to throw this inwith the garbage. This is special.","Ratatouille"
"104",374374,376000,"But we're supposedto return to the colony","Ratatouille"
"105",376108,377667,"before sundown or,you know, Dad's gonna...","Ratatouille"
"106",377776,378800,"Emile!","Ratatouille"
"107",378911,380810,"There are possibilitiesunexplored here.","Ratatouille"
"108",380913,382403,"We got to cook this.","Ratatouille"
"109",382514,386975,"Now, exactly how we cook thisis the real question...","Ratatouille"
"110",388254,389221,"Yeah.","Ratatouille"
"111",389922,392185,"The key is to keep turning it.","Ratatouille"
"112",392290,395692,"Get the smoky flavor nice and even.","Ratatouille"
"113",396928,399124,"That storm's getting closer.","Ratatouille"
"114",399432,404130,"Hey, Remy, you think that maybewe shouldn't be so...","Ratatouille"
"115",415981,417449,"You got to taste this!","Ratatouille"
"116",417550,421850,"This is... It's got this kind of...It's burny, melty...","Ratatouille"
"117",421954,424821,"It's not really a smoky taste.It's a certain... It's kind of like a...","Ratatouille"
