"id","startTime","endTime","text","title"
"1",111444,114905,"Last night,I dreamt I went to Manderley again.","Rebecca"
"2",115865,119283,"It seemed to me I stood by the iron gateleading to the drive,","Rebecca"
"3",120203,124248,"and for a while, I could not enter,for the way was barred to me.","Rebecca"
"4",124790,126792,"Then, like all dreamers,","Rebecca"
"5",127543,130962,"I was possessed of a suddenwith supernatural powers","Rebecca"
"6",131131,134633,"and passed like a spiritthrough the barrier before me.","Rebecca"
"7",135425,138052,"The drive wound away in front of me,","Rebecca"
"8",138221,141139,"twisting and turningas it had always done.","Rebecca"
"9",141640,143307,"But as I advanced,","Rebecca"
"10",143475,146311,"I was awarethat a change had come upon it.","Rebecca"
"11",146646,150481,"Nature had come into her own again,and little by little","Rebecca"
"12",150650,155069,"had encroached upon the drivewith long, tenacious fingers.","Rebecca"
"13",157615,162076,"On and on wound the poor threadthat had once been our drive,","Rebecca"
"14",163538,166247,"and finally, there was Manderley.","Rebecca"
"15",167082,169835,"Manderley, secretive and silent.","Rebecca"
"16",170377,173838,"Time could not marthe perfect symmetry of those walls.","Rebecca"
"17",174841,177759,"Moonlight can play odd tricksupon the fancy,","Rebecca"
"18",178093,182347,"and suddenly it seemed to methat light came from the windows.","Rebecca"
"19",185602,188187,"And then a cloud came upon the moon","Rebecca"
"20",188562,192356,"and hovered an instantlike a dark hand before a face.","Rebecca"
"21",193359,195360,"The illusion went with it.","Rebecca"
"22",196862,199239,"I looked upon a desolate shell","Rebecca"
"23",200033,203911,"with no whisper of the pastabout its staring walls.","Rebecca"
"24",205538,208164,"We can never go back to Manderley again.","Rebecca"
"25",208332,210042,"That much is certain.","Rebecca"
"26",210251,214337,"But sometimes in my dreams,I do go back","Rebecca"
"27",214504,216590,"to the strange days of my life","Rebecca"
"28",216758,219884,"which began for mein the South of France.","Rebecca"
"29",254753,256045,"No! Stop!","Rebecca"
"30",257214,259800,"What the devil are you shouting about?","Rebecca"
"31",262011,264637,"Who are you? What are you staring at?","Rebecca"
"32",265430,268307,"I'm sorry, I didn't mean to stare,but I... I only thought...","Rebecca"
"33",268475,271103,"Oh, you did, did you?Well, what are you doing here?","Rebecca"
"34",271271,272812,"I was only walking.","Rebecca"
"35",272980,276316,"Well, get on with your walking.Don't hang about here screaming.","Rebecca"
"36",302134,304677,"I'll never come to Monte Carloout of season again.","Rebecca"
"37",304846,308139,"Not a single well-known personalityin the hotel.","Rebecca"
"38",310310,311893,"Stone cold. Waiter!","Rebecca"
"39",312060,314771,"Garçon! Call him.Tell him to get me some...","Rebecca"
"40",315148,317149,"Why, it's Max de Winter.","Rebecca"
"41",318401,325324,"How do you do?","Rebecca"
"42",325490,328617,"I'm Edythe Van Hopper.It's so nice to run into you here,","Rebecca"
"43",328786,332331,"just when I was beginning to despair offinding any old friends here in Monte.","Rebecca"
"44",332497,334165,"But do sit down and have some coffee.","Rebecca"
"45",334334,335667,"Mr. De Winter is havingsome coffee with me.","Rebecca"
"46",335834,338295,"Go and ask that stupid waiterfor another cup.","Rebecca"
"47",338463,340338,"I'm afraid I must contradict you.","Rebecca"
"48",340505,343050,"You shall both have coffee with me.","Rebecca"
"49",343343,344843,"Garçon. Coffee, please.","Rebecca"
"50",345011,346552,"- Cigarette?- No, thank you.","Rebecca"
"51",346721,349430,"You know,I recognized you as soon as you came in,","Rebecca"
"52",349598,353560,"though I haven't seen you since thatnight at the casino at Palm Beach.","Rebecca"
"53",353853,356228,"Perhaps you don't rememberan old woman like me.","Rebecca"
"54",356396,358230,"Are you playing the tables muchhere at Monte?","Rebecca"
"55",358399,361233,"No. I'm afraid that sort of thingceased to amuse me years ago.","Rebecca"
"56",361401,362860,"I can well understand that.","Rebecca"
"57",363028,365197,"As for me, if I hada home like Manderley,","Rebecca"
"58",365365,367199,"I should certainly never come to Monte.","Rebecca"
"59",367367,369992,"I hear it's one of the biggest placesin that part of the country,","Rebecca"
"60",370161,371870,"and you just can't beat it for beauty.","Rebecca"
"61",372038,375290,"What do you think of Monte Carlo?Or don't you think of it at all?","Rebecca"
"62",375458,377709,"Well, I think it's rather artificial.","Rebecca"
"63",377877,380045,"She's spoiled, Mr. De Winter,that's her trouble.","Rebecca"
"64",380338,383089,"Most girls will give their eyesfor a chance to see Monte.","Rebecca"
"65",383382,385800,"Wouldn't that rather defeat the purpose?","Rebecca"
"66",386134,389303,"Now that we've found each other again,I hope I shall see something of you.","Rebecca"
"67",389471,391639,"You must come and have a drinkin my suite.","Rebecca"
"68",391807,393557,"I hope they've given you a good room.","Rebecca"
"69",393725,396894,"The place is empty, so if you'reuncomfortable, mind you make a fuss.","Rebecca"
"70",397062,399064,"Your valet has unpacked for you,I suppose?","Rebecca"
"71",399231,402233,"I'm afraid I don't possess one.Perhaps you would like to do it for me?","Rebecca"
"72",402776,406237,"Well, I... I hardly think...","Rebecca"
"73",406656,408447,"Perhaps you could make yourselfuseful to Mr. De Winter","Rebecca"
"74",408615,409908,"if he wants anything done.","Rebecca"
"75",410076,411909,"You're a capable child in many ways.","Rebecca"
"76",412077,415038,"That's a charming suggestion,but I'm afraid I cling to the old motto,","Rebecca"
"77",415206,419418,"""He travels fastest who travels alone.""Perhaps you've not heard it. Good night.","Rebecca"
"78",420420,422336,"What do you make of that?","Rebecca"
"79",422504,425548,"Do you suppose that sudden departurewas intended to be funny?","Rebecca"
"80",425716,428134,"Come, don't sit there gawking,let's go upstairs.","Rebecca"
"81",428302,430220,"- Have you got the key?- Yes, Mrs. Van Hopper.","Rebecca"
"82",430387,433389,"I remember, when I was younger,there was a well-known writer","Rebecca"
"83",433557,436643,"who used to dart down the back waywhenever he saw me coming.","Rebecca"
"84",436810,440439,"I suppose he was in love with meand wasn't quite sure of himself.","Rebecca"
"85",440605,442356,"Well, c'est la vie.","Rebecca"
"86",443733,446610,"By the way, my dear,don't think that I mean to be unkind,","Rebecca"
"87",446821,450031,"but you were just a teeny-weeny bitforward with Mr. De Winter.","Rebecca"
"88",450199,452701,"Your effort to enter the conversationquite embarrassed me,","Rebecca"
