"id","startTime","endTime","text","title"
"1",416700,419100,"Hello, Carol?","Repulsion"
"2",419100,420900,"This is Colin.","Repulsion"
"3",420900,421500,"H-hello?","Repulsion"
"4",422800,424000,"Carol! Carol,","Repulsion"
"5",424000,425000,"it's me!","Repulsion"
"6",428000,429000,"Carol!","Repulsion"
"7",429500,434500,"Please answe...!","Repulsion"
"8",490900,493900,"I'm running a business hereCarol, not a rest home.","Repulsion"
"9",493900,496400,"You can't just disappear for 3 days.","Repulsion"
"10",496400,497800,"Are you sure...?","Repulsion"
"11",497800,501000,"I mean...you're not in any trouble?","Repulsion"
"12",501000,502300,"No, I'm not.","Repulsion"
"13",502300,504400,"I'm really...","Repulsion"
"14",504400,508100,"But surely you could have phoned?","Repulsion"
"15",508100,509500,"Well what is it?","Repulsion"
"16",509500,511000,"Mrs. Shaw Taylor wants to see you.","Repulsion"
"17",511000,513700,"All right. I'll be with you in a minute.","Repulsion"
"18",513700,519600,"Carol, I can't help you if youwon't tell me what's the matter.","Repulsion"
"19",519600,520700,"Well...","Repulsion"
"20",521700,522300,"Hhh!","Repulsion"
"21",525400,529900,"...well, one of my auntscame to stay very suddenly...","Repulsion"
"22",531000,534900,"Oh-h. I was back at work 2 daysafter I had my first baby.","Repulsion"
"23",534900,537900,"If you're going to vanishevery time a relative appears,","Repulsion"
"24",537900,540600,"we might just as wellput up the shutters!","Repulsion"
"25",540600,542800,"I'd better go see whatthat old bitch wants.","Repulsion"
"26",542800,546800,"Now you get back to yourwork; I'll talk to you later.","Repulsion"
"27",546800,548300,"And Carol...","Repulsion"
"28",548300,554500,"- do something about your hair.- Yes, Madam.","Repulsion"
"29",600600,601300,"Out!","Repulsion"
"30",613600,617200,"I should have your luckgetting off early.","Repulsion"
"31",617200,623000,"Come on, cheer up!","Repulsion"
"32",623300,629500,"Don't look so miz!","Repulsion"
"33",630200,633600,"You know, you reallydon't look well...","Repulsion"
"34",633600,635300,"Is it a man?","Repulsion"
"35",635300,636000,"A man?","Repulsion"
"36",636100,640100,"Well, I thought maybe thatsmooth boy, what's his name,
was making you unhappy.","Repulsion"
"37",640100,643100,"You know, the one I've seen you with.","Repulsion"
"38",643100,644800,"Are you in love with him?","Repulsion"
"39",644800,647900,"I'm not in love...with anyone.","Repulsion"
"40",647900,651000,"Well, what were you upto the last three days?","Repulsion"
"41",651000,652900,"Nothing. I stayed at home.","Repulsion"
"42",652900,656000,"Oh well! That's enough todrive anyone up the wall!","Repulsion"
"43",656000,658800,"You ought to go out. Goto a movies, or something.","Repulsion"
"44",658800,661100,"- Oh I'd love to!- Well that's it then!","Repulsion"
"45",661100,661700,"Do it!","Repulsion"
"46",662200,665700,"We saw such a funny Chaplinfilm at the Classic last night.","Repulsion"
"47",665700,668400,"What was it called?","Repulsion"
"48",668400,670500,"I thought I'd die laughing!","Repulsion"
"49",670500,673000,"He was so hungry he wanted to eat his shoes.","Repulsion"
"50",673000,674600,"- No!- Yes!","Repulsion"
"51",674600,680800,"He pretended the laces were spaghetti!","Repulsion"
"52",681000,684500,"And there was this hugegreat big fat man...","Repulsion"
"53",684500,685900,"...who wanted to eat him!","Repulsion"
"54",685900,688700,"- What?! Him?- Yes!","Repulsion"
"55",688700,692800,"He wanted to eat Charlie Chaplin.","Repulsion"
"56",692800,695800,"He thought Charlie was a chicken.","Repulsion"
"57",695800,697800,"- A chicken?- Yes!","Repulsion"
"58",697800,700800,"And the chicken walkedlike Chaplin, too.","Repulsion"
"59",700800,705900,"You know...","Repulsion"
"60",706800,710100,"Roger laughed so much Iwas quite ashamed of him.","Repulsion"
"61",710100,716300,"You should see it though to cheer you up.","Repulsion"
"62",784900,788500,"Still keeping her legs crossed?","Repulsion"
"63",788500,790900,"It's getting you down, you know.","Repulsion"
"64",790900,792400,"The old, old story...","Repulsion"
"65",792400,794400,"Not till we're married, darling.","Repulsion"
"66",794400,797300,"I wouldn't waste your money.","Repulsion"
"67",797300,799400,"She seems a dead loss to me.","Repulsion"
"68",799400,801900,"I mean, don't let herbeing foreign fool you.","Repulsion"
"69",801900,804800,"They're all the same these bloodyvirgins, they just tease us, that's all.","Repulsion"
"70",804800,807800,"She seems to have old Colinnicely steamed up, though!","Repulsion"
"71",807800,809600,"She gets a big thrill out of it.","Repulsion"
"72",809600,812300,"You tell her; she'll soon strip off.","Repulsion"
"73",812300,813800,"When I want your advice I'll ask for it.","Repulsion"
"74",813800,818000,"Ah! I do believe the old lad's in love.","Repulsion"
"75",818000,822500,"- What about that, then?- Another good man gone.","Repulsion"
"76",822500,828700,"I think your friends aregoing to have to help you.","Repulsion"
"77",829200,830900,"Why don't you, um...","Repulsion"
"78",830900,832800,"take her over to Reggie's pad one evening?","Repulsion"
"79",832800,834500,"Here, steady on, John!","Repulsion"
"80",834500,836600,"Oh, Reg'll lay somethingon, won't you Reggie?","Repulsion"
"81",836600,838600,"Or on something.","Repulsion"
"82",838600,844100,"I can see the scene now.","Repulsion"
"83",844200,847900,"Sweet music, soft light, abig jug of ice gin with um...","Repulsion"
"84",847900,849600,"- orange or lemon on top of it.- Oranges.","Repulsion"
"85",849600,852100,"Tell her it's a fruit cup, and 3 ofthe most eligible bachelors in London.","Repulsion"
"86",852100,854900,"Here I'm getting excited already!","Repulsion"
"87",854900,856600,"The end of the evening,she'll be begging for it.","Repulsion"
"88",856600,858500,"You'll soon be able to stop twitching.","Repulsion"
"89",858500,862600,"- She'll weep with gratitude.- Here, maybe we will too.","Repulsion"
"90",862600,864300,"Maybe you want your face pushed in?","Repulsion"
"91",864300,868700,"- Here, take your hands off me!- Colin, for heaven's sake!","Repulsion"
"92",868700,871900,"Relax! Take a joke.Hit me, or something.","Repulsion"
"93",871900,875200,"Now look boy, you've got it bad!","Repulsion"
"94",875200,878500,"You see? He's beenin the sun too long!","Repulsion"
"95",878500,880300,"Look, it was only a joke.","Repulsion"
"96",880300,884300,"There's no need to bloodywell start going on like
Cassius Clay all over the place!","Repulsion"
"97",884300,886500,"A joke, boy. Joke!","Repulsion"
"98",886500,888000,"Fellas-fellas, please!","Repulsion"
"99",888000,891500,"If you go on like this, you'llbe old before your time.","Repulsion"
"100",891500,899100,"Look. Relax, take it easy, enjoy life!","Repulsion"
"101",1086600,1087200,"Carol?","Repulsion"
"102",1090000,1090700,"Carol!","Repulsion"
"103",1116000,1119300,"There's somebody there,I can see your shadow!","Repulsion"
"104",1119300,1125700,"What's the matter? I just wantto talk with you, that's all!","Repulsion"
"105",1125700,1126500,"Carol!","Repulsion"
"106",1129400,1131800,"If you don't open the doorI'll bloody well break it down!","Repulsion"
"107",1131800,1132400,"No!","Repulsion"
"108",1133500,1134100,"What?","Repulsion"
"109",1137500,1139100,"[Thud]","Repulsion"
"110",1183100,1183900,"I'm sorry.","Repulsion"
"111",1186900,1187800,"I'm sorry.","Repulsion"
"112",1192300,1197800,"It's all so sordid.","Repulsion"
"113",1202900,1207400,"What's-what's the matter?","Repulsion"
"114",1207400,1208200,"I'm sorry.","Repulsion"
"115",1208800,1209500,"I just...","Repulsion"
"116",1210000,1212600,"I had to see you, that's all.","Repulsion"
"117",1212600,1219300,"Honestly, it's been somiserable without you.","Repulsion"
"118",1221500,1224500,"I phoned and phoned!","Repulsion"
"119",1224500,1230800,"The ringing tone nearly drove me mad.","Repulsion"
