"id","startTime","endTime","text","title"
"1",17675,20929,"Juice by Tappy,Juice by Tappy,","Requiem for a Dream"
"2",24974,26935,"Oooh, Tappy!","Requiem for a Dream"
"3",27977,31940,"Juice! Juice! Juice! Juice!","Requiem for a Dream"
"4",31981,33942,"Juice by you. Juice by you.","Requiem for a Dream"
"5",33983,36945,"Juice! Juice by you!","Requiem for a Dream"
"6",36986,38947,"Thank you, Thank you,","Requiem for a Dream"
"7",38988,39948,"Thank you,","Requiem for a Dream"
"8",39989,42951,"-We got a winner,-We got a winner!","Requiem for a Dream"
"9",42992,45954,"-I said we got a winner,-We got a winner!","Requiem for a Dream"
"10",45995,47956,"-We got a winner!-We got a winner!","Requiem for a Dream"
"11",47997,50959,"Our first winner is a flightattendant from Washington, D, C,","Requiem for a Dream"
"12",51000,52961,"Will you pleaseweIcome Mary Kellington,","Requiem for a Dream"
"13",53002,55964,"Juice by Mary! Juiceby Mary! Juice by Mary!","Requiem for a Dream"
"14",57006,60885,"Harold please,not again the TV.","Requiem for a Dream"
"15",60969,62887,"Aw ma. Come on, ma.","Requiem for a Dream"
"16",62971,64889,"Why do you have to make sucha big deal out of this, ma?","Requiem for a Dream"
"17",64973,67892,"You know you'll get the setback in a couple of hours.","Requiem for a Dream"
"18",69936,72897,"Why ya gotta makeme feel so guilty?","Requiem for a Dream"
"19",79946,81906,"What are you trying to do?","Requiem for a Dream"
"20",81990,84909,"You trying to get me tobreak my own mother's set?","Requiem for a Dream"
"21",84993,86327,"Or break the radiator?","Requiem for a Dream"
"22",86369,88913,"And maybe blow upthe whole house, ma.","Requiem for a Dream"
"23",88997,90915,"Your own son, your ownflesh and blood, ma?","Requiem for a Dream"
"24",90999,92917,"ls that what you're tryingto do? Your own son?","Requiem for a Dream"
"25",95962,98923,"Why do you always gottaplay games with my head?","Requiem for a Dream"
"26",99007,100925,"Harold, I wouldn't do that.","Requiem for a Dream"
"27",101968,103928,"The chain isn't for you.","Requiem for a Dream"
"28",104971,106931,"It's for the robbers.","Requiem for a Dream"
"29",107015,108933,"Then why won'tyou come out?","Requiem for a Dream"
"30",112979,116941,"See what I mean? See how youalways gotta upset me ma?","Requiem for a Dream"
"31",130914,132916,"Ma...","Requiem for a Dream"
"32",133917,135919,"Ma...","Requiem for a Dream"
"33",137921,140924,"C'mon out? Please ma.","Requiem for a Dream"
