"id","startTime","endTime","text","title"
"1",53052,54787,"Nick, be good.","Ride Along 2"
"2",54820,56790,"Ladies, are wehaving a good time?","Ride Along 2"
"3",59991,63195,"Shayla, you know you'remy brown sugar Barbie.","Ride Along 2"
"4",63229,65465,"And you'remy Asian daddy.","Ride Along 2"
"5",65498,67268,"You're a naughty girl,Shayla.","Ride Along 2"
"6",67299,68968,"-Wait. I'll be right back.-Don't tease me.","Ride Along 2"
"7",69001,70103,"You ready?","Ride Along 2"
"8",70105,71204,"My God.","Ride Along 2"
"9",71236,74073,"Okay, jus... Yes. Yes.","Ride Along 2"
"10",74105,78144,"Bounce the mouse, big daddy!Bounce the mouse! Spank me!","Ride Along 2"
"11",78176,80947,"You are the nastiestof all girls.","Ride Along 2"
"12",80980,82448,"-Cool.-Damn it.","Ride Along 2"
"13",82480,84349,"Hold that thought.I gotta go. Screen shot.","Ride Along 2"
"14",89222,91557,"-Looking good.-We call those ""ladies.""","Ride Along 2"
"15",91591,94828,"But of course, you wouldn't know thatbecause you've never been with one before.","Ride Along 2"
"16",94861,96530,"Come on, man.","Ride Along 2"
"17",96561,100334,"That old hackers being nerdscliché, that's pretty dated now.","Ride Along 2"
"18",100366,102335,"I do a'ight.","Ride Along 2"
"19",104270,107206,"Okay, the encoded cell phoneis nearly done.","Ride Along 2"
"20",107240,111176,"And all I gots to do is slapa little Bone Machine on it.","Ride Along 2"
"21",111210,113346,"Stop talking.Just get me a secure line.","Ride Along 2"
"22",113379,116283,"And stop speaking to meas if I care.","Ride Along 2"
"23",116314,119117,"There you go.","Ride Along 2"
"24",119151,122388,"God, I hate you so much.","Ride Along 2"
"25",122421,125391,"Eavesdropping here.","Ride Along 2"
"26",131597,133366,"It's Griffin.","Ride Along 2"
"27",133399,137469,"You owe me a million dollarsand a sincere apology.","Ride Along 2"
"28",137503,139873,"Antonio.What are you talking about?","Ride Along 2"
"29",139906,144544,"In the language of bribes, takingthe money equals ""I accept.""","Ride Along 2"
"30",144576,148480,"I see that you took the money,so we have an implied agreement.","Ride Along 2"
"31",148514,152317,"The commissioner of portsis a team player. Yay!","Ride Along 2"
"32",152350,155655,"Then my shipment gets busted?Come on. Boo.","Ride Along 2"
"33",155688,159192,"Your shipment was held up 'cause I didn'tget the money. Thought you called it off.","Ride Along 2"
"34",159225,162462,"-You had a job to do.-I have a job to do when I get my...","Ride Along 2"
"35",164163,166231,"Is my guy there?Tell him to wait.","Ride Along 2"
"36",166265,168935,"Wait! He said wait.Antonio, listen, please.","Ride Along 2"
"37",168968,172138,"-If I knew the deal was still on, I would...-Put it on speaker, please.","Ride Along 2"
"38",174006,177143,"There. Now I feel likeI'm participating.","Ride Along 2"
"39",177176,180614,"Now... go for it.","Ride Along 2"
"40",184483,186419,"ANTONIO: So, if hedidn't get the money,","Ride Along 2"
"41",186451,190056,"find out who in my organizationstole from me and kill them.","Ride Along 2"
"42",190088,192092,"Shit.","Ride Along 2"
"43",196128,199199,"Now, my little lovely,where were we?","Ride Along 2"
"44",240239,242542,"I got my eyeon our man, Troy.","Ride Along 2"
"45",242575,246546,"That's the biggest MCAT dealersouth of Knoxville right there.","Ride Along 2"
"46",246579,249682,"We got 100Kin impound cash","Ride Along 2"
"47",249715,254020,"and a lieutenantwith real trust issues.","Ride Along 2"
"48",254054,255521,"This could get interesting.","Ride Along 2"
"49",255555,257391,"Ready, partner?","Ride Along 2"
"50",257423,259992,"All day, every day.","Ride Along 2"
"51",260026,262028,"Twice on Sundays.","Ride Along 2"
"52",263764,267567,"Stay frosty out there, Mayfield.This guy can be trigger happy.","Ride Along 2"
"53",267600,270771,"Don't worry.I got your back.","Ride Along 2"
"54",270802,273538,"MAN: I got your back too, James.Way before he had your back.","Ride Along 2"
