"id","startTime","endTime","text","title"
"1",25960,28121,"They told me you are the man.","Ride Along"
"2",28280,30361,"They said that this guycan move anything.","Ride Along"
"3",33600,34600,"They said that?","Ride Along"
"4",34759,35761,"Yeah.","Ride Along"
"5",35920,37125,"I am the man.","Ride Along"
"6",42039,43804,"USA passport.","Ride Along"
"7",44880,46484,"The most valuablepiece of paper","Ride Along"
"8",46640,48210,"in the world andwe make it our own.","Ride Along"
"9",48399,49765,"That shit's artisanal.","Ride Along"
"10",50119,52121,"I'll be the judge of that.","Ride Along"
"11",55439,56441,"Not bad.","Ride Along"
"12",57560,60325,"What about Omar?The friendly ghost?","Ride Along"
"13",60960,62724,"He ain't gonna cutyour head off for this?","Ride Along"
"14",62880,64120,"I know he owns the city.","Ride Along"
"15",64319,66971,"Omar signed off personally.","Ride Along"
"16",69319,73006,"I don't know who you think you'rebullshitting, but it ain't me.","Ride Along"
"17",75799,77245,"Calling me a liar?","Ride Along"
"18",77920,79763,"With guns on your face?","Ride Along"
"19",80799,82688,"You crazy you don't trust me.","Ride Along"
"20",83280,85088,"Let me explainsomething to you.","Ride Along"
"21",85519,87682,"There's not a lot inthis world that I love,","Ride Along"
"22",87760,91730,"but the shit that I love,I don't trust with nobody.","Ride Along"
"23",92159,93685,"I'll buy 50 now","Ride Along"
"24",94159,98370,"and 500 after Omarlooks me in my eye","Ride Along"
"25",98520,101921,"and lets me know he's not goingto kill me over this deal.","Ride Along"
"26",102120,104201,"Is that somethingyou can arrange?","Ride Along"
"27",104799,106688,"Or is it more bullshit?","Ride Along"
"28",113319,114685,"You're crazy, bro.","Ride Along"
"29",114920,116728,"Yeah, I am crazy,","Ride Along"
"30",117280,118849,"but in a good way.","Ride Along"
"31",141560,142686,"Shit!","Ride Along"
"32",149560,151641,"Everybody down! Atlanta PD!","Ride Along"
"33",153400,154366,"There!","Ride Along"
"34",154439,155850,"Shit!","Ride Along"
"35",168599,169885,"Freeze!","Ride Along"
