"id","startTime","endTime","text","title"
"1",283341,285052,"Joe, you're under arrest.","Rio Bravo"
"2",285343,287928,"Maybe so, but don't turn around, Sheriff.","Rio Bravo"
"3",288512,290514,"Now what're you going to do, Sheriff?","Rio Bravo"
"4",299191,301442,"You can do just about what you want, Chance.","Rio Bravo"
"5",304612,306615,"Anybody else you want besides Joe?","Rio Bravo"
"6",309242,310076,"No.","Rio Bravo"
"7",311536,312870,"Give me a hand.","Rio Bravo"
"8",363129,365214,"- What is all this?- Hello, Mr. Wheeler.","Rio Bravo"
"9",365298,368384,"Tell your men to stay with the wagonstill they're told different.","Rio Bravo"
"10",368468,370971,"Who the devil do you think you're orderingaround here?","Rio Bravo"
"11",371053,374432,"First Burdette's men stop meand now you stand there and try...","Rio Bravo"
"12",375641,379062,"- Say, seems like I ought to know you.- Think you do, Mr. Wheeler.","Rio Bravo"
"13",379521,381523,"Yeah, I remember you now.","Rio Bravo"
"14",382149,385067,"That star you're wearingkind of threw me off for a minute.","Rio Bravo"
"15",385151,388322,"Aren't you the fellowthe Mexicans used to call borrachín?","Rio Bravo"
"16",388988,391408,"That's nearly right. Only it's borrachón.","Rio Bravo"
"17",391490,394411,"I don't think I've ever seen youlike this before.","Rio Bravo"
"18",395202,397997,"You mean sober? You're probably right.","Rio Bravo"
"19",398081,399750,"You know what borrachón means?","Rio Bravo"
"20",399832,401793,"My Spanish ain't too good.","Rio Bravo"
"21",401877,403420,"It means drunk.","Rio Bravo"
"22",403836,407007,"Now if the name bothers you,they used to call me ""Dude.""","Rio Bravo"
"23",407507,409884,"Now are you goingto tell your men or do I?","Rio Bravo"
"24",410552,412178,"I'll tell my men.","Rio Bravo"
"25",417683,419937,"Stand by the wagons, everybody!","Rio Bravo"
"26",420478,421730,"Pass the word.","Rio Bravo"
"27",454053,455764,"Chance, what's going on here?","Rio Bravo"
"28",455846,459100,"People stopping me. Everybody telling mewhat I can and can't do.","Rio Bravo"
"29",459183,461394,"Next thing, you'll be telling me what to do.","Rio Bravo"
"30",461478,463146,"- Pat, I will tell you.- What?","Rio Bravo"
"31",463230,465691,"- Stop your wagons.- I give up.","Rio Bravo"
"32",469778,473615,"Now don't tell me what's going on.Just leave me wandering around in the fog.","Rio Bravo"
"33",473699,476659,"I like it. I'm getting used to it.It makes me feel so good.","Rio Bravo"
"34",476742,479454,"You better look out, Pat,you'll blow up and bust.","Rio Bravo"
"35",479538,482833,"Listen, Chance, remember me?Your old friend Pat Wheeler.","Rio Bravo"
