"id","startTime","endTime","text","title"
"1",37286,38755,"Darkness.","Rise of the Guardians"
"2",39789,42134,"That's the first thing I remember.","Rise of the Guardians"
"3",43752,46801,"It was dark, and it was cold.","Rise of the Guardians"
"4",47756,49302,"And I was scared.","Rise of the Guardians"
"5",53512,55014,"But then,","Rise of the Guardians"
"6",55680,57478,"then I saw the moon.","Rise of the Guardians"
"7",58140,61862,"It was so big and it was so bright.","Rise of the Guardians"
"8",61978,64573,"It seemed to chase the darkness away.","Rise of the Guardians"
"9",69152,70653,"And when it did,","Rise of the Guardians"
"10",71862,73864,"I wasn't scared anymore.","Rise of the Guardians"
"11",81873,84876,"Why I was thereand what I was meant to do,","Rise of the Guardians"
"12",86043,87716,"that I've never known.","Rise of the Guardians"
"13",89463,92182,"And a part of me wonders if I ever will.","Rise of the Guardians"
"14",183265,185143,"Hello. Hello.","Rise of the Guardians"
"15",185602,187945,"Good evening, ma'am. Ma'am?","Rise of the Guardians"
"16",188104,190858,"Oh, uh, excuse me.Can you tell me where I am?","Rise of the Guardians"
"17",198323,199449,"Hello?","Rise of the Guardians"
"18",199990,202789,"My name is Jack Frost.","Rise of the Guardians"
"19",203787,205288,"How do I know that?","Rise of the Guardians"
"20",205955,207957,"The moon told me so.","Rise of the Guardians"
"21",209000,211343,"But that was all he ever told me.","Rise of the Guardians"
"22",212295,216300,"And that was a long, long time ago.","Rise of the Guardians"
"23",242575,245419,"Still waiting for cookies!","Rise of the Guardians"
"24",258341,260093,"Yes!","Rise of the Guardians"
"25",260843,262516,"Ah, finally!","Rise of the Guardians"
"26",264514,266437,"Mmm! Mmm.","Rise of the Guardians"
"27",281072,283790,"How many timeshave I told you to knock?","Rise of the Guardians"
"28",283949,285872,"- What?","Rise of the Guardians"
"29",286036,287082,"The Globe?","Rise of the Guardians"
"30",289038,291292,"Shoo with your pointy heads.","Rise of the Guardians"
"31",291415,294134,"Why are you always under boot?","Rise of the Guardians"
"32",303637,304980,"What is this?","Rise of the Guardians"
"33",308141,310564,"Have you checked the axis?Is rotation balanced?","Rise of the Guardians"
"34",340090,341932,"Can it be?","Rise of the Guardians"
"35",342591,343639,"Dingle!","Rise of the Guardians"
"36",344261,345853,"Make preparations.","Rise of the Guardians"
"37",346012,348014,"We are going to have company.","Rise of the Guardians"
"38",371454,373000,"Eighteen central incisors.","Rise of the Guardians"
"39",373122,376218,"Moscow, sector 9.22 incisors, 18 premolars.","Rise of the Guardians"
"40",376959,378040,"Uh-oh. Heavy rain advisory.","Rise of the Guardians"
"41",378043,380843,"Des Moines, we've got a cuspedat 23 Maple. Head out!","Rise of the Guardians"
