"id","startTime","endTime","text","title"
"1",144895,147813,"Can somebodytell me what's going on?","Robin Hood"
"2",147813,149689,"Don't be foolish, Walter.Get him back to bed.","Robin Hood"
"3",149689,151400,"Bar the door. I'm stillthe master of this house.","Robin Hood"
"4",151400,152901,"Richard, up.","Robin Hood"
"5",155572,157073,"Who is there?","Robin Hood"
"6",157615,158740,"Wake up, Thomas.","Robin Hood"
"7",164413,165914,"Open the gates!","Robin Hood"
"8",175634,176925,"Bastards.","Robin Hood"
"9",177760,178927,"Arrow.","Robin Hood"
"10",183015,184432,"The lantern.","Robin Hood"
"11",195111,196945,"I see you,you little bastards.","Robin Hood"
"12",197573,198781,"I see you!","Robin Hood"
"13",211627,213295,"Thieving maggots.","Robin Hood"
"14",213796,216173,"They've takenall our seed grain.","Robin Hood"
"15",216966,219551,"What are we goingto do for planting?","Robin Hood"
"16",220387,221469,"Pray.","Robin Hood"
"17",286286,287745,"Hello, there!","Robin Hood"
"18",300841,301884,"Here you go, lad.","Robin Hood"
"19",301884,303386,"Thank you, Robin.","Robin Hood"
"20",303595,304762,"Robin.","Robin Hood"
"21",305514,306889,"The archers beencalled to ranks.","Robin Hood"
"22",306889,308848,"Bloody typical.I'm starving.","Robin Hood"
"23",310060,311101,"Hide these well.","Robin Hood"
"24",311853,314355,"We'll have themfor supper instead.","Robin Hood"
"25",331038,332122,"Sire.","Robin Hood"
"26",333331,335042,"Your bath, Sire.","Robin Hood"
"27",353019,355646,"For the love of Christ, Loxley,would you stop them doing that!","Robin Hood"
"28",355646,357273,"They love you, Sire.","Robin Hood"
"29",357273,359942,"My head. It's goinglike the bells of hell.","Robin Hood"
"30",362819,363987,"Is that it?","Robin Hood"
"31",363987,368451,"One more castle to sack,then we're home to England.","Robin Hood"
"32",370786,371870,"Hail King Richard!","Robin Hood"
"33",377127,378334,"Release!","Robin Hood"
"34",378752,380002,"Push!","Robin Hood"
"35",383841,385259,"Hey, archer!","Robin Hood"
"36",385634,386886,"Stay alive!","Robin Hood"
"37",386886,388178,"I'll see you tonight.","Robin Hood"
"38",388471,390305,"Don't forget your moneythis time, little man.","Robin Hood"
"39",390305,392557,"It will be my pleasureto take it off you.","Robin Hood"
"40",394310,395394,"Push!","Robin Hood"
"41",400108,401317,"Move up!","Robin Hood"
"42",406865,408949,"Cover theKing! Cover the King!","Robin Hood"
"43",412829,414954,"Barricades prepare!","Robin Hood"
"44",423757,425798,"Let us put theseFrench to bed!","Robin Hood"
"45",430221,432305,"Raise the barricades!","Robin Hood"
"46",445235,446487,"Jimmy.","Robin Hood"
"47",446987,448822,"Calm and careful.Make it count.","Robin Hood"
"48",449115,450156,"Go!","Robin Hood"
"49",472930,474014,"Help!","Robin Hood"
"50",475558,476558,"Cover!","Robin Hood"
"51",488697,489779,"Now.","Robin Hood"
"52",493201,494242,"Go!","Robin Hood"
"53",503545,504877,"Move back!","Robin Hood"
"54",506338,508048,"Blood for France!","Robin Hood"
"55",509884,510884,"Go!","Robin Hood"
"56",512345,514221,"Lt'll make a finepin cushion!","Robin Hood"
"57",514221,516347,"King Philip's arse!","Robin Hood"
"58",530488,536243,"Look what they dofor the Lion Heart!","Robin Hood"
"59",539163,540246,"Push!","Robin Hood"
"60",540624,541664,"Push!","Robin Hood"
"61",542333,545336,"That'll burn all night, lads.Don't let them put it out.","Robin Hood"
"62",545336,548880,"These pricks will smash through inthe morning, take all the credit.","Robin Hood"
"63",548880,550506,"Well done, Jimmy boy.","Robin Hood"
"64",571613,572821,"John...","Robin Hood"
"65",572821,574365,"Your Majesty.","Robin Hood"
"66",574990,578034,"An English princess shut outof her husband's bedchamber","Robin Hood"
"67",578034,580245,"by a piece ofFrench pastry!","Robin Hood"
"68",580245,581871,"Aren't you ashamed?","Robin Hood"
"69",581871,583790,"The shame is surely his.","Robin Hood"
"70",583790,585875,"Then go in and tell him.","Robin Hood"
"71",585875,589587,"Mewling at his keyhole isneither one thing nor the other.","Robin Hood"
"72",590715,591798,"John.","Robin Hood"
"73",597221,598971,"Oh, God!What in heaven...","Robin Hood"
"74",598971,601265,"Mademoiselle,you will excuse me.","Robin Hood"
"75",601265,603394,"My son has needof my advice.","Robin Hood"
"76",603394,605269,"No, I don't. Ask her.","Robin Hood"
"77",607313,609066,"Mother, please,have you no decency?","Robin Hood"
"78",609066,613736,"I happen to be in a condition thatno mother should see her son in.","Robin Hood"
"79",617575,619283,"Yes, I know,but it's my mother.","Robin Hood"
"80",619283,620411,"That's enough.","Robin Hood"
"81",620411,621912,"On second thoughts,","Robin Hood"
"82",621912,625206,"I think it better that youdo hear what I have to say.","Robin Hood"
"83",625206,628126,"Though I will not haveyou in my presence.","Robin Hood"
"84",628836,629836,"Mother.","Robin Hood"
"85",629836,633798,"The purpose of my being inthis room is to save the realm","Robin Hood"
"86",633798,637970,"from the consequencesof this unsuitable amusement.","Robin Hood"
"87",637970,640764,"Her uncle is thebloody King of France.","Robin Hood"
"88",641849,643892,"My uncle is...Get down.","Robin Hood"
"89",644644,646644,"Her uncle wants her back.","Robin Hood"
"90",647062,650399,"Philip wants anexcuse to cross","Robin Hood"
"91",652777,654570,"the Channel with an army.","Robin Hood"
"92",654570,657239,"And you have givenhim that excuse.","Robin Hood"
"93",658198,661159,"Take up your lawful wifeand save England.","Robin Hood"
"94",661159,664913,"My lawful wife isas barren as a brick.","Robin Hood"
"95",665248,667957,"Is that truly the wifeyou want for me?","Robin Hood"
"96",668375,669543,"Hmm?","Robin Hood"
"97",669543,672921,"You, who honored yourhusband with eight children","Robin Hood"
"98",672921,675548,"so that even now whendeath has taken the rest","Robin Hood"
"99",675548,680596,"you have a king and the runt ofthe litter to call you ""Mother.""","Robin Hood"
"100",681096,683347,"Better the bastardof a servant girl","Robin Hood"
"101",683347,685975,"than bed the nieceof England's jealous enemy.","Robin Hood"
"102",685975,688644,"Or bed herand wed her, Mother.","Robin Hood"
"103",688644,691355,"I've asked the Pope's mento arrange an annulment.","Robin Hood"
"104",691355,693192,"And do you think the Pope","Robin Hood"
"105",693192,696861,"will favor England's royalrunt over the King of France?","Robin Hood"
"106",696861,700072,"He might see his way for theson of Eleanor of Aquitaine.","Robin Hood"
"107",700072,702533,"And for the futureKing of England.","Robin Hood"
"108",702533,706413,"Richard the Lion Heart is40 years old, if not more.","Robin Hood"
"109",707706,709207,"And no babies.","Robin Hood"
"110",710418,712503,"I am a queenin the making.","Robin Hood"
