"id","startTime","endTime","text","title"
"1",36360,38316,"(crowd shouting)","Rocky"
"2",66160,68310,"(booing)","Rocky"
"3",75440,77431,"Come on! Hit 'im! Hit 'im!","Rocky"
"4",89480,91436,"(bell)","Rocky"
"5",99960,103430,"You're waltzin'.Give the sucker some action.","Rocky"
"6",103560,106279,"You're fightin' like a bum.Want some advice?","Rocky"
"7",106400,108356,"Water!","Rocky"
"8",110560,112835,"Should I bet the fightdon't go three rounds?","Rocky"
"9",112960,116270,"- You feel strong?- Absolutely.","Rocky"
"10",116400,119198,"You want some good advice?Keep moving.","Rocky"
"11",124160,125832,"(bell)","Rocky"
"12",125960,127916,"(crowd shouting)","Rocky"
"13",162000,163956,"(booing)","Rocky"
"14",165320,167151,"Give him one!","Rocky"
"15",177320,179276,"(bell)","Rocky"
"16",183440,185590,"(cheering and applause)","Rocky"
"17",196200,197394,"(bell)","Rocky"
"18",197520,199829,"All right, all right!","Rocky"
"19",199960,203350,"Next a six-rounderbetween local lightweights...","Rocky"
"20",203480,205516,"...Kid Brooks and Sugar Johnson!","Rocky"
"21",217400,218958,"- Hey.- Hey, what?","Rocky"
"22",219080,222038,"- You got a smoke?- Yeah, you can have this one.","Rocky"
"23",222720,224676,"(man in crowd) You're a bum!","Rocky"
"24",224800,227758,"You're a bum!You know that? You're a bum!","Rocky"
"25",252880,254677,"Hey...","Rocky"
"26",254800,256870,"You really got lucky tonight.","Rocky"
"27",257000,261118,"Spider, you get loser's share:$40, less $15 locker and cornerman...","Rocky"
"28",261240,265756,"...$5 shower and towel,7% tax. Comes to 17.20.","Rocky"
"29",265880,268269,"You fought a good fight, Spider.","Rocky"
"30",268400,272552,"Balboa, you get winner's share:$65, less $15 locker and cornerman...","Rocky"
"31",272680,275399,"...$5 shower and towel and 7% tax.","Rocky"
"32",275520,277875,"Comes to 40.55.","Rocky"
"33",278720,282679,"- When do I fight again?- Maybe two weeks. Gimme a call.","Rocky"
"34",282800,285758,"The doctor should be inin about 20 minutes.","Rocky"
"35",306400,308755,"(whistles a tune)","Rocky"
"36",316880,319235,"(whistles to dogs)","Rocky"
"37",320120,322475,"Here, boy. Here, boy.","Rocky"
"38",344120,345519,"# Take you back","Rocky"
"39",345640,347915,"# Doo doo do-doo, take you back","Rocky"
"40",348680,351638,"- # Doo doo do-doo- # I said I've been told by","Rocky"
"41",351760,355514,"# Doo doo do-dooSome people and they all","Rocky"
"42",355640,357551,"# Said take you back","Rocky"
"43",357680,361798,"# Doo doo do-dooTake you back like before","Rocky"
"44",361920,365390,"# But I don't call it a reason","Rocky"
"45",365520,369513,"# I just call it believin' in myself","Rocky"
"46",369640,371949,"# Doo doo do-doo, do-do-doo","Rocky"
"47",372600,374795,"# Doo doo do-doo, push me back","Rocky"
"48",374920,377957,"You guys are gettin' better every year,you know that?","Rocky"
"49",378080,380036,"Yeah!","Rocky"
"50",382800,385314,"# What I saw before","Rocky"
"51",385440,389069,"# I squeezed you then I held you","Rocky"
"52",389200,392670,"# But I could not tell you I loved you","Rocky"
"53",393320,395595,"# Doo doo do-doo, take you back","Rocky"
"54",396240,398595,"- # Doo doo do-doo- # Well, you put me down","Rocky"
"55",399280,402750,"# Doo doo do-dooYou put me down real nice","Rocky"
"56",403480,405072,"# This love affair","Rocky"
"57",405200,408715,"# Doo doo do-dooIs takin' the largest slice","Rocky"
"58",408840,412310,"# From my life, as I sing...","Rocky"
"59",448320,451153,"Hey! Your old mandid pretty good tonight.","Rocky"
"60",451280,455637,"Why weren't you there, huh? You shouldaseen me. You guys hungry? No?","Rocky"
"61",458120,460076,"Here you go.","Rocky"
"62",460600,462556,"Here you go.","Rocky"
"63",464400,467153,"You wanna seeyour friend Moby Dick, huh?","Rocky"
"64",470080,473755,"How you doin', Moby Dick?You miss me today or what, huh?","Rocky"
"65",474680,476557,"Huh?","Rocky"
"66",476680,482118,"Here you go. Say hi. If you could sing ordance, I wouldn't be doin' this, you know?","Rocky"
"67",497880,500952,"And this turtle food I got here, it's uh...","Rocky"
"68",502320,505949,"This turtle food, gotta add more flies in.There are more moths in it.","Rocky"
"69",506080,509516,"More flies... More moths...Who the hell cares?","Rocky"
"70",586720,589154,"How you feelin' this mornin'? Full of life?","Rocky"
"71",589280,592670,"- Fine.- Hey, how you doin', killer?","Rocky"
"72",592800,596236,"- How's the turtle food this week?- Fine.","Rocky"
"73",596360,599193,"- Me, I'm kinda aggravated, you know?- Oh, I'm sorry.","Rocky"
"74",599320,603677,"- Ain't your fault. Wanna hear about it?- I'll tell you somebody who don't.","Rocky"
"75",603800,605631,"How you doin', Gloria?","Rocky"
"76",605760,609435,"The last turtle food I got herehad more moths in it than flies.","Rocky"
"77",609720,612075,"The moths get caughtin the turtles' throats.","Rocky"
"78",612200,616398,"They cough and I smack 'em on the backof the shell. What do you think they get?","Rocky"
"79",616520,619080,"And they get what, huh?","Rocky"
"80",620120,623874,"Come on... Shell-shocked.They get shell-shocked.","Rocky"
"81",624000,628516,"- Startin' with the bad jokes early, huh?- Inventin' jokes ain't so easy sometimes.","Rocky"
"82",628640,630596,"- That wasn't a joke.- (barking)","Rocky"
"83",630720,633029,"How's my buddy doin' today? Yo, Butkus!","Rocky"
"84",633160,635913,"- I ain't had time to check 'im.- Yo, Butkus!","Rocky"
"85",638240,640356,"(Rocky howls)","Rocky"
"86",643560,648236,"Adrian, I want you to go downstairs andclean all the cat cages. They're a mess.","Rocky"
"87",661320,664039,"You gotta pay for thatturtle food, Rock-head.","Rocky"
"88",664240,668153,"Hey, crime don't pay.You know that, Gloria. You know that.","Rocky"
"89",690840,692990,"- Yo, Rock, how's your boss?- Real good.","Rocky"
"90",693120,695395,"- You fightin' again?- Yeah, here and there.","Rocky"
"91",695520,699229,"- We'll make some money real soon, huh?- Yeah, a million dollars.","Rocky"
"92",699360,701510,"Hey, you! Where you goin'?","Rocky"
"93",707040,709838,"Where you goin'? Huh?Where you runnin'?","Rocky"
"94",709960,711552,"Hey! Hey!","Rocky"
"95",713360,716796,"- Don't hit the face!- Shut up! Mr Gazzo wants the 200 now.","Rocky"
"96",716920,717875,"I'm broke!","Rocky"
"97",718000,721037,"Mr Gazzo says I should get the 200or break your thumb.","Rocky"
"98",721160,724596,"- Please! Please! Don't break my...- What's your name again?","Rocky"
"99",724720,727439,"- Bob!- Listen, Bob...","Rocky"
"100",728600,731034,"You wanna dance,you gotta pay the band.","Rocky"
"101",731160,733310,"You wanna borrow,you gotta pay the man.","Rocky"
"102",733440,738070,"Hey, I ain't emotionally involved, Bob,you understand? Gimme some money.","Rocky"
"103",738200,740475,"Gimme some money. Come on.","Rocky"
"104",743640,747030,"- There's 130 here.- That's it. I'm broke.","Rocky"
"105",747160,748957,"Hey, Bob. Hey, hey.","Rocky"
"106",749080,751036,"You're still $70 light.","Rocky"
"107",751160,756075,"You don't have to break nothin'. Here,take my coat. It's worth 50, 60 dollars.","Rocky"
"108",756200,758919,"Here, take the coat. Take the coat!","Rocky"
"109",759040,761918,"- Be smart.- You shoulda planned ahead, you know?","Rocky"
"110",762040,764600,"- You shoulda planned ahead.- I'll tape up the hand!","Rocky"
"111",764720,767871,"- You shoulda planned ahead.- Gazzo won't have to know!","Rocky"
"112",768000,771675,"He won't be wise to nothin'.Gazzo won't be wise to nothin'!","Rocky"
"113",772720,774676,"He won't...","Rocky"
"114",801440,805228,"He only had 130, but I think he'sgood for the rest next week, Mr Gazzo.","Rocky"
"115",805360,807715,"Sure, Rocky. Bob's good for it.","Rocky"
"116",808960,812999,"That's it for today.Tomorrow collect from Del Rio.","Rocky"
"117",813120,817477,"- He's late three weeks and I don't like it.- Tomorrow, three weeks, Del Rio.","Rocky"
"118",817600,819716,"I got it. How do you spell Del Rio?","Rocky"
"119",819840,821876,"- How'd you do last night?- Real good.","Rocky"
"120",822000,825913,"- Hey, did you get the licence number?- Of what?","Rocky"
"121",826040,829999,"- The truck that run over your face.- Relax, buddy. Pull it over here.","Rocky"
"122",830120,833032,"I wanna let Rocky out,then I'm gonna talk to him.","Rocky"
"123",855240,857196,"How come you didn't break his thumb?","Rocky"
"124",857320,859515,"- How do you know I didn't?- I hear things.","Rocky"
"125",859640,861949,"- Did I give you a job this mornin'?- Yeah.","Rocky"
"126",862080,864116,"So why didn't you break his thumb?","Rocky"
"127",864240,867915,"When you don't do what I tell you to do,you make me look bad, Rock.","Rocky"
"128",868040,872670,"I figured... Look, if I break the guy'sthumb, he gets laid off, right? He can't...","Rocky"
"129",872800,877351,"Well, let me do the figurin', OK, Rock?From here on, just let me do the figurin'.","Rocky"
"130",877480,881359,"These guys think we're runnin'a charity and they're gonna get off light.","Rocky"
"131",881480,883835,"From here on in,do what I tell you to do...","Rocky"
"132",883960,888317,"...because it's bad for my reputation,you understand? You got it, Rock?","Rocky"
"133",889240,891196,"I got it.","Rocky"
"134",893080,895310,"Hey, how do you spell Del Rio?","Rocky"
"135",895440,897749,"- Look in a dictionary, Rock!- Come on!","Rocky"
"136",897880,901509,"Hey, I won't let that happen no more -about the thumb.","Rocky"
"137",902760,905035,"You know?","Rocky"
"138",905160,907390,"So long, meatbag.","Rocky"
"139",909440,912000,"I shoulda broke your thumbs!","Rocky"
"140",939960,943669,"- I heard you did real good last night.- Absolutely. You shoulda seen me.","Rocky"
"141",943800,946268,"- You oughta take a rest.- No, my back is hurtin'.","Rocky"
"142",946400,948994,"- Your back?- My back is hurtin'. You deaf?","Rocky"
"143",949120,950917,"No, I'm short.","Rocky"
"144",1007560,1011712,"Hey, yo, Mike. Where's my lock?Whose stuff is this in my locker?","Rocky"
"145",1011840,1014877,"It's Dipper's stuff.It ain't your locker no more.","Rocky"
"146",1017400,1021518,"What you talkin' about? It's been mylocker for six years. Where's my gear?","Rocky"
"147",1021640,1024393,"Mickey told me to bag it and hang it.","Rocky"
"148",1028320,1030595,"You put my stuff on skid row?","Rocky"
"149",1030720,1034395,"I been in that locker for six yearsand you put my stuff on skid row?","Rocky"
"150",1034520,1036954,"Mickey tells me what to do, I gotta do it.","Rocky"
"151",1037080,1040993,"- Where is he?- He's outside, working with Dipper.","Rocky"
"152",1041120,1043680,"- He's in a bad mood.- So am I.","Rocky"
"153",1053200,1057637,"Put your hands up there. That's right.Keep your hands up. That's right.","Rocky"
"154",1057760,1060274,"- Hey, Mick.- Shut up!","Rocky"
"155",1060400,1062356,"(trainer) Attaboy!","Rocky"
"156",1064240,1066196,"Time! Time!","Rocky"
"157",1067920,1071151,"- What the hell...? What do you want?- How you feelin' today?","Rocky"
"158",1071280,1074989,"- What are you, a doctor or somethin'?- You got problems today?","Rocky"
"159",1075120,1078908,"- Never mind my problem. What's yours?- I've been talkin' to Michael.","Rocky"
"160",1079040,1082749,"- How come I been put outta my locker?- Because Dipper needed it.","Rocky"
"161",1082880,1085758,"Dipper's a contender, a climber.Know what you are?","Rocky"
