"id","startTime","endTime","text","title"
"1",2000,6000,"23.976","Rush Hour 2"
"2",138680,139681,"Thank you.","Rush Hour 2"
"3",158116,159952,"Someone better call the police.","Rush Hour 2"
"4",165749,170754,"I wish they all could beCalifornia girls","Rush Hour 2"
"5",174216,177386,"- The Beach Boys are dope.- I love Beach Boys.","Rush Hour 2"
"6",178804,181723,"Hey, ladies, how you doin'?Wait a minute.","Rush Hour 2"
"7",188146,190399,"Where you goin'?Let's get some sushi!","Rush Hour 2"
"8",190566,193277,"Hey! Hey, cutie!","Rush Hour 2"
"9",194611,196905,"I wish they all could...","Rush Hour 2"
"10",197030,199867,"Hey, hey, hey, hey!That was my CD!","Rush Hour 2"
"11",199992,202661,"Don't you ever toucha Chinese man's CD.","Rush Hour 2"
"12",202786,205455,"You see the way those girls drove off?They was laughing at us.","Rush Hour 2"
"13",205581,207249,"Those girls drove offbecause of you.","Rush Hour 2"
"14",207374,210252,"All I did was invite themto have a drink.","Rush Hour 2"
"15",210377,212504,"You invited them to get naked...","Rush Hour 2"
"16",212629,214923,"and sacrifice a small goat.","Rush Hour 2"
"17",215048,217426,"Which word was ""goat""?","Rush Hour 2"
"18",217551,220053,"You owe me a copy ofThe Beach Boys' Greatest Hits.","Rush Hour 2"
"19",220220,224016,"Don't get no attitude with me, Lee.I've worked your cases for three days.","Rush Hour 2"
"20",224183,227853,"Reason I'm here in Hong Kong is 'causeyou said you'd show me a good time.","Rush Hour 2"
"21",228020,230689,"I'm on vacation, man,and I want some mu shu.","Rush Hour 2"
"22",230814,233901,"- Mu shu? You hungry?- No, Lee, not mu shu.","Rush Hour 2"
"23",234067,236904,"Some mu shu.I wanna see some women, man.","Rush Hour 2"
"24",237070,239239,"Now stop playin' dumband show me to the shu.","Rush Hour 2"
"25",244036,245662,"There was a bombing at theU.S. Embassy.","Rush Hour 2"
"26",246872,248665,"Two American translatorswere killed.","Rush Hour 2"
"27",249333,250250,"Any leads?","Rush Hour 2"
"28",252085,253337,"We think it's Ricky Tan.","Rush Hour 2"
"29",253962,257090,"His entire gang of Triadsis at the club tonight.","Rush Hour 2"
"30",258967,261637,"If you don't want to takethe case, I'll understand.","Rush Hour 2"
"31",262596,263472,"No, it's okay.","Rush Hour 2"
"32",268227,269520,"What was that?","Rush Hour 2"
"33",269645,272981,"Did you just take anotherdamn case on my vacation, man?","Rush Hour 2"
"34",273106,276568,"Of course not. My superintendentinvited us to a club.","Rush Hour 2"
"35",276693,279905,"- Big party tonight.- Don't be messin' with me, Lee.","Rush Hour 2"
"36",280030,282783,"I will slap you so hard,you'll end up in the Ming Dynasty.","Rush Hour 2"
"37",282908,285577,"I mean it. I'll bitch-slap youback to Bangkok.","Rush Hour 2"
"38",285702,288247,"- Big party?- Big one.","Rush Hour 2"
"39",289456,291792,"Okay, well,let's go party then.","Rush Hour 2"
"40",295254,298215,"Hey, this is nice.Hey, cutie.","Rush Hour 2"
"41",298340,300968,"They don't like tourists in here,so try to blend in.","Rush Hour 2"
"42",301093,304388,"What do you mean, blend in?I'm two feet taller than everybody here.","Rush Hour 2"
"43",307933,310018,"- Wait here.- Where you goin'?","Rush Hour 2"
"44",310143,313730,"- Bathroom.- Hurry back, 'cause we gonna party.","Rush Hour 2"
"45",327619,329496,"How you doin'?","Rush Hour 2"
"46",329621,333250,"Come here a lot?It's a nice place.","Rush Hour 2"
"47",333375,336753,"Take us through the hours","Rush Hour 2"
"48",336879,338255,"I won't make you, baby","Rush Hour 2"
"49",338380,342050,"What in the worldis goin' on up in here?","Rush Hour 2"
"50",342176,344845,"Am I the only onelistenin' to this?","Rush Hour 2"
"51",344970,346930,"The man destroyin' a classic!","Rush Hour 2"
"52",347055,350017,"With the force, don't stopDon't stop till you get enough","Rush Hour 2"
"53",350142,352436,"Keep on with the forceDon't stop","Rush Hour 2"
"54",352561,355981,"- Don't stop till you get enough- Boo!","Rush Hour 2"
"55",356106,360068,"With the force, don't stopDon't stop till you get enough","Rush Hour 2"
"56",360194,362821,"I can't takeno more of this, man.","Rush Hour 2"
"57",388263,392267,"Get closerOh, get closer","Rush Hour 2"
"58",392392,394645,"I'm burnin' now","Rush Hour 2"
"59",396688,399566,"Just love me","Rush Hour 2"
"60",399691,401610,"Till you","Rush Hour 2"
"61",401735,404821,"Don't know how","Rush Hour 2"
"62",404947,407491,"Keep on tillthe force starts up","Rush Hour 2"
"63",407658,409576,"Don't stop till you get enoughKeep on","Rush Hour 2"
"64",409701,413205,"Till the force starts upAh, don't stop till you get enough","Rush Hour 2"
"65",413372,415290,"Keep ontill the force starts up","Rush Hour 2"
"66",415415,417459,"Come on, girls!","Rush Hour 2"
"67",417584,419878,"Come ontill the force starts up","Rush Hour 2"
"68",420003,422297,"Ah, don't stoptill you get enough","Rush Hour 2"
"69",426760,429388,"Come on! Come on!","Rush Hour 2"
