"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Saboteur"
"2",108692,110651,"Here come the wolves.","Saboteur"
"3",147356,150274,"Uh-oh. Bottleneck. Mr. Rooseveltshould hear of this.","Saboteur"
"4",150400,153361,"I'm sorry. Hope youdidn't hurt yourself.","Saboteur"
"5",153612,155029,"My friend says he's sorry.","Saboteur"
"6",155489,156572,"Okay.","Saboteur"
"7",162538,164121,"That just goes to show youwhat a little blonde can do","Saboteur"
"8",164206,165915,"to hold up national defense.","Saboteur"
"9",166083,167917,"Nice, pleasant guy.","Saboteur"
"10",168418,169836,"Man!","Saboteur"
"11",169920,171170,"Gee, 100 bucks.","Saboteur"
"12",172464,174173,"So that's what they look like.","Saboteur"
"13",174258,175341,"Where'd he go?","Saboteur"
"14",175467,176509,"I don't know.","Saboteur"
"15",176593,178261,"I wonder what his name is.","Saboteur"
"16",178387,182139,"Wait a minute. I saw it on the envelope.Fry. That's it. Fry.","Saboteur"
"17",187604,188729,"Fry.","Saboteur"
"18",189940,191691,"How do you know my name?","Saboteur"
"19",191775,193943,"What do you carehow I know your name?","Saboteur"
"20",194027,196612,"I saw it on one of theenvelopes you dropped.","Saboteur"
"21",196697,199407,"Here's somethingthat belongs to you.","Saboteur"
"22",247080,249248,"The paint shop! It'llgo up like dynamite!","Saboteur"
"23",249333,250416,"Here, take this one.","Saboteur"
"24",250500,251709,"What about me?Don't I get to play, too?","Saboteur"
"25",251793,253210,"- You get another one.- All right.","Saboteur"
"26",264348,266515,"So, I see these two kids, see.","Saboteur"
"27",266600,268684,"And I yell at them,""The sprinklers are busted,","Saboteur"
"28",268810,271187,"""the whole shootingmatch will go up.""","Saboteur"
"29",271313,273940,"And they run right in,the both of them.","Saboteur"
"30",274024,276609,"And the last thingI saw when I looked back","Saboteur"
"31",276693,279904,"was one kid give theextinguisher to the other kid,","Saboteur"
"32",279988,283032,"and then it was justlike all hell comes up.","Saboteur"
"33",283158,284700,"That's all I see.","Saboteur"
"34",284826,287036,"Was there anybody else around?","Saboteur"
"35",287162,289038,"No. Just the two kids.","Saboteur"
"36",289957,292083,"The poor kid withthe extinguisher,","Saboteur"
"37",292167,294210,"and the one who gave it to him.","Saboteur"
"38",295045,297713,"Thank you, Rogers. Weappreciate all you've done.","Saboteur"
"39",297839,299548,"We needn't keep youany longer now.","Saboteur"
"40",299675,302468,"You'd better go and takecare of those hands.","Saboteur"
"41",302552,304553,"Who've you got next?","Saboteur"
"42",304638,306847,"We have a fellow,Barry Kane, waiting.","Saboteur"
"43",306932,308307,"Send Barry Kane in!","Saboteur"
"44",308392,309850,"Barry Kane!","Saboteur"
"45",316692,318567,"All right. Just take it easy.","Saboteur"
"46",318652,320569,"We only want to ask youa couple of questions,","Saboteur"
"47",320654,322279,"a matter of a routine check-up.","Saboteur"
"48",322364,324156,"Well, I want to doanything I can to help.","Saboteur"
"49",324241,326158,"Sure.","Saboteur"
"50",326243,328911,"Now, suppose you tell us whereyou were when the fire started.","Saboteur"
"51",329997,332164,"Well, I was one ofthe first to rush in.","Saboteur"
"52",332249,334417,"The sprinkler systemsweren't working.","Saboteur"
"53",334543,336002,"Who else was with you?","Saboteur"
"54",336086,341924,"There were just myself, a fellownamed Fry, and my friend Ken Mason.","Saboteur"
"55",342884,344093,"Go on.","Saboteur"
"56",344928,346012,"Fry handed me an extinguisher,","Saboteur"
"57",346096,348347,"and I started runningtoward the fire.","Saboteur"
"58",348598,350349,"I gave it to Ken.","Saboteur"
"59",353270,354770,"And then he...","Saboteur"
"60",355188,357690,"Okay. Take it easy. That's all.","Saboteur"
"61",358275,360234,"Just stick around for a while.We may need you.","Saboteur"
"62",363030,364530,"Send for Fry.","Saboteur"
"63",368076,370453,"Get hold ofa fellow called Fry.","Saboteur"
"64",371747,373622,"What'd they do? Ask youa lot of questions?","Saboteur"
"65",373749,374999,"No. Hardly any.","Saboteur"
"66",375083,379045,"Gee, it's awful tough going,seeing it happen in front of you.","Saboteur"
"67",379129,380379,"Yeah, it is tough.","Saboteur"
"68",380464,383257,"Ken Mason was your pal,too, wasn't he?","Saboteur"
"69",384134,385259,"Yeah.","Saboteur"
"70",386970,388054,"Was he married?","Saboteur"
"71",388138,389597,"No. He was livingwith his mother.","Saboteur"
"72",389973,392308,"Must be pretty tough on her.","Saboteur"
"73",393143,394727,"Sorry, fellows.I'll see you later.","Saboteur"
"74",421755,423506,"Hello, Mrs. Mason.","Saboteur"
"75",425342,428135,"They... They wouldn'tlet me see him.","Saboteur"
"76",429137,432264,"It's awful hard to believe.It happened so quick.","Saboteur"
"77",432349,433557,"Why, only this morning...","Saboteur"
"78",433642,434892,"Please...","Saboteur"
"79",436311,438687,"Please don't talk about it now.","Saboteur"
"80",439856,442775,"Anything I can do?Could I get you something?","Saboteur"
"81",442859,446278,"No. No, thank you. Not now.","Saboteur"
"82",446363,448155,"Maybe some brandy.","Saboteur"
"83",456206,458624,"How is the poor, dear soul?","Saboteur"
"84",458708,461377,"If you mean Mrs. Mason,she's feeling bad.","Saboteur"
"85",461503,463629,"Oh, well,she has every reason to.","Saboteur"
"86",463713,466966,"Do you know what? Theywouldn't even let her see him.","Saboteur"
"87",467050,468259,"Her only son.","Saboteur"
"88",468343,469385,"Yes, I know.","Saboteur"
"89",469469,471804,"I told her she'd every rightto insist on seeing him.","Saboteur"
"90",471888,475057,"I told her I would, and she asgood as told me to get out.","Saboteur"
"91",475142,478477,"Me that was only trying tohelp the poor, dear soul.","Saboteur"
"92",478562,480813,"I think you can help, if you'd tellme where I could get some brandy.","Saboteur"
"93",480897,482481,"It doesn't seem to be in here.","Saboteur"
"94",482566,483941,"You come with me, young man.","Saboteur"
"95",484025,486652,"It just happens that I havea little in the house.","Saboteur"
"96",503920,505337,"Sorry to bother you,Mrs. Mason,","Saboteur"
"97",505422,507840,"but we're looking fora guy named Barry Kane.","Saboteur"
"98",507924,509008,"Do you know him?","Saboteur"
"99",509092,510467,"He isn't here right now, is he?","Saboteur"
"100",510719,514138,"They told us at the plant wemight be able to find him here.","Saboteur"
"101",514222,516932,"Well, what do youwant to see him about?","Saboteur"
"102",517017,518726,"He's in prettybad trouble, lady.","Saboteur"
"103",518810,520853,"What is it? I'd like to know.","Saboteur"
"104",520937,522688,"He was mixed up withthat fire at the factory.","Saboteur"
"105",524107,526525,"I... I don't understand.","Saboteur"
"106",526610,529695,"There are a lot ofthings we don't understand, either.","Saboteur"
"107",529779,531447,"But how is Barryinvolved in it?","Saboteur"
"108",531573,535201,"That fire extinguisher. It seemsit wasn't just an accident.","Saboteur"
"109",535285,536869,"It turns out thatthe extinguisher","Saboteur"
"110",536953,538871,"Barry Kane handed your sonwas filled with gasoline.","Saboteur"
"111",540957,542333,"You ought to beable to help us.","Saboteur"
"112",542417,543709,"Give us a leadon this guy Kane.","Saboteur"
"113",543793,545711,"Yeah. That's why wewant to look around.","Saboteur"
"114",545795,546962,"Well...","Saboteur"
"115",547589,548797,"Why...","Saboteur"
"116",549966,552134,"I can't talk about it now.","Saboteur"
"117",552219,555221,"Yeah. Sorry, but, yousee, there was a...","Saboteur"
"118",555305,557139,"I wouldn't give her toomuch of that if I were you,","Saboteur"
"119",557224,558891,"because it very oftenmakes people weepy.","Saboteur"
"120",558975,560226,"I know it affected melike that...","Saboteur"
"121",560310,561727,"Yes, Mrs. Moore,I've got to hurry back.","Saboteur"
"122",561811,562811,"Thank you very much.","Saboteur"
"123",590006,593759,"Try some of this, Mrs. Mason.It'll make you feel better.","Saboteur"
"124",596805,599431,"There were twodetectives just here.","Saboteur"
"125",599808,601016,"They were looking for you.","Saboteur"
"126",601309,602518,"For me?","Saboteur"
"127",603144,604603,"I guess they want to ask mesome more questions.","Saboteur"
"128",604688,606272,"I said that I'd doanything I could to help.","Saboteur"
"129",606356,607856,"- Here. Try, please.- No.","Saboteur"
"130",608441,609900,"That wasn't it.","Saboteur"
"131",610360,612486,"They wanted to arrest you.","Saboteur"
"132",613029,614697,"They said thatthe fire extinguisher","Saboteur"
"133",614781,617241,"that you handed to Kennethwas filled with gasoline,","Saboteur"
"134",617325,619159,"that you killed him.","Saboteur"
"135",619703,622871,"That I killed...Why, are they crazy?","Saboteur"
"136",622956,624790,"Why would I wantto do a thing...","Saboteur"
"137",624874,626667,"Why, Ken was my best friend!Haven't they talked to Fry?","Saboteur"
"138",626751,629420,"Haven't they asked himabout the extinguisher?","Saboteur"
"139",629629,633257,"They said that there was no suchman employed at the plant as Fry.","Saboteur"
"140",633341,635801,"Why, I saw him!I saw him twice!","Saboteur"
"141",635885,638637,"Ken saw him, too! He was rightthere with us at the fire.","Saboteur"
"142",638722,641640,"He handed me the extinguisher. Kensaid, ""Don't I get to play, too?""","Saboteur"
"143",641725,644351,"He was kidding.I handed it to him.","Saboteur"
"144",644728,647521,"Fry was right there with us.I'm sure!","Saboteur"
"145",648231,651650,"Why, he must have knownthere was gasoline in it.","Saboteur"
"146",651735,655696,"He must have known! He stood rightthere with us and watched, the...","Saboteur"
"147",663038,664413,"Please go.","Saboteur"
"148",668752,670627,"Don't you believe me?","Saboteur"
"149",670920,672504,"Do you think I hadsomething to do with this?","Saboteur"
"150",673965,675966,"I didn't tellthe police anything.","Saboteur"
"151",677135,678719,"Oh, I don't know!","Saboteur"
"152",680221,682473,"It's all so confusedand so terrible.","Saboteur"
"153",682599,683682,"I don't know whatthey're talking about!","Saboteur"
"154",683767,685267,"Why don't theyget this fellow Fry?","Saboteur"
"155",686936,688562,"You'd better go.","Saboteur"
"156",690315,692107,"All right, I'll go.","Saboteur"
"157",692609,695611,"I've got to get Fry.I've got to find him,","Saboteur"
"158",695695,697613,"or Ken won't bethe last one to die.","Saboteur"
"159",700909,704244,"He must be in there.I saw him go in the back way.","Saboteur"
"160",729813,731021,"Catchy.","Saboteur"
"161",731606,732648,"What?","Saboteur"
"162",732732,733857,"That tune you're whistling.","Saboteur"
"163",737153,738487,"Oh, I didn't even knowI was whistling.","Saboteur"
"164",738613,740239,"That's a signyou must be pretty happy.","Saboteur"
"165",740323,742449,"Easy to see there'snothing on your mind.","Saboteur"
"166",744119,746412,"Oops. That must have been Junior.It felt like him.","Saboteur"
"167",746996,748914,"- Junior?- Yeah, that rock we just got.","Saboteur"
