"id","startTime","endTime","text","title"
"1",18118,23056,"[ Dramatic music plays ]","San Andreas"
"2",92359,93960,"♪ ...Look in your eye ♪","San Andreas"
"3",93960,98798,"♪ and I got that red lipclassic thing that you like ♪","San Andreas"
"4",98799,103503,"♪ and when we go crashing down,we come back every time ♪","San Andreas"
"5",103503,106173,"♪ 'cause we never goout of style ♪","San Andreas"
"6",106174,108740,"♪ we never go out of style ♪","San Andreas"
"7",108741,113479,"♪ you got that long hair,slicked back, white T-shirt ♪","San Andreas"
"8",113480,118784,"[ Cellphone vibrates ] ♪ and I got thatgood girl faith and a tight little skirt ♪","San Andreas"
"9",118786,123790,"♪ and when we go crashing down,we come back every time ♪","San Andreas"
"10",123790,126393,"♪ 'cause we never goout of style ♪","San Andreas"
"11",126394,128127,"♪ we never go out of style ♪","San Andreas"
"12",128127,130597,"[ Glass shatters ]","San Andreas"
"13",130598,131963,"Aah!","San Andreas"
"14",131965,133533,"[ Tires screech ]","San Andreas"
"15",136002,139407,"[ Screaming ]","San Andreas"
"16",154086,156856,"[ Screaming continues ]","San Andreas"
"17",166900,168769,"[ Coughing ]","San Andreas"
"18",186854,189356,"Help!!","San Andreas"
"19",206939,209542,"So, uh, I understandthat you all were part","San Andreas"
"20",209543,212711,"of the Fifty-Eighth rescuesquadron staged over at Bagram","San Andreas"
"21",212712,215348,"in Afghanistanfor combat search and rescue.","San Andreas"
"22",215348,217384,"Yes, ma'am.Two tours.","San Andreas"
"23",217384,219319,"And you're stillflying together?","San Andreas"
"24",219319,220752,"Yeah, we all got pretty tight over there.Wouldn't break up the family.","San Andreas"
"25",220753,223222,"Dude, do we looklike family?","San Andreas"
"26",223223,224424,"A little.","San Andreas"
"27",224425,226125,"So, what'sthe biggest difference","San Andreas"
"28",226126,229528,"between rescuing over thereand what you do here?","San Andreas"
"29",229530,231463,"Not getting shot at.","San Andreas"
"30",231465,234066,"Marcus:You're a funny guy.","San Andreas"
"31",234067,236968,"Yeah.Not exactly.","San Andreas"
"32",236969,238638,"Um... Chief Gaines?","San Andreas"
"33",238639,241807,"I'm told that betweenAfghanistan and LAFD,","San Andreas"
"34",241808,245277,"you have over six hundreddocumented rescues.","San Andreas"
"35",245278,247713,"That's, uh...Pretty impressive.","San Andreas"
"36",247715,250181,"Just doin' my job, ma'am.","San Andreas"
"37",250182,252852,"Go wherethey tell me to go.","San Andreas"
"38",252853,254420,"That's great.You can cut there.","San Andreas"
"39",254421,256790,"[ Radio chatter ]","San Andreas"
"40",260961,262730,"There she is.","San Andreas"
"41",267367,269100,"Looks pretty tight.","San Andreas"
"42",269101,270903,"Take her up.","San Andreas"
"43",282215,283816,"Man: Winds are variable.","San Andreas"
"44",283817,285418,"Two-Seven-Zeroto Three-Zero-Zero.","San Andreas"
"45",285418,286819,"Ten knots gusting to fifteen.","San Andreas"
"46",292292,293593,"Metro, this is LAFD.","San Andreas"
"47",293593,295562,"Helo Five on sceneof Cliff-V rescue.","San Andreas"
"48",295562,296762,"We have visual.","San Andreas"
"49",296764,298798,"Copy, Helo Five.What's the girl's name?","San Andreas"
"50",298798,301100,"Natalie.","San Andreas"
