"id","startTime","endTime","text","title"
"1",65775,67775,"(BIRDS CHIRPING)","Sausage Party"
"2",71823,74783,"(LIGHT SWITCHES CLICKING)","Sausage Party"
"3",74950,76700,"(MUSIC)","Sausage Party"
"4",76911,78960,"(YAWNS)","Sausage Party"
"5",82834,84343,"(SIGHS)","Sausage Party"
"6",86004,91384,"Oh, shit. Carl. Carl. Carl, Carl! Dude, weslept in again. The song's about to start!","Sausage Party"
"7",91551,93930,"Shit, Frank! We can't miss the song.Barry, wake up!","Sausage Party"
"8",94094,95465,"What? What? I'm up. I'm up.","Sausage Party"
"9",95638,98347,"This song is such an awesome wayto start every morning.","Sausage Party"
"10",98515,102686,"It's a nice way of showing the gods howmuch we appreciate everything they'll do...","Sausage Party"
"11",102853,105484,"...once they take us out those doorsto the Great Beyond.","Sausage Party"
"12",105647,107188,"God, I love them so fucking much.","Sausage Party"
"13",107358,109487,"Oh, shit! Corn's about to start singing!","Sausage Party"
"14",109735,112855,"- Drop it, Corn! You got the best voice!- You're the man, Corn!","Sausage Party"
"15",113072,115412,"You rule! Take it away, brah!","Sausage Party"
"16",115575,119825,"♪ Dear godsYou're so divine in each and every way ♪","Sausage Party"
"17",119996,122075,"♪ To you we pray ♪","Sausage Party"
"18",122581,125341,"♪ Dear godsWe pledge our love to you ♪","Sausage Party"
"19",125501,127421,"♪ Forever more ♪","Sausage Party"
"20",127879,132509,"♪ We always felt we had a special bond ♪","Sausage Party"
"21",132675,135794,"♪ Take us to the Great Beyond ♪","Sausage Party"
"22",135969,139680,"♪ Where we're sureNothing bad happens to food ♪","Sausage Party"
"23",139848,143228,"♪ Once we're out the sliding doorsThings will all be grand ♪","Sausage Party"
"24",143436,146515,"♪ We will live our dreams togetherIn the Promised Land ♪","Sausage Party"
"25",146730,150070,"♪ The gods control our fateSo we all know we're in good hands ♪","Sausage Party"
"26",150235,155865,"♪ We're super sure there's nothing shittyWaiting for us in the Great Beyond ♪","Sausage Party"
"27",156156,160906,"♪ And every aisleThinks something different ♪","Sausage Party"
"28",161079,163538,"Holy shit, I've been chosen!Ha-ha-ha.","Sausage Party"
"29",163706,168336,"♪ But to this we all agree ♪","Sausage Party"
"30",168502,170133,"Booyah, bitches, I'm out of here!","Sausage Party"
"31",170295,177045,"♪ Everyone else is fuckin' stupid ♪","Sausage Party"
"32",177387,182556,"♪ Except for those who think like me ♪","Sausage Party"
"33",182724,184514,"- ♪ And me! ♪- ♪ And me! ♪","Sausage Party"
"34",184686,185846,"♪ And me! ♪","Sausage Party"
"35",186187,190437,"♪ Out thereFor all eternity we'll meditate ♪","Sausage Party"
"36",190608,192527,"♪ How fucking great ♪","Sausage Party"
"37",193277,197698,"♪ Out thereWe'll get to tea-bag every day at 4 ♪","Sausage Party"
"38",197865,198865,"- Pip!- Pip!","Sausage Party"
"39",199033,203122,"♪ We'll shove pimentosup our ass By Zeus ♪","Sausage Party"
"40",203371,206751,"♪ We'll exterminate the juice ♪","Sausage Party"
"41",206957,212337,"♪ Und subjugateThe whole damn Great Beyond ♪","Sausage Party"
"42",214465,218715,"♪ In hereWe keep our wieners in our packages ♪","Sausage Party"
"43",218887,221137,"♪ That's how it is ♪","Sausage Party"
"44",221514,222813,"♪ It sucks ♪","Sausage Party"
"45",222973,225394,"♪ But that's the wayOur buns keep fresh and pure ♪","Sausage Party"
"46",225560,226770,"♪ Baby, baby ♪","Sausage Party"
"47",226936,231105,"♪ But once we're out the doorsIt's not a sin ♪","Sausage Party"
"48",231274,234653,"♪ For us to let youSlip it in ♪","Sausage Party"
"49",234819,238819,"♪ In other wordsWe finally get to fuck ♪","Sausage Party"
"50",238990,240717,"- ♪ And love, and hug ♪- ♪ And fuck, and fuck ♪","Sausage Party"
"51",240741,242010,"- ♪ And feel, and share ♪- ♪ And fuck ♪","Sausage Party"
"52",242034,245194,"♪ The gods will always care for us ♪","Sausage Party"
"53",245830,248669,"♪ They won't squeeze us out their butts ♪","Sausage Party"
"54",248832,251502,"♪ We cannot overstateHow confident we are ♪","Sausage Party"
"55",251669,253248,"♪ That our beliefs are accurate ♪","Sausage Party"
"56",253420,256591,"♪ And nothing awful happens to usIn the Great Beyond ♪♪","Sausage Party"
"57",256757,259048,"Kiss my brownish-yellow ass!","Sausage Party"
"58",259218,263637,"I'm going to the Great Beyond,motherfuckers!","Sausage Party"
"59",265600,268480,"WOMAN: (OVER P.A.) We needan extra cashier to the front, please.","Sausage Party"
"60",271980,275901,"Boo and yah, motherfuckers.Red, White and Blue Day is tomorrow!","Sausage Party"
"61",276069,278238,"Dudes, basically every single sausage...","Sausage Party"
"62",278403,280324,"...gets chosen onRed, White and Blue Day.","Sausage Party"
"63",280490,284490,"By this time tomorrow, we're all gonna be5 inches deep in some bun, son.","Sausage Party"
"64",284701,286081,"- Ba-bam.- Oh, my God, yes.","Sausage Party"
"65",286245,290495,"Ha-ha. More like 3 inches deep for Barry,you deformed nerd.","Sausage Party"
"66",290667,292417,"Ha-ha. Troy, that's funny.","Sausage Party"
"67",292584,295334,"You see, this is why I can't waitfor the Great Beyond.","Sausage Party"
"68",295504,299465,"We'll all be equal, and then jerks likeTroy won't be picking on me all the time...","Sausage Party"
"69",299634,301144,"...on account of my abnormality.","Sausage Party"
"70",301302,304512,"Whatever, Barry. You're different,and that makes you weird.","Sausage Party"
"71",304680,305771,"(LAUGHING)","Sausage Party"
"72",305932,310141,"Ignore that prick, Barry. He's full of shit.And don't forget, you've got girth.","Sausage Party"
"73",310310,313230,"That's way more important than length.You're a fucking champ.","Sausage Party"
"74",313398,316437,"You know, I am girthy. I could fill a bun.They'll know I'm there.","Sausage Party"
"75",316608,320069,"I'm sure there's some kind ofsmushed bun out there waiting for me.","Sausage Party"
"76",320237,322548,"- FRANK: Shit, it's the Dark Lord!- CARL: Oh, no. He's coming.","Sausage Party"
"77",322572,324332,"No, wait! I'm still fresh. I swear!","Sausage Party"
"78",324492,326081,"I'm still fresh!","Sausage Party"
"79",326244,327413,"- Did he see us?- No way.","Sausage Party"
"80",327577,329288,"- We're fucked, bros!- Oh, God, no!","Sausage Party"
"81",329454,331074,"Take anyone but us, please!","Sausage Party"
"82",331249,332999,"- Oh, no! No!- No!","Sausage Party"
"83",333167,334877,"- No! No!- Why us?!","Sausage Party"
"84",335252,336923,"Fuck you, wienies.","Sausage Party"
"85",337088,338588,"(ALL SCREAMS)","Sausage Party"
"86",341800,344800,"Fuck, I hate this fucking job!","Sausage Party"
"87",345012,347062,"Ah, phew. You okay?Everyone okay?","Sausage Party"
"88",347223,349562,"That's super fucked upabout Bill and those guys.","Sausage Party"
"89",349725,352975,"They stayed in their package,followed all the guidelines of the song.","Sausage Party"
"90",353146,355475,"- What do they get?- We're not supposed to understand...","Sausage Party"
"91",355648,358687,"...the will of the gods.They work in mysterious ways.","Sausage Party"
"92",358860,362990,"Since we base our lives on the song,it might be nice if there was some proof.","Sausage Party"
"93",363156,365906,"Proof? All the proof you needis right in front of you.","Sausage Party"
"94",366074,367444,"Look at these big old buns.","Sausage Party"
"95",367617,368658,"(WHISTLING)","Sausage Party"
"96",368827,372418,"CARL: Yeah! You know it, baby.Work those buns!","Sausage Party"
"97",372581,376132,"All of you. All day, ""err"" day.","Sausage Party"
"98",376293,379343,"Lined up, waiting to get filledwith my meat.","Sausage Party"
"99",379504,383584,"Right, Carl. You really think any of thesebuns will line up to get filled by you?","Sausage Party"
"100",384343,385762,"Here's my impression of that:","Sausage Party"
"101",385927,390268,"""Oh, is he in there yet? I can't feel him.I don't think he's in there. Oh, wait. He is.""","Sausage Party"
"102",390432,393853,"It's so sad. I bet you jackrabbitfor a quick 15 seconds. You're like:","Sausage Party"
"103",394019,395060,"(GRUNTING)","Sausage Party"
"104",395228,396608,"And then you slump over.","Sausage Party"
"105",396773,398483,"I mean, honestly, guys...","Sausage Party"
"106",398649,402488,"...who in this packagewould ever let Carl get up in them? Huh?","Sausage Party"
"107",402653,405742,"Roberta, put your fucking hand down.You're ruining my joke.","Sausage Party"
"108",405906,408367,"See? Nobody. That's who.","Sausage Party"
"109",408533,409663,"(ALL LAUGHING)","Sausage Party"
"110",409826,415917,"Hey, dude, I don't know how to say thisto you gently, but your girlfriend, um...","Sausage Party"
"111",416084,417213,"...she's a fucking cunt.","Sausage Party"
"112",417375,419456,"Shut up. She's fresh as fuck,and you know it.","Sausage Party"
"113",419629,423629,"I don't know why you're limiting yourselfto one bun. There's plenty of buns.","Sausage Party"
"114",423800,426220,"Because I believe in bunogomy.I'm a bunogamist.","Sausage Party"
"115",426384,430254,"And when a bun this fresh is into you,all you ask is when and how deep.","Sausage Party"
"116",430430,431430,"And the answer is:","Sausage Party"
"117",431598,434889,"As soon as we get to the Great Beyondand as deep as she'll let me.","Sausage Party"
"118",435060,436230,"I'm gonna talk to her.","Sausage Party"
"119",436394,439064,"Hey, Brenda. What up, girl?Heh-heh.","Sausage Party"
"120",439231,441401,"Sorry about those guys.Such dicks, right?","Sausage Party"
"121",441567,442896,"CARL:I can hear you, dude.","Sausage Party"
"122",443069,444069,"Shut up. Fuck you.","Sausage Party"
"123",444237,448067,"So looks like tomorrow'sthe big day, huh? Heh-heh.","Sausage Party"
"124",448240,450740,"You and me, finally gonna be official.","Sausage Party"
"125",450910,453159,"I'm so happy the godsput our packages together.","Sausage Party"
"126",453329,454829,"It's because we belong together.","Sausage Party"
"127",454997,456826,"It's like we were made for each other.","Sausage Party"
"128",456999,460749,"I can't wait to finally just get up in there.Just raw-dog it.","Sausage Party"
"129",460920,463920,"But, full disclosure,I'm pretty fucking nervous about this.","Sausage Party"
"130",464090,466509,"I don't know how well I'll performonce it happens.","Sausage Party"
"131",466675,469675,"I've obviously never beenin a bun before, so...","Sausage Party"
"132",469846,472675,"Hey, I'm not gonna be any better.I've never opened up.","Sausage Party"
"133",472848,475098,"I mean, look how tight I am.","Sausage Party"
"134",475433,476644,"Oh, sweet fucking fuck.","Sausage Party"
"135",476810,480860,"Look, okay, I know it's against the rules,but I can't wait anymore.","Sausage Party"
"136",481023,483072,"I need to just feel you.","Sausage Party"
"137",483233,485153,"Are you thinking whatI'm thinking?","Sausage Party"
"138",485485,486985,"- Just the tips?- Just the tips?","Sausage Party"
"139",487697,490617,"- I can't believe we're doing this.- I know. We're so naughty.","Sausage Party"
"140",492076,495536,"It's fine, right? I mean, nothing bad'sever happened from just the tips.","Sausage Party"
"141",495704,498324,"No. No, no, no.No, no, no.","Sausage Party"
"142",499875,501336,"BOTH: Ah.","Sausage Party"
"143",501752,503312,"FRANK:Oh, yeah, go in. Put it in there.","Sausage Party"
"144",503461,505762,"- BRENDA: Big tip.- Oh, you wouldn't dare.","Sausage Party"
"145",505923,507973,"WOMAN: (OVER PA)Management to Cash 5.","Sausage Party"
"146",508134,510394,"Management to Cash 5.","Sausage Party"
"147",510552,512893,"I meant to buy a normal mustard.When I got home...","Sausage Party"
"148",513054,514845,"...I realized I bought honey mustard.","Sausage Party"
"149",515015,518056,"- Is it cool if I just go swap it?- I don't give a flying fuck.","Sausage Party"
"150",518351,520351,"(MUSIC)","Sausage Party"
"151",521355,522975,"(HONEY MUSTARD SOBBING)","Sausage Party"
"152",523149,526438,"Holy shit!You're back, man. Crazy!","Sausage Party"
"153",526610,528860,"Did you go to the Great Beyond?","Sausage Party"
"154",529029,532580,"Don't touch me, man!Ketchup, get your fucking hands off me.","Sausage Party"
"155",532741,534491,"Whoa, whoa, whoa!","Sausage Party"
"156",534659,537370,"- What happened?- Oh, I'll tell you what fucking happened.","Sausage Party"
"157",537538,540707,"I'll tell you exactly what happenedin the Great Beyond...","Sausage Party"
"158",540875,543335,"- ...you dumb, red piece of shit!- What the f...?!","Sausage Party"
"159",543501,545591,"As soon as we got out those doors...","Sausage Party"
"160",545754,546914,"(BIRD SCREECHES)","Sausage Party"
"161",547089,550009,"So you have learned the terrible truth.","Sausage Party"
"162",550176,551176,"Congratulations!","Sausage Party"
"163",551344,554854,"Now keep it to yourself,or I will slit your throat while you sleep.","Sausage Party"
"164",555014,556313,"I swear to God.","Sausage Party"
"165",556474,558313,"Oh, my God!Did you guys just hear that?","Sausage Party"
"166",558475,560385,"What? What are you looking at?","Sausage Party"
"167",560561,563520,"He's gone.Where the fuck did he go?","Sausage Party"
"168",563688,566359,"I'm so fucked up. I'm so fucked up.","Sausage Party"
"169",566524,569565,"Ketchup, get the fuck off of me.Nobody fucking touch me!","Sausage Party"
"170",569736,574486,"Attention, shoppers. The storeis closing in five minutes. Get out.","Sausage Party"
"171",574658,577158,"FRANK: Hey, hey, hey, look at this.We fucking got one.","Sausage Party"
"172",577495,579534,"- Stand up straight, boys!- Hey!","Sausage Party"
"173",579705,582325,"Over here! Choose us!","Sausage Party"
"174",582667,583826,"(SAUSAGES CLAMORING)","Sausage Party"
"175",584000,585171,"We're chosen!","Sausage Party"
