"id","startTime","endTime","text","title"
"1",2898,7898,"Subtitles downloaded from Podnapisi.NET","Scary Movie 3"
"2",24899,26859,"...day after day you want.","Scary Movie 3"
"3",26985,28944,"A store that one might...","Scary Movie 3"
"4",31114,34575,"I hate television. It gives me headaches.","Scary Movie 3"
"5",34659,37828,"You know, there's so many magnetic wavestraveling in the airspace","Scary Movie 3"
"6",37912,39705,"because of TV and television,","Scary Movie 3"
"7",39789,42374,"we're losing ten times as manybrain cells as we're supposed to.","Scary Movie 3"
"8",42459,44293,"Please!","Scary Movie 3"
"9",45295,49173,"""The cow says blank."" Three letters.","Scary Movie 3"
"10",50258,51258,"Dude!","Scary Movie 3"
"11",51926,54303,"""Dude."" I don't know.","Scary Movie 3"
"12",54387,56555,"Magnetic waves, brain cells.","Scary Movie 3"
"13",56639,58640,"I don't understand the connectionbetween all that stuff.","Scary Movie 3"
"14",59017,60768,"You know what else I heard?","Scary Movie 3"
"15",60852,63187,"Magnetic waves shrink silicone molecules.","Scary Movie 3"
"16",67442,69151,"Oh, my God! Turn it off!","Scary Movie 3"
"17",69235,71028,"- It's not working!- It's backwards!","Scary Movie 3"
"18",71154,72279,"- What do we do?- I don't know!","Scary Movie 3"
"19",72363,73655,"Oh, God!","Scary Movie 3"
"20",77494,80537,"Thank God. I can't afford to get any smaller.","Scary Movie 3"
"21",80622,83415,"Come on. You're beautiful.","Scary Movie 3"
"22",83500,85584,"I wish I had your legs.","Scary Movie 3"
"23",85668,87002,"I wish I had your butt.","Scary Movie 3"
"24",87462,89630,"- I wish I had your...- Shaved pussy?","Scary Movie 3"
"25",91007,92508,"Nobody's getting Snowball.","Scary Movie 3"
"26",94052,97763,"Okay. That thing's kind of scary, anyway.","Scary Movie 3"
"27",97847,100182,"- I know something even scarier.- What?","Scary Movie 3"
"28",100475,101809,"Have you heard about this videotape?","Scary Movie 3"
"29",101893,103102,"The one where they do it on the boat?","Scary Movie 3"
"30",103269,105104,"And then in the car?And then in the bathtub?","Scary Movie 3"
"31",105188,108357,"And he's, like, ""Hey, baby, I love you.""And she's, like, ""Where are we?""","Scary Movie 3"
"32",108650,110818,"- And did you see the...- No. Not that tape.","Scary Movie 3"
"33",111778,113445,"The one with all the scary images.","Scary Movie 3"
"34",113530,115989,"You know, after you watch the tape,the phone rings,","Scary Movie 3"
"35",116074,119368,"and this really scary voice comes onand says you're gonna die in, like...","Scary Movie 3"
"36",119452,121829,"Seven days.Yeah, I saw that one with Josh last weekend.","Scary Movie 3"
"37",122038,125666,"You were with Josh last weekend?Oh, my God!","Scary Movie 3"
"38",126042,127209,"My God!","Scary Movie 3"
"39",128211,129461,"Oh, yes, I was.","Scary Movie 3"
"40",131172,132256,"You ho!","Scary Movie 3"
"41",135593,137010,"You know it!","Scary Movie 3"
"42",150567,153819,"- This is really weird.- Yeah.","Scary Movie 3"
"43",153903,156363,"Big house, only one phone.","Scary Movie 3"
"44",160201,163801,"Hello?","Scary Movie 3"
"45",170378,174464,"I'm coming for you, my precious.","Scary Movie 3"
"46",174549,178302,"- Hi, Mom.- Hi, precious. Having fun?","Scary Movie 3"
"47",178386,182181,"Ask her which bathroomhas a detachable showerhead.","Scary Movie 3"
"48",182265,185976,"Anyway, we're just about to go to bed.","Scary Movie 3"
"49",186060,189188,"No. Not like that.","Scary Movie 3"
"50",189272,192774,"Well, I guess a womanwould know how to touch a...","Scary Movie 3"
"51",195486,199114,"Hello?","Scary Movie 3"
"52",249165,252765,"Katie?","Scary Movie 3"
"53",269185,271185,"Are you okay?","Scary Movie 3"
"54",310810,311893,"God!","Scary Movie 3"
"55",343968,345761,"Tom, did you hear...","Scary Movie 3"
"56",346554,347971,"The dogs are acting strange.","Scary Movie 3"
"57",370244,371286,"Sue!","Scary Movie 3"
"58",372455,375832,"What are you doing out here?We were worried sick.","Scary Movie 3"
"59",375917,377042,"What's wrong?","Scary Movie 3"
"60",387595,389304,"I wonder what they're trying to tell us.","Scary Movie 3"
"61",398189,402067,"And now, Washington, D.C.'sleading morning news program,","Scary Movie 3"
"62",402151,403360,"the Morning News.","Scary Movie 3"
"63",403694,405237,"Good morning. I'm Ross Giggins.","Scary Movie 3"
