"id","startTime","endTime","text","title"
"1",101436,105205,"Captioning made possible byturner entertainment group and u.s. Department of education","Sergeant York"
"2",106541,109943,"and when all of life is overand our work on earth is done","Sergeant York"
"3",111146,114380,"and the roll is calledup yonder, i'll be there","Sergeant York"
"4",116551,117351,"when the roll","Sergeant York"
"5",117352,120587,"when the roll is calledup yonder, i'll be there","Sergeant York"
"6",121456,123024,"when the roll","Sergeant York"
"7",123025,126259,"when the roll is calledup yonder, i'll be there","Sergeant York"
"8",126261,127061,"when the roll","Sergeant York"
"9",127062,130030,"when the rollis called up yonder","Sergeant York"
"10",131767,135068,"when the roll is calledup yonder, i'll be there","Sergeant York"
"11",145481,148482,"""and he spake this parableunto them, saying,","Sergeant York"
"12",148651,151485,"""what man of youhaving 100 sheep,","Sergeant York"
"13",151821,153655,"""if you lose one of them,","Sergeant York"
"14",153656,156258,"doth not leavethe 90 and 9 and-""","Sergeant York"
"15",159094,161829,"""doth not leavethe 90 and 9","Sergeant York"
"16",161897,163832,"in the wilderness...""","Sergeant York"
"17",164533,166335,"""and go after thatwhich are lost","Sergeant York"
"18",166336,167169,"until...""","Sergeant York"
"19",173776,175177,"""until he find it?","Sergeant York"
"20",175178,176245,"And when he hath found it,","Sergeant York"
"21",176246,179247,"""he layeth it on his shoulderand rejoiceth,","Sergeant York"
"22",179482,181516,"and when he cometh-""","Sergeant York"
"23",182718,185320,"all right, zeke.Sit yourself down.","Sergeant York"
"24",185321,186955,"""And when he cometh home,","Sergeant York"
"25",186956,189991,"""he calleth togetherhis friends and neighbors,","Sergeant York"
"26",190059,191126,"saying-""","Sergeant York"
"27",191127,193427,"ouch!","Sergeant York"
"28",193696,196630,"""He calleth to his friendsand neighbors,","Sergeant York"
"29",197200,198566,"""saying unto them,rejoice with me,","Sergeant York"
"30",198567,201702,"for i have found my sheepwhich were lost.""","Sergeant York"
"31",205008,208109,"I recollect the timesam hawkins lost his old sow.","Sergeant York"
"32",210013,211146,"He come out one morning.","Sergeant York"
"33",211147,213916,"The pen be busted down.The sow was gone.","Sergeant York"
"34",213917,216751,"Sam lit out after herto find her.","Sergeant York"
"35",218021,220955,"He had 67 other pigsthat didn't run off,","Sergeant York"
"36",221625,224059,"but did sam get downon his marrow bones","Sergeant York"
"37",224060,226895,"and thank the good lordfor that?","Sergeant York"
"38",227363,228496,"No, sirree. Not sam.","Sergeant York"
"39",228497,231399,"He hunted high and lowfor that old s-","Sergeant York"
"40",241912,242945,"as i was saying,","Sergeant York"
"41",242946,245880,"he hunted high and lowfor that old sow.","Sergeant York"
"42",246282,247883,"About all he-","Sergeant York"
"43",265436,267170,"about all he'd donethat summer","Sergeant York"
"44",267171,268637,"was hunt for that sow.","Sergeant York"
"45",268638,270306,"Wouldn't even stop-","Sergeant York"
"46",271208,273943,"wouldn't even stop huntingwhen winter come.","Sergeant York"
"47",273944,274643,"Sure enough,","Sergeant York"
"48",274644,276512,"one night,when he's plowing-","Sergeant York"
"49",277314,280016,"one night when he's plowing homethrough the snow,","Sergeant York"
"50",280017,282552,"he seen something movein the shadows.","Sergeant York"
"51",284221,285488,"Sam's-","Sergeant York"
"52",285489,286889,"sam's right scared.","Sergeant York"
"53",286890,289524,"Figures maybe it's a bear.","Sergeant York"
"54",290261,292562,"Then the-","Sergeant York"
"55",292563,295663,"then the bear grunts,and it ain't no bear at all!","Sergeant York"
"56",296366,297467,"It's the sow!","Sergeant York"
"57",297468,300270,"Well, sam was fittingto be tied-","Sergeant York"
"58",300271,302405,"the rejoicingest manyou ever seen-","Sergeant York"
"59",302406,304808,"10 times as rejoicefulfor the lost one","Sergeant York"
"60",304809,307376,"as for them that stayedin the fold.","Sergeant York"
"61",307377,308644,"Now this here-","Sergeant York"
"62",309513,311180,"now this here-","Sergeant York"
"63",312216,314883,"now this here is the point!","Sergeant York"
"64",324829,327730,"Appears to methe devil be a-knocking","Sergeant York"
"65",328398,331233,"at the doorof a house of worship.","Sergeant York"
"66",331302,334269,"If there's any of youwant to go get him,","Sergeant York"
"67",334271,337339,"you'll be free to gobecause the meeting's over.","Sergeant York"
"68",345182,347651,"Pastor pile, alvin yorkdone shot his initials","Sergeant York"
"69",347652,349886,"in this tree-""a.y."" plain as day.","Sergeant York"
"70",349887,352255,"It were alvin york,ike botkin,","Sergeant York"
"71",352256,354458,"and buck lipscomband their liquor.","Sergeant York"
"72",354459,357159,"Who was you sayingit were?","Sergeant York"
"73",358496,360764,"Who was you sayingit were?","Sergeant York"
"74",360765,362866,"It were alvin,mrs. York.","Sergeant York"
"75",362867,365434,"How be youknowing?","Sergeant York"
"76",370041,371941,"It weren't alvin, mother york.","Sergeant York"
"77",371942,373344,"It were the liquor.","Sergeant York"
"78",373345,374678,"Mighty good shooting","Sergeant York"
"79",374679,376913,"for a manand his liquor,","Sergeant York"
"80",376914,379282,"ain't it?","Sergeant York"
"81",385557,388492,"Up this mountaini wander alone","Sergeant York"
"82",388493,391028,"i'm as drunkas the devil","Sergeant York"
"83",391029,393696,"oh, leave me alone","Sergeant York"
"84",394032,396133,"i'd givethis whole world","Sergeant York"
"85",396134,398902,"if my lulu were here","Sergeant York"
"86",404376,405309,"ha ha ha!","Sergeant York"
"87",405310,408244,"Ooh! That's pretty!Let's hear it again.","Sergeant York"
"88",408246,409947,"I'm a hero champ""ranchero","Sergeant York"
"89",409948,412616,"i'm a heroranchero","Sergeant York"
"90",412617,415785,"rattle attle attle bobalatta bob a-langdom","Sergeant York"
"91",415787,418621,"ring tom bodymetchacambo","Sergeant York"
"92",418656,421458,"took miss mousyon his knee","Sergeant York"
"93",421459,424095,"ring tom bodymetchacambo","Sergeant York"
"94",424096,427163,"pretty miss mousy,won't you marry me?","Sergeant York"
"95",427265,429767,"Ring tom bodymetchacambo","Sergeant York"
"96",429768,432837,"rattle attle attle bobalatta bob a-langdom","Sergeant York"
"97",432838,435672,"ring tom bodymetchacambo","Sergeant York"
"98",435774,438609,"i'm a herocompa}ero","Sergeant York"
"99",439010,441011,"i'm a hero-","Sergeant York"
"100",441012,442279,"howdy, boys.","Sergeant York"
"101",442280,443814,"How's it going?","Sergeant York"
"102",443815,444348,"Howdy, pastor.","Sergeant York"
"103",444349,446451,"Howdy, luke.We were looking for you saturday.","Sergeant York"
"104",446452,448420,"Couldn't get hereno more than fly.","Sergeant York"
"105",448421,450721,"Roads are gettingsoggier and soggier","Sergeant York"
"106",450722,451956,"between here and rugby.","Sergeant York"
"107",451957,452390,"That so?","Sergeant York"
"108",452391,453958,"Water is so deepin some of them creek beds,","Sergeant York"
"109",453959,456293,"had to useold betsy's belly","Sergeant York"
"110",456294,457695,"for a boat.","Sergeant York"
"111",457696,458195,"Hiya, zeke.","Sergeant York"
"112",458196,459964,"I reckon you couldhave got here quicker","Sergeant York"
"113",459965,461466,"if you'd havecarried betsy.","Sergeant York"
"114",461467,462967,"Yeah. I wishedi could get me","Sergeant York"
"115",462968,464135,"another mulelike old flora.","Sergeant York"
"116",464136,467204,"They ain'tturning out mules like they used to.","Sergeant York"
"117",467205,467772,"No, sir.","Sergeant York"
"118",467773,468673,"What you got there,young fellow?","Sergeant York"
"119",468674,471176,"The very latest thingin ladies' hats-","Sergeant York"
"120",471177,472177,"the cloche model.","Sergeant York"
"121",472178,475012,"Womenfolksaround here wear split bonnets.","Sergeant York"
"122",475013,476814,"Young 'unsgoes bareheaded.","Sergeant York"
"123",476815,478483,"Maybe so, but inmodern merchandising,","Sergeant York"
"124",478484,481551,"the storekeeper endeavorsto create a demand.","Sergeant York"
"125",481553,483888,"Now, in this lineof ladies' bloomers-","Sergeant York"
"126",483889,485090,"very moderately priced,","Sergeant York"
"127",485091,487992,"has the finest elasticin the waistband,","Sergeant York"
"128",487993,488826,"also in the knees.","Sergeant York"
"129",488827,491962,"No amount of washingwill make it lose its snap.","Sergeant York"
"130",492465,495433,"Your first tripin these parts, ain't it?","Sergeant York"
"131",495434,497268,"Yes. And we have themin three lovely colors,","Sergeant York"
"132",497269,500504,"which we absolutelyguarantee will not fade or shrink.","Sergeant York"
"133",501174,503675,"Plenty of roomin the seat, too.","Sergeant York"
"134",503676,505043,"I can tell youthese garments","Sergeant York"
"135",505044,507578,"are mighty popularwith the ladies.","Sergeant York"
"136",507579,508779,"You can, huh?","Sergeant York"
"137",508780,509280,"Yes.","Sergeant York"
"138",509281,510781,"Folks hereaboutswouldn't know","Sergeant York"
"139",510782,512184,"what them thingsis for. Lem?","Sergeant York"
"140",512185,513919,"Here'syour nashville papers.","Sergeant York"
"141",513920,514552,"Thank you, pastor.","Sergeant York"
"142",514553,517455,"I got letters herefor tom carver and ed watson-","Sergeant York"
"143",517456,519391,"both back tax bills,i reckon.","Sergeant York"
"144",519392,521894,"What does it say,lem?","Sergeant York"
"145",521895,524228,"Well...","Sergeant York"
"146",526766,529834,"they're a-tellingcordell hull's speechmaking","Sergeant York"
"147",530369,531369,"over at jimtown.","Sergeant York"
"148",531370,534371,"Appears he's out runningfor congress again.","Sergeant York"
"149",534607,535407,"It says-","Sergeant York"
"150",535408,536608,"i mindwhen cord hull","Sergeant York"
"151",536609,538509,"weren't knee-highto a toad frog,","Sergeant York"
"152",538510,539812,"running aroundin his shirttail.","Sergeant York"
"153",539813,542780,"Just goes to show youwhat a fellow can do","Sergeant York"
"154",542816,544282,"if he getsbook learning.","Sergeant York"
"155",544283,545718,"That paper'sfour days old.","Sergeant York"
"156",545719,547052,"I read itover in nashville.","Sergeant York"
"157",547053,549054,"It took luke three daysof mule paddling","Sergeant York"
"158",549055,550989,"to bring the mailfrom rugby.","Sergeant York"
"159",550990,552023,"I can believe that","Sergeant York"
"160",552024,554025,"after drivingover here from jamestown.","Sergeant York"
"161",554026,555561,"Jimtown.","Sergeant York"
"162",555562,557730,"I thoughtit was jamestown.","Sergeant York"
"163",557731,560064,"It are.","Sergeant York"
"164",561234,563736,"Well, anyway,since driving over here,","Sergeant York"
"165",563737,565404,"what i'dlike to know is,","Sergeant York"
"166",565405,566772,"how do you fellows","Sergeant York"
"167",566773,568407,"get intothis valley?","Sergeant York"
