"id","startTime","endTime","text","title"
"1",113490,119287,"Henslowe, do you know what happensto a man who doesnt pay his debts?","Shakespeare in Love"
"2",119371,122248,"His boots catch fire!","Shakespeare in Love"
"3",123751,125710,"Why do you howl...","Shakespeare in Love"
"4",125753,128421,"when it is I who am bitten?","Shakespeare in Love"
"5",128506,131425,"-What am I, Mr. Lambert?-Bitten, Mr. Fennyman.","Shakespeare in Love"
"6",131509,133426,"How badly bitten, Mr. Frees?","Shakespeare in Love"
"7",133510,136514,"12 pounds, 1 schilling and 4 pence,Mr. Fennyman, including interest.","Shakespeare in Love"
"8",136514,138431,"-Aaah! I can pay you!-When?","Shakespeare in Love"
"9",138473,141685,"Two weeks! Three weeks at the most!Oh, for pitys sake!","Shakespeare in Love"
"10",141769,143937,"Take them out.","Shakespeare in Love"
"11",144021,145939,"Where will you find...","Shakespeare in Love"
"12",146022,147983,"16 pounds, 5 schillings and 9 pence...","Shakespeare in Love"
"13",148025,150026,"Including interest, in 3 weeks?","Shakespeare in Love"
"14",150026,152780,"-I have a wonderful new play.-Put them back in.","Shakespeare in Love"
"15",152820,154823,"-Its a comedy!-Cut off his nose.","Shakespeare in Love"
"16",154823,157742,"Its a new comedyby William Shakespeare.","Shakespeare in Love"
"17",159453,161454,"-And his ears.-And a share!","Shakespeare in Love"
"18",161454,163706,"We will be partners, Mr. Fennyman!","Shakespeare in Love"
"19",165376,167002,"Partners?","Shakespeare in Love"
"20",170881,173300,"Its a crowd-tickler.","Shakespeare in Love"
"21",173384,176679,"Mistaken identities.Shipwreck. Pirate king.","Shakespeare in Love"
"22",176719,179889,"-A bit with a dog, and love triumphant.-I think I've seen it.","Shakespeare in Love"
"23",179889,181641,"I didnt like it.","Shakespeare in Love"
"24",181683,185437,"-But this time it is by Shakespeare.-Whats it called?","Shakespeare in Love"
"25",185520,188314,"""Romeo and Ethel,the Pirates Daughter"".","Shakespeare in Love"
"26",188399,190484,"Good title.","Shakespeare in Love"
"27",190568,193987,"A play takes time.Find the actors, rehearsals.","Shakespeare in Love"
"28",193987,196365,"Lets say we open in 2 weeks.","Shakespeare in Love"
"29",196490,198992,"Thats, what, 500 groundlingsat tuppence a head.","Shakespeare in Love"
"30",198992,202663,"In addition, 400 backsides atthree pence, a penny extra for cushions.","Shakespeare in Love"
"31",202704,204664,"Call it, uh, 200 cushions.","Shakespeare in Love"
"32",204747,208586,"Say two performances for safety.How much is that, Mr. Frees?","Shakespeare in Love"
"33",208586,211713,"-20 pounds to the penny, Mr. Fennyman.-Correct.","Shakespeare in Love"
"34",211796,214925,"-But I have to pay the actors and the author.-Share of the profits.","Shakespeare in Love"
"35",214925,217427,"-Theres never any...-Of course not.","Shakespeare in Love"
"36",219013,221973,"Mr. Fennyman, I think youmight have hit upon something.","Shakespeare in Love"
"37",222015,223893,"Sign there.","Shakespeare in Love"
"38",228271,231859,"So, ""Romeo and Ethel,the Pirates Daughter"".","Shakespeare in Love"
"39",232817,233860,"Almost finished?","Shakespeare in Love"
"40",233860,237448,"Without doubt hes completingit at this very moment.","Shakespeare in Love"
"41",274735,278738,"Subtitles by ADONI@","Shakespeare in Love"
"42",295630,298591,"Will. Will!","Shakespeare in Love"
"43",299718,301177,"Where is my play?","Shakespeare in Love"
"44",301177,304514,"Tell me you have it nearly done.Tell me you have it started.","Shakespeare in Love"
"45",304514,307976,"Doubt that the stars are fire,doubt that the sun doth move.","Shakespeare in Love"
"46",307976,310771,"No, no, we havent the time.Talk prose.","Shakespeare in Love"
"47",310812,312730,"Where is my play?","Shakespeare in Love"
"48",312814,315442,"-It is all locked safe in here.-God be praised.","Shakespeare in Love"
"49",315442,317319,"Locked?","Shakespeare in Love"
"50",317403,320822,"-As soon as I find my muse.-Who is she this time?","Shakespeare in Love"
"51",320822,322740,"She is always Aphrodite.","Shakespeare in Love"
"52",322824,325661,"Aphrodite Baggot, who does itbehind the Dog and Trumpet?","Shakespeare in Love"
"53",325661,328747,"Henslowe, you have no soul...","Shakespeare in Love"
"54",328831,332584,"so how can you understandthe emptiness that seeks a soul mate?","Shakespeare in Love"
"55",332584,334502,"Ow! Will!","Shakespeare in Love"
"56",334586,337505,"I am a dead man and buggered to boot.","Shakespeare in Love"
"57",337590,340091,"My theater is closed by the plaguethese twelve weeks.","Shakespeare in Love"
"58",340134,343095,"My actors are forced to tourthe inn yards of England...","Shakespeare in Love"
"59",343095,346098,"while Mr. Burbage and the ChamberlainsMen are invited to court...","Shakespeare in Love"
"60",346098,349100,"and receive 10 poundsto play your piece...","Shakespeare in Love"
"61",349100,352103,"written for my theater,by my writer, at my risk...","Shakespeare in Love"
"62",352103,354105,"when you were green and grateful.","Shakespeare in Love"
"63",354105,357108,"-What piece? ""Richard Crookback""?-No! It's comedy they want.","Shakespeare in Love"
"64",357108,359028,"Like ""Romeo and Ethel"".","Shakespeare in Love"
"65",359110,362113,"-Who wrote that?-Nobody. You were writing it for me.","Shakespeare in Love"
"66",362113,365117,"-I gave you 3 pound a month since.-Half what you owe me.","Shakespeare in Love"
"67",365117,367536,"I'm still due for""One Gentleman of Verona"".","Shakespeare in Love"
"68",367536,371040,"What is money to you and me?I, your patron, you, my word Wright.","Shakespeare in Love"
"69",371040,372958,"When the plague lifts...","Shakespeare in Love"
"70",373041,376045,"Burbage will have a new playby Christopher Marlowe for the ""Curtain"".","Shakespeare in Love"
"71",376045,378047,"-I will have nothing for the ""Rose"".-Mr. Henslowe.","Shakespeare in Love"
"72",378047,380716,"-Will you lend me 50 pounds?-50 pounds? What for?","Shakespeare in Love"
"73",380757,383052,"Burbage offers me a partnershipin the Chamberlains Men.","Shakespeare in Love"
"74",383052,387014,"For 50 pounds, my daysas a hired player are over.","Shakespeare in Love"
"75",387055,389934,"Oh, cut out my heart.Throw my liver to the dogs.","Shakespeare in Love"
"76",390016,391935,"No, then?","Shakespeare in Love"
"77",392019,394980,"Theaters are handmaidens of the devil!","Shakespeare in Love"
"78",395064,399692,"The players breed lewdness in your wivesand wickedness in your children!","Shakespeare in Love"
"79",399692,404281,"And the ""Rose"" smellsthusly rank by any name!","Shakespeare in Love"
"80",404365,408994,"I say, a plague on both their houses!","Shakespeare in Love"
"81",409077,410995,"Where are you going?","Shakespeare in Love"
