"id","startTime","endTime","text","title"
"1",53059,57337,"Once upon a time in akingdom far, far away,","Shrek 2"
"2",57605,61803,"the king and queen were blessedwith a beautiful baby girl.","Shrek 2"
"3",62067,65616,"And throughout the land,everyone was happy...","Shrek 2"
"4",65864,67775,"until the sun went down","Shrek 2"
"5",67949,71828,"and they saw that their daughter wascursed with a frightful enchantment","Shrek 2"
"6",72078,74990,"that took hold eachand every night.","Shrek 2"
"7",76749,80105,"Desperate, they sought thehelp of a fairy godmother","Shrek 2"
"8",80335,83168,"who had them lock the youngprincess away in a tower,","Shrek 2"
"9",83380,87009,"there to await the kiss... ofthe handsome Prince Charming.","Shrek 2"
"10",90554,93227,"It was he who would chancethe perilous journey","Shrek 2"
"11",93432,95992,"through blistering coldand scorching desert","Shrek 2"
"12",96184,98379,"travelling for manydays and nights,","Shrek 2"
"13",98561,100631,"risking life and limb","Shrek 2"
"14",101439,104192,"to reach the Dragon's keep.","Shrek 2"
"15",108655,111169,"For he was the bravest,","Shrek 2"
"16",111366,113880,"and most handsome...","Shrek 2"
"17",116746,118623,"in all the land.","Shrek 2"
"18",118789,121349,"And it was destiny that his kiss","Shrek 2"
"19",122543,125694,"would break the dreaded curse.","Shrek 2"
"20",125921,131473,"He alone would climb to thehighest room of the tallest tower","Shrek 2"
"21",131802,136080,"to enter the princess's chambers, crossthe room to her sleeping silhouette,","Shrek 2"
"22",136348,139340,"pull back the gossamer curtains to find her...","Shrek 2"
"23",140519,141554,"What?","Shrek 2"
"24",141687,145123,"- Princess... Fiona?- No!","Shrek 2"
"25",145357,148315,"Oh, thank heavens. Where is she?","Shrek 2"
"26",148527,152566,"- She's on her honeymoon.- Honeymoon? With whom?","Shrek 2"
"27",166294,169650,"So she said what'sthe problem, baby?","Shrek 2"
"28",169881,171553,"What's the problem?I don't know.","Shrek 2"
"29",171716,173672,"Well, maybe I'm in love.","Shrek 2"
"30",173843,176152,"Think about it everytimeI think about it.","Shrek 2"
"31",176346,178576,"Can't stop thinking about it.","Shrek 2"
"32",178765,181757,"How much longer willit take to cure this?","Shrek 2"
"33",181976,184490,"Just to cure it, 'causeI can't ignore it.","Shrek 2"
"34",184687,185961,"If it's love, love.","Shrek 2"
"35",186105,188300,"Makes me wanna turnaround and face me.","Shrek 2"
"36",188482,190950,"But I don't knownothing about love.","Shrek 2"
"37",191152,192870,"Oh, come on, come on","Shrek 2"
"38",193029,195145,"Turn a little faster.","Shrek 2"
"39",195323,196756,"Come on, come on.","Shrek 2"
"40",196907,198898,"The world will follow after.","Shrek 2"
"41",199076,200475,"Come on, come on.","Shrek 2"
"42",200619,205135,"Everybody's after love.","Shrek 2"
"43",209794,213184,"So I said I'm asnowball running.","Shrek 2"
"44",213424,217053,"Running down into this springthat's coming all this love.","Shrek 2"
"45",217302,220578,"Melting under blue skiesbelting out sunlight.","Shrek 2"
"46",220805,222761,"Shimmering love.","Shrek 2"
"47",222932,224570,"Well, baby, I surrender.","Shrek 2"
"48",224726,226682,"To the strawberry ice cream.","Shrek 2"
"49",226853,229686,"Never ever end ofall this love.","Shrek 2"
"50",229897,231728,"Well, I didn't mean to do it.","Shrek 2"
"51",231900,235097,"But there's noescaping your love.","Shrek 2"
"52",235945,239938,"These lines of lightningmean we're never alone.","Shrek 2"
"53",240199,242508,"Never alone, no, no.","Shrek 2"
