"id","startTime","endTime","text","title"
"1",205384,206509,"Where are they?","Signs"
"2",206586,207610,"I don't know.","Signs"
"3",207687,209120,"Dad!","Signs"
"4",209188,211180,"Uncle Merrill!","Signs"
"5",211258,213920,"Dad!","Signs"
"6",217930,219420,"Morgan!","Signs"
"7",231377,232811,"Bo? Bo?","Signs"
"8",232878,235006,"Bo, where's Morgan?","Signs"
"9",235081,236069,"Bo?","Signs"
"10",236149,238276,"Are you in my dream,too?","Signs"
"11",238350,240717,"- This is not a dr...- Dad!","Signs"
"12",240787,242117,"Hey...","Signs"
"13",242187,243746,"Honey...","Signs"
"14",247627,250460,"Morgan?What's happening?","Signs"
"15",250530,253328,"The dogs were barking...woke us up.","Signs"
"16",255602,257365,"Are you hurt?","Signs"
"17",257437,260634,"I think God did it.","Signs"
"18",260706,262971,"Did what, Morgan?","Signs"
"19",341286,344255,"Look, Lee, I don't even careif it was him.","Signs"
"20",344324,346884,"And you can just havea word with him,","Signs"
"21",346959,348951,"and that'd be enough for me.","Signs"
"22",349028,352987,"See, it was strangefinding the crops that way.","Signs"
"23",353066,355432,"The kids were confused by it,","Signs"
"24",355502,357800,"and, uh, it'd sure takethe strangeness away","Signs"
"25",357870,361567,"if I knew it was justLionel and the Wolfington
brothers messing around,","Signs"
"26",361641,362834,"that's all.","Signs"
"27",364343,366504,"At the movies?","Signs"
"28",366579,369274,"Are you sure?","Signs"
"29",369348,371146,"All right, then.","Signs"
"30",371216,373185,"Uh, thanks foryour patience, Lee.","Signs"
"31",373252,374776,"Yeah. Bye.","Signs"
"32",379192,383389,"Houdini peed.I think he's sick.","Signs"
"33",383463,386398,"Why don't you take him outside?I'll call Dr. Crawford.","Signs"
"34",386466,388127,"He doesn't treat animals.","Signs"
"35",388201,390225,"Well, he'll knowwhat to do.","Signs"
"36",406552,408110,"Oh. That was quick,Caroline.","Signs"
"37",408187,410156,"I only called you folkstwo hours ago.","Signs"
"38",410223,412783,"Old Mrs. Kendlemantwisted her ankle,","Signs"
"39",412858,415350,"as she puts it,diving for her life","Signs"
"40",415427,419728,"when a bunch of school kidsrode down the sidewalk
on skateboards.","Signs"
"41",419798,422824,"She went down to Thornton'sstore this morning","Signs"
"42",422901,426201,"and started spittingon the new skateboards.","Signs"
"43",426271,427829,"Spitting!","Signs"
"44",427906,429396,"By the time I got there,","Signs"
"45",429475,432536,"Mrs. Kendleman had sprayedthe whole damned place.","Signs"
"46",432612,435274,"And she must have hada cold or something.","Signs"
"47",435348,439011,"I'm telling you,I won't eat for a week.","Signs"
"48",441487,444786,"So, what happenedto your crops?","Signs"
"49",448293,451228,"Dad's gonna burn theseagain.","Signs"
"50",459471,461439,"It's contaminated.","Signs"
"51",461507,463805,"You don't even knowwhat that word means.","Signs"
"52",466245,467973,"It's not contaminated.","Signs"
"53",468047,471072,"It's just tap water.Pour it in his bowl.","Signs"
"54",471149,472514,"It tastes funny.","Signs"
"55",472584,473812,"It does not.","Signs"
"56",473886,475853,"And besides, he lickshis butt every day.","Signs"
"57",475922,477582,"I don't think he'll mind.","Signs"
"58",494639,496903,"Houdini?","Signs"
"59",496975,499500,"Bo, don't run.","Signs"
"60",499579,500875,"What's wrong, boy?","Signs"
"61",502514,503742,"Stop it, Houdini.","Signs"
"62",509322,514384,"Look at whereit's bent over, Father.","Signs"
"63",514460,517394,"It's not broken.","Signs"
"64",517462,522594,"Now, what kind of machinecan bend a stalk of corn
over without breaking it?","Signs"
"65",522668,525568,"Can't be by hand.It's too perfect.","Signs"
"66",525638,528629,"It doesn't sound muchlike Lionel Prichard and
the Wolfington brothers.","Signs"
"67",528707,530265,"They can't take a piss","Signs"
"68",530342,533335,"without wettingthe front of their pants.","Signs"
"69",533412,536711,"I don't think anyoneelse around here has
had any problems.","Signs"
