"id","startTime","endTime","text","title"
"1",440,440,"","Silver Linings Playbook"
"2",440,7464,"Created By : UsmanTitle : Silver inings Playbook","Silver Linings Playbook"
"3",16324,20027,"PAT: What, are you kidding me? Sundays?I love Sundays. I live for Sundays.","Silver Linings Playbook"
"4",20269,23782,"The whole family's together. Mom makesbraciole. Dad puts the jersey on.","Silver Linings Playbook"
"5",24018,27184,"We're all watching the game. Yeah,it drives me crazy, and yes,","Silver Linings Playbook"
"6",27486,30541,"I was negative. You didn't even knowthat I loved it, Nikki, but I did.","Silver Linings Playbook"
"7",31077,32963,"I just didn't appreciate it,or you, before. ","Silver Linings Playbook"
"8",33917,35581,"Come on. Time to go.","Silver Linings Playbook"
"9",38033,42307,"I lost all that. I blew it. But youalso blew it. We can get it back.","Silver Linings Playbook"
"10",42651,44710,"We're gonna get it back.It's all gonna be better now.","Silver Linings Playbook"
"11",45304,48975,"I'm better now and I hope you are,too. And I'm gonna appreciate--","Silver Linings Playbook"
"12",49362,50423,"Hey, I'll be there in a minute, okay?","Silver Linings Playbook"
"13",50789,52127,"Doctor's waiting. Let's go.","Silver Linings Playbook"
"14",53517,54313,"I'll be there in a minute.","Silver Linings Playbook"
"15",57247,59076,"That's true love.","Silver Linings Playbook"
"16",90748,93754,"DANNY: Yeah, that's when I had long hair.People say I talk about my hair too much.","Silver Linings Playbook"
"17",93909,96743,"And it was just the way I wanted it,but he cut it back too far.","Silver Linings Playbook"
"18",96920,99406,"He cut this side back too far trying toeven it up. I didn't tell him to do that.","Silver Linings Playbook"
"19",99557,100783,"I said, Just cut it the way you cut it... . ","Silver Linings Playbook"
"20",101156,102984,"PAT: Once you get in the right frameof mind, I think anything's possible.","Silver Linings Playbook"
"21",103200,106759,"I think we get, we so often get caughtin this state of negativity and","Silver Linings Playbook"
"22",106905,108709,"it's a, it's a poison like nothing else.","Silver Linings Playbook"
"23",122750,125658,"DR. TIMBERS:... technically, you can takehim out against our recommendation,","Silver Linings Playbook"
"24",125849,128412,"but you assume a lot of liabilityin the eyes of the court.","Silver Linings Playbook"
"25",128592,130687,"And he's just getting usedto the routine here.","Silver Linings Playbook"
