"id","startTime","endTime","text","title"
"1",112769,114839,"Gentlemen. Emir Hassan.","Sirocco"
"2",121249,122602,"Gentlemen.","Sirocco"
"3",123009,125603,"You representEnglish and American newspapers.","Sirocco"
"4",126169,127727,"You ask for an interview.","Sirocco"
"5",127809,130369,"You want to know whywe Syrians fight the French.","Sirocco"
"6",130929,132567,"You may tell your people...","Sirocco"
"7",132649,135322,"...we fightbecause they have invaded our country.","Sirocco"
"8",135409,137479,"They want to govern us, tell us what to do.","Sirocco"
"9",137569,139207,"We want to govern ourselves.","Sirocco"
"10",139289,141325,"We want Syria for ourselves.","Sirocco"
"11",141489,145482,"We fight to throw out our enemies.To recapture our freedom.","Sirocco"
"12",146049,147368,"And we will win...","Sirocco"
"13",147729,151119,"...because God and justice are on our side.","Sirocco"
"14",151809,154687,"France is not in Syria as an enemy.","Sirocco"
"15",154929,158126,"We come because of a mandategranted to us by the League of Nations...","Sirocco"
"16",158209,161565,"...which Emir Hassan and his followersrefuse to recognise.","Sirocco"
"17",162449,165839,"We are here because it's our duty.We intend to fulfil that duty.","Sirocco"
"18",166849,169522,"With divine guidance, victory will be ours.","Sirocco"
"19",207809,209720,"He says the curfew spoils his business.","Sirocco"
"20",209809,212767,"If he waits for the sun to come up,his fish will stink.","Sirocco"
"21",212969,215199,"Tell him his fish stink already.","Sirocco"
"22",313249,314807,"I've tried appealing to reason.","Sirocco"
"23",315569,317127,"I've offered concessions.","Sirocco"
"24",319329,321445,"I've posted proclamations.","Sirocco"
"25",322249,325366,"Now I am forced to resortto more drastic measures.","Sirocco"
"26",326489,329526,"I have here a list ofprominent Druze sympathisers.","Sirocco"
"27",329649,332038,"I want them taken into custody immediately.","Sirocco"
"28",332129,335678,"Today at noon, six of them will belined up against a wall in the square...","Sirocco"
"29",335769,337725,"...where our men were murdered.","Sirocco"
"30",337809,340801,"The remaining will be forcedto witness their execution.","Sirocco"
"31",341569,343639,"- Do I make myself clear?- Yes, sir.","Sirocco"
"32",344129,346359,"I want one last proclamation posted.","Sirocco"
"33",347449,348882,"From today on...","Sirocco"
"34",348969,353201,"...for every Frenchman murdered,we will execute five Syrian hostages.","Sirocco"
"35",354569,356799,"There's a language they should understand.","Sirocco"
"36",356889,360086,"That's the fourth patrolthey've shot up in 10 days.","Sirocco"
"37",360169,363241,"My orders areto stop Arab resistance in this area.","Sirocco"
"38",363329,366639,"That's exactly what I intend to do.Thank you, gentlemen.","Sirocco"
"39",370729,371764,"Feroud.","Sirocco"
"40",373009,374203,"Yes, sir.","Sirocco"
"41",375729,378402,"Why don't you say it! Go ahead and say it!","Sirocco"
"42",378489,381003,"This hostage businessmakes you want to vomit.","Sirocco"
"43",381089,385287,"On the contrary, I thinkit's an excellent idea, as far as it goes.","Sirocco"
"44",385369,387803,"But why shoot only five hostages?","Sirocco"
"45",387889,390961,"Why not 10?Or even 20 for every soldier killed?","Sirocco"
"46",391049,393483,"In no time,you'll have the population of Damascus...","Sirocco"
"47",393569,395924,"...against the walls,and you've ended all resistance.","Sirocco"
"48",396009,400799,"My soldiers didn't survive Verdunto have their throats cut in this hole.","Sirocco"
"49",405889,407038,"Sit down.","Sirocco"
"50",415449,417917,"Do you think I like to slaughter civilians?","Sirocco"
"51",418089,419442,"The Syrians will think so.","Sirocco"
"52",419529,421997,"They don't think.They're guerrillas, bandits.","Sirocco"
"53",422089,424364,"They consider themselves patriots.","Sirocco"
"54",424449,426121,"We French came along with a mandate...","Sirocco"
"55",426209,429884,"They don't like it, and they don't trust us!I know all that!","Sirocco"
"56",430049,433564,"I know how to make them happy, too.Pack up my army and march out.","Sirocco"
"57",434529,438966,"If I may say so, there is another way.You could send me to see Emir Hassan.","Sirocco"
"58",439049,440607,"You never let go of an idea, do you?","Sirocco"
"59",440689,442680,"It still isn't too late to arrange a truce.","Sirocco"
"60",442769,446444,"You'd only get your throat cut.You know what a butcher he is.","Sirocco"
"61",447009,450445,"I wonder what they'll call youafter you execute those hostages.","Sirocco"
"62",451769,455921,"Never mind what they'll call me.I'm only concerned with doing my duty.","Sirocco"
"63",458209,461167,"What about the men who are supplying themguns and ammunition?","Sirocco"
