"id","startTime","endTime","text","title"
"1",0,4000,"I'm comin' over underneath you.You just slide right on over.","Smokey and the Bandit"
"2",4200,6700,"I think I'm in love with your belt buckle.","Smokey and the Bandit"
"3",11400,14200,"Close. Colourful, but close.","Smokey and the Bandit"
"4",24400,27600,"I like this seat better anyway.","Smokey and the Bandit"
"5",27700,30300,"Yes, have a smoke. It seems to help.","Smokey and the Bandit"
"6",31200,33100,"Come on, defencel","Smokey and the Bandit"
"7",34700,36300,"Come on, Billy Ray, get toughl","Smokey and the Bandit"
"8",36500,39900,"You know, I wanted to bea high-fashion model once.","Smokey and the Bandit"
"9",40100,45200,"But, hell, how long can youmodel clothes for 8-year-olds? Boys.","Smokey and the Bandit"
"10",45300,49500,"Besides that my cheeks were too fat.These cheeks, these.","Smokey and the Bandit"
"11",51100,53600,"Aarghhhl","Smokey and the Bandit"
"12",54600,57900,"- Oh, my goodness, we're airborne here.- Jesus Christl","Smokey and the Bandit"
"13",58100,62800,"- Oh, look, a football gamel- There's kidsl For Christ's sake, watch outl","Smokey and the Bandit"
"14",62900,66700,"- Don't hit the kidsl- Get your hands off my wheel!","Smokey and the Bandit"
"15",66800,69400,"Lean to the left, lean to the right...","Smokey and the Bandit"
"16",80300,84900,"Stand up there and see if you can seewhere the hell they went.","Smokey and the Bandit"
"17",85600,90100,"- Can you see anything?- It's a football game. Can we watch, Daddy?","Smokey and the Bandit"
"18",90200,93800,"- You stay and watch. I'm goin' backl- But, Daddy...","Smokey and the Bandit"
"19",100100,104100,"Bandit, you're recklessand you live much too hard","Smokey and the Bandit"
"20",104300,107000,"Oughta be in Nashville.","Smokey and the Bandit"
"21",107200,110800,"(BANDIT) Snowma n, are ya out there, son?What's your 20? Where are you?","Smokey and the Bandit"
"22",111900,116000,"I'm at mile marker 85. Come back.","Smokey and the Bandit"
"23",116200,119100,"Son-of-a-gun! So am I!","Smokey and the Bandit"
"24",122500,126800,"Well, damned if ya ain't.Damned if ya ain't.","Smokey and the Bandit"
"25",146700,148900,"Cledus... This is Frog.","Smokey and the Bandit"
"26",149200,151900,"Hello, Frog. I want youto meet Fred, Frog.","Smokey and the Bandit"
"27",152100,155600,"- This is for Fred.- Frog, feed Fred.","Smokey and the Bandit"
"28",155700,158300,"What's wrong with you? You were gonnadump the chick at the truck stop.","Smokey and the Bandit"
"29",158400,162600,"- I ran into complications.- You always run into complications.","Smokey and the Bandit"
"30",162700,165900,"Always the same, some chick.We ain't doin' good time.","Smokey and the Bandit"
"31",166000,169600,"- What are we yappin' for?- It's the chick.","Smokey and the Bandit"
"32",172300,175500,"- Switch down to the next channel, right?- Yeah.","Smokey and the Bandit"
"33",176700,179800,"(WHISPERING)Hey, Bandit? Nice ass.","Smokey and the Bandit"
"34",179900,182300,"- Thanks a lot.- Thanks a lot.","Smokey and the Bandit"
"35",191900,196600,"All right Fred. Come on.Let's go, boy. Come on.","Smokey and the Bandit"
"36",196700,199100,"Fred, I'm tired of pickin' you up... Fredl","Smokey and the Bandit"
"37",202800,206700,"- Did Cledus call you a legend?- Uh-huh.","Smokey and the Bandit"
"38",207500,212600,"- Why?- Well, I used to do some crazy things.","Smokey and the Bandit"
"39",212800,214800,"- I used to.- Oh.","Smokey and the Bandit"
"40",218600,220100,"So did I.","Smokey and the Bandit"
"41",220300,225300,"One, two, three, four,five, six, seven, eight.","Smokey and the Bandit"
"42",225500,228000,"One, two... I'm a gypsy... four.","Smokey and the Bandit"
"43",228200,232800,"That's someone who goes from chorus lineto chorus line... six, seven, eight.","Smokey and the Bandit"
"44",234900,239500,"- You know, I was on Broadway once.- Really?","Smokey and the Bandit"
"45",239700,242500,"- For almost 12 minutes.- Oh.","Smokey and the Bandit"
"46",242600,245200,"The show closed the first night.","Smokey and the Bandit"
"47",245300,251200,"But, God, I was so good. You shouldaseen me. You'd have loved me.","Smokey and the Bandit"
"48",257400,261400,"What do you do? Straight.","Smokey and the Bandit"
"49",265300,270800,"I just go from place to placeand... do what I do best.","Smokey and the Bandit"
"50",271600,274800,"- What's that?- Show off.","Smokey and the Bandit"
"51",278900,282100,"Yeah. You do do that well.","Smokey and the Bandit"
"52",285300,287300,"You do.","Smokey and the Bandit"
"53",288500,291600,"So do I.Five, six, seven, eight.","Smokey and the Bandit"
"54",291700,295600,"- For almost 12 minutes.- Oh, shut upl","Smokey and the Bandit"
"55",298100,302700,"Come here, Fred. Come here, boy.Fred, don't you make me come after you.","Smokey and the Bandit"
"56",303500,307100,"Get over here, Fredl Come here.","Smokey and the Bandit"
"57",307300,312200,"I'm in a hurry, and you want to swim.You're drivin' me crazy, Fred.","Smokey and the Bandit"
"58",314300,316100,"(FRED WHIMPERS)","Smokey and the Bandit"
"59",316300,322300,"What is the matter with you, Fred?That's it for you and the truck drivin'I","Smokey and the Bandit"
"60",330800,334200,"Look, I've got to go 10-100.Could I have a dime?","Smokey and the Bandit"
"61",334400,338100,"- Crawl under.- Terrific","Smokey and the Bandit"
"62",338300,340800,"""Crawl under.""","Smokey and the Bandit"
"63",347600,351500,"- TransAml What's your pleasure?- Fill it up, my man.","Smokey and the Bandit"
"64",352900,355200,"Gimme that talker.","Smokey and the Bandit"
"65",358000,360800,"Hello? Mr Bandit?","Smokey and the Bandit"
"66",361900,364800,"Would you just happento be listenin' out there?","Smokey and the Bandit"
"67",365000,366700,"Can you hear me, boy?","Smokey and the Bandit"
"68",369000,371500,"This is the Bandit.Who've I got at that end?","Smokey and the Bandit"
"69",372300,375600,"This is Sheriff Buford T. Justiceof Texas.","Smokey and the Bandit"
"70",375700,379200,"Well, hot damn.Welcome to Mississippi, Sheriff.","Smokey and the Bandit"
"71",379400,380900,"Thank you, Mr Bandit.","Smokey and the Bandit"
"72",381100,385700,"And I got a big welcome waitin' for youwhen I get you back home,","Smokey and the Bandit"
"73",385900,387700,"you sombitchl","Smokey and the Bandit"
"74",387900,390000,"Don't you cusson this here radio.","Smokey and the Bandit"
"75",390100,394800,"I apologise to all the friendly folkwho are listenin'.","Smokey and the Bandit"
"76",395000,399600,"Now hear this, you tick turd:I'm gonna get you.","Smokey and the Bandit"
"77",399700,404600,"I didn't come all the way this farto go home with empty pockets.","Smokey and the Bandit"
"78",404800,408200,"I been meanin' to ask you that.How come you're followin' me?","Smokey and the Bandit"
"79",408400,412000,"I'd be delighted to tell you, Mr Bandit.","Smokey and the Bandit"
"80",412200,416700,"You see, when I get you back home,","Smokey and the Bandit"
"81",416900,420800,"I'm gonna find the tallest treein the country,","Smokey and the Bandit"
"82",420900,425700,"and then I'm gonna hang you from it","Smokey and the Bandit"
"83",425800,428400,"- Sheriff?- I'm listenin'.","Smokey and the Bandit"
"84",428500,431300,"Do the letters F.O.mean anything to you?","Smokey and the Bandit"
"85",435200,437600,"Smart aleck.","Smokey and the Bandit"
"86",439700,442000,"You keep this one for yourself.","Smokey and the Bandit"
"87",442200,447000,"- Have a smooth ride, Mr Bandit.- Thank you, partner.","Smokey and the Bandit"
"88",451500,453200,"Oofl","Smokey and the Bandit"
"89",458000,459700,"Snowma n, I'm right beside you.","Smokey and the Bandit"
"90",459900,462900,"Looks like we got a clear shotall the way to the 'Bama state line.","Smokey and the Bandit"
"91",463100,467800,"(CLEDUS) Oh, a clear shot?I'm gonna believe that when I see it","Smokey and the Bandit"
"92",468000,472800,"This is Sheriff Buford T. Justiceputtin' out an all-point advisory.","Smokey and the Bandit"
"93",473000,478000,"That black TransAm is nowheaded toward Alabama.","Smokey and the Bandit"
"94",478900,481400,"What happened, Daddy?","Smokey and the Bandit"
"95",481700,484700,"Get back in the goddamn car.","Smokey and the Bandit"
"96",488700,492800,"You know who I feel has revolutionisedthe American musical theatre?","Smokey and the Bandit"
"97",493000,496000,"- Stephen Sondheim.- Yeah?","Smokey and the Bandit"
"98",496200,498900,"- Who's that?- Stephen Sondheim?","Smokey and the Bandit"
"99",499000,501900,"- Does he do a lot of musicals and stuff?- Yeah.","Smokey and the Bandit"
"100",502100,505200,"- He ever do anything with Brenda Lee?- Does she dance?","Smokey and the Bandit"
"101",505400,509300,"- She spins. She's a little spinner.- Oh, they were a good group.","Smokey and the Bandit"
"102",509400,511400,"- The Spinners were good. Yeah.- Yeah.","Smokey and the Bandit"
"103",511600,513800,"(FROG)Have you ever been in any plays?","Smokey and the Bandit"
"104",514000,517700,"Holy shit. We gota lot of company up there.","Smokey and the Bandit"
"105",517900,519900,"A lot of company.","Smokey and the Bandit"
"106",520200,523500,"- Sarge, here he comes.- Yeah, I got eyes.","Smokey and the Bandit"
"107",523700,525200,"(BRAKES SQUEAL)","Smokey and the Bandit"
"108",528700,531200,"(ENGINE IDLES)","Smokey and the Bandit"
"109",535600,539400,"- Are you ready, Roy?- I was born ready.","Smokey and the Bandit"
