"id","startTime","endTime","text","title"
"1",33320,34469,"Mrs. Yepremian","Snow Dogs"
"2",34520,36112,"I would likeyou to meet","Snow Dogs"
"3",36160,37718,"my new associate, Dr. Brooks.","Snow Dogs"
"4",37760,39113,"He's here for Career Day.","Snow Dogs"
"5",39160,40718,"Aw.","Snow Dogs"
"6",40760,42159,"He's adorable.","Snow Dogs"
"7",42200,44077,"He wants to bea dentist","Snow Dogs"
"8",44120,45553,"just like his dad.","Snow Dogs"
"9",45600,47750,"All right, let's seewhat's going on in there.","Snow Dogs"
"10",47800,49392,"Oh, boy.","Snow Dogs"
"11",49440,52398,"Aah... Dr. Brooks,is this gonna hurt?","Snow Dogs"
"12",52440,53953,"I'm afraid just a little.","Snow Dogs"
"13",54000,55149,"More than a tickle","Snow Dogs"
"14",55200,57589,"but way less thanpaying your taxes.","Snow Dogs"
"15",59040,60519,"That's right.","Snow Dogs"
"16",60560,62391,"All right,let's see.","Snow Dogs"
"17",64280,66555,"Dr. Brooks!","Snow Dogs"
"18",66600,67828,"I think I need a second opinion.","Snow Dogs"
"19",67880,69711,"- Me?- Mm-hmm.","Snow Dogs"
"20",69760,73639,"Son, if you wantto be a great dentist","Snow Dogs"
"21",73680,76035,"never forgetthe personal touch.","Snow Dogs"
"22",77840,79159,"Here.","Snow Dogs"
"23",83600,84828,"Ah...","Snow Dogs"
"24",91440,92668,"Ah!","Snow Dogs"
"25",98400,99355,"Oh!","Snow Dogs"
"26",99400,101630,"Mmm","Snow Dogs"
"27",101680,107198,"La-la-la-la-la, la-la-la","Snow Dogs"
"28",108680,111114,"Walking down the boulevard","Snow Dogs"
"29",111160,114675,"I don't needno lucky charm today","Snow Dogs"
"30",114720,117632,"Not today","Snow Dogs"
"31",117680,120148,"'Cause I got rhythmin my feet","Snow Dogs"
"32",120200,122191,"I got my pocketsfull of green today...","Snow Dogs"
"33",122240,123195,"Hello, ladies!","Snow Dogs"
"34",123240,124195,"- Oh.- Hi.","Snow Dogs"
"35",124240,125798,"Beautiful day in Miami.","Snow Dogs"
"36",125840,128798,"I'm gonna see my little girlbefore the sun goes down","Snow Dogs"
"37",128840,132799,"And there's nothir left to dobut to do the town today","Snow Dogs"
"38",132840,135673,"What a day","Snow Dogs"
"39",135720,138837,"I'm gonna meet her at thestation at a quarter to three","Snow Dogs"
"40",138880,140438,"'Cause she'sfinally comir back","Snow Dogs"
"41",140480,143677,"Comir back to me today","Snow Dogs"
"42",143720,146792,"La-da-la-la-la-la-la-la-la","Snow Dogs"
"43",148800,152634,"La-da-la-la-la-la-la-la-la","Snow Dogs"
"44",152680,157993,"La-da-la-la-la-la-la-la-la","Snow Dogs"
"45",158040,158995,"Whoo!","Snow Dogs"
"46",159040,160473,"Just to have her to myself","Snow Dogs"
"47",160520,164672,"Just to feelthe way I felt again","Snow Dogs"
"48",164720,167359,"Once again","Snow Dogs"
"49",167400,169231,"To you, my friend,I must confess","Snow Dogs"
"50",169280,173592,"To me she standsabove the rest, you see","Snow Dogs"
"51",173640,176108,"Can't you see?","Snow Dogs"
"52",187520,190592,"Gonna see my little girlbefore the sun goes down","Snow Dogs"
"53",190640,194997,"And there's nothir left to dobut to do the town today","Snow Dogs"
"54",195040,196712,"What a day","Snow Dogs"
"55",196760,200230,"I'm gonna meet her at thestation at a quarter to three","Snow Dogs"
"56",200280,202396,"'Cause she's finally comirback, comir back to me","Snow Dogs"
"57",202440,205318,"Today","Snow Dogs"
"58",205360,208193,"La-da-la-la-la-la-la-la-la...","Snow Dogs"
"59",208240,209878,"Good morning, fine ladies.","Snow Dogs"
"60",209920,211638,"- Good morning.- Good morning.","Snow Dogs"
"61",211680,212749,"Busy day, Doctor.","Snow Dogs"
"62",212800,214438,"Yeah, they all are.","Snow Dogs"
"63",214480,216675,"We will be with you allin a while","Snow Dogs"
"64",216720,219632,"and we promiseto make you smile.","Snow Dogs"
"65",219680,221511,"Now, if yourjaw still hurtstonight","Snow Dogs"
"66",221560,222754,"take two pills.","Snow Dogs"
"67",222800,225394,"If it still hurtstomorrow, then...","Snow Dogs"
"68",225440,227237,"you should probably finda new dentist.","Snow Dogs"
"69",227280,228156,"Huh?","Snow Dogs"
"70",231600,233477,"""Find a...""","Snow Dogs"
"71",233520,235238,"It's a little joke.","Snow Dogs"
"72",235280,236508,"- Oh.- Anyway","Snow Dogs"
"73",236560,238357,"just call us tomorrow,let us know how you feel.","Snow Dogs"
"74",238720,239675,"- Wow.- Thank you.","Snow Dogs"
"75",239720,241438,"- Sugar cookies.- Hello, little darling.","Snow Dogs"
"76",241480,242435,"Hello, you.","Snow Dogs"
"77",242480,243435,"Mom... hi.","Snow Dogs"
"78",243480,245152,"Teddy Bear!","Snow Dogs"
"79",245200,246155,"Hi. How are you?","Snow Dogs"
"80",246200,247155,"Can I...?","Snow Dogs"
"81",247200,248792,"Excuse us for a second.","Snow Dogs"
"82",248840,250398,"- Uh, enjoy them.- Come on, Mom.","Snow Dogs"
"83",252720,253914,"Mom...","Snow Dogs"
