"id","startTime","endTime","text","title"
"1",151902,154737,"Slave in the Magic Mirror,","Snow White and the Seven Dwarfs"
"2",155280,158282,"come from the farthest space.","Snow White and the Seven Dwarfs"
"3",159076,161744,"Through wind and darkness,I summon thee.","Snow White and the Seven Dwarfs"
"4",162955,164163,"Speak!","Snow White and the Seven Dwarfs"
"5",165707,167917,"Let me see thy face.","Snow White and the Seven Dwarfs"
"6",170546,173047,"What wouldst thou know, my Queen?","Snow White and the Seven Dwarfs"
"7",173757,175925,"Magic Mirror on the wall,","Snow White and the Seven Dwarfs"
"8",176385,179095,"who is the fairest one of all?","Snow White and the Seven Dwarfs"
"9",180264,183683,"Famed is thy beauty, Majesty.","Snow White and the Seven Dwarfs"
"10",183767,187895,"But hold , a lovely maid I see.","Snow White and the Seven Dwarfs"
"11",188981,192275,"Rags cannot hide her gentle grace.","Snow White and the Seven Dwarfs"
"12",193443,198322,"Alas, she is more fair than thee.","Snow White and the Seven Dwarfs"
"13",198407,202451,"Alas for her! Reveal her name.","Snow White and the Seven Dwarfs"
"14",203245,205496,"Lips red as the rose.","Snow White and the Seven Dwarfs"
"15",206123,208583,"Hair black as ebony.","Snow White and the Seven Dwarfs"
"16",208667,211127,"Skin white as snow.","Snow White and the Seven Dwarfs"
"17",212629,214130,"Snow White!","Snow White and the Seven Dwarfs"
"18",249333,250416,"Want to know a secret?","Snow White and the Seven Dwarfs"
"19",251627,253210,"Promise not to tell?","Snow White and the Seven Dwarfs"
"20",253545,258007,"We are standingby a wishing well","Snow White and the Seven Dwarfs"
"21",259468,262136,"Make a wish into the well","Snow White and the Seven Dwarfs"
"22",262220,264847,"That's all you have to do","Snow White and the Seven Dwarfs"
"23",264973,268017,"And if you hear it echoing","Snow White and the Seven Dwarfs"
"24",268143,271520,"Your wish will soon come true","Snow White and the Seven Dwarfs"
"25",272564,276359,"- l'm wishing- l'm wishing","Snow White and the Seven Dwarfs"
"26",276485,279195,"For the one l love","Snow White and the Seven Dwarfs"
"27",279321,282657,"- To find me- To find me","Snow White and the Seven Dwarfs"
"28",282741,285368,"- Today- Today","Snow White and the Seven Dwarfs"
"29",285827,289038,"- l'm hoping- I'm hoping","Snow White and the Seven Dwarfs"
"30",289498,292208,"And l'm dreaming of","Snow White and the Seven Dwarfs"
"31",292334,295586,"- The nice things- The nice things","Snow White and the Seven Dwarfs"
"32",295671,298547,"- He'll say- He'II say","Snow White and the Seven Dwarfs"
"33",311895,315356,"- l'm wishing- I'm wishing","Snow White and the Seven Dwarfs"
"34",315440,318234,"For the one l love","Snow White and the Seven Dwarfs"
"35",318360,321737,"- To find me- To find me","Snow White and the Seven Dwarfs"
"36",321863,325574,"-Today-Today","Snow White and the Seven Dwarfs"
"37",326410,328244,"-Oh!-Hello.","Snow White and the Seven Dwarfs"
"38",328370,330413,"-Oh.-Did I frighten you?","Snow White and the Seven Dwarfs"
"39",331206,333582,"Wait! Wait, please.","Snow White and the Seven Dwarfs"
"40",334292,336210,"Don't run away.","Snow White and the Seven Dwarfs"
"41",336920,339922,"Now that l've found you","Snow White and the Seven Dwarfs"
"42",340048,344301,"Hear what l have to say","Snow White and the Seven Dwarfs"
"43",345137,347805,"One song","Snow White and the Seven Dwarfs"
"44",347889,351475,"l have but one song","Snow White and the Seven Dwarfs"
"45",352269,356939,"One song onIy for you","Snow White and the Seven Dwarfs"
"46",359109,365072,"One heart tenderly beating","Snow White and the Seven Dwarfs"
"47",365574,368993,"Ever entreating","Snow White and the Seven Dwarfs"
"48",369411,373497,"Constant and true","Snow White and the Seven Dwarfs"
"49",374166,377084,"One love","Snow White and the Seven Dwarfs"
"50",377169,380963,"That has possessed me","Snow White and the Seven Dwarfs"
"51",381590,384467,"One love","Snow White and the Seven Dwarfs"
"52",384593,389138,"Thrilling me through","Snow White and the Seven Dwarfs"
"53",389264,392641,"One song","Snow White and the Seven Dwarfs"
"54",392768,397021,"My heart keeps singing","Snow White and the Seven Dwarfs"
"55",397105,400649,"Of one love","Snow White and the Seven Dwarfs"
"56",401485,406655,"Only for you","Snow White and the Seven Dwarfs"
"57",421213,423672,"Take her far into the forest.","Snow White and the Seven Dwarfs"
"58",424299,427009,"Find some secluded glade","Snow White and the Seven Dwarfs"
"59",427135,429637,"where she can pick wildflowers.","Snow White and the Seven Dwarfs"
"60",430013,431847,"Yes, Your Majesty.","Snow White and the Seven Dwarfs"
"61",431973,435726,"And there, my faithful Huntsman,","Snow White and the Seven Dwarfs"
"62",436353,438187,"you will kill her!","Snow White and the Seven Dwarfs"
"63",438313,440815,"But, Your Majesty, the little Princess!","Snow White and the Seven Dwarfs"
"64",440899,442399,"Silence!","Snow White and the Seven Dwarfs"
"65",442984,446695,"You know the penalty if you fail.","Snow White and the Seven Dwarfs"
"66",447823,450324,"Yes, Your Majesty.","Snow White and the Seven Dwarfs"
"67",451076,453494,"But to make doubly sure","Snow White and the Seven Dwarfs"
"68",454162,456247,"you do not fail,","Snow White and the Seven Dwarfs"
"69",457666,461544,"bring back her heart in this.","Snow White and the Seven Dwarfs"
"70",470387,474056,"One song,l have but one song","Snow White and the Seven Dwarfs"
"71",489072,490781,"Hello there.","Snow White and the Seven Dwarfs"
"72",491032,492741,"What's the matter?","Snow White and the Seven Dwarfs"
"73",493368,495536,"Where's your mama and papa?","Snow White and the Seven Dwarfs"
"74",496037,498205,"Why, I believe you're lost.","Snow White and the Seven Dwarfs"
"75",499457,500749,"Oh, please don't cry.","Snow White and the Seven Dwarfs"
"76",506256,508215,"Come on, perk up.","Snow White and the Seven Dwarfs"
"77",508884,510718,"Won't you smile for me?","Snow White and the Seven Dwarfs"
"78",510802,512928,"That's better.","Snow White and the Seven Dwarfs"
"79",514097,516473,"Your mama and papa can't be far.","Snow White and the Seven Dwarfs"
"80",518643,520311,"There they are!","Snow White and the Seven Dwarfs"
"81",522314,524064,"Can you fly?","Snow White and the Seven Dwarfs"
"82",525108,527943,"Good-bye. Good-bye!","Snow White and the Seven Dwarfs"
"83",536077,538078,"I can't, I can't do it.","Snow White and the Seven Dwarfs"
"84",538914,543167,"Forgive me.I beg of Your Highness, forgive me.","Snow White and the Seven Dwarfs"
"85",543585,545044,"I don't understand!","Snow White and the Seven Dwarfs"
"86",545128,547755,"She's mad, jealous of you!She'll stop at nothing!","Snow White and the Seven Dwarfs"
"87",547839,550132,"-But, but who?-The Queen.","Snow White and the Seven Dwarfs"
"88",550258,551258,"-The Queen?-Now, quick, child, run.","Snow White and the Seven Dwarfs"
"89",552427,553761,"Run away, hide!","Snow White and the Seven Dwarfs"
"90",553845,556847,"In the woods! Anywhere!Never come back!","Snow White and the Seven Dwarfs"
"91",556932,560809,"Now, go. Go! Go!","Snow White and the Seven Dwarfs"
"92",561353,565022,"Run! Run! Hide!","Snow White and the Seven Dwarfs"
"93",682724,684058,"Oh!","Snow White and the Seven Dwarfs"
"94",688146,690230,"Please don't run away.","Snow White and the Seven Dwarfs"
"95",691232,692983,"I won't hurt you.","Snow White and the Seven Dwarfs"
"96",695403,698572,"I'm awfully sorry.I didn't mean to frighten you.","Snow White and the Seven Dwarfs"
"97",699074,702117,"But you don't knowwhat I've been through.","Snow White and the Seven Dwarfs"
"98",702243,704912,"And all because I was afraid.","Snow White and the Seven Dwarfs"
"99",705663,708582,"I'm so ashamed of the fuss I've made.","Snow White and the Seven Dwarfs"
"100",710502,713003,"What do you dowhen things go wrong?","Snow White and the Seven Dwarfs"
"101",715173,717591,"Oh! You sing a song!","Snow White and the Seven Dwarfs"
"102",746538,750582,"With a smile and a song","Snow White and the Seven Dwarfs"
"103",750667,754086,"Life is just like a bright, sunny day","Snow White and the Seven Dwarfs"
"104",754170,757506,"Your cares fade away","Snow White and the Seven Dwarfs"
"105",757841,760175,"And your heart is young","Snow White and the Seven Dwarfs"
"106",763680,767516,"With a smile and a song","Snow White and the Seven Dwarfs"
"107",767642,771103,"All the world seems to waken anew","Snow White and the Seven Dwarfs"
"108",771187,774356,"Rejoicing with you","Snow White and the Seven Dwarfs"
"109",774482,777693,"As the song is sung","Snow White and the Seven Dwarfs"
"110",780029,781363,"There's no use in grumbling","Snow White and the Seven Dwarfs"
"111",782657,786034,"When raindrops come tumbling","Snow White and the Seven Dwarfs"
"112",786536,790664,"Remember you're the one","Snow White and the Seven Dwarfs"
"113",791207,796670,"Who can fill the world with sunshine","Snow White and the Seven Dwarfs"
"114",797255,800382,"When you smile and you sing","Snow White and the Seven Dwarfs"
"115",801843,805220,"Everything is in tune and it's spring","Snow White and the Seven Dwarfs"
"116",805346,807639,"And life flows along","Snow White and the Seven Dwarfs"
"117",809017,813896,"With a smile and a song","Snow White and the Seven Dwarfs"
"118",819027,821487,"I really feel quite happy now.","Snow White and the Seven Dwarfs"
"119",821571,823947,"I'm sure I'll get along somehow.","Snow White and the Seven Dwarfs"
"120",824365,826867,"Everything's going to be all right.","Snow White and the Seven Dwarfs"
"121",828036,831205,"But I do need a place to sleep at night.","Snow White and the Seven Dwarfs"
"122",831706,835042,"I can't sleepin the ground like you","Snow White and the Seven Dwarfs"
"123",835752,838045,"or in a tree the way you do.","Snow White and the Seven Dwarfs"
"124",838880,842716,"And I'm sure no nest would possiblybe big enough for me.","Snow White and the Seven Dwarfs"
"125",843968,846386,"Maybe you know where I can stay.","Snow White and the Seven Dwarfs"
"126",846888,848013,"In the woods somewhere?","Snow White and the Seven Dwarfs"
"127",849724,850807,"You do?","Snow White and the Seven Dwarfs"
"128",852393,854311,"Will you take me there?","Snow White and the Seven Dwarfs"
"129",899607,901316,"Oh, it's adorable!","Snow White and the Seven Dwarfs"
"130",902777,904861,"Just like a doll's house.","Snow White and the Seven Dwarfs"
"131",919127,920711,"I like it here.","Snow White and the Seven Dwarfs"
"132",932348,935475,"Ooh, it's dark inside.","Snow White and the Seven Dwarfs"
"133",946070,948155,"Guess there's no one home.","Snow White and the Seven Dwarfs"
"134",951743,953201,"Hello?","Snow White and the Seven Dwarfs"
"135",953828,955329,"May I come in?","Snow White and the Seven Dwarfs"
"136",958166,959249,"Shh!","Snow White and the Seven Dwarfs"
"137",979270,980437,"Oh!","Snow White and the Seven Dwarfs"
"138",983900,985942,"What a cute little chair!","Snow White and the Seven Dwarfs"
"139",988529,991031,"Why, there's seven little chairs!","Snow White and the Seven Dwarfs"
"140",991366,993617,"Must be seven little children.","Snow White and the Seven Dwarfs"
"141",994202,998246,"And from the look of this table,seven untidy little children.","Snow White and the Seven Dwarfs"
"142",1001292,1004252,"A pickaxe. A stocking, too!","Snow White and the Seven Dwarfs"
"143",1008925,1010300,"And a shoe!","Snow White and the Seven Dwarfs"
"144",1015765,1018350,"And just look at that fireplace.","Snow White and the Seven Dwarfs"
"145",1018434,1020310,"It's covered with dust.","Snow White and the Seven Dwarfs"
"146",1027610,1030112,"And look, cobwebs everywhere!","Snow White and the Seven Dwarfs"
"147",1030738,1033073,"My, my, my!","Snow White and the Seven Dwarfs"
"148",1033157,1035409,"What a pile of dirty dishes!","Snow White and the Seven Dwarfs"
"149",1037120,1040122,"And just look at that broom !","Snow White and the Seven Dwarfs"
"150",1043084,1045752,"Why, they've never swept this room.","Snow White and the Seven Dwarfs"
"151",1046629,1048213,"You'd think their mother would...","Snow White and the Seven Dwarfs"
"152",1049632,1051758,"Maybe they have no mother.","Snow White and the Seven Dwarfs"
"153",1052927,1054678,"Then they're orphans.","Snow White and the Seven Dwarfs"
"154",1055430,1057139,"That's too bad.","Snow White and the Seven Dwarfs"
"155",1058641,1059975,"I know!","Snow White and the Seven Dwarfs"
"156",1060101,1062602,"We'll clean the houseand surprise them.","Snow White and the Seven Dwarfs"
"157",1062687,1064646,"Then maybe they'll let me stay.","Snow White and the Seven Dwarfs"
"158",1071612,1073780,"Now, you wash the dishes.","Snow White and the Seven Dwarfs"
"159",1074157,1076116,"You tidy up the room.","Snow White and the Seven Dwarfs"
"160",1076784,1079077,"You clean the fireplace.","Snow White and the Seven Dwarfs"
"161",1079162,1081163,"And I will use the broom.","Snow White and the Seven Dwarfs"
"162",1088045,1090547,"Just whistle while you work","Snow White and the Seven Dwarfs"
"163",1092967,1097679,"And cheerfully togetherwe can tidy up the place","Snow White and the Seven Dwarfs"
