"id","startTime","endTime","text","title"
"1",14960,17030,"[Dramatic instrumental music]","Son of Frankenstein"
"2",53359,55396,"[Tense instrumental music]","Son of Frankenstein"
"3",127799,130872,"BOY #1: Ain't you afraid?BOY #2: Of old Ygor? No.","Son of Frankenstein"
"4",133039,134074,"[Boy exclaiming]","Son of Frankenstein"
"5",134159,136276,"[Ominous instrumental music]","Son of Frankenstein"
"6",145400,148391,"LANG: I say that I, for one, will not.BURGOMASTER: Enough!","Son of Frankenstein"
"7",149280,151588,"He'll be met exactly as arranged.","Son of Frankenstein"
"8",151719,153631,"Now, friends, on his deathbed...","Son of Frankenstein"
"9",153719,156552,"the old Baron Frankensteingave me this chest of papers...","Son of Frankenstein"
"10",156639,159632,"to deliver to his son, and deliver it I shall.","Son of Frankenstein"
"11",159719,162074,"Haven't we had enough of that name here?","Son of Frankenstein"
"12",162159,166038,"There was a time when our villagewas prosperous and happy. Look at it now.","Son of Frankenstein"
"13",166120,169748,"Forsaken, desolate,shunned by every traveller, and why?","Son of Frankenstein"
"14",169840,171795,"Because of these Frankensteins.","Son of Frankenstein"
"15",171879,175555,"We live in the black shadowof that cursed place up on the hill...","Son of Frankenstein"
"16",175639,179427,"where only that crazy Ygor,with his broken neck, dares to stay.","Son of Frankenstein"
"17",179520,184229,"And now we go to the railway stationto welcome another Frankenstein.","Son of Frankenstein"
"18",185199,187838,"This one is probablyjust as bad as his father...","Son of Frankenstein"
"19",188039,190997,"who created a monsterin the devil's own image.","Son of Frankenstein"
"20",192080,193671,"It's in the blood, I tell you.","Son of Frankenstein"
"21",193759,197229,"We've said these same wordsa thousand times, and they get us nowhere.","Son of Frankenstein"
"22",197319,200277,"LANG: Fine talk, Herr Inspector.","Son of Frankenstein"
"23",200360,204034,"But Baron Frankensteindoes arrive tonight to claim his heritage.","Son of Frankenstein"
"24",204120,206554,"LANG: And then what?BURGHER #1: Yes, what then?","Son of Frankenstein"
"25",206639,209836,"That's true, but he'll find no friends here.","Son of Frankenstein"
"26",210520,213272,"Nothing but locked doorsand darkened windows...","Son of Frankenstein"
"27",213360,215509,"Iocked hearts and bitter hatred.","Son of Frankenstein"
"28",215599,219228,"Let that, too, be a partof the Frankenstein heritage.","Son of Frankenstein"
"29",219680,221192,"Come, gentlemen.","Son of Frankenstein"
"30",231560,233675,"We'll be there soon, darling.","Son of Frankenstein"
"31",233759,235829,"That's good. So I can see Amelia.","Son of Frankenstein"
"32",235920,240231,"That's right. Amelia will be therewaiting for you, and so glad to see you.","Son of Frankenstein"
"33",254479,256596,"ELSA: What strange-looking country.","Son of Frankenstein"
"34",258079,260196,"Not much like America, is it?","Son of Frankenstein"
"35",260279,263351,"On my first trip to Europe,I was prepared for anything...","Son of Frankenstein"
"36",263439,265670,"but I'm gladwe went to London and Paris first.","Son of Frankenstein"
"37",265759,268069,"BARON: We must be getting closeto the village now.","Son of Frankenstein"
"38",268160,270071,"It's exciting, isn't it?","Son of Frankenstein"
"39",270399,273596,"Out there in the darkness,a new life lies before us.","Son of Frankenstein"
"40",274439,276749,"No more college classroomsor faculty meetings.","Son of Frankenstein"
"41",276840,279274,"- I feel rather like an explorer.- That's what it is.","Son of Frankenstein"
"42",279360,281749,"We're going to exploresomething so foreign to us...","Son of Frankenstein"
"43",281840,283795,"we can't even imagine what it'll be like.","Son of Frankenstein"
