"id","startTime","endTime","text","title"
"1",60160,63186,"The Mifulu representa fascinating example","Son of the Mask"
"2",63229,66096,"of failed culture.The people of the Mifulu","Son of the Mask"
"3",66132,68794,"communicatedentirely in rhyme,","Son of the Mask"
"4",68835,71633,"although that's actuallyless impressive than it sounds,","Son of the Mask"
"5",71671,75266,"because their languageonly contained one vowel.","Son of the Mask"
"6",75308,77276,"Also, if you'venoticed,","Son of the Mask"
"7",77310,79540,"the only artifactswe've been able to unearth","Son of the Mask"
"8",79579,81513,"are primitive musicalinstruments.","Son of the Mask"
"9",81548,84278,"The Mifulus hadplenty of drums,","Son of the Mask"
"10",84317,86285,"guitars, harmonicasand the like,","Son of the Mask"
"11",86319,89311,"but no weaponsor tools.","Son of the Mask"
"12",89355,93519,"So, in essence,they had rhythm, they had music,","Son of the Mask"
"13",93560,96051,"but they had nohammers and spears,","Son of the Mask"
"14",96096,98064,"so they died.","Son of the Mask"
"15",98098,101033,"In any case, this brings usto the final room of the tour","Son of the Mask"
"16",101067,103695,"and my personalfavorite-","Son of the Mask"
"17",103736,106364,"The Hallof Norse Mythology.","Son of the Mask"
"18",108241,110209,"This is Odin,","Son of the Mask"
"19",110243,113212,"chief divinity of the entireNorse pantheon--","Son of the Mask"
"20",113246,115214,"""The Allfather""as he's called--","Son of the Mask"
"21",115248,118274,"and these paintings depictsome of Odin's many sons.","Son of the Mask"
"22",118318,120377,"That is Thor,God of Thunder,","Son of the Mask"
"23",120420,122388,"with his mighty hammer.","Son of the Mask"
"24",122422,124652,"And this is Balder,God of Beauty.","Son of the Mask"
"25",124691,126454,"Who's that ugly guy?","Son of the Mask"
"26",126493,128620,"Oh, I was justabout to get to him.","Son of the Mask"
"27",128661,131027,"That's Loki,Norse God of Mischief.","Son of the Mask"
"28",131064,133396,"He was also knownas ""The Trickster.""","Son of the Mask"
"29",133433,136402,"As the youngestson of Odin,","Son of the Mask"
"30",136436,139337,"Loki was the black sheepof the Norse mythological family.","Son of the Mask"
"31",139372,141340,"His constantmischievous pranks","Son of the Mask"
"32",141374,143342,"were an endless sourceof embarrassment","Son of the Mask"
"33",143376,145344,"to his fatherand his siblings.","Son of the Mask"
"34",145378,147608,"He was, in other words,a bratty little brother.","Son of the Mask"
"35",149649,152209,"And Loki's ultimate toolof mischief was this,","Son of the Mask"
"36",152252,154652,"the maskwhich he created","Son of the Mask"
"37",154687,156814,"and tossed down to earththousands of years ago","Son of the Mask"
"38",156856,160087,"to create mayhem among the mortals.For, according to legend,","Son of the Mask"
"39",160126,163926,"the wearer of the mask is imbuedwith the powers of Loki himself.","Son of the Mask"
"40",163963,166261,"- Is that true?- No, of course not.","Son of the Mask"
"41",166299,168824,"If it were, I'd bewearing it myself.","Son of the Mask"
"42",168868,171598,"No, no, it's textbookmythical allegory.","Son of the Mask"
"43",171638,173606,"Loki representsthe ""id,""","Son of the Mask"
"44",173640,175608,"the suppressed partsof ourselves,","Son of the Mask"
"45",175642,177837,"and the mask is the toolwhich unleashes the id.","Son of the Mask"
"46",177877,181369,"I go into this very topicin my critically acclaimed book.","Son of the Mask"
"47",181414,183712,"Now, of allthe Aesir gods--","Son of the Mask"
"48",183750,187242,"excuse me, sir.Please don't touch the mask display.","Son of the Mask"
"49",187287,189084,"Of all the Aesir gods,","Son of the Mask"
