"id","startTime","endTime","text","title"
"1",452115,454115,"In the last centurybefore the birth...","Spartacus"
"2",454194,456754,"of the new faithcalled Christianity...","Spartacus"
"3",456834,459595,"which was destined to overthrowthe pagan tyranny of Rome...","Spartacus"
"4",459675,461875,"and bring about a new society...","Spartacus"
"5",461954,466516,"the Roman republic stood at the verycentre of the civilized world.","Spartacus"
"6",466596,469115,"""Of all things fairest. ""sang the poet...","Spartacus"
"7",469196,473596,"""first among cities andhome of the gods is golden Rome. ""","Spartacus"
"8",473675,476316,"Yet even at the zenithof her pride and power...","Spartacus"
"9",476396,479555,"the Republic lay fatally strickenwith a disease called...","Spartacus"
"10",479636,481755,"human slavery.","Spartacus"
"11",481836,484237,"The age of the dictatorwas at hand...","Spartacus"
"12",484317,488156,"waiting in the shadowsfor the event to bring it forth.","Spartacus"
"13",488237,490237,"In that same century...","Spartacus"
"14",490317,492916,"in the conqueredGreek province of Thrace...","Spartacus"
"15",492997,496156,"an illiterate slave womanadded to her master's wealth...","Spartacus"
"16",496237,500437,"by giving birth to a sonwhom she named Spartacus.","Spartacus"
"17",500516,502797,"A proud, rebellious son...","Spartacus"
"18",502877,505798,"who was sold to living deathin the mines of Libya...","Spartacus"
"19",505877,508718,"before his thirteenth birthday.","Spartacus"
"20",508798,511518,"There, under whipand chain and sun...","Spartacus"
"21",511598,515118,"he lived out his youthand his young manhood...","Spartacus"
"22",515197,517477,"dreaming the death of slavery...","Spartacus"
"23",517557,520918,"2.000 yearsbefore it finally would die.","Spartacus"
"24",561960,565320,"Back to work!","Spartacus"
"25",571000,574561,"Get up, Spartacus,you Thracian dog!","Spartacus"
"26",574640,576841,"Come on, get up!","Spartacus"
"27",576921,580201,"My ankle, my ankle!","Spartacus"
"28",580280,582201,"My ankle!","Spartacus"
"29",591241,594201,"Spartacus again?This time he dies.","Spartacus"
"30",595761,598241,"Back to work, all of you!","Spartacus"
"31",616163,620243,"- Welcome, Lentulus Batiatus.- Welcome, indeed, my dear captain.","Spartacus"
"32",625403,627842,"Eleven milesthrough the disastrous heat...","Spartacus"
"33",627923,631683,"and the costof hiring an escort-- ruinous.","Spartacus"
"34",631764,635683,"Even so, I warrant you have nothingfit to sell me, have you, Captain?","Spartacus"
"35",635764,639323,"I've wasted my time and my money.Tell me the truth.","Spartacus"
