"id","startTime","endTime","text","title"
"1",234815,236858,"Hey, this area's restricted.","Speed"
"2",236859,241237,"Hi. Yeah, I know. They called me down here.Some of this wiring got screwed up.","Speed"
"3",241238,244741,"Nobody called it down to me.I'm gonna have to see a work order.","Speed"
"4",244742,246974,"Yeah. Just a second.","Speed"
"5",249997,252379,"There you are.","Speed"
"6",253709,256489,"Nothing personal.","Speed"
"7",259048,263267,"Well, I guess that wraps it up.Good work, everybody.","Speed"
"8",263677,268442,"Marty, I couldn't be happier with the way this worked out.","Speed"
"9",270476,272957,"Congratulations.","Speed"
"10",276815,278701,"- Hold that.- Whoa.","Speed"
"11",280444,282925,"Gee, thanks.","Speed"
"12",290662,295123,"Thanks for pushing that, Bob. The light's on,but you never know, it might be broken.","Speed"
"13",295124,297259,"Shut up.","Speed"
"14",311808,314339,"Remember, honey...","Speed"
"15",353142,357013,"Jesus. Bob, what button did you push?","Speed"
"16",402858,407487,"Mr Bagwell, make sure these other elevatorsremain locked down and empty.","Speed"
"17",407488,412288,"There's no doors, no other way in or out,except through access panels, correct?","Speed"
"18",412409,417209,"What we have here are 13 passengersin an express elevator below floor 30.","Speed"
"19",419041,423086,"Bomb's taken out cables. Bomber wants$3 million or he blows the brakes.","Speed"
"20",423087,426313,"- What's our clock?- He gave one hour.","Speed"
"21",427007,429467,"That leaves us 23 minutes exactly.","Speed"
"22",429468,432887,"- Anything to keep this elevator from falling?- The basement.","Speed"
"23",432888,434973,"We'd like to avoid that, Traven.","Speed"
"24",434974,438434,"- We can't unload the passengers?- This is an express elevator.","Speed"
"25",438435,442563,"The only way in is through access panels.The bomber's wired the hatch,","Speed"
"26",442564,445817,"which seats him in the ""crazy but not stupid"" section.","Speed"
"27",445818,449278,"Sir, Harry volunteers to examine the device.","Speed"
"28",449279,453241,"- Yeah, right.- Fine. The two of you check it out.","Speed"
"29",453242,456327,"The nearest access panel's on the 32nd floor in the lobby.","Speed"
"30",456328,461128,"I want reports only. We're in a holdingpattern. Worthy, Briggs, secure the base area.","Speed"
"31",461166,464890,"Everyone else,I want you to affirm building evac. Move!","Speed"
"32",465337,467671,"Looks like we're walkin'.","Speed"
"33",468549,470717,"- Hurry, but watch your step!- 29.","Speed"
"34",470718,474387,"All the way down to the lobby! Let's go, folks!","Speed"
"35",474388,476127,"30.","Speed"
"36",478101,479342,"31.","Speed"
"37",481604,482994,"32.","Speed"
"38",505044,506234,"Hello?","Speed"
"39",506462,511262,"- Come on! Get us outta here!- Hello! Hello!","Speed"
"40",543958,547680,"Help! Please, get us out of here!","Speed"
"41",548337,549727,"Please!","Speed"
"42",572945,576419,"Please! Get us out of here!","Speed"
"43",578200,583000,"Who's up there?Who's up there? What's going on?","Speed"
"44",583122,585581,"Ladies and gentlemen, this is the LAPD.","Speed"
"45",585582,588042,"- Thank God.- What are you doing up there?","Speed"
"46",588043,592843,"There's been an elevator malfunction, so just relax.","Speed"
"47",593340,596092,"Hey, come on!What are you guys waiting for?","Speed"
"48",596093,600013,"We'll have you out of there as soon as possible.","Speed"
"49",600014,602180,"Am I lying?","Speed"
"50",602181,606981,"How come they sent cops here?Shouldn't they send repair guys?","Speed"
"51",615069,618048,"What do you think?","Speed"
"52",618531,622869,"- You're the expert. I just work here.- Looks pretty solid.","Speed"
"53",622870,627436,"- Anyone we know?- I don't recognise the work, but he's a pro.","Speed"
"54",628042,631210,"- He's cutting it close.- I don't like it.","Speed"
"55",631211,634686,"Well, what's to like?Mac said we hold, so we hold.","Speed"
"56",644142,648103,"All right, pop quiz.The airport. Gunman with one hostage.","Speed"
"57",648104,651482,"He's using her for cover.He's almost to a plane.","Speed"
"58",651483,654609,"You're 100 feet away.","Speed"
"59",659366,661847,"Jack.","Speed"
"60",662494,665037,"Shoot the hostage.","Speed"
"61",665038,667957,"- What?- Take her out of the equation.","Speed"
"62",667958,672169,"Go for the good wound and he can'tget to the plane with her. Clear shot.","Speed"
"63",672170,676637,"You're deeply nuts, you know that?""Shoot the hostage.""","Speed"
"64",679970,683940,"Harry, this is wrong.He's gonna blow it anyway.","Speed"
"65",684391,688227,"- Why?- I don't know. Gut feeling.","Speed"
"66",688228,691504,"Right now Mac outranks your gut, so we sit.","Speed"
"67",691982,695456,"This is taking way too long.","Speed"
"68",695568,697987,"How much d'you think that elevator weighs?","Speed"
"69",697988,700469,"Jack, come on.","Speed"
"70",702075,706078,"Maybe we can do something about those hostages.","Speed"
"71",706079,709055,"We're not gonna shoot 'em, right?","Speed"
"72",709873,713597,"Hey, where you going?What's going on?","Speed"
"73",714586,719153,"Don't go! Don't leave us here!","Speed"
"74",733188,736663,"No, we just take them out of the equation.","Speed"
"75",768891,772712,"- Are you sure it'll hold?- It'll hold.","Speed"
"76",773354,775521,"Six minutes.","Speed"
"77",775522,779025,"I can't get any more time. He's not talking!","Speed"
"78",779026,781706,"I need the goddamn money now.","Speed"
"79",791413,794833,"Tell me again, Harry. Why did I take this job?","Speed"
"80",794834,799129,"Oh, come on. 30 more years of this, you geta tiny pension and a cheap gold watch.","Speed"
"81",799130,800923,"Cool.","Speed"
"82",800924,802710,"Ho!","Speed"
"83",833372,836499,"- God, it's hot in here.- There's no air.","Speed"
"84",836500,840074,"- Can't they just pry the doors open?- I can't breathe.","Speed"
"85",844717,847694,"Don't fuck with Daddy.","Speed"
"86",881046,883925,"Usually they fall down now.","Speed"
"87",892432,895907,"He's early. The son of a bitch is early!","Speed"
"88",914579,917556,"Mac, we need more help up here now!","Speed"
"89",917748,921292,"Oh, please! I don't wanna die!","Speed"
"90",921293,922882,"Please save us!","Speed"
"91",928717,932391,"Open the door!Open the door, please!","Speed"
"92",935057,939727,"- Please help me!- We'll get you out!","Speed"
"93",939728,944528,"- Give me your hands! It's OK.- Pull me through.","Speed"
"94",952741,955077,"Watch your head. Watch your head.","Speed"
"95",955078,958080,"- OK, I've got you.- Take it easy.","Speed"
"96",958081,960916,"- You're fine. You're fine.- Thank you.","Speed"
"97",960917,963052,"- Take her.- Who's next?","Speed"
"98",965922,967213,"Thank you.","Speed"
"99",968425,971204,"We've got you, ma'am.","Speed"
"100",976433,980304,"- What the hell is all this?- Help us! Hurry!","Speed"
"101",982897,986275,"Hurry, hurry! Let's go! Go! Go!","Speed"
"102",986276,987963,"Come on. Come on.","Speed"
"103",992616,995326,"Oh, my God! Oh, my God!","Speed"
"104",995327,999297,"- Help me out! Please, help me out.- Watch your head.","Speed"
"105",999789,1001498,"- Come on, lady!- No.","Speed"
"106",1001499,1004725,"Come on, lady! Come on! Grab my hand!","Speed"
"107",1009799,1013093,"- Come on! Let's go! It's going to fall!- No!","Speed"
"108",1013094,1014428,"No, I can't!","Speed"
"109",1014429,1017973,"Just take one step, reach out and take my hand.","Speed"
"110",1017974,1021250,"Come on! Come on!","Speed"
"111",1023812,1028612,"- Oh, God! Don't let go of me!- You're OK.","Speed"
"112",1044333,1046814,"My shoe!","Speed"
"113",1048253,1049921,"Was it good for you?","Speed"
"114",1049922,1053049,"It was great for me.How was it for you, honey?","Speed"
"115",1053050,1056772,"- Elevator dropped.- Good. That's good to know.","Speed"
"116",1062351,1065144,"- Is your watch slow?- No. He jumped the gun.","Speed"
"117",1065145,1068773,"- We had three minutes left.- Why does he do that?","Speed"
"118",1068774,1070692,"He's losing his $3 million.","Speed"
"119",1070693,1073611,"Maybe he couldn't hold his wad long enough.","Speed"
"120",1073612,1078412,"It's a common problem amongmiddle-aged men. So I'm told.","Speed"
"121",1083706,1088084,"- He's here.- He could've blown that thing from Pacoima.","Speed"
"122",1088085,1092885,"No. He knew we were up to something.He's close by.","Speed"
"123",1093257,1098057,"He's not gonna corner himself in a buildingwe evacuated anyway. Come on.","Speed"
"124",1103767,1108567,"He'd... he'd wanna be here,but he'd wanna stay mobile, right?","Speed"
"125",1112443,1114361,"The elevators.","Speed"
"126",1114362,1117781,"Passenger cars were stopped.They checked 'em out.","Speed"
"127",1117782,1120711,"What about the freight elevators?","Speed"
"128",1144100,1148320,"- Will the mystery guest please sign in?- What?","Speed"
"129",1149814,1151857,"Jack!","Speed"
"130",1151858,1154339,"Damn it.","Speed"
"131",1194734,1196769,"Get to the side!","Speed"
"132",1212752,1215234,"Shit! Shit! Shit!","Speed"
"133",1217048,1219679,"Up! Get your ass up!","Speed"
"134",1262676,1267476,"I don't suppose anybody'll give methree million just for you.","Speed"
"135",1272686,1274623,"Hold it!","Speed"
"136",1275982,1280611,"Pop quiz, hotshot.Terrorist holding a police hostage.","Speed"
"137",1280612,1285412,"Got enough dynamite strapped to his chest toblow a building in half. Now what do you do?","Speed"
"138",1286034,1289203,"There's gonna be 50 cops waiting for you in the basement.","Speed"
"139",1289204,1291497,"Standard flanking deployment, right?","Speed"
"140",1291498,1296298,"Maybe we'll get off on the third floor, huh?At least that's what they'll think.","Speed"
"141",1298713,1302967,"I want location on those goddamn shots!Briggs! Where's Jack and Harry?","Speed"
"142",1302968,1307137,"Lieutenant, we've got movement on the freight elevator.","Speed"
"143",1313603,1315738,"It's on three. Let's move!","Speed"
"144",1318274,1323074,"End of the line. This day has beenreal disappointing, I don't mind saying.","Speed"
"145",1323196,1325155,"Because you didn't kill everyone?","Speed"
"146",1325156,1329159,"There will come a time, boy,when you'll wish you'd never met me.","Speed"
"147",1329160,1331287,"Mister, I'm already there.","Speed"
"148",1331288,1336088,"I'm in charge here. I drop this stickand they pick your friend up with a sponge.","Speed"
"149",1338252,1342297,"- Are you ready to die, friend?- Fuck you.","Speed"
"150",1342298,1346801,"In 200 years, we've come from ""I regretbut I have one life to give for my country""","Speed"
"151",1346802,1348011,"to ""fuck you""?","Speed"
"152",1348012,1351264,"- Go ahead. Drop the stick. Do it.- Shut up, Harry.","Speed"
"153",1351265,1354559,"We've got all the balls in the world right here, man.","Speed"
"154",1354560,1357091,"Give it up. You got nowhere to go!","Speed"
"155",1357521,1359705,"Shoot the hostage.","Speed"
"156",1362484,1364073,"Say goodbye, Harry.","Speed"
"157",1369199,1370689,"You fuck!","Speed"
"158",1373203,1374393,"Freeze!","Speed"
"159",1375998,1377457,"Freeze!","Speed"
"160",1377458,1380982,"Give it up! You're out of options!","Speed"
"161",1403735,1408530,"Through dedication and bravery,these next two officers effected the rescue","Speed"
"162",1408531,1411617,"of 13 citizens of this city.","Speed"
"163",1411618,1416413,"And, thanks to them, the only life takenby the terrorist's bomb was his own.","Speed"
"164",1416414,1418916,"You shot me. I can't believe it.","Speed"
"165",1418917,1422169,"They're giving you a medalfor shooting me, you little prick.","Speed"
"166",1422170,1425714,"Harry, you told me to.","Speed"
"167",1425715,1428694,"...the Los Angeles Police Department.","Speed"
"168",1430053,1432534,"Officer Harry Temple.","Speed"
"169",1447237,1449023,"Officer Jack Traven.","Speed"
"170",1466214,1469341,"Way to go, Jack. Way to go.","Speed"
"171",1469634,1472011,"- There we go.- Harry, my man.","Speed"
"172",1472012,1476140,"Beautiful. A toast to me.Make me feel good about myself.","Speed"
"173",1476141,1478976,"Hey, Sandy! Here we go!","Speed"
"174",1478977,1481228,"OK, so how we doing? Whoa, whoa.","Speed"
"175",1481229,1484853,"Shit. I need a bib!","Speed"
"176",1486109,1490080,"- Here we go. All right.- You can't take me anywhere.","Speed"
"177",1490280,1493307,"And here is to Harry,","Speed"
"178",1493617,1496396,"for his quick thinking,","Speed"
"179",1496745,1501248,"for his grace under pressureand for his brave and selfless act.","Speed"
"180",1501249,1503731,"Hear! Hear!","Speed"
"181",1504753,1509340,"And to Jack, for shooting Harry.","Speed"
"182",1509341,1512760,"Something we've all wanted to do for a very long time.","Speed"
"183",1512761,1515429,"Hey, hey, hey, hey, hey!","Speed"
"184",1515430,1517556,"OK, no, no. Here it is.","Speed"
"185",1517557,1522357,"Here's to you guys for doing yourjoband for not getting dead.","Speed"
"186",1522771,1525501,"Mazel tov.","Speed"
"187",1534407,1536951,"We are the two luckiest guys in the world.","Speed"
"188",1536952,1539995,"We got the bad guy and we didn't lose any civilians.","Speed"
"189",1539996,1542331,"- We're good.- No. You were lucky.","Speed"
"190",1542332,1546209,"No, we were lucky. You'd better understand it.","Speed"
"191",1546210,1548962,"We were dealing with a total psycho.","Speed"
"192",1548963,1552685,"This guy could've blown us up at any time.","Speed"
"193",1552967,1555944,"And I got a bullet in me.","Speed"
"194",1555970,1560223,"Six inches off the mark,and they're giving the medal to my wife.","Speed"
"195",1560224,1563643,"Harry, come on, man.I mean, we won. We got him.","Speed"
"196",1563644,1566646,"Do you listen? Do you ever?","Speed"
"197",1566647,1571447,"Because I am not gonna be aroundto back you up, so you better start thinking.","Speed"
"198",1573153,1577620,"Guts'll get you so far, and then they'll get you killed.","Speed"
"199",1580286,1583329,"Luck runs out sooner or later. Right, Chief?","Speed"
"200",1583330,1585216,"That's right.","Speed"
"201",1586592,1587667,"Ho!","Speed"
"202",1587668,1592468,"I'm all right. I'm all right.I'm gonna go home, have some sex.","Speed"
"203",1594843,1599643,"- Harry, you're gonna go home and puke.- Yeah, well, that'll be fun, too.","Speed"
"204",1600307,1603136,"Come on, you gimp.","Speed"
"205",1624623,1628751,"- Hey, Jack, saw you on TV. Congratulations.- Thanks, Bob.","Speed"
"206",1628752,1631211,"- You looked fat.- Take it easy on him, Bob.","Speed"
"207",1631212,1634590,"- The boy was up late last night partying.- Wild party, huh?","Speed"
"208",1634591,1639011,"I don't remember that well.Couldn't have been too great. Woke up alone.","Speed"
"209",1639012,1643812,"Yeah? The last time I partied like that,I woke up married, huh, Vinnie?","Speed"
"210",1644935,1647228,"Hey, Jack, you forgot your muffins.","Speed"
"211",1647229,1650522,"- Have a good one, Bob.- Thanks, Jack. Take care.","Speed"
"212",1650523,1652509,"Thanks.","Speed"
"213",1664162,1666643,"See you tomorrow.","Speed"
"214",1743116,1745159,"What do you think, Jack?","Speed"
"215",1745160,1749960,"You think if you pick up all the bus driver'steeth, they'll give you another medal?","Speed"
"216",1750206,1751290,"Jesus!","Speed"
"217",1751291,1753960,"You think I wouldn't have been prepared?","Speed"
"218",1753961,1758761,"Two years I spent setting up that elevatorjob.Two years I invested myself in it.","Speed"
"219",1760550,1763761,"You couldn't understandthe kind of commitment that I have.","Speed"
"220",1763762,1767097,"You ruined a man's life's workand you think you can walk away?","Speed"
"221",1767098,1771898,"You got blinders on to the world,but I got your attention now, didn't I, Jack?","Speed"
"222",1772312,1777112,"- Why didn't you just come after me?- This is about me. This is about my money.","Speed"
"223",1777150,1781195,"This is about money due me, which I will collect.","Speed"
"224",1781196,1783826,"$3.7 million.","Speed"
"225",1783907,1788369,"It's my nest egg, Jack.At my age, you gotta think ahead.","Speed"
"226",1788370,1791080,"- When I find you...- Pop quiz, hotshot.","Speed"
"227",1791081,1793958,"There's a bomb on a bus.","Speed"
"228",1793959,1798253,"Once the bus goes 50 miles an hour, the bomb is armed.","Speed"
"229",1798254,1802841,"If it drops below 50, it blows up.","Speed"
"230",1802842,1806218,"What do you do? What do you do?","Speed"
"231",1806763,1811563,"- I'd wanna know what bus it was.- You think I'm gonna tell you that?","Speed"
"232",1811601,1813936,"- Yes.- Very good.","Speed"
"233",1813937,1817439,"There are rules, Jack, and I want you to get this right.","Speed"
"234",1817440,1819984,"No one goes off the bus.","Speed"
"235",1819985,1824113,"You try to take any passengers off the bus,I will detonate it.","Speed"
"236",1824114,1827588,"I want my money by 11am.","Speed"
"237",1828785,1832454,"- We can't pull that kind of money in time.- Focus, Jack!","Speed"
"238",1832455,1837255,"Your concern is the bus.And don't try to call. The radio's down.","Speed"
"239",1838169,1842969,"Now, the number of the bus is 2525.It's running downtown from Venice.","Speed"
"240",1844092,1848807,"It is at the corner of Ocean Park and Main.","Speed"
"241",1861984,1863225,"Sam!","Speed"
"242",1864403,1865570,"Sam!","Speed"
"243",1865571,1867071,"Annie.","Speed"
"244",1867072,1869032,"Sam! Tell him to stop!","Speed"
"245",1869033,1872755,"Shit. Excuse me. Coming through! Sam!","Speed"
"246",1874747,1877248,"- Sam!- This ain't no bus stop.","Speed"
"247",1877249,1879542,"- Come on.- Get rid of your butt, Annie.","Speed"
"248",1879543,1882253,"OK, it's gone, it's gone.","Speed"
"249",1882254,1887054,"You are a good, kind man. One daypeople are gonna write songs about you.","Speed"
"250",1896143,1898625,"- Hi.- Hi.","Speed"
"251",1906905,1911533,"- First time in LA.- Oh, no. I live here.","Speed"
"252",1911534,1914746,"No, I mean mine. Oh, that's just funny.","Speed"
"253",1914747,1917791,"- You heard me wrong. I'm sightseeing.- Oh, really?","Speed"
"254",1917792,1922462,"Yeah. I hate to use the word ""tourist"",but it's not like I can hide it.","Speed"
"255",1922463,1924944,"Not really.","Speed"
"256",1927051,1931851,"Aw, jeez. You know, it took me three hoursjust to get here from the airport. I got so lost.","Speed"
