"id","startTime","endTime","text","title"
"1",26329,38329,"Fixed & Synced by bozxphd. Enjoy The Flick.","Spider-Man: Homecoming"
"2",39329,41957,"Things are never gonna bethe same now.","Spider-Man: Homecoming"
"3",42125,44168,"I mean, look at this.","Spider-Man: Homecoming"
"4",44335,46378,"You got aliens.","Spider-Man: Homecoming"
"5",46545,49798,"You got big green guystearing down buildings.","Spider-Man: Homecoming"
"6",49966,53261,"When I was a kid,I used to draw cowboys and Indians.","Spider-Man: Homecoming"
"7",53427,56972,"Actually, it's Native American,but whatever.","Spider-Man: Homecoming"
"8",57515,59933,"Yeah. Tell you what, though.","Spider-Man: Homecoming"
"9",60560,62520,"It ain't bad, is it?","Spider-Man: Homecoming"
"10",63063,64438,"No. Yeah.","Spider-Man: Homecoming"
"11",64605,66483,"Kid's got a future.","Spider-Man: Homecoming"
"12",66649,68442,"Yeah, well...","Spider-Man: Homecoming"
"13",69277,70736,"we'll see, I guess.","Spider-Man: Homecoming"
"14",95387,96513,"No, hey!","Spider-Man: Homecoming"
"15",97514,99098,"You can't saw through that stuff.","Spider-Man: Homecoming"
"16",100057,102102,"These alien bastards are tough.","Spider-Man: Homecoming"
"17",102268,104228,"You gotta use the stuff they use.","Spider-Man: Homecoming"
"18",106730,109234,"- See? All right.- All right.","Spider-Man: Homecoming"
"19",110859,112736,"Oh, hey!","Spider-Man: Homecoming"
"20",113445,115198,"Glad you could join us. Afternoon.","Spider-Man: Homecoming"
"21",115365,117616,"- Yeah. My alarm didn't go off.- Yeah, your alarm.","Spider-Man: Homecoming"
"22",117783,120495,"Look, just go stackthat armor plating like I asked you.","Spider-Man: Homecoming"
"23",120662,122454,"This is a huge deal for us.","Spider-Man: Homecoming"
"24",122621,124081,"Attention, please!","Spider-Man: Homecoming"
"25",124248,127084,"In accordancewith Executive Order 396B...","Spider-Man: Homecoming"
"26",127251,130796,"all post-battle cleanup operationsare now under our jurisdiction.","Spider-Man: Homecoming"
"27",130963,133049,"Thank you for your service.We'll take it from here.","Spider-Man: Homecoming"
"28",133216,134509,"Who the hell are you?","Spider-Man: Homecoming"
"29",134675,136135,"Qualified personnel.","Spider-Man: Homecoming"
"30",136301,140639,"Look, I have a city contract to salvageall this, okay, with the city, so...","Spider-Man: Homecoming"
"31",140806,145395,"I apologize, Mr. Toomes, but all salvageoperations are now under our jurisdiction.","Spider-Man: Homecoming"
"32",145562,148856,"Please turn over any and allexotic materials that you've collected...","Spider-Man: Homecoming"
"33",149024,150358,"or you will be prosecuted.","Spider-Man: Homecoming"
"34",150734,152485,"Ma'am, what am...?","Spider-Man: Homecoming"
"35",152651,155530,"Please. Come here.Hey, lady, come on.","Spider-Man: Homecoming"
"36",155697,157281,"Look...","Spider-Man: Homecoming"
"37",157781,159950,"I bought trucks for this job.","Spider-Man: Homecoming"
"38",160117,161493,"I brought in a whole new crew.","Spider-Man: Homecoming"
"39",161661,164163,"These guys have a family.I have a family.","Spider-Man: Homecoming"
"40",164329,166457,"I'm all in on this. I could lose my house.","Spider-Man: Homecoming"
"41",166623,169961,"I'm sorry, sir. There's nothing I can do.","Spider-Man: Homecoming"
"42",170127,172254,"Maybe next time,don't overextend yourself.","Spider-Man: Homecoming"
"43",174299,175466,"What'd you say?","Spider-Man: Homecoming"
"44",177676,179012,"Yeah.","Spider-Man: Homecoming"
"45",179179,181848,"He's right. I overextended myself.","Spider-Man: Homecoming"
"46",182389,184683,"- Hey, hey, hey.- Don't do it.","Spider-Man: Homecoming"
"47",185602,187354,"Put them down.","Spider-Man: Homecoming"
