"id","startTime","endTime","text","title"
"1",19618,22454,"Come on, Cass.","Split"
"2",24591,26457,"Cassandra.","Split"
"3",29028,30361,"Cassandra.","Split"
"4",34500,37435,"Come on, Cass.Don't be afraid.","Split"
"5",37438,38704,"Cassandra.","Split"
"6",39805,42173,"You're gonna be all right.","Split"
"7",45712,47246,"All right, that's good pumpkin.","Split"
"8",47247,48613,"That's good.","Split"
"9",48615,52283,"Now, just roll the ball.","Split"
"10",78277,80846,"Episode 37, bowling.","Split"
"11",80847,82513,"Sport of the people.","Split"
"12",82515,84549,"Over 100 million people in fact,","Split"
"13",84551,86685,"in over 90 countriesacross the globe.","Split"
"14",89489,91623,"My dad was bowler.","Split"
"15",91625,93825,"He was bowler my whole life.","Split"
"16",93828,97128,"All the other girlswanted to marry Zack Morris.","Split"
"17",97131,99264,"But I loved Pete weber.","Split"
"18",99265,101432,"Pete accomplishedmore by the time he was 30","Split"
"19",101435,103402,"than 99% of all athletes","Split"
"20",103403,106371,"in any other sport ever will.","Split"
"21",106372,108539,"Dad idolized Pete.","Split"
"22",108542,111109,"Maybe in a few too many ways.","Split"
"23",111111,114179,"Oh, if you're wonderingwhy I'm using the past tense.","Split"
"24",114180,117816,"Well, my dad...","Split"
"25",117817,119450,"He died.","Split"
"26",119453,121219,"Sure, he wasn't perfect.","Split"
"27",121221,123421,"But I think maybehe was just lonely.","Split"
"28",123424,125623,"He always had me though,his little girl.","Split"
"29",125626,128460,"He'd get backfrom the lanes just so frustrated","Split"
"30",128461,129728,"or happy or whatever","Split"
"31",129729,131830,"and just want to spend timewith me.","Split"
"32",131831,134566,"No more pins,no more score sheets.","Split"
"33",134568,136235,"No more expectations.","Split"
"34",136236,138137,"Just me and him and the movies.","Split"
"35",138139,139538,"We had the usualback then of course.","Split"
"36",139539,141507,"""Airplane,"" ""caddyshack,""""blazing saddles.""","Split"
"37",141509,143841,"But as the years wenton a clear favorite emerged,","Split"
"38",143843,146145,"""the big Lebowski.""","Split"
"39",146146,148447,"So in just under a month,just like every year,","Split"
"40",148449,149914,"I'll break awayfrom my snoozefest","Split"
"41",149917,151550,"network ad sales job","Split"
"42",151551,154719,"and cover Louisville's own,Lebowski fest.","Split"
"43",154722,156555,"So, if you think about it,","Split"
"44",156557,159191,"maybe make a special pointto come say hi this year.","Split"
"45",159192,161727,"It is after all the first timeafter 30 years","Split"
"46",161728,164663,"that my best friend won't beright there by my side.","Split"
"47",164664,169168,"Because now, he's gone.And I'm just lonely too.","Split"
"48",186920,188653,"Pete Weber...","Split"
"49",191191,193457,"This is really all his fault.","Split"
"50",193460,196260,"My third decade of existenceis rapidly coming to a close","Split"
"51",196263,197695,"and what do I haveto show for it?","Split"
"52",197698,199564,"- Well, look, girl...- I read something earlier.","Split"
"53",199567,200765,"Oh, no, Cass, please, don't.","Split"
"54",200768,202401,"It said the average ageof marriage","Split"
"55",202402,204703,"for a female professionalcollege graduate","Split"
"56",204704,208272,"in the Southern regionof the United States is 26.","Split"
"57",208275,210741,"- You told me.- Yeah. Two-six.","Split"
"58",210743,215379,"- I mean, between 26 and 30.- That's why I don't read.","Split"
"59",215382,217481,"Well, you're seeingthat one guy.","Split"
"60",217484,219418,"What's his name?Mister perfect game. Danny.","Split"
"61",219420,220819,"Oh, Donnie?","Split"
"62",220820,222987,"Yeah, you said he waspretty dreamy, right?","Split"
"63",222990,225324,"Forget marriage.Aim low.","Split"
"64",225325,227459,"- Low. -Easy. Boyfriend status.Okay?","Split"
"65",227461,228659,"We'll go from there.","Split"
"66",228662,230262,"Baby steps, best friend.Baby steps.","Split"
"67",230264,232663,"- Uh-huh. -Plus, yousaid he's gorgeous.","Split"
"68",232665,236634,"And he bowled a what?A high bowl... score.","Split"
"69",236637,238236,"- Right?- Mm-hmm.","Split"
"70",238239,240239,"You're so pretty.","Split"
"71",247813,250481,"Of course.","Split"
"72",250484,254318,"- Barrels all around, sir.- All right then, here we go.","Split"
"73",254320,257555,"Crunch time, boys. Less thana month to montage it up.","Split"
