"id","startTime","endTime","text","title"
"1",3380,16760," Subtitle edited By iMR aka imxpress","Spy Kids 2: Island of Lost Dreams"
"2",23552,24762,"Hello, everyone.","Spy Kids 2: Island of Lost Dreams"
"3",24845,26763,"We want to welcomea very special guest","Spy Kids 2: Island of Lost Dreams"
"4",26805,27889,"to our park today --","Spy Kids 2: Island of Lost Dreams"
"5",27973,29850,"the president's daughter.","Spy Kids 2: Island of Lost Dreams"
"6",29933,31893,"-- Woman:Big smile. Big smile.","Spy Kids 2: Island of Lost Dreams"
"7",31935,33436,"Hello, Alexandra.","Spy Kids 2: Island of Lost Dreams"
"8",33478,34562,"Where's your father?","Spy Kids 2: Island of Lost Dreams"
"9",34604,36397,"He'll be here.","Spy Kids 2: Island of Lost Dreams"
"10",36481,38983,"I'll make sure of it.","Spy Kids 2: Island of Lost Dreams"
"11",39066,41318,"Well, hey there,little miss first lady,","Spy Kids 2: Island of Lost Dreams"
"12",41402,44154,"I'm Dinky Winks, ownerof this fine establishment.","Spy Kids 2: Island of Lost Dreams"
"13",44238,47032,"You ready to ride the rideand shrill to the thrills,
spills, and chills?","Spy Kids 2: Island of Lost Dreams"
"14",47115,48367,"Yes, I am.","Spy Kids 2: Island of Lost Dreams"
"15",48450,50076,"Right this way!","Spy Kids 2: Island of Lost Dreams"
"16",51786,55373,"Of course, that behind me --the world-famous Whippersnapper.","Spy Kids 2: Island of Lost Dreams"
"17",55456,58417,"-- [ People screaming ]-- Guaranteed to make
grown men howl","Spy Kids 2: Island of Lost Dreams"
"18",58459,60378,"-- like a cub wokeat weaning time.
-- [ Yawns ]","Spy Kids 2: Island of Lost Dreams"
"19",60461,61796,"Over on our left...","Spy Kids 2: Island of Lost Dreams"
"20",63130,66008,"The NerveWracker --oh-ho, painful.","Spy Kids 2: Island of Lost Dreams"
"21",67301,68510,"Good fun.","Spy Kids 2: Island of Lost Dreams"
"22",68593,70262,"On your other left","Spy Kids 2: Island of Lost Dreams"
"23",70345,73556,"is, uh, well,my personal favorite --","Spy Kids 2: Island of Lost Dreams"
"24",73640,74849,"the Vomiter.","Spy Kids 2: Island of Lost Dreams"
"25",74933,76100,"Now, we tell people","Spy Kids 2: Island of Lost Dreams"
"26",76184,78269,"not to ride iton a full stomach,","Spy Kids 2: Island of Lost Dreams"
"27",78352,79854,"but you know folks.","Spy Kids 2: Island of Lost Dreams"
"28",79937,81522,"They just don't listen.","Spy Kids 2: Island of Lost Dreams"
"29",83774,85150,"But...","Spy Kids 2: Island of Lost Dreams"
"30",85234,87361,"why bother with anyof those?","Spy Kids 2: Island of Lost Dreams"
"31",87444,90155,"You're herefor my latest and greatest.","Spy Kids 2: Island of Lost Dreams"
"32",90238,92949,"For your personal amusementand complete gratification,","Spy Kids 2: Island of Lost Dreams"
"33",93032,95702,"I humbly offer...","Spy Kids 2: Island of Lost Dreams"
"34",95785,97703,"the Juggler.","Spy Kids 2: Island of Lost Dreams"
"35",102666,104335,"But is it fast?","Spy Kids 2: Island of Lost Dreams"
"36",104418,106170,"-- [ Mid-tempo music plays ]-- [ Chuckles ]
Is it fast?","Spy Kids 2: Island of Lost Dreams"
"37",106253,108088,"Well, let's see, shall we?","Spy Kids 2: Island of Lost Dreams"
"38",108171,110590,"The riders are strappedinto the bubble.","Spy Kids 2: Island of Lost Dreams"
"39",113551,116262,"The hydrobot lifts the bubblehigh into the air.","Spy Kids 2: Island of Lost Dreams"
"40",119557,120850,"And spins it round and roundas fast","Spy Kids 2: Island of Lost Dreams"
"41",120933,122601,"as the United States governmentwill allow.","Spy Kids 2: Island of Lost Dreams"
"42",128065,129608,"The bubble spins, turns,flips, and bounces.","Spy Kids 2: Island of Lost Dreams"
"43",133486,135780,"And then...it juggles you.","Spy Kids 2: Island of Lost Dreams"
"44",145205,146415,"I want to go on!","Spy Kids 2: Island of Lost Dreams"
"45",148125,149793,"[ Chuckles ]I thought so.","Spy Kids 2: Island of Lost Dreams"
"46",149876,152337,"Now, understand -- the overrideprecautions are top-notch,","Spy Kids 2: Island of Lost Dreams"
"47",152420,154339,"modified by yours truly.","Spy Kids 2: Island of Lost Dreams"
"48",154380,156090,"I thought her fatherwas supposed to be here.","Spy Kids 2: Island of Lost Dreams"
"49",156174,158342,"Man: The presidenthas more pressing business","Spy Kids 2: Island of Lost Dreams"
"50",158426,159760,"than to spendan entire Sunday","Spy Kids 2: Island of Lost Dreams"
"51",159844,161637,"in a theme park.","Spy Kids 2: Island of Lost Dreams"
"52",161720,163347,"No one's that busy.","Spy Kids 2: Island of Lost Dreams"
"53",166225,167684,"Have fun, kid.","Spy Kids 2: Island of Lost Dreams"
"54",169061,171187,"-- [ Beeping ]-- We'll take it a little slow,","Spy Kids 2: Island of Lost Dreams"
"55",171271,172605,"just make it fun.","Spy Kids 2: Island of Lost Dreams"
"56",184575,185784,"Can't you get her down?","Spy Kids 2: Island of Lost Dreams"
"57",185868,187661,"Somebody's jammedthe override.","Spy Kids 2: Island of Lost Dreams"
"58",187744,190705,"Why, thatlittle troublemaker.","Spy Kids 2: Island of Lost Dreams"
"59",192749,194667,"Remain calm.Remain calm.","Spy Kids 2: Island of Lost Dreams"
"60",194751,197795,"We are the Secret Service.Everything is under control.","Spy Kids 2: Island of Lost Dreams"
"61",197879,199547,"-- There's nothingwe can do, sir.
-- What?","Spy Kids 2: Island of Lost Dreams"
"62",199589,201465,"The weight of our agentswill prevent us from ascending","Spy Kids 2: Island of Lost Dreams"
"63",201549,203425,"the shaky precipiceon which she now stands.","Spy Kids 2: Island of Lost Dreams"
"64",203467,205135,"She'll fall.","Spy Kids 2: Island of Lost Dreams"
"65",205219,207221,"Don't we haveany smaller agents?","Spy Kids 2: Island of Lost Dreams"
"66",209764,213017,"Bring me agents SK1 and SK2.","Spy Kids 2: Island of Lost Dreams"
"67",213101,215311,"-- Coming through.-- Coming through.","Spy Kids 2: Island of Lost Dreams"
"68",222651,224069,"We're ready.","Spy Kids 2: Island of Lost Dreams"
"69",224111,226196,"Use this -- the latest gear.","Spy Kids 2: Island of Lost Dreams"
"70",226280,227823,"We get to keep themafterwards?","Spy Kids 2: Island of Lost Dreams"
"71",227906,229241,"- N-No.","Spy Kids 2: Island of Lost Dreams"
"72",229282,230325,"Yes.","Spy Kids 2: Island of Lost Dreams"
"73",230408,231868,"Of course.","Spy Kids 2: Island of Lost Dreams"
"74",231952,233411,"Let's rock.","Spy Kids 2: Island of Lost Dreams"
"75",235830,238332,"You're surethey can handle this?","Spy Kids 2: Island of Lost Dreams"
"76",240209,242253,"If not,there are two others who can.","Spy Kids 2: Island of Lost Dreams"
"77",243754,247132,"Bring me agents SK3 and SK4as backup.","Spy Kids 2: Island of Lost Dreams"
"78",249926,251803,"[ Panting ]We got company.","Spy Kids 2: Island of Lost Dreams"
"79",256140,259060,"Gary and Gerti --what are they doing here?","Spy Kids 2: Island of Lost Dreams"
"80",275700,277285,"Excuse me there, sport.","Spy Kids 2: Island of Lost Dreams"
"81",277326,279912,"Where did you get that?","Spy Kids 2: Island of Lost Dreams"
"82",279996,281914,"Latestin electro-riser technology,","Spy Kids 2: Island of Lost Dreams"
"83",281997,284458,"with new composite materialsand A.I. brainology.","Spy Kids 2: Island of Lost Dreams"
"84",284500,285751,"[ Chuckles ] I can see","Spy Kids 2: Island of Lost Dreams"
"85",285834,287753,"you don't knowwhat I'm talking about.","Spy Kids 2: Island of Lost Dreams"
"86",287836,289796,"Gary, this is my rescue.","Spy Kids 2: Island of Lost Dreams"
"87",289838,291423,"We'll take it from here.","Spy Kids 2: Island of Lost Dreams"
"88",291506,295009,"""Latest gear,"" my butt.","Spy Kids 2: Island of Lost Dreams"
"89",296177,297595,"No, no, no!","Spy Kids 2: Island of Lost Dreams"
"90",297678,299138,"You'll just make it worse!","Spy Kids 2: Island of Lost Dreams"
"91",301724,303142,"Now you done it.","Spy Kids 2: Island of Lost Dreams"
"92",303183,304893,"Over here!","Spy Kids 2: Island of Lost Dreams"
"93",304977,306103,"Get away from me!","Spy Kids 2: Island of Lost Dreams"
"94",306186,309064,"Alexandra, take my hand!","Spy Kids 2: Island of Lost Dreams"
"95",309147,310315,"Back off!","Spy Kids 2: Island of Lost Dreams"
"96",310398,312817,"I want my fatherto come up here and get me.","Spy Kids 2: Island of Lost Dreams"
"97",312859,315069,"But he's the presidentof the United States.","Spy Kids 2: Island of Lost Dreams"
"98",315153,316321,"No, he's my father.","Spy Kids 2: Island of Lost Dreams"
"99",316404,318948,"He was my fatherbefore he ever became president,","Spy Kids 2: Island of Lost Dreams"
"100",319031,321117,"and he should stillbe my father now.","Spy Kids 2: Island of Lost Dreams"
"101",321200,322785,"[ Stamps foot ]I want him up here!","Spy Kids 2: Island of Lost Dreams"
