"id","startTime","endTime","text","title"
"1",92009,95803,"I was 12 going on 13the first time I saw a dead human being.","Stand by Me"
"2",98015,100767,"It happened in the summer of 1959,","Stand by Me"
"3",101143,102685,"a long time ago,","Stand by Me"
"4",103228,106063,"but only if you measure in terms of years.","Stand by Me"
"5",110986,114322,"I was living in a small town in Oregoncalled Castle Rock.","Stand by Me"
"6",115032,119243,"There were only 1,281 people,but to me it was the whole world.","Stand by Me"
"7",119745,123414,"It's the Bossman Bob Cormier here.It's a beautiful Friday morning in Portland.","Stand by Me"
"8",123540,125666,"It's 90 KLAM degrees and getting hotter.","Stand by Me"
"9",125834,129128,"Up the ladder with another platter,it's Bobby Day with Rockin' Robin.","Stand by Me"
"10",129213,130421,"It's boss.","Stand by Me"
"11",148482,151692,"Hey, how do you know a Frenchman's beenin your backyard?","Stand by Me"
"12",151777,153027,"I'm French, okay.","Stand by Me"
"13",153111,156155,"Your garbage cans are emptyand your dog's pregnant.","Stand by Me"
"14",156990,159116,"Didn't I just say I was French?","Stand by Me"
"15",159243,161327,"-I knock.-Shit.","Stand by Me"
"16",161995,163037,"Twenty-nine.","Stand by Me"
"17",163121,164413,"Twenty-two.","Stand by Me"
"18",164623,165915,"Piss up a rope.","Stand by Me"
"19",168418,172171,"Gordie's out, Ole' Gordie just bit the bagand stepped out the door.","Stand by Me"
"20",174341,175800,"Come on, man, deal.","Stand by Me"
"21",176093,178845,"Teddy Duchamp was the craziest guywe hung around with.","Stand by Me"
"22",178929,181013,"He didn't have much of a chance in life.","Stand by Me"
"23",181098,183266,"His dad was given to fits of rage.","Stand by Me"
"24",183433,187103,"One time he held Teddy's ear to a stoveand almost burned it off.","Stand by Me"
"25",188146,189438,"I knock.","Stand by Me"
"26",190274,192191,"You four-eyed pile of shit.","Stand by Me"
"27",192276,194694,"The ""pile of shit"" has 1,000 eyes.","Stand by Me"
"28",196864,197989,"What?","Stand by Me"
"29",198073,200700,"What's so funny? Come on.I've got 30, what have you got?","Stand by Me"
"30",200784,201993,"Sixteen.","Stand by Me"
"31",202077,203661,"Go ahead, keep laughing.","Stand by Me"
"32",203745,205746,"You're down to your ride, pal.","Stand by Me"
"33",205831,209083,"Chris Chambers was the leader of our gangand my best friend.","Stand by Me"
"34",209167,213004,"He came from a bad familyand everyone just knew he'd turn out bad.","Stand by Me"
"35",213255,214630,"Including Chris.","Stand by Me"
"36",215966,218217,"That's not the secret knock.","Stand by Me"
"37",218343,220469,"I forget the secret knock. Let me in.","Stand by Me"
"38",220554,221721,"Vern.","Stand by Me"
"39",222472,224599,"Come on, you guys, open up.","Stand by Me"
"40",225142,228811,"Oh, man, you guys are not gonnabelieve this. This is so boss.","Stand by Me"
"41",229605,232356,"Oh, man, wait till you hear this.","Stand by Me"
"42",232441,234942,"You won't believe it. It's unbelievable.","Stand by Me"
"43",235027,238321,"Let me catch my breath.I ran all the way from my house.","Stand by Me"
"44",238447,240698,"I ran all the way home","Stand by Me"
"45",240824,242742,"Come on. You guys, listen to me,'cause this is boss.","Stand by Me"
"46",242826,245161,"Just to say I'm sorry","Stand by Me"
"47",245621,248497,"Okay, forget it.I don't have to tell you nothing.","Stand by Me"
"48",248582,250917,"Hold on, you guys. Hold on.What is it, man?","Stand by Me"
"49",251001,253252,"Okay, great,you won't believe this, sincerely.","Stand by Me"
"50",253337,255254,"I ran all the way home","Stand by Me"
"51",255380,257757,"Screw you guys. Forget it.","Stand by Me"
"52",257841,259258,"What is it?","Stand by Me"
"53",259343,260885,"Can you guys camp out tonight?","Stand by Me"
