"id","startTime","endTime","text","title"
"1",21814,24107,"(STAR TREK THEME PLAYlNG)","Star Trek: First Contact"
"2",180597,182557,"(DISTORTED BORG VOICES)","Star Trek: First Contact"
"3",213130,214297,"(GASPlNG)","Star Trek: First Contact"
"4",215132,216841,"BORG QUEEN: Locutus.","Star Trek: First Contact"
"5",220637,226100,"l am Locutus of Borg.Resistance is futile.","Star Trek: First Contact"
"6",238822,239822,"(SlGHS)","Star Trek: First Contact"
"7",254880,255880,"(GASPS)","Star Trek: First Contact"
"8",256214,258257,"(CONSOLE BEEPlNG)","Star Trek: First Contact"
"9",266016,268100,"Authorization, Picard 4-7-alpha-tango.","Star Trek: First Contact"
"10",269436,272063,"-Admiral.-Catch you at a bad time, Jean-Luc?","Star Trek: First Contact"
"11",272147,273272,"No, of course not.","Star Trek: First Contact"
"12",273357,276984,"I've just received a disturbing reportfrom Deep Space Five.","Star Trek: First Contact"
"13",277069,280279,"Our coIony on Ivor Primewas destroyed this morning.","Star Trek: First Contact"
"14",280364,284450,"-Long-range sensors have picked up...-Yes, l know. The Borg.","Star Trek: First Contact"
"15",288080,292291,"PICARD: Captain's Log,Stardate 50893.5.","Star Trek: First Contact"
"16",292376,296379,"The moment I have dreadedfor nearly six years has finally arrived.","Star Trek: First Contact"
"17",297005,302259,"The Borg, our most lethal enemy, havebegun an invasion of the Federation,","Star Trek: First Contact"
"18",303053,306347,"and this time,there may be no stopping them.","Star Trek: First Contact"
"19",307182,308432,"-How many ships?-One.","Star Trek: First Contact"
"20",308517,310434,"And it's on a direct course for Earth.","Star Trek: First Contact"
"21",310519,312979,"They will cross the Federation borderin less than an hour.","Star Trek: First Contact"
"22",313063,316232,"Admiral Hayes is mobilizing a fleetin the Typhon sector.","Star Trek: First Contact"
"23",316316,318943,"At maximum warp,it will take us three hours, 25 minutes...","Star Trek: First Contact"
"24",319027,321988,"-We're not going.-What do you mean, we're not going?","Star Trek: First Contact"
"25",322072,324907,"Our orders areto patrol the Neutral Zone","Star Trek: First Contact"
"26",324992,327994,"in case the Romulans decideto take advantage of the situation.","Star Trek: First Contact"
"27",328078,329203,"The Romulans?","Star Trek: First Contact"
