"id","startTime","endTime","text","title"
"1",280404,281656,"Tactical","Star Trek: The Motion Picture"
"2",302970,304220,"Visual","Star Trek: The Motion Picture"
"3",310851,313603,"Tactical, stand by on torpedoes.","Star Trek: The Motion Picture"
"4",321737,323781,"Ready...","Star Trek: The Motion Picture"
"5",326242,327410,"Fire!","Star Trek: The Motion Picture"
"6",353269,354437,"Evasive!","Star Trek: The Motion Picture"
"7",362237,366781,"This is comm station Epsilon IXcalling U.S.S. Columbia.","Star Trek: The Motion Picture"
"8",366867,369535,"Come in, Columbia. Respond, please.","Star Trek: The Motion Picture"
"9",375916,380629,"This is Epsilon IX, Columbia.Am boosting output. How read you this?","Star Trek: The Motion Picture"
"10",384300,387802,"Scout Columbia NCC-621,","Star Trek: The Motion Picture"
"11",387971,392600,"to rendezvous withScout Revere NCC-595","Star Trek: The Motion Picture"
"12",392683,396478,"on Stardate 7411.4.","Star Trek: The Motion Picture"
"13",396562,399023,"Further orders will be relayedat that time,","Star Trek: The Motion Picture"
"14",399106,401733,"signed Commodore Probertto Starfleet.","Star Trek: The Motion Picture"
"15",401817,403569,"End of transmission.","Star Trek: The Motion Picture"
"16",408283,410158,"Intruder unidentified.","Star Trek: The Motion Picture"
"17",410409,414413,"Believe luminescent cloudto be enormous power field","Star Trek: The Motion Picture"
"18",414497,416331,"surrounding alien vessel.","Star Trek: The Motion Picture"
"19",416415,419209,"Our sensor scans unable to penetrate.","Star Trek: The Motion Picture"
"20",420170,424423,"Imperial Klingon Cruiser Amar,continuing to attack.","Star Trek: The Motion Picture"
"21",425841,429595,"Our sensor drone is intercepting thison Quad L-14.","Star Trek: The Motion Picture"
"22",430012,432348,"That's within Klingon boundaries.Who are they fighting?","Star Trek: The Motion Picture"
"23",432432,433932,"Unknown, sir.","Star Trek: The Motion Picture"
"24",435685,437519,"I have an exterior visual.","Star Trek: The Motion Picture"
"25",511511,514429,"We've plotted a courseon that cloud, Commander.","Star Trek: The Motion Picture"
"26",514514,518100,"It will pass into Federation spacefairly close to us.","Star Trek: The Motion Picture"
"27",518768,520019,"Heading?","Star Trek: The Motion Picture"
"28",520477,523355,"Sir, it's on a precise heading for Earth.","Star Trek: The Motion Picture"
"29",578327,585292,"Our ancestors cast out their animalpassions here on these sands.","Star Trek: The Motion Picture"
"30",585876,592508,"Our race was saved by theattainment of Kolinahr.","Star Trek: The Motion Picture"
"31",592591,596386,"Kolinahr: through which all emotionis finally shed.","Star Trek: The Motion Picture"
"32",596471,600975,"You have labored long, Spock...","Star Trek: The Motion Picture"
"33",601058,605687,"Now receive from us this symbolof total logic.","Star Trek: The Motion Picture"
"34",630879,634299,"Your thoughts... give them to me.","Star Trek: The Motion Picture"
"35",639556,642515,"Our minds, Spock...","Star Trek: The Motion Picture"
"36",643058,646019,"...one and together","Star Trek: The Motion Picture"
"37",658408,662119,"This consciousness calling to youfrom space...","Star Trek: The Motion Picture"
"38",662202,665706,"It touches your human blood, Spock.","Star Trek: The Motion Picture"
"39",674090,677551,"You have not achieved Kolinahr.","Star Trek: The Motion Picture"
"40",680429,682764,"His answer lies elsewhere.","Star Trek: The Motion Picture"
"41",684225,687144,"He will not achieve his goal with us.","Star Trek: The Motion Picture"
"42",689272,693274,"Live long and prosper, Spock.","Star Trek: The Motion Picture"
"43",744159,745952,"Commander Sonak,","Star Trek: The Motion Picture"
"44",746538,748746,"you received your appointmentas Enterprise science officer?","Star Trek: The Motion Picture"
"45",748831,750749,"Based, I am told,on your recommendation, Admiral.","Star Trek: The Motion Picture"
"46",750833,752250,"-Thank you.-Then why aren't you aboard?","Star Trek: The Motion Picture"
"47",752335,754753,"Captain Decker requested I completefinal science briefing here","Star Trek: The Motion Picture"
"48",754837,757505,"-before we leave on our mission.-Here? At Starfleet?","Star Trek: The Motion Picture"
"49",759341,762094,"The Enterprise isin final preparation to leave dock.","Star Trek: The Motion Picture"
"50",762177,764011,"Which will require 20 more hoursat minimum.","Star Trek: The Motion Picture"
"51",764096,766014,"Twelve.","Star Trek: The Motion Picture"
"52",766182,767890,"I'm on my way to a meetingwith Admiral Nogura","Star Trek: The Motion Picture"
"53",767975,770184,"which will not lastmore than three minutes.","Star Trek: The Motion Picture"
"54",770269,772062,"Report to me onthe Enterprise in one hour.","Star Trek: The Motion Picture"
"55",772147,773312,"Report to you, sir?","Star Trek: The Motion Picture"
"56",773398,778235,"It is my intention to be on that shipfollowing that meeting.","Star Trek: The Motion Picture"
"57",778318,780070,"Report to me in one hour.","Star Trek: The Motion Picture"
"58",852268,853476,"-Admiral!-Mr. Scott.","Star Trek: The Motion Picture"
"59",853561,856687,"Those departure orders, 12 hours,Starfleet cannot be serious.","Star Trek: The Motion Picture"
"60",856773,859149,"Why aren't the Enterprise transportersoperating, Mr. Scott?","Star Trek: The Motion Picture"
"61",859234,861025,"A wee problem, sir. Just temporary.","Star Trek: The Motion Picture"
"62",861110,863445,"Admiral, we have justfinished 18 months","Star Trek: The Motion Picture"
"63",863529,865404,"redesigning and refitting the Enterprise.","Star Trek: The Motion Picture"
"64",865490,868200,"How in the name of hell do they expectme to have her ready in 12 hours?","Star Trek: The Motion Picture"
"65",868283,869993,"Take me over, please.","Star Trek: The Motion Picture"
"66",873873,876207,"She needs more work, sir.A shakedown.","Star Trek: The Motion Picture"
"67",876292,881171,"Mr. Scott, an alien object ofunbelievable destructive power","Star Trek: The Motion Picture"
"68",881255,883715,"is less than three days awayfrom this planet.","Star Trek: The Motion Picture"
"69",883799,887469,"The only starship in interception rangeis the Enterprise.","Star Trek: The Motion Picture"
"70",887803,890639,"Ready or not, she launches in 12 hours.","Star Trek: The Motion Picture"
"71",912077,914580,"The crew haven't hadnear enough transition time","Star Trek: The Motion Picture"
"72",914663,915998,"with all the new equipment.","Star Trek: The Motion Picture"
"73",917750,921128,"And the engines, they'renot even tested at warp power.","Star Trek: The Motion Picture"
"74",922422,924130,"And an untried captain.","Star Trek: The Motion Picture"
"75",924215,926633,"Two and a half yearsas chief of Starfleet operations","Star Trek: The Motion Picture"
"76",926717,928759,"may have made me a little stale,","Star Trek: The Motion Picture"
"77",928845,931513,"but I wouldn't exactly considermyself untried.","Star Trek: The Motion Picture"
"78",935934,939270,"-They gave her back to me, Scotty.-""Gave"" her back, sir?","Star Trek: The Motion Picture"
