"id","startTime","endTime","text","title"
"1",204879,206632,"Echo Three to Echo Seven.","Star Wars: Episode V - The Empire Strikes Back"
"2",206759,208670,"Han, old buddy,do you read me?","Star Wars: Episode V - The Empire Strikes Back"
"3",208800,210756,"Loud and clear, kid.What's up?","Star Wars: Episode V - The Empire Strikes Back"
"4",210879,213439,"I finished my circle.I don't pick up any life readings.","Star Wars: Episode V - The Empire Strikes Back"
"5",213560,216358,"There isn't enough life on this ice cubeto fill a space cruiser.","Star Wars: Episode V - The Empire Strikes Back"
"6",216479,218198,"The sensors are placed.I'm going back.","Star Wars: Episode V - The Empire Strikes Back"
"7",218319,220116,"Right. I'll see you shortly.","Star Wars: Episode V - The Empire Strikes Back"
"8",220240,222230,"There's a meteoritethat hit the ground near here.","Star Wars: Episode V - The Empire Strikes Back"
"9",222360,224475,"I want to check it out.It won't take long.","Star Wars: Episode V - The Empire Strikes Back"
"10",224599,225588,"Steady.","Star Wars: Episode V - The Empire Strikes Back"
"11",226960,230076,"Steady, girl. What's the matter?You smell something?","Star Wars: Episode V - The Empire Strikes Back"
"12",269560,271312,"Chewie. Chewie?","Star Wars: Episode V - The Empire Strikes Back"
"13",277000,279194,"All right.Don't lose your temper.","Star Wars: Episode V - The Empire Strikes Back"
"14",279319,281629,"I'll come right backand give you a hand.","Star Wars: Episode V - The Empire Strikes Back"
"15",301399,302389,"Solo.","Star Wars: Episode V - The Empire Strikes Back"
"16",302519,305158,"No sign of life out there, General.The sensors are in place.","Star Wars: Episode V - The Empire Strikes Back"
"17",305279,307952,"- You'll know if anything comes around.- Commander Skywalker reported in yet?","Star Wars: Episode V - The Empire Strikes Back"
"18",308079,310752,"No. He's checking outa meteorite that hit near him.","Star Wars: Episode V - The Empire Strikes Back"
"19",310879,314235,"With all the meteor activity, it's gonnabe difficult to spot approaching ships.","Star Wars: Episode V - The Empire Strikes Back"
"20",314360,316190,"General, I gotta leave.I can't stay any more.","Star Wars: Episode V - The Empire Strikes Back"
