"id","startTime","endTime","text","title"
"1",13088,19537,"Buster Keaton in Steamboat Bill, Jr.","Steamboat Bill, Jr."
"2",44949,49949,"Muddy Waters.","Steamboat Bill, Jr."
"3",86349,89009,"The new steamer, King.","Steamboat Bill, Jr."
"4",92307,95207,"J.J. King, owner.(Actor : Tom McGuire)","Steamboat Bill, Jr."
"5",100270,103075,"The old steamer, Stonewall Jackson.","Steamboat Bill, Jr."
"6",106602,111092,"The owner, William Canfield,better known as Steamboat Bill.","Steamboat Bill, Jr."
"7",111154,114004,"(Actor : Ernest Torrence)","Steamboat Bill, Jr."
"8",119618,123001,"Bill's first and last mate.(Actor : Tom Lewis)","Steamboat Bill, Jr."
"9",126385,129961,"WELCOME KING - STEAMBOAT CO.","Steamboat Bill, Jr."
"10",164400,168690,"River Junction Bank.J.J. king President.","Steamboat Bill, Jr."
"11",169909,172569,"Hotel King.","Steamboat Bill, Jr."
"12",184007,186077,"King","Steamboat Bill, Jr."
"13",200352,207152,"""This floating palace should put an end tothat 'thing' Steamboat Bill is running.""","Steamboat Bill, Jr."
"14",218804,223384,"""Looks like you'll have tolook for a new river.""","Steamboat Bill, Jr."
"15",228726,235006,"""I'll run on this river if I'm theonly passenger on the boat.""","Steamboat Bill, Jr."
"16",247558,252508,"""Telegram from your son.... it'sbeen here four days.""","Steamboat Bill, Jr."
"17",255142,259942,"William Canfield Sr.Steamboat Stonewall Jackson,
River Junction, Mississippi.","Steamboat Bill, Jr."
"18",260423,264023,"Dear dad, It was mother's wish that whenI had finished school to pay you a visit.","Steamboat Bill, Jr."
"19",264457,269757,"I think I arrive Saturday 10 A.M. You can'tmistake me. I'll be wearing a white carnation.","Steamboat Bill, Jr."
"20",270003,271553,"Regards,William Canfield Jr.","Steamboat Bill, Jr."
"21",273645,280045,"""It's from my Willie, I haven'tseen him since he was a baby.""","Steamboat Bill, Jr."
"22",284723,287833,"""Must be a big lad by now.""","Steamboat Bill, Jr."
"23",290704,293294,"""I'll bet he's bigger'n me.""","Steamboat Bill, Jr."
"24",315352,318212,"To steamboat Stonewall Jackson.Free Bus to the Stonewall Jackson.","Steamboat Bill, Jr."
"25",330824,334124,"King's daughter, home from school.(Actress : Marion Byron)","Steamboat Bill, Jr."
"26",350044,352344,"River Junction (Train Station)","Steamboat Bill, Jr."
"27",359037,361437,"Bus - The King Steamboat co. (New!)","Steamboat Bill, Jr."
"28",362160,365810,"To steamboat Stonewall Jackson.Free Bus to the Stonewall Jackson. (Old)","Steamboat Bill, Jr."
"29",415906,419156,"""Any of you boys looking for a father?""","Steamboat Bill, Jr."
"30",458906,462096,"River Junction.","Steamboat Bill, Jr."
"31",577452,580182,"Will Canfield Jr.Boston.","Steamboat Bill, Jr."
"32",630435,634435,"""If you say what you're thinkingI'll Strangle you!""","Steamboat Bill, Jr."
"33",783709,784989,"Barbershop.","Steamboat Bill, Jr."
"34",792497,795497,"""Take that barnacle off his lip.""","Steamboat Bill, Jr."
"35",876709,882029,"""Why, Willie Canfield ...What are you doing so far from Boston?""","Steamboat Bill, Jr."
"36",884172,886372,"""My father's here.""","Steamboat Bill, Jr."
"37",889474,892874,"""So is mine and you'll love him.""","Steamboat Bill, Jr."
"38",1125751,1128751,"""Is that ... Steamboat Bill, Junior? ""","Steamboat Bill, Jr."
"39",1152721,1157391,"""Fix him up with someworking clothes for the boat.""","Steamboat Bill, Jr."
"40",1214001,1218441,"Working clothes for the boat ...","Steamboat Bill, Jr."
"41",1218531,1223431,"... with her help.","Steamboat Bill, Jr."
"42",1239802,1242652,"""No jury would convict you.""","Steamboat Bill, Jr."
"43",1473151,1479211,"""If I find him on this boat again,I'll personally wring his neck.""","Steamboat Bill, Jr."
"44",1545404,1548144,"""That's what that's for.""","Steamboat Bill, Jr."
"45",1560634,1566634,"""If anybody else is caught on this boat ...my son'll handle him.""","Steamboat Bill, Jr."
"46",1593453,1596943,"""Show him what makes the boat go.""","Steamboat Bill, Jr."
"47",1609981,1612901,"""Keep your hands off him.""","Steamboat Bill, Jr."
"48",1700406,1706006,"""I'm trying to teach you to run it ...not 'wreck' it.""","Steamboat Bill, Jr."
"49",1769905,1776055,"Eight Bells and all is wrong.","Steamboat Bill, Jr."
"50",1811544,1814804,"... home. I will be waiting in the Salon.","Steamboat Bill, Jr."
"51",1814981,1818281,"If you really care for me come tonight.* Kitty.","Steamboat Bill, Jr."
"52",1924773,1933073,"""I'll pick the young man for you ....and it won't be the son of a river tramp.""","Steamboat Bill, Jr."
