"id","startTime","endTime","text","title"
"1",71936,73130,"Hey, Brennan.","Step Brothers"
"2",74572,77473,"Mom, I'm watching the thingwith the lady.","Step Brothers"
"3",77642,79542,"I'm leaving. Okay?I'll be home around 11.","Step Brothers"
"4",79710,82304,"- Bye, Mom.- Bye, Brennan.","Step Brothers"
"5",82480,86712,"Let's slowly get those hips up.Good. Now, hold it right here. Great.","Step Brothers"
"6",92223,93417,"Dale.","Step Brothers"
"7",93591,95559,"Dale, I'm leaving for the conference.","Step Brothers"
"8",95726,99162,"- You leave me money for pizza, Dad?- Yeah, there's $20 on the hall table.","Step Brothers"
"9",99330,101560,"Do not order pay-per-view, buddy.","Step Brothers"
"10",101732,104394,"- But what if I want wings?- You don't need wings.","Step Brothers"
"11",104569,105934,"That's not enough, Dad!","Step Brothers"
"12",106103,107695,"The RTI cochlear implant...","Step Brothers"
"13",107872,110432,"...is the state-of-the-artimplantable hearing device...","Step Brothers"
"14",110608,114840,"...due to its input processing of soundvia the speech processor.","Step Brothers"
"15",115012,117776,"But the most excitingnew development...","Step Brothers"
"16",117949,119439,"...is the external processor...","Step Brothers"
"17",119617,121847,"...which fits directly over the ear...","Step Brothers"
"18",122019,126149,"...which eliminates the need to putyour face between those breasts.","Step Brothers"
"19",128826,133263,"I'm sorry. I'm just... I'm so lost.And this never happens to me.","Step Brothers"
"20",135766,138860,"My name is Robert, and I playracquetball. I collect coins.","Step Brothers"
"21",139036,140765,"Sweet Jesus! I love Korean food.","Step Brothers"
"22",140938,143771,"I am Nancy Huff. I knowhow to make tandoori chicken...","Step Brothers"
"23",143941,146034,"...I contribute to NPRevery single year...","Step Brothers"
"24",146210,148201,"...and I love the moviesof Rob Reiner.","Step Brothers"
"25",148379,150438,"Pilates changed my life.","Step Brothers"
"26",150615,153778,"I have a boat, and I wanna retireand sail around the world.","Step Brothers"
"27",154452,156579,"- I love the sea!- And I drive a Mercedes...","Step Brothers"
"28",156754,159655,"...and I have a 40-year-old son, Dale,who still lives at home.","Step Brothers"
"29",159991,162983,"- What did you just say?- I knew I shouldn't have told you that.","Step Brothers"
"30",163160,165025,"I have a 39-year-old sonnamed Brennan...","Step Brothers"
"31",165196,167756,"...who still lives at home with me.","Step Brothers"
"32",177842,180310,"I would like to thank all of you...","Step Brothers"
"33",180478,184710,"...for being here with uson this fantastic, wonderful day.","Step Brothers"
"34",184882,188045,"And I would like to raise my glass.","Step Brothers"
"35",188219,192155,"Dale and I wanna welcome youto our home with open arms.","Step Brothers"
"36",194158,196991,"- Get a room, Dad.- Oh, for chri... Dale!","Step Brothers"
"37",197928,201694,"Well, as you all know, my youngestson, Derek, couldn't be here...","Step Brothers"
"38",201866,204164,"...because of an importantfishing trip.","Step Brothers"
"39",204335,209671,"But my other son, Brennan, was goingto be moving into his own place...","Step Brothers"
"40",209840,212934,"...but he was recently let gofrom his job at PetSmart...","Step Brothers"
"41",213110,216910,"...so he is gonna be living with us.","Step Brothers"
"42",217081,220244,"I wasn't fired from my job,I was laid off!","Step Brothers"
"43",220418,222511,"But you wouldn'tknow the difference.","Step Brothers"
"44",222853,227256,"I didn't want salmon!I said it four times.","Step Brothers"
"45",230461,232361,"This wedding is horseshit.","Step Brothers"
"46",236801,239702,"Somebody's awfully quietback there.","Step Brothers"
"47",240738,242899,"I'm not gonna call him Dad.","Step Brothers"
"48",243407,245204,"Brennan, you're 39 years old.","Step Brothers"
"49",245376,247401,"I would not expect youto call him Dad.","Step Brothers"
"50",247578,252208,"Well, I'm not going to, ever.Even if there's a fire.","Step Brothers"
"51",253250,255912,"Robert better not get in my face...","Step Brothers"
"52",256554,258749,"...because I'll dropthat motherfucker.","Step Brothers"
"53",258923,260254,"Jesus, Brennan.","Step Brothers"
"54",260558,264619,"I'm just saying, I thinkyou gotta think about your options.","Step Brothers"
"55",264795,267662,"I know that you aretechnically married now...","Step Brothers"
"56",267832,271495,"...but that does not meanthat they have to live here.","Step Brothers"
"57",272269,276865,"Dale, I think it's time for a changefor both of us.","Step Brothers"
"58",277942,280740,"Dad, we're men, okay?","Step Brothers"
"59",280911,283436,"That means a few things.","Step Brothers"
"60",283614,287243,"We like to shit with the door open.We talk about pussy.","Step Brothers"
"61",287418,290819,"We go on riverboat-gambling trips.We make our own beef jerky.","Step Brothers"
"62",290988,294287,"That's what we do.And now that is all wrecked.","Step Brothers"
"63",295192,298093,"We literally have never doneany of those things.","Step Brothers"
"64",298262,300492,"Where did he go to medical school?","Step Brothers"
"65",300765,303199,"He went to Northwesternand Johns Hopkins.","Step Brothers"
"66",303367,306768,"- Is that good enough for you?- No, it's not.","Step Brothers"
"67",307004,310770,"Well, Brennan, those arevery prestigious schools.","Step Brothers"
"68",311308,313708,"I smoked pot with Johnny Hopkins.","Step Brothers"
"69",313878,316472,"You don't know anyonenamed Johnny Hopkins.","Step Brothers"
"70",316647,319582,"It was Johnny Hopkinsand Sloan Kettering...","Step Brothers"
"71",319750,322583,"...and they wereblazing that shit up every day.","Step Brothers"
"72",322753,326154,"All right, here's a scenariofor you, Dad.","Step Brothers"
"73",326323,328655,"Suppose Nancy sees mecoming out of the shower...","Step Brothers"
"74",328826,331727,"...and decides to come on to me.I'm looking good.","Step Brothers"
"75",331896,334091,"I've got a luscious V of hair...","Step Brothers"
"76",334265,337632,"...going from my chest pubesdown to my ball-fro.","Step Brothers"
"77",337802,340566,"And she takes one look at me,and she goes:","Step Brothers"
"78",340738,342171,"""Oh, my God.","Step Brothers"
"79",342339,346469,"I've had the old bull,now I want the young calf.""","Step Brothers"
"80",346644,350239,"- And she grabs me by the wiener.- Shut the fuck up!","Step Brothers"
"81",362860,365158,"- Come on, Brennan.- I'm fine here.","Step Brothers"
"82",367731,369995,"- There you are.- Hi.","Step Brothers"
"83",370167,373034,"Oh, you look so cutein your moving clothes.","Step Brothers"
"84",373204,374865,"- How was it?- It was easy.","Step Brothers"
"85",375039,376870,"The movers did everything.","Step Brothers"
"86",380211,381337,"Where's Brennan?","Step Brothers"
"87",382546,384741,"He's still in the car.","Step Brothers"
"88",384915,386405,"It was kind of a rough drive.","Step Brothers"
"89",386584,388711,"Hey, Robert,what's all the commotion?","Step Brothers"
"90",388886,391582,"- Hey, Don.- Is that your wife, Nancy?","Step Brothers"
"91",391755,394155,"- Right here, Don.- Can I come over this afternoon...","Step Brothers"
"92",394325,396225,"...and touch your face?- Sure.","Step Brothers"
"93",396393,397553,"Thanks. Good luck, guys.","Step Brothers"
"94",397728,398820,"We'll see you, Don.","Step Brothers"
"95",398996,401794,"Let's go, Cinnamon.Heel, Cinnamon.","Step Brothers"
"96",403133,404725,"Heel! Cinnamon!","Step Brothers"
"97",406837,407861,"Cinnamon!","Step Brothers"
"98",408439,409633,"Hi, Dale.","Step Brothers"
"99",409807,412537,"Hey, Nancy. Could you make mea grilled-cheese sandwich?","Step Brothers"
"100",412710,414200,"- Sure.- No.","Step Brothers"
"101",414378,417575,"Dale just ate. He's testing you to seehow much he can get away with.","Step Brothers"
"102",417748,419477,"- I see.- I'm hungry.","Step Brothers"
"103",419650,421208,"Look in your right hand.","Step Brothers"
"104",421385,423751,"- I sure don't mind a bit. I really don't.- No, no.","Step Brothers"
"105",423921,426048,"No, no. He's fine.","Step Brothers"
"106",450281,451373,"Hey.","Step Brothers"
"107",452082,453174,"Hey.","Step Brothers"
"108",453684,454946,"I'm Brennan.","Step Brothers"
"109",455452,456817,"I'm Dale.","Step Brothers"
"110",457321,459289,"But you have to call me Dragon.","Step Brothers"
"111",460758,462988,"You have to call me Nighthawk.","Step Brothers"
"112",483314,484338,"Brennan.","Step Brothers"
"113",486684,487844,"Please don't do that.","Step Brothers"
"114",495659,498719,"Now, that's enough ketchup.Come on. Dale.","Step Brothers"
"115",500197,501960,"- I like it.- That's enough.","Step Brothers"
"116",502199,504258,"Dale, I don't know if you...","Step Brothers"
"117",504735,509365,"You might wanna try this. I makea sauce, we call it ""fancy sauce""...","Step Brothers"
"118",509773,510967,"For me.","Step Brothers"
"119",511141,514838,"- that Brennan really likeswith his chicken nuggets.","Step Brothers"
"120",515012,516274,"It's my fancy sauce.","Step Brothers"
"121",516447,521646,"Well, when Brennan finishes,I'll give you some of this, and it's...","Step Brothers"
"122",521819,525084,"It's ketchup and mayonnaisemixed together, so...","Step Brothers"
"123",525255,527052,"It's so good.","Step Brothers"
"124",527224,529089,"- I want some fancy sauce.- Yeah.","Step Brothers"
"125",529259,531284,"- I'm not done using it.- Looks good.","Step Brothers"
"126",531462,534295,"- Can I have fancy sauce?- Of course. Of course.","Step Brothers"
"127",534465,536057,"- I'm using it right now.- Okay.","Step Brothers"
