"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Strike Up the Band"
"2",161828,164353,"James Connors,you are not Cab Calloway.","Strike Up the Band"
"3",164531,166658,"We are trying to play""The National Emblem.""","Strike Up the Band"
"4",166833,168926,"Not ""My Heart Belongs to Daddy.""","Strike Up the Band"
"5",169102,170330,"Yes, ma'am.","Strike Up the Band"
"6",170837,173397,"Well, I guess that's all we can dofor tonight.","Strike Up the Band"
"7",173573,175131,"I think you'd better go home.","Strike Up the Band"
"8",175308,176832,"Rehearsal's dismissed.","Strike Up the Band"
"9",177010,179444,"Turn your music in to Willie.","Strike Up the Band"
"10",180246,182009,"Willie. Here, Willie.","Strike Up the Band"
"11",186319,190346,"You know, Jimmy, I'm getting to hatethese rehearsals. The same thing...","Strike Up the Band"
"12",191524,193082,"...every time.- Yeah.","Strike Up the Band"
"13",193259,195420,"Would you like to stick aroundand play records?","Strike Up the Band"
"14",195595,198428,"I'd like to, but last time we did,I didn't get home until 12.","Strike Up the Band"
"15",198598,199997,"My dad was pretty burned up.","Strike Up the Band"
"16",200166,202293,"We could knock out a coupleand get home early.","Strike Up the Band"
"17",202468,206063,"- That's what you said last time.- We were just practicing.","Strike Up the Band"
"18",206239,208366,"But my folks thinkI practice better at home.","Strike Up the Band"
"19",208541,210065,"Anyway, Annie's waiting for me.","Strike Up the Band"
"20",210243,212108,"- Oh, you're dead.- Yeah. Good night.","Strike Up the Band"
"21",212278,214303,"Booper, like to trya little classical swing?","Strike Up the Band"
"22",214480,218314,"Can't do it. My family's out of sympathywith these night sessions you been having.","Strike Up the Band"
"23",218484,221146,"- See you tomorrow, Jimmy.- So long, Boop.","Strike Up the Band"
"24",277744,279075,"Is that you, Jimmy?","Strike Up the Band"
"25",280079,281341,"Yes, Mom.","Strike Up the Band"
"26",281514,283846,"What time is it, dear?","Strike Up the Band"
"27",284117,286449,"Gosh, Mom, I don't know.","Strike Up the Band"
"28",286619,289315,"It must be close to 11.","Strike Up the Band"
"29",295295,297388,"Good night, son.","Strike Up the Band"
"30",298164,299756,"Good night, Mom.","Strike Up the Band"
"31",330496,331963,"- How was I doing?- Swell.","Strike Up the Band"
"32",332131,334531,"Say, I'm glad you're here, Mary.I wanna talk to you.","Strike Up the Band"
"33",334701,336191,"- Okay.- Well...","Strike Up the Band"
"34",336369,338769,"You know, I don't go aroundsteaming people up.","Strike Up the Band"
"35",338938,341168,"Oh, no, of course not.","Strike Up the Band"
"36",341341,344902,"Remember once I told you that somedaywe might have our own dance orchestra?","Strike Up the Band"
"37",345078,346568,"- Yes.- Well, the dog is barking.","Strike Up the Band"
"38",346746,349681,"- What do you mean?- I've been thinking it over in my mind.","Strike Up the Band"
"39",349849,352875,"A fellow doesn't wanna playwith a broken-down brass band anymore.","Strike Up the Band"
"40",353052,354679,"You know, the same:","Strike Up the Band"
"41",355755,357052,"He gets tired of that.","Strike Up the Band"
"42",357223,360192,"Instead of the school having a bandplay a concert once a year...","Strike Up the Band"
"43",360360,363090,"...why, we could have our owngreat modern dance orchestra.","Strike Up the Band"
"44",363262,364752,"We've got everything right here.","Strike Up the Band"
"45",364931,368162,"We've got the brass, the piano,the reeds and you and...","Strike Up the Band"
"46",368334,370427,"- Me?- Sure. You could handle all the vocals.","Strike Up the Band"
"47",370837,372498,"Oh, that sounds wonderful, Jimmy.","Strike Up the Band"
"48",372672,374799,"It is. We could makeour own arrangements...","Strike Up the Band"
"49",374974,377306,"...and specialtiesand play for all the dances.","Strike Up the Band"
"50",377477,379707,"We could put Riverwood High Schoolon the map.","Strike Up the Band"
"51",379879,382313,"Now, all we gotta dois to get the school behind us.","Strike Up the Band"
"52",382482,384643,"Do you think we could sell the ideato Mr. Judd?","Strike Up the Band"
