"id","startTime","endTime","text","title"
"1",30475,32024,"MAN: The Grid.","TRON: Legacy"
"2",33874,35670,"A digital frontier.","TRON: Legacy"
"3",37645,39771,"I tried to picture clusters of information","TRON: Legacy"
"4",39880,42040,"as they moved through the computer.","TRON: Legacy"
"5",43317,45546,"What did they look like?","TRON: Legacy"
"6",45652,47814,"Ships? Motorcycles?","TRON: Legacy"
"7",48722,51155,"Were the circuits like freeways?","TRON: Legacy"
"8",51258,54784,"I kept dreaming of a worldI thought I'd never see.","TRON: Legacy"
"9",56296,59094,"And then, one day...","TRON: Legacy"
"10",59200,63659,"BOY: You got in.MAN: That's right, man. I got in.","TRON: Legacy"
"11",98639,102200,"MAN: And the world was more beautifulthan I ever dreamed","TRON: Legacy"
"12",102308,104936,"and also more dangerousthan I ever imagined.","TRON: Legacy"
"13",105079,106774,"Hop in bed, now, kiddo.","TRON: Legacy"
"14",108281,111045,"- Now, I met a brave warrior.- Tron.","TRON: Legacy"
"15",111317,113752,"(VOCALIZING) Bom-ba-bom-bom bom!","TRON: Legacy"
"16",114087,115384,"Tron!","TRON: Legacy"
"17",115756,118485,"BOY: He fights for the users.MAN: He sure does.","TRON: Legacy"
"18",118591,122756,"Oh, man, he showed me thingsthat no one had ever imagined.","TRON: Legacy"
"19",122862,126355,"There were these disk battlesfought in spectacular arenas.","TRON: Legacy"
"20",126466,129230,"Cycles that raced on ribbons of light.","TRON: Legacy"
"21",129336,131770,"It was so radical.","TRON: Legacy"
"22",131872,133998,"MAN: And together...BOY: You built the Grid.","TRON: Legacy"
"23",134108,137805,"MAN: We built a new gridfor programs and users.","TRON: Legacy"
"24",138378,140243,"Now, I couldn't be in there all the time,","TRON: Legacy"
"25",140347,145409,"so I created a program in my own imagethat could think.","TRON: Legacy"
"26",145519,147578,"Like you, and me.","TRON: Legacy"
"27",147687,151521,"And I called him Clu.","TRON: Legacy"
"28",151991,155427,"- Codified Likeness Utility.- MAN: That's right.","TRON: Legacy"
"29",156163,159427,"And Clu, Tron and I,we built the system,","TRON: Legacy"
"30",159533,162468,"where all information was freeand open.","TRON: Legacy"
"31",163370,164700,"Beautiful.","TRON: Legacy"
"32",167074,169542,"And then, one day,","TRON: Legacy"
"33",170610,172442,"something happened.","TRON: Legacy"
"34",175182,178674,"Something extraordinary.","TRON: Legacy"
"35",181388,183151,"A miracle.","TRON: Legacy"
"36",186993,188290,"What was it?","TRON: Legacy"
"37",189596,192360,"That'll have to wait till next time.","TRON: Legacy"
"38",192566,194466,"I gotta get to work.","TRON: Legacy"
"39",194568,196034,"I wanna go with you, Dad.","TRON: Legacy"
"40",196170,200902,"Yeah, well, one day you will.","TRON: Legacy"
"41",201008,202474,"I promise.","TRON: Legacy"
"42",202575,205545,"- To the Grid?- (LAUGHS) Good night, Sam.","TRON: Legacy"
"43",207881,211873,"Hey, what do you say tomorrowyou and I hit the arcade?","TRON: Legacy"
"44",211985,214680,"You can have a crackat the old man's high score.","TRON: Legacy"
"45",214788,217312,"- First game's on me.- (CHINK OF COIN)","TRON: Legacy"
"46",218658,221685,"Can we play doubles?On the same team?","TRON: Legacy"
"47",224331,226697,"We're always on the same team.","TRON: Legacy"
"48",237377,239471,"(MOTORBIKE ENGINE STARTS)","TRON: Legacy"
"49",244752,245979,"(THUNDER)","TRON: Legacy"
"50",248222,250281,"Good evening. Our lead story.","TRON: Legacy"
"51",250390,255123,"ENCOM CEO and video game iconKevin Flynn has disappeared.","TRON: Legacy"
"52",255228,258254,"He was best known for designing Tronand Space Paranoids,","TRON: Legacy"
"53",258365,261095,"the two bestselling video gamesin history.","TRON: Legacy"
"54",261235,264329,"Flynn took ownership of ENCOMin 1982","TRON: Legacy"
"55",264437,267805,"as the company skyrocketedto the top of the tech industry.","TRON: Legacy"
"56",267908,272207,"But things changed in 1985with the untimely death of Flynn's wife,","TRON: Legacy"
"57",272312,274802,"the mother of his young son, Sam.","TRON: Legacy"
"58",274915,276882,"Recently, ENCOM board members","TRON: Legacy"
"59",276983,278211,"have been troubled by reports","TRON: Legacy"
"60",278317,281286,"of Flynn's erratic,even obsessive, behavior.","TRON: Legacy"
"61",281387,285084,"With Flynn missing,the company is now in chaos.","TRON: Legacy"
"62",285192,287387,"This afternoon, ENCOM's board","TRON: Legacy"
"63",287494,290656,"moved to seize controlfrom Flynn's partner, Alan Bradley,","TRON: Legacy"
"64",290764,293733,"vowing to return the companyto profitability.","TRON: Legacy"
"65",294134,299036,"Loyal to the end, Bradley maintainshis belief that Flynn is not missing","TRON: Legacy"
"66",299139,301733,"and is instead pursuing his dream of","TRON: Legacy"
"67",301841,305278,"""a digital frontierto reshape the human condition.""","TRON: Legacy"
"68",306980,309379,"KEVIN: In there is a new world.","TRON: Legacy"
"69",309483,311644,"In there is our future.","TRON: Legacy"
"70",312084,316021,"In there is our destiny.","TRON: Legacy"
"71",316156,318589,"(APPLAUSE AND CHEERING)","TRON: Legacy"
"72",321862,323762,"TV: Even Flynn'smost ardent supporters","TRON: Legacy"
"73",323863,326230,"are now acknowledging a difficult truth.","TRON: Legacy"
"74",326332,329096,"Kevin Flynn may have simplyrun away.","TRON: Legacy"
"75",329502,332199,"And while Flynn's loyalistshope for his imminent return,","TRON: Legacy"
"76",332305,336105,"there is perhaps no one who wishes itto happen more than young Sam Flynn,","TRON: Legacy"
"77",336242,340338,"now in the care of his grandparents,and heir to an empire in turmoil.","TRON: Legacy"
"78",341314,344011,"SAM: He's coming. He promised.","TRON: Legacy"
"79",344117,346084,"- Sam, you have to eat.- Let go of me!","TRON: Legacy"
"80",346220,347481,"Sam?","TRON: Legacy"
"81",347588,350819,"What will become of Flynn's legacyand the future of ENCOM","TRON: Legacy"
"82",350923,352084,"will most likely depend","TRON: Legacy"
"83",352192,353259,"on what becomes of thisnow orphaned little boy.","TRON: Legacy"
"84",353259,355524,"on what becomes of thisnow orphaned little boy.","TRON: Legacy"
"85",357663,359723,"GRANDMOTHER: Sam! Come back!","TRON: Legacy"
"86",368975,371069,"RADIO: All cycle units, stand by.","TRON: Legacy"
"87",373012,374536,"(SIREN)","TRON: Legacy"
"88",411817,413547,"RADIO: All units, stand by.","TRON: Legacy"
"89",449355,450913,"(PANTS)","TRON: Legacy"
"90",460600,461658,"(DISTANT POLICE SIREN)","TRON: Legacy"
"91",467707,469800,"(DOOR CLANKS)","TRON: Legacy"
"92",474480,476175,"Now that is a big door.","TRON: Legacy"
"93",476283,477545,"WOMAN: Welcome, everybody.","TRON: Legacy"
"94",477951,481182,"Please settle. I know it's late,so I'll skip the pleasantries","TRON: Legacy"
"95",481288,484985,"and hand things over to our chairman,Richard Mackey.","TRON: Legacy"
"96",487160,489923,"Thank you. Thank you.Thank you, Claire.","TRON: Legacy"
"97",491865,493560,"Tonight I am pleased to announce","TRON: Legacy"
"98",493666,499627,"that ENCOM's last fiscal yearwas our most profitable ever.","TRON: Legacy"
"99",500540,501564,"Yes.","TRON: Legacy"
"100",518792,520191,"(APPLAUSE)","TRON: Legacy"
"101",520293,523750,"At midnight the 1 2th versionof our flagship operating system","TRON: Legacy"
"102",523864,526196,"will hit the shelves around the world.","TRON: Legacy"
"103",527634,530067,"I'm sure it comes as no surprisewhom we have to thank.","TRON: Legacy"
"104",530269,532238,"The head of our software design team,","TRON: Legacy"
"105",532338,537298,"a man whose father'sown notable history with ENCOM","TRON: Legacy"
"106",537411,540140,"helped make this companywhat it is today.","TRON: Legacy"
"107",542716,545149,"Edward Dillinger. Well done.","TRON: Legacy"
"108",545585,547052,"Well done.","TRON: Legacy"
"109",551057,555017,"And this year, simultaneousto the release of ENCOM OS-12,","TRON: Legacy"
"110",555761,561097,"we will be making our debuton Tokyo's Nikkei Index.","TRON: Legacy"
"111",561234,566102,"ENCOM's stock will now tradearound the world 2 4l7.","TRON: Legacy"
"112",566206,568730,"- (WHOOPING)- Huh? Oh, yes.","TRON: Legacy"
"113",570644,571610,"(BEEP)","TRON: Legacy"
"114",578150,580812,"(ALARM)","TRON: Legacy"
"115",592631,595327,"- Excuse me.- Yes, Alan?","TRON: Legacy"
"116",595434,596924,"ALAN: Given the prices","TRON: Legacy"
"117",597037,600666,"that we charge to students and schools,","TRON: Legacy"
"118",601674,604370,"what sort of improvementshave been made in Flynn...","TRON: Legacy"
"119",604878,608109,"I mean, ENCOM OS-12?","TRON: Legacy"
"120",611283,614650,"- This year we put a ""12"" on the box.- (LAUGHTER)","TRON: Legacy"
"121",615621,619023,"OS-12 is the most secureoperating system ever released.","TRON: Legacy"
"122",619993,623793,"The idea of sharing our softwareor giving it away for free","TRON: Legacy"
"123",624364,626696,"disappeared with Kevin Flynn.","TRON: Legacy"
"124",640413,642403,"GUARD: I know you're here.","TRON: Legacy"
"125",642982,644883,"Let's make this easy.","TRON: Legacy"
"126",647788,648879,"Come on, come on.","TRON: Legacy"
"127",654427,656725,"(ELECTRONIC WHIRRING)","TRON: Legacy"
"128",657364,658625,"Freeze!","TRON: Legacy"
"129",659399,660456,"RICHARD: Okay.","TRON: Legacy"
"130",660833,662301,"If there are no more questions,","TRON: Legacy"
"131",662869,665894,"I would like you to meetour next blockbuster.","TRON: Legacy"
"132",666005,668769,"ENCOM OS-12.","TRON: Legacy"
"133",670644,672043,"Whoa.","TRON: Legacy"
"134",672645,674442,"Still a few bugs.","TRON: Legacy"
"135",674548,676174,"What's that? What is that?","TRON: Legacy"
"136",680452,682283,"Just bear with us one sec.","TRON: Legacy"
"137",682389,684619,"Make this go away now.","TRON: Legacy"
"138",684724,687658,"Stop what you're doing.Stop. Stop for one second.","TRON: Legacy"
"139",687760,691822,"TV: ...where ENCOM's chairman,Richard Mackey, will be launching...","TRON: Legacy"
"140",691932,695264,"RICHARD: We go live in 30 seconds.GUARD: He's on the roof!","TRON: Legacy"
"141",695368,698165,"- Anyone know where the master file is?- ALAN: I do.","TRON: Legacy"
"142",699673,700900,"It's on the Web.","TRON: Legacy"
"143",703176,704836,"RICHARD: We've got to stop this.","TRON: Legacy"
"144",708914,711178,"I've got to ring that opening bell.","TRON: Legacy"
"145",711650,713880,"- Make this stop now.- It's locked.","TRON: Legacy"
"146",713986,716888,"Just shut it down. Shut it down! Now!","TRON: Legacy"
"147",716990,719981,"Relax, Mackey. Relax.","TRON: Legacy"
"148",720259,721385,"It's under control.","TRON: Legacy"
"149",721494,723519,"Relax? Our most valuable","TRON: Legacy"
"150",723629,727157,"and most secure operating systemis out there for free!","TRON: Legacy"
"151",727267,728927,"How am I supposed to explain that?","TRON: Legacy"
"152",729034,731970,"I don't know.Say it was all part of the plan.","TRON: Legacy"
"153",733038,735131,"A little gift from ENCOM.","TRON: Legacy"
"154",735241,739337,"TV: Apparently, ENCOM Technologyis having some technical difficulties.","TRON: Legacy"
"155",740647,743844,"Why don't we give them a chanceto sort things out?","TRON: Legacy"
"156",770943,772912,"Hey, Dad.","TRON: Legacy"
"157",773046,774808,"How you doing?","TRON: Legacy"
"158",780854,784482,"- GUARD: Where you gonna run to now?- Hey, you don't wanna do that.","TRON: Legacy"
"159",784591,786889,"GUARD: Didn't anyone tell you?Stealing is wrong.","TRON: Legacy"
"160",786993,789586,"SAM: You can't stealwhat was designed to be free.","TRON: Legacy"
"161",789696,792823,"- Now I got you.- Your boss is okay with this.","TRON: Legacy"
"162",792932,794195,"The hell he is.","TRON: Legacy"
"163",794668,796431,"SAM: Your boss works for the CEO","TRON: Legacy"
"164",796536,798128,"and the CEOworks for the shareholders.","TRON: Legacy"
"165",798238,800536,"Do you knowwho the biggest shareholder is?","TRON: Legacy"
"166",801541,803133,"I don't know. Some kid.","TRON: Legacy"
"167",807379,809075,"You're Mr. Flynn?","TRON: Legacy"
"168",810951,812441,"Why?","TRON: Legacy"
"169",813086,815451,"This is your father's company.","TRON: Legacy"
"170",815554,819081,"- Not anymore.- What? Hey. Hey, kid.","TRON: Legacy"
"171",819192,821820,"GUARD: No!","TRON: Legacy"
"172",822562,824552,"(YELLS)","TRON: Legacy"
"173",827801,829131,"(WHOOPS)","TRON: Legacy"
"174",833773,834966,"Yeah.","TRON: Legacy"
"175",835442,837774,"Whoa, whoa, whoa, whoa, whoa!","TRON: Legacy"
"176",842315,843509,"You kidding me?","TRON: Legacy"
"177",844517,848214,"- That's him! Get the team down here!- There he is! Get him!","TRON: Legacy"
"178",849889,851379,"What the...","TRON: Legacy"
"179",851691,853817,"Hey! No free ride!","TRON: Legacy"
"180",854494,856985,"- Whoa!- No free taxi!","TRON: Legacy"
"181",857230,858993,"- You pay!- (LAUGHS)","TRON: Legacy"
"182",859099,860463,"(SIRENS)","TRON: Legacy"
"183",861668,864192,"- Whoa, whoa, whoa!- No free ride!","TRON: Legacy"
"184",864303,865770,"(BRAKES SQUEAL)","TRON: Legacy"
"185",867673,869471,"(POLICE RADIO CRACKLES)","TRON: Legacy"
"186",870509,872375,"(POLICE SHOUT)","TRON: Legacy"
"187",873846,876816,"POLICEMAN: Hold it right there. Freeze!","TRON: Legacy"
"188",877116,878640,"(HELICOPTER ROTORS WHIR)","TRON: Legacy"
"189",878751,882119,"Okay, boys. You got me.","TRON: Legacy"
"190",882956,884048,"Hey.","TRON: Legacy"
"191",884423,885413,"(SIRENS)","TRON: Legacy"
"192",898904,900964,"- Hey, Karl.- Hey, how you doing?","TRON: Legacy"
"193",916956,919322,"Enjoy it, Marv. You earned it.","TRON: Legacy"
"194",921360,922850,"(SIGHS)","TRON: Legacy"
"195",923395,925192,"Why are you in my apartment, Alan?","TRON: Legacy"
"196",927100,929158,"You don't answer your phone.","TRON: Legacy"
"197",931671,933605,"- How you been, Sam?- Oh, you know,","TRON: Legacy"
"198",933706,937369,"when I was 12, I appreciatedthe surrogate-father thing. But come on.","TRON: Legacy"
"199",938144,940009,"I got it all under control now.","TRON: Legacy"
"200",940447,942505,"Oh. Clearly!","TRON: Legacy"
"201",942615,943842,"You want to help mewith my homework?","TRON: Legacy"
"202",944084,945414,"Like old times? Have a catch?","TRON: Legacy"
"203",947821,951278,"You know,you got a pretty nice view here.","TRON: Legacy"
"204",953860,957260,"Heard you did a triple axel off of hera few hours ago.","TRON: Legacy"
"205",958331,961129,"- Rough landing, huh?- Could have been worse.","TRON: Legacy"
"206",961234,964032,"I also thought your messageto the board","TRON: Legacy"
"207",964136,965263,"was very clever.","TRON: Legacy"
"208",965370,967839,"Did you like that? That was Marv's idea.","TRON: Legacy"
"209",968006,969769,"(LAUGHS)","TRON: Legacy"
"210",973513,976277,"Alan, are we reallygoing to do this again?","TRON: Legacy"
"211",977149,980244,"Do I really look like I'm readyto run a Fortune 500 company?","TRON: Legacy"
"212",980753,981980,"No.","TRON: Legacy"
"213",982254,986316,"And truthfully, the companyis pretty happy with where you are, too.","TRON: Legacy"
"214",986725,987715,"I bet.","TRON: Legacy"
"215",987860,990989,"That way they can keep doingwhatever they want.","TRON: Legacy"
"216",992698,997101,"You know, I guess what I find curiousis the crazy charities,","TRON: Legacy"
"217",997370,999668,"the annual prank on the company.","TRON: Legacy"
"218",1000072,1002633,"You have an interesting wayof being disinterested, Sam.","TRON: Legacy"
"219",1002741,1004538,"Why are you here, Alan?","TRON: Legacy"
"220",1007913,1009609,"I was paged last night.","TRON: Legacy"
"221",1009749,1011943,"Oh, man, still rocking the pager?","TRON: Legacy"
"222",1012152,1013619,"(LAUGHS) Good for you.","TRON: Legacy"
"223",1013720,1018123,"Yeah, your dad once told meI had to sleep with it, and I still do.","TRON: Legacy"
"224",1019325,1021623,"Page came from your dad's officeat the arcade.","TRON: Legacy"
"225",1025397,1027763,"- So?- So?","TRON: Legacy"
"226",1028968,1031561,"That number's been disconnectedfor 20 years.","TRON: Legacy"
"227",1033006,1036532,"Sam, two nights before he disappeared,he came to my house.","TRON: Legacy"
"228",1036742,1039303,"""I've cracked it,"" he kept saying.","TRON: Legacy"
"229",1039412,1043178,"He was talking about geneticalgorithms, quantum teleportation.","TRON: Legacy"
"230",1043348,1047547,"He said he was about to changeeverything. Science, medicine, religion.","TRON: Legacy"
"231",1048887,1051152,"He wouldn't have left that, Sam.","TRON: Legacy"
"232",1054227,1055557,"He wouldn't have left you.","TRON: Legacy"
"233",1055761,1059288,"Oh, Alan. You're the only onewho still believes that.","TRON: Legacy"
"234",1059632,1062464,"He's either deador chilling in Costa Rica.","TRON: Legacy"
"235",1063536,1065094,"Probably both.","TRON: Legacy"
"236",1065837,1067305,"Look, I'm sorry.","TRON: Legacy"
"237",1067406,1069897,"I'm tired, and I smell like jail.","TRON: Legacy"
"238",1070643,1074942,"Let's just reconvene in another coupleof years, huh? What do you say?","TRON: Legacy"
"239",1078984,1080144,"Here.","TRON: Legacy"
"240",1081386,1083752,"These are the keys to the arcade.","TRON: Legacy"
"241",1084624,1089617,"I haven't gone over there yet.I thought you should be the one.","TRON: Legacy"
"242",1089729,1093096,"Alan, you're acting like I'm gonnafind him sitting there working.","TRON: Legacy"
"243",1093266,1097031,"Just, ""Hey, kiddo. Lost track of time.""","TRON: Legacy"
"244",1100606,1102665,"Wouldn't that be something?","TRON: Legacy"
"245",1110950,1113474,"- (DOG YELPS)- What?","TRON: Legacy"
"246",1113586,1115109,"(WHINES)","TRON: Legacy"
"247",1115520,1116488,"(BARKS)","TRON: Legacy"
"248",1140046,1141512,"(DOOR CREAKS)","TRON: Legacy"
"249",1161200,1163224,"(MACHINES BEEP AND WHOOSH)","TRON: Legacy"
"250",1163336,1165566,"(ROCK MUSIC BLARES)","TRON: Legacy"
"251",1253192,1256126,"(SONG CONTINUESIN THE DISTANCE)","TRON: Legacy"
"252",1265203,1266693,"(SONG FINISHES)","TRON: Legacy"
"253",1268508,1270338,"(MUSIC BOOMS IN THE DISTANCE)","TRON: Legacy"
"254",1297302,1299794,"(SONG CONTINUESIN THE DISTANCE)","TRON: Legacy"
"255",1309449,1311109,"You son of a gun.","TRON: Legacy"
"256",1351990,1353480,"Flynn.","TRON: Legacy"
"257",1359499,1360692,"Huh.","TRON: Legacy"
"258",1361901,1363835,"Let's try the back door.","TRON: Legacy"
"259",1367906,1369271,"What were you working on?","TRON: Legacy"
"260",1376182,1377773,"LaserControl.","TRON: Legacy"
"261",1378617,1379982,"Okay.","TRON: Legacy"
"262",1382587,1384112,"(BEEPING)","TRON: Legacy"
"263",1388827,1391193,"(WHIRRING)","TRON: Legacy"
"264",1396001,1397833,"(GASPS)","TRON: Legacy"
"265",1401307,1404002,"(WHOOSHING)","TRON: Legacy"
"266",1420593,1422652,"This isn't happening.","TRON: Legacy"
"267",1423194,1424162,"(WIND WHISTLES)","TRON: Legacy"
"268",1438477,1440342,"Oh, man, this is happening.","TRON: Legacy"
"269",1449521,1450853,"Wait.","TRON: Legacy"
"270",1452325,1454555,"This program has no disk.Another stray.","TRON: Legacy"
"271",1454660,1455648,"Hey, wait.","TRON: Legacy"
"272",1455928,1458488,"Wait. I'm not a program!","TRON: Legacy"
"273",1487626,1489423,"He actually did it.","TRON: Legacy"
"274",1493031,1494556,"I'm on the Grid.","TRON: Legacy"
"275",1504210,1507542,"Does the name Kevin Flynnmean anything to you?","TRON: Legacy"
"276",1507646,1509547,"Be quiet if you want to live!","TRON: Legacy"
"277",1509648,1511878,"MAN: Not the games, not the games,","TRON: Legacy"
"278",1511983,1514384,"not the games, not the games...","TRON: Legacy"
"279",1514487,1515817,"What's his problem?","TRON: Legacy"
"280",1517390,1518686,"(GROWLS)","TRON: Legacy"
"281",1518790,1520622,"- (GASPS)- Not the games, not the...","TRON: Legacy"
"282",1567839,1569568,"Rectify.","TRON: Legacy"
"283",1572912,1574503,"Rectify.","TRON: Legacy"
"284",1577282,1580912,"- Games.- No. Please!","TRON: Legacy"
"285",1581053,1582076,"Rectify.","TRON: Legacy"
"286",1582221,1585190,"You probably get this a lot,but there's been a big mistake.","TRON: Legacy"
"287",1585290,1587191,"Games.","TRON: Legacy"
"288",1587292,1590557,"- Please, no, no.- Whoa. Hey.","TRON: Legacy"
"289",1590663,1593257,"No! Erase me!","TRON: Legacy"
"290",1593432,1595991,"(SCREAMS)","TRON: Legacy"
"291",1598336,1600362,"No! Wait! Wait!","TRON: Legacy"
"292",1617088,1618852,"(BEEPING)","TRON: Legacy"
"293",1641547,1644573,"Er, can somebody tell me what the...","TRON: Legacy"
"294",1649188,1651417,"Hey, hey. It's got a zipper.","TRON: Legacy"
"295",1669040,1670508,"He is different.","TRON: Legacy"
"296",1679384,1680477,"This can't be good.","TRON: Legacy"
"297",1690328,1695231,"COMPUTER: Attention, program.You will receive an identity disk.","TRON: Legacy"
"298",1695433,1700929,"Everything you do or learnwill be imprinted on this disk.","TRON: Legacy"
"299",1701973,1705932,"If you lose your diskor fail to follow commands,","TRON: Legacy"
"300",1706045,1709845,"you will be subjectto immediate de-resolution.","TRON: Legacy"
