"id","startTime","endTime","text","title"
"1",59142,63395,"Put your faith in whatyou most believe in","Tarzan"
"2",63480,67357,"Two worlds, one family","Tarzan"
"3",67442,71445,"Trust your heartLet fate decide","Tarzan"
"4",71529,76200,"To guide these lives we see","Tarzan"
"5",76910,81080,"A paradise untouched by man","Tarzan"
"6",81164,84833,"Within this world blessed with love","Tarzan"
"7",86044,89922,"A simple lifeThey live in peace","Tarzan"
"8",90006,94343,"Softly tread the sandbelow your feet now","Tarzan"
"9",94427,98055,"Two worlds, one family","Tarzan"
"10",98139,102267,"Trust your heartLet fate decide","Tarzan"
"11",102352,106814,"To guide these lives we see","Tarzan"
"12",107732,111985,"Beneath the shelter of the trees","Tarzan"
"13",112070,115781,"Only love can enter here","Tarzan"
"14",116866,120869,"A simple lifeThey live in peace","Tarzan"
"15",120954,124706,"Raise your head upLift high the load","Tarzan"
"16",124791,128919,"Take strength from thosethat need you","Tarzan"
"17",129003,133340,"Build high the wallsBuild strong the beams","Tarzan"
"18",133424,135592,"A new life is waiting","Tarzan"
"19",135677,139263,"But danger's no stranger here","Tarzan"
"20",163246,167457,"No words describe a mother's tears","Tarzan"
"21",167542,172171,"No words can heal a broken heart","Tarzan"
"22",172630,176383,"A dream is gonebut where there's hope","Tarzan"
"23",176467,181138,"Somewhere, something is calling for you","Tarzan"
"24",181222,184558,"Two worlds, one family","Tarzan"
"25",184642,188937,"Trust your heartLet fate decide","Tarzan"
"26",189022,193442,"To guide these lives we see","Tarzan"
"27",470970,475390,"Every moment nowthe bond grows stronger","Tarzan"
"28",475475,478894,"Two worlds, one family","Tarzan"
"29",478978,483106,"Trust your heartLet fate decide","Tarzan"
"30",483191,487777,"To guide these lives we see","Tarzan"
"31",498289,500540,"Mama, look!Look over there!","Tarzan"
"32",500625,502542,"- Kala!- She's back.","Tarzan"
"33",502627,506129,"- I told you she was comin' back.- We looked everywhere for you.","Tarzan"
"34",507757,509132,"Are you all right, dear?","Tarzan"
