"id","startTime","endTime","text","title"
"1",34075,35491,"MALE NARRATOR:We are often told","Ted 2"
"2",35659,41247,"that happily-ever-afters existonly in the pages of fairy tales","Ted 2"
"3",41415,44917,"and in the naive mindsof sheltered innocents.","Ted 2"
"4",45085,49131,"And yet, on this bright,sunny, Boston afternoon,","Ted 2"
"5",49298,53259,"a talking teddy bear isabout to marry his girlfriend,","Ted 2"
"6",53427,55179,"proving two things.","Ted 2"
"7",55345,58473,"Happy endings cancome true for anyone.","Ted 2"
"8",58640,62101,"And America doesn't givea shit about anything.","Ted 2"
"9",62645,64646,"Do you,Tami-Lynn McCafferty,","Ted 2"
"10",65147,68942,"take this teddy bear to beyour lawfully wedded husband?","Ted 2"
"11",69319,70486,"I do.","Ted 2"
"12",70611,72153,"SAM: And do you, Ted,","Ted 2"
"13",72280,75783,"take this woman to beyour lawfully wedded wife?","Ted 2"
"14",75950,77617,"Fuckin' A right, I do!","Ted 2"
"15",77786,78786,"(GIGGLES)","Ted 2"
"16",78870,81662,"Then, by the powervested in me,","Ted 2"
"17",81789,84665,"I now pronounce youhusband and wife.","Ted 2"
"18",84834,85959,"You may kiss the bear.","Ted 2"
"19",88962,90296,"(ALL CHEERING)","Ted 2"
"20",135009,137260,"Thank you, folks. We'regoing to take a short break","Ted 2"
"21",137387,140347,"and pass things overto DJ Nightshade.","Ted 2"
"22",142724,144183,"(UPBEAT MUSIC PLAYING)","Ted 2"
"23",144894,147603,"WEDDING ANNOUNCER: Ladiesand gentlemen, your newlyweds!","Ted 2"
"24",147729,148896,"(CHEERS AND APPLAUSE)","Ted 2"
"25",155864,158406,"Teddy, this isthe best day of my life!","Ted 2"
"26",158783,160324,"I just love you so much.","Ted 2"
"27",160409,162076,"I love you, too, baby.","Ted 2"
"28",162203,164872,"I'm gonna go fifty shadesof bear on you tonight.","Ted 2"
"29",165122,166164,"Let's go get shit-faced!","Ted 2"
"30",166248,167415,"Okay!","Ted 2"
"31",169752,170752,"Thank you.","Ted 2"
"32",175091,177259,"Hey, congrats,you mofos.","Ted 2"
"33",177426,178426,"Oh, hey, Guy.","Ted 2"
"34",178552,180094,"Beautiful ceremony.","Ted 2"
"35",180263,182389,"Oh. Thank you so muchfor being a part of it.","Ted 2"
"36",182556,184140,"Hey, this is my new boyfriend, Rick.","Ted 2"
"37",184391,185391,"How you doing?","Ted 2"
"38",185475,186560,"Good, good.","Ted 2"
"39",186728,190563,"He's a gourmet chef. So heknows how to toss a salad.","Ted 2"
"40",190647,192274,"(BOTH CHUCKLE)","Ted 2"
"41",195277,197570,"Rick and I are actuallyabout to tie the knot.","Ted 2"
"42",197822,199615,"Oh, you guysare getting married?","Ted 2"
"43",199740,201616,"No, we're just gonna go homeand tie our dicks together.","Ted 2"
"44",201742,203117,"Ha! Fuck you.Fuck you.","Ted 2"
"45",203243,204493,"Deal.","Ted 2"
"46",205163,206454,"(UPBEAT MUSIC PLAYING)","Ted 2"
"47",207289,210459,"No! No!I said no Electric Slide.","Ted 2"
"48",211752,213753,"God damn it, you will notwreck this night","Ted 2"
"49",213837,216006,"with your forcedwhite people group fun.","Ted 2"
"50",217634,218966,"(R&B MUSIC PLAYING)","Ted 2"
"51",226141,228268,"TED: Hey, buddy.You okay, there?","Ted 2"
"52",228436,229728,"You look a little down.","Ted 2"
"53",229812,232480,"Are you still shaking off thathangover from the bachelor party?","Ted 2"
"54",232649,234358,"Oh!That's nice.","Ted 2"
"55",234525,236485,"Oh, my God. She'sfucking begging for it!","Ted 2"
"56",236652,239445,"(LAUGHS) She's totallybegging. Get it. Get in there.","Ted 2"
"57",239530,241615,"Look at her.She wants it bad!","Ted 2"
"58",241782,242824,"JOHN: Oh, yeah.She wants more","Ted 2"
"59",242950,245159,"than just a fucking pizzadelivery, huh? (MEN LAUGHING)","Ted 2"
"60",245286,248330,"TED: That's bigger than the averagebear right there, I tell you.","Ted 2"
"61",248497,251123,"JOHN: You know what's fucked up? Dude,that's somebody's fucking daughter!","Ted 2"
"62",251209,253710,"MAN: Oh, shit!Jesus! Come on!","Ted 2"
"63",253836,256797,"TED: You know what, Johnny? It'sentirely possible it's his daughter.","Ted 2"
"64",256880,257964,"That's how it worksout there.","Ted 2"
"65",259341,262343,"I'm fine. I was thinking about Lori.","Ted 2"
"66",262887,265096,"Oh, Johnny,come on, man.","Ted 2"
"67",265180,267641,"It's been six months sinceyou guys got divorced.","Ted 2"
"68",267725,269685,"I know, I know.It's just that...","Ted 2"
"69",269894,271978,"Being back inthat church again.","Ted 2"
"70",272689,274814,"I mean, everything seemed likeit was gonna be so perfect.","Ted 2"
"71",274983,276566,"Yeah. Well, you'renot the first guy","Ted 2"
"72",276692,277817,"to marry the wrong girl.","Ted 2"
"73",277985,279360,"Hey, listen.Don't let her drag you","Ted 2"
"74",279487,281196,"down tonight, okay?This is a party.","Ted 2"
