"id","startTime","endTime","text","title"
"1",6000,9073,"Subtitles downloaded from Podnapisi.NET","Ted"
"2",33689,38189,"It has been said that magic vanish- From our world a long time ago","Ted"
"3",39091,44091,"And through the power of wishes","Ted"
"4",45091,49055,"To those of who lost the wondrous vision of childhood eyes","Ted"
"5",49290,55776,"Submitted here is the story of a little boy,and a magical Christmas wish,","Ted"
"6",55811,58651,"that changed his life... forever.","Ted"
"7",61582,66743,"It began in 1985,in a town just outside Boston.","Ted"
"8",67778,72453,"It was Christmas eve,and all the children were in high spirits.","Ted"
"9",72487,77468,"That special time of year,when Boston children gather together","Ted"
"10",77503,82277,"- and beat up the Jewish kids.- Hey green bob! Get him!","Ted"
"11",86283,90640,"But there was one child whowasn't in such good spirits,","Ted"
"12",90676,92656,"little John Bennett.","Ted"
"13",92692,97793,"That one boy in every neighbourhood,who just has a tough time making friends.","Ted"
"14",97829,99551,"Hey guys, can I play?","Ted"
"15",99585,102093,"- Get out of here Benet!- Get lost Benet!","Ted"
"16",102128,104472,"- Get out of here Benet.- Yeah Benet, get lost.","Ted"
"17",107091,113424,"John longed with all his heart, for thatone true friend that he could call his own","Ted"
"18",113460,120066,"and he knew that if he ever foundthat friend, he would ever let him go","Ted"
"19",121617,126126,"well, as it does every year,Christmas morning finally came","Ted"
"20",126161,130418,"all of the children were openingtheir gifts with holiday glee","Ted"
"21",137477,144021,"and for little John Benet, Christmas daybrought a very special new arrival.","Ted"
"22",150229,154400,"Wow. I guess Santa played attentionto how good you were this year huh...","Ted"
"23",154435,156593,"aww, merry Christmas John","Ted"
"24",157824,158992,"""I love you""","Ted"
"25",159027,160810,"He talks.","Ted"
"26",162417,164740,"I'm going to name you Teddy.","Ted"
"27",166706,173521,"John became instantly attached to teddy,there was something about that bear","Ted"
"28",173555,176915,"that made him feel as ifhe finally had a friend.","Ted"
"29",176917,179939,"With whom he could sharehis deepest secrets","Ted"
"30",179974,181445,"""I love you""","Ted"
"31",181480,183975,"I love you too teddy","Ted"
"32",185048,189054,"you know, I wish you could really talk to me","Ted"
"33",189088,192740,"because then we could be bestfriends forever and ever","Ted"
"34",194049,197459,"now if there's one thingyou can be sure of,","Ted"
"35",197493,202031,"it's that nothing is more powerfulthan a young boys wish","Ted"
"36",202067,204899,"except an apache helicopter...an apache helicopter","Ted"
"37",204933,208468,"has machine guns and missiles","Ted"
"38",208503,212292,"it is an unbelievably impressivecomplement of weaponry.","Ted"
"39",212293,214903,"An absolute death machine","Ted"
"40",215349,221028,"Well, as it turned out, John had pickeda perfect night to make a wish.","Ted"
"41",258908,259850,"Teddy...","Ted"
"42",263615,265279,"Teddy?","Ted"
"43",269603,270971,"Teddy?","Ted"
"44",279334,280463,"Hug me.","Ted"
"45",281380,283557,"You're my best friend John.","Ted"
"46",283591,286677,"Did you... did you just talk...","Ted"
"47",286711,290016,"don't look so surprised, you're the onewho wished for it aren't you?","Ted"
"48",290052,291971,"Yeah...","Ted"
"49",292005,294827,"I did wish for it.","Ted"
"50",294862,296504,"Well, here I am...","Ted"
"51",296540,299843,"you mean... we get tobe best friends for real?","Ted"
"52",299877,301300,"For... real.","Ted"
"53",301336,302769,"Forever and ever?","Ted"
"54",302803,304367,"Sounds good to me","Ted"
"55",305690,309088,"John was just about thehappiest boy in the world.","Ted"
"56",309088,312550,"And he couldn't wait totell everyone the good news","Ted"
"57",312586,315589,"mom... dad... guess what,my teddy bears alive","Ted"
"58",315625,318512,"really... oh isn't that exciting...","Ted"
"59",318548,321461,"No mom, he's really alive.Look.","Ted"
"60",321497,323706,"Merry Christmas everybody","Ted"
"61",325557,328593,"Jesus H Fuck...- Lets all be best friends.","Ted"
"62",328629,329374,"Oh my god.","Ted"
"63",329375,331266,"Get away from that thing,get over here right now.","Ted"
"64",331302,331814,"But dad...","Ted"
"65",331848,333319,"Get over here!","Ted"
"66",333353,335874,"- Listen to your father, come here.- Helen, get my gun.","Ted"
"67",335908,336834,"Dad, no!","Ted"
"68",336867,338178,"Is it a hugging gun?","Ted"
"69",338213,339658,"Helen, get my gun and call the police","Ted"
"70",339692,343314,"I'm sorry Mr. Benet, I didn'tmean to scare anybody","Ted"
"71",343348,345461,"I just wanted john and I to be friends","Ted"
"72",345497,350136,"yeah dad, I made a wish last night thatteddy was alive, and my wish came true","Ted"
"73",351298,353444,"Oh god.","Ted"
"74",354612,356557,"It's a miracle.","Ted"
"75",356591,359899,"It's a Christmas miracle.","Ted"
"76",359933,362843,"You're just like the baby Jesus.","Ted"
"77",364089,370130,"Well it wasn't long before the news ofJohns little miracle was sweeping the nation","Ted"
"78",370165,374259,"out of a Boston suburb comes, what iswithout doubt the most incredible story","Ted"
"79",374295,378882,"a young boys stuffed animal, hasmagically come to life for unknown reasons","Ted"
"80",378918,383459,"LOOK WHAT JESUS DID!LOOK WHAT JESUS DID!","Ted"
"81",383495,388586,"Before long, teddy had become ahuge celebrity in his own right","Ted"
"82",394158,396446,"Hello, Teddy.","Ted"
"83",400810,405153,"You surprise me, for some reason Ithought you were going to be taller","Ted"
"84",405189,407425,"I thought you weregoing to be funnier.","Ted"
"85",411288,417471,"But for all the fame, teddy neverforgot his very best friend, John","Ted"
"86",418307,421024,"the thunder can't get us, right?","Ted"
"87",421024,424204,"Nope. Were thunder buddy's.And the thunder knows it","Ted"
"88",424238,426153,"were totally safe","Ted"
"89",426189,429319,"- Teddy.- Yeah, John?","Ted"
"90",429353,432105,"Do you promise thatwe'll always be together?","Ted"
"91",432141,434151,"I promise.","Ted"
"92",436487,439033,"Thunder buddy's for life","Ted"
"93",439745,442180,"thunder buddy's for life.","Ted"
"94",443394,448500,"And that was a promise thatneither one of them forgot","Ted"
"95",449798,452800,"so... where are John and teddy today?","Ted"
"96",452834,455067,"Well, let me put it this way","Ted"
"97",455103,458367,"no matter how big a splash you makein this world, weather you're a","Ted"
"98",458403,462387,"Corey Feldman, Frankie Muniz,Justin Bibber...","Ted"
"99",462423,466620,"or a talking teddy bear...eventually nobody gives a shit.","Ted"
"100",492124,495499,"TED","Ted"
"101",622871,626360,"Look, all I'm saying is that Bostonwomen are, on the whole,","Ted"
"102",626395,629600,"a paler uglier sort than womenfrom the elsewhere's of life.","Ted"
"103",629636,631787,"That's bullshit... what about Lori?She's hot.","Ted"
"104",631821,633875,"No Lori's from Pennsylvaniathat's not a Boston girl","Ted"
"105",633911,634963,"there not that bad...","Ted"
"106",634999,639039,"see, the fact that you have to say therenot that bad, means that they are that bad","Ted"
"107",639075,644884,"you ever hear a Boston girl have an orgasm?Oh yah, oh yah, harder harder","Ted"
"108",645294,650193,"oh god... that was so good. Now I'm goingto stuff my fucking face with pepper flan","Ted"
"109",652548,656467,"Jesus this is weak,not even getting me high","Ted"
"110",656503,659210,"I'm going to have a talkwith my weed guy","Ted"
"111",659245,660359,"working for me...","Ted"
"112",660360,661832,"I think it sucks, I'm going to havea talk with him","Ted"
"113",661868,664360,"I don't know you want to go toa drug dealer with complaints","Ted"
"114",664394,666120,"I've known this guy a long time,","Ted"
"115",666154,667966,"I've known him since 9-11","Ted"
"116",668000,670110,"you remember?, I was like,aww shit 9-11, I got to get high","Ted"
"117",670145,671793,"is it 9.30?- Yeah...","Ted"
"118",671828,673912,"shit, I got to get to work","Ted"
"119",673947,675451,"I don't know if I can drive","Ted"
"120",675486,677801,"It's ok. I'll drive you.I feel fine.","Ted"
"121",700119,701509,"- Fuck.- Aww, shit.","Ted"
"122",703864,707169,"Aww, Johnny I'm sorry man,that car just came out of nowhere.","Ted"
"123",707205,709063,"Aww, god is it bad?","Ted"
"124",711669,714719,"- John, may I speak with you please?- Shit.","Ted"
"125",715787,717798,"It's alright, go go go.I'll pull out of here","Ted"
"126",717834,719152,"hi Thomas, how are yah","Ted"
"127",732225,733541,"Asshole!","Ted"
"128",733576,735496,"That's my bad,I was sending a tweet.","Ted"
"129",738280,740134,"John, its almost 10 o'clock","Ted"
"130",740168,742826,"I know sir, I'm sorryit wasn't my fault","Ted"
"131",742860,744899,"what do you mean?","Ted"
"132",747313,751413,"Well I.. I guess I wasn't preparedfor a follow up question","Ted"
"133",752605,755394,"John, all you got todo is not fuck up","Ted"
"134",755429,758019,"and you get my job whenI go to corporate next month","Ted"
"135",758053,759510,"you're the new branch manager","Ted"
"136",759546,761783,"all you got to do, is not fuck up...","Ted"
"137",761817,764625,"I realise now- Good, glad to hear it.","Ted"
"138",764661,768490,"Cos in a month... my life,could be your life.","Ted"
"139",768524,771878,"A cushy 38 thousand dollar a yearbranch manager,","Ted"
"140",771879,774135,"who's personalfriends with Tom Scarritt.","Ted"
"141",774400,776470,"Not a bad life is it?","Ted"
"142",776504,778363,"No.","Ted"
"143",779437,781434,"Let me show you something I don'tlike showing people,","Ted"
"144",781436,783105,"'cos I don't wantthem treating me differently.","Ted"
"145",787110,789462,"Boom! That's me and scarritt","Ted"
"146",789498,790780,"wow...","Ted"
"147",790816,792269,"god damn right wow","Ted"
"148",792269,795764,"I'm going to dock you for dinging the carand for showing up late today alright","Ted"
"149",795798,798163,"try and be a little moreresponsible tomorrow","Ted"
"150",798198,799514,"I will sir, I promise.","Ted"
"151",800917,802463,"""Not going to let you down goose""","Ted"
"152",802499,803744,"what?","Ted"
"153",804485,805770,"Top Gun...","Ted"
"154",805806,807556,"so...","Ted"
"155",807591,809301,"Tom Scarritt...","Ted"
"156",810384,812726,"I know that get out of here ok","Ted"
"157",812761,813962,"thank you sir","Ted"
"158",813998,818929,"and hers your keys, rental agreement,complimentary map of Boston","Ted"
"159",818966,821562,"thank you for choosing liberty,drive safely","Ted"
"160",821596,822979,"thanks- Thanks so much.","Ted"
"161",824092,826331,"Heard you got busted...","Ted"
"162",826365,829009,"Jesus Guy, you look like shit manwhat happened?","Ted"
"163",829044,831947,"I don't know,I got fucking wasted last night","Ted"
"164",831982,836533,"and my phone says I texted someone at3.15, asking them to beat me up","Ted"
"165",836567,840326,"and then at 4.30 I texted thesame person saying thanks.","Ted"
"166",840360,842971,"- And you don't remember it?- No, same as last time.","Ted"
"167",843005,845212,"It just seems kind of gay doesn't it?","Ted"
"168",845248,847278,"I don't know, maybe yeah.","Ted"
"169",847313,849719,"Do you think your part of some gaybeat up underworld?","Ted"
"170",849720,851777,"Like one of those gay beatup clubs or something?","Ted"
"171",851917,854956,"I don't know, I dig chicks man,I don't remember any of it","Ted"
"172",854990,856921,"I was so fucked up.I might be gay I don't know.","Ted"
"173",856922,858480,"Do you mind coveringfor me for a bit?","Ted"
"174",858666,860431,"I might go lay down in the John","Ted"
"175",860466,861970,"hey buddy's, where's it hanging?- Hey Alex","Ted"
"176",862004,863620,"what's up?You get in the club last night?","Ted"
"177",863654,866849,"Ahh, I didn't get in becausethe bouncer was douche face","Ted"
"178",866884,869037,"but I make friends in the line","Ted"
"179",869072,870177,"well that's good I guess.","Ted"
"180",870211,872538,"Hey guys, anybody know a nice restaurant?","Ted"
"181",872539,874748,"Like something where they give outfree bubblegum in the bathrooms.","Ted"
"182",874756,876158,"For what?","Ted"
"183",876192,879471,"Lori and I have been dating 4 years tomorrow.I want to take her some place really nice.","Ted"
"184",879505,881517,"Aw, congratulations John.","Ted"
"185",881552,885671,"You guys have been going out for 4 years?My last relationship lasted 6 months.","Ted"
"186",885706,888048,"Then she farted in her sleep.I'm like, I'm out of here man.","Ted"
"187",888084,889418,"And I was gone before she woke up.","Ted"
"188",889453,891802,"Wow you're not very tolerant huh...","Ted"
"189",891836,893623,"Lori ever fart in front of you?","Ted"
"190",893658,894818,"Yeah.","Ted"
"191",894854,897542,"- Really?- A million times.","Ted"
"192",897576,899376,"You Italian?","Ted"
"193",899412,900472,"No.","Ted"
"194",900508,901971,"Why?","Ted"
"195",903096,904530,"Never mind, take her to binate","Ted"
"196",904566,908908,"John look, don't you think after 4 years maybeshe's hoping for something more than dinner?","Ted"
"197",908942,910048,"Like what?","Ted"
"198",910082,914133,"I don't know. But if it were me,I'd be expecting a proposal","Ted"
"199",914168,917168,"oh come on, no one's expectinganybody to propose...","Ted"
