"id","startTime","endTime","text","title"
"1",113712,116477,"Every generation have a messiah,","Tees Maar Khan"
"2",116849,119283,"who rules on people's hearts.","Tees Maar Khan"
"3",119618,121849,"He showed people the new wayof life.","Tees Maar Khan"
"4",122322,124983,"Who brings happiness in their lives.","Tees Maar Khan"
"5",125525,127924,"This is the story about that messiah,","Tees Maar Khan"
"6",128427,129826,"no it isn't....","Tees Maar Khan"
"7",138103,140800,"As a police officer wife....","Tees Maar Khan"
"8",141206,144699,"does it suits you to watchrobbery movies, yes!","Tees Maar Khan"
"9",145078,147068,"I like it!Just think about it....","Tees Maar Khan"
"10",147212,149237,"If you will watch these kind of moviesin pregnancy...","Tees Maar Khan"
"11",149414,151645,"then it be will affect on that childwho is growing in your womb,","Tees Maar Khan"
"12",151918,153783,"He will become natural born thief.","Tees Maar Khan"
"13",154353,157881,"Like Abhimanyu taught everythingfrom his mother's womb,","Tees Maar Khan"
"14",158525,159514,"Shut up!","Tees Maar Khan"
"15",160058,162891,"My son won't become a thief but hewill become a famous man,","Tees Maar Khan"
"16",163429,165896,"People will die to look for his view.","Tees Maar Khan"
"17",166064,168533,"And they will inform the police,Shut up!","Tees Maar Khan"
"18",169269,171099,"Let me and my son watch the movie.","Tees Maar Khan"
"19",325957,327925,"What happen?Tank has leaked...","Tees Maar Khan"
"20",328093,330028,"I will call the plumber,Plumber...","Tees Maar Khan"
"21",330329,332730,"I am talking about my tank,Take me to doctor...","Tees Maar Khan"
"22",334533,335966,"Congratulations! you got a son,","Tees Maar Khan"
"23",336536,338526,"And my wife?They both are fine,","Tees Maar Khan"
"24",338805,340773,"Just in few moments....My watch?","Tees Maar Khan"
"25",344944,346343,"My chain?","Tees Maar Khan"
"26",355822,357221,"Well done officers!","Tees Maar Khan"
"27",357557,360822,"Last night we have caught the biggest","Tees Maar Khan"
"28",360992,362961,"robbery antique smuggling,","Tees Maar Khan"
"29",364230,370396,"The oldest and priceless antique,diamonds, statue, painting","Tees Maar Khan"
"30",370836,374670,"around 10000 kilo of national treasure..","Tees Maar Khan"
"31",374807,377331,"we have stopped all of themto sell in foriegn countries.","Tees Maar Khan"
"32",377643,382273,"It's a roughly idea that this treasureworths 500 crores in foriegn countries.","Tees Maar Khan"
"33",384384,385783,"Interpole have doubt...","Tees Maar Khan"
"34",386752,391247,"that this trasure belong to antiquesumgglers Johri Brothers...","Tees Maar Khan"
"35",391891,394792,"These twin brothers are notamoingst them","Tees Maar Khan"
"36",395194,396956,"who will let their treasure go.","Tees Maar Khan"
"37",397596,400064,"they will must try to get it back.","Tees Maar Khan"
"38",400399,403927,"that's why our job doesn't over here.","Tees Maar Khan"
"39",404202,405533,"Our next mission will be...","Tees Maar Khan"
"40",405971,409430,"Raise this treasure to dehli securely.","Tees Maar Khan"
"41",409875,412709,"And this mission's name will be...Bharat Bhusan!","Tees Maar Khan"
"42",419050,422451,"And this mission's name will be''Bharat ka Khazana'' (Indian Treausre).","Tees Maar Khan"
"43",424223,425154,"In this mission...","Tees Maar Khan"
"44",425290,429625,"We have to raise this treasure to dehliin speical high security train,","Tees Maar Khan"
"45",430463,433488,"Remember! this train will go straightto the dehli.","Tees Maar Khan"
"46",433766,434994,"and it won't stop in the middle.","Tees Maar Khan"
"47",435268,439762,"that's why Johri Brothers have onlyone chance to get their antiques...","Tees Maar Khan"
"48",440406,443000,"Steal it in running train.","Tees Maar Khan"
"49",444476,446000,"As we all know,","Tees Maar Khan"
"50",446545,450778,"Johri Brothers doesn't do their anyillegal jobs,","Tees Maar Khan"
"51",451317,452978,"Like always...","Tees Maar Khan"
"52",453418,455353,"they will must get someone's help.","Tees Maar Khan"
"53",455654,456951,"But who is that?","Tees Maar Khan"
"54",457290,459348,"who would be so brave and clever,","Tees Maar Khan"
"55",459858,463761,"Who could do this job in daylightunder our noses,","Tees Maar Khan"
"56",463930,464793,"In daylight?","Tees Maar Khan"
"57",465130,467428,"He can do this job in night,","Tees Maar Khan"
"58",467699,470327,"And why under nose?He can do behind your back,","Tees Maar Khan"
"59",470470,472937,"Isn't it?Jagtab! Shut up!","Tees Maar Khan"
