"id","startTime","endTime","text","title"
"1",125700,127534,"Marcus.","Terminator Salvation"
"2",134376,135417,"How are you?","Terminator Salvation"
"3",136795,138878,"Ask me in an hour.","Terminator Salvation"
"4",141758,143967,"I thought I'd try...","Terminator Salvation"
"5",144135,146094,"...one last time.","Terminator Salvation"
"6",146555,149181,"You should have stayedin San Francisco, Dr. Kogan.","Terminator Salvation"
"7",152394,154145,"By signing this consent form...","Terminator Salvation"
"8",154312,158314,"...you'd be donating your bodyto a noble cause.","Terminator Salvation"
"9",158483,160109,"You'd...","Terminator Salvation"
"10",160694,166574,"...have a second chance,through my research, to live again.","Terminator Salvation"
"11",166740,168992,"You know what I did.","Terminator Salvation"
"12",169201,172663,"My brother and two cops are deadbecause of me.","Terminator Salvation"
"13",172872,175081,"I'm not looking for a second chance.","Terminator Salvation"
"14",180296,183757,"But I'm not the only onewith a death sentence, am I?","Terminator Salvation"
"15",186260,189096,"Do you thinkI'm gonna cure your cancer, Serena?","Terminator Salvation"
"16",190806,193893,"I'm not worried about myself.","Terminator Salvation"
"17",194686,197812,"I'm worried about the futureof the human race.","Terminator Salvation"
"18",199608,201609,"I'll sell it to you.","Terminator Salvation"
"19",202776,203818,"For what?","Terminator Salvation"
"20",204778,205945,"A kiss.","Terminator Salvation"
"21",212996,214246,"Mm.","Terminator Salvation"
"22",219668,221002,"Oh...","Terminator Salvation"
"23",223131,224840,"So that's what death tastes like.","Terminator Salvation"
"24",243276,245902,"You're doing something very noble.","Terminator Salvation"
"25",246070,247655,"No, I'm guilty.","Terminator Salvation"
"26",247864,250824,"Just cut me upuntil there's nothing left.","Terminator Salvation"
"27",254537,258665,"PRIEST: Yea, though I walk throughthe valley of the shadow of death...","Terminator Salvation"
"28",259250,263545,"...I will fear no evil,for thou art with me.","Terminator Salvation"
"29",263713,267007,"Thy rod and thy staff,they comfort me.","Terminator Salvation"
"30",282314,284858,"Do you have any last words?","Terminator Salvation"
"31",377619,379411,"MANVanguard, this is Blackjack 6.","Terminator Salvation"
"32",379579,381163,"Missile inbound to Skynet target.","Terminator Salvation"
"33",381331,384500,"TTO 11 seconds. Danger close.","Terminator Salvation"
"34",418076,421577,"Move! Move!Let's go, let's go! Move it!","Terminator Salvation"
"35",432923,435466,"MAN 2Connor is on the ground.","Terminator Salvation"
