"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Terms of Endearment"
"2",18936,20728,"Let me go, just for a minute.","Terms of Endearment"
"3",20813,22230,"You've beenlooking at that baby so much","Terms of Endearment"
"4",22314,24065,"you're going to stare herright into a coma.","Terms of Endearment"
"5",24149,25775,"Stop exaggerating.","Terms of Endearment"
"6",25859,28444,"Honey, it's not good for you to bechecking on the baby every five minutes","Terms of Endearment"
"7",28529,30738,"and imaginingone terrible thing or another.","Terms of Endearment"
"8",30823,34701,"- I know. I know.- Here it starts. Here we go.","Terms of Endearment"
"9",34785,38663,"Rudyard... Rudyard, she's not breathing.","Terms of Endearment"
"10",38747,41582,"Honey, she's sleeping.The baby's sleeping.","Terms of Endearment"
"11",41667,42709,"No.","Terms of Endearment"
"12",44128,45795,"Rudyard, it's crib death.","Terms of Endearment"
"13",45879,49382,"It's sleep! She's asleep, honey.","Terms of Endearment"
"14",49466,51968,"- Maybe.- Come on!","Terms of Endearment"
"15",60894,62103,"Emma!","Terms of Endearment"
"16",63522,64647,"Good.","Terms of Endearment"
"17",67735,69235,"That's better.","Terms of Endearment"
"18",98807,100391,"No, thank you.","Terms of Endearment"
"19",103729,105855,"- Thanks. Emma?- Glad to help.","Terms of Endearment"
"20",107107,111027,"He was one of the most dependablemen that ever worked for me.","Terms of Endearment"
"21",112029,114697,"- I know. Thank you.- He was a good man.","Terms of Endearment"
"22",119036,122288,"Hey, I'm real sorry about your daddy.","Terms of Endearment"
"23",124249,125500,"Take care of your momma.","Terms of Endearment"
"24",174675,178094,"Emma. Emma, wake up, please.","Terms of Endearment"
"25",178178,180680,"- Wake up.- What's wrong?","Terms of Endearment"
"26",180764,185226,"I was tense. I was tense, and I waswondering how you were feeling.","Terms of Endearment"
"27",185310,188604,"- Would you like to sleep in my bed?- No, thank you.","Terms of Endearment"
"28",190774,192525,"Would you liketo sleep in my bed again?","Terms of Endearment"
"29",192609,193818,"Yes!","Terms of Endearment"
"30",219636,222138,"What are we gonna do with this hair?","Terms of Endearment"
"31",225851,227310,"Hey, Emma.","Terms of Endearment"
"32",230647,233858,"Patsy, hurry up!You're going to miss him.","Terms of Endearment"
"33",239990,242325,"That's what they were looking at!","Terms of Endearment"
"34",247331,248831,"- Good night, honey.- Where's Momma?","Terms of Endearment"
"35",248916,251250,"She's out back with that old fartwho's trying to get in her pants.","Terms of Endearment"
"36",251335,252960,"Aren't you gonna wait and seeif the astronaut shows up?","Terms of Endearment"
"37",253045,254211,"They've got one on every cornerin Houston!","Terms of Endearment"
"38",254296,255546,"Come on. I gotta get my bus.","Terms of Endearment"
"39",255631,257298,"- Okay. Say hi to Race for me.- Okay.","Terms of Endearment"
"40",257382,259467,"- Okay.- Love you. Astronauts!","Terms of Endearment"
"41",265307,267975,"- So?- We better get going.","Terms of Endearment"
"42",269186,271938,"I'm gonna say goodbye to my mother.You want to go with?","Terms of Endearment"
"43",272022,274607,"No. I don't think I'm up to it today.","Terms of Endearment"
"44",275150,278402,"Sure would be niceto have a mother somebody liked.","Terms of Endearment"
"45",289915,293584,"Why don't you face up to the factthat you have certain biological needs?","Terms of Endearment"
"46",297214,300049,"- Because I don't.- Mom! I'm going now.","Terms of Endearment"
"47",300133,301300,"Excuse me.","Terms of Endearment"
"48",306139,309600,"Can you believe it?He wants to take me to Tahiti.","Terms of Endearment"
"49",310227,314105,"I don't know why you treat these menlike this. They have feelings, too.","Terms of Endearment"
"50",314189,315356,"You always make so much of things.","Terms of Endearment"
"51",315440,317984,"- Has the astronaut moved in yet?- Who?","Terms of Endearment"
"52",318068,320277,"""Who?""Is Patsy teaching you coy lessons?","Terms of Endearment"
"53",320362,322238,"Breedlove, Garrett. Next door.Has he moved in?","Terms of Endearment"
"54",322322,325199,"- Put your socks up!- All right. Come say goodbye to Patsy.","Terms of Endearment"
"55",325283,327493,"11:00. You be home by 11:00,and no later than 11:00.","Terms of Endearment"
"56",327577,328744,"Say goodbye to Patsy.","Terms of Endearment"
"57",328829,330329,"- Goodbye, Patsy!- Thank you.","Terms of Endearment"
"58",330414,331580,"Goodbye, Mrs Greenway.","Terms of Endearment"
"59",342926,345594,"In this day and age, anything goes!","Terms of Endearment"
"60",373290,376500,"I feel really foolish getting stonedto hear Mary Martin.","Terms of Endearment"
"61",377127,379211,"See, Patsy,","Terms of Endearment"
"62",379296,383674,"this is not Mary Martin.This is Ethel Merman.","Terms of Endearment"
"63",394811,397980,"This is the last timewe're gonna be like this.","Terms of Endearment"
"64",400150,403778,"I just plain refuseto get into that kind of thinking, Patsy.","Terms of Endearment"
"65",403862,405654,"It should not stop.","Terms of Endearment"
"66",406698,411243,"I mean, we're gonna be best friends.Our babies are gonna be best friends.","Terms of Endearment"
"67",411328,414163,"We're all gonna grow upand be best friends.","Terms of Endearment"
"68",414915,417124,"- Emma?- Oh, God!","Terms of Endearment"
"69",417209,419668,"- Just a minute, Ma.- Open the door.","Terms of Endearment"
"70",420128,421420,"- Emma?- Yes.","Terms of Endearment"
"71",421505,424131,"- Open the door, please.- Just a minute, Ma.","Terms of Endearment"
"72",424216,425508,"What do you mean?","Terms of Endearment"
"73",425592,427593,"- Emma, I need to talk to you!- All right.","Terms of Endearment"
"74",427677,430179,"I'm getting married. What the hell?","Terms of Endearment"
"75",435060,437853,"- Would you meet me in my room?- Yes.","Terms of Endearment"
"76",440649,441941,"What do you think she wants?","Terms of Endearment"
"77",442901,445277,"I don't know. Maybe she's going totell you how to have sex.","Terms of Endearment"
"78",445362,448739,"What? No.She only knows how to avoid it.","Terms of Endearment"
"79",450909,454078,"- Okay, hang on.- I can't believe you just said that.","Terms of Endearment"
"80",454162,457206,"I didn't mean it. Ididn't mean it, I swear.","Terms of Endearment"
"81",466383,470052,"- What have you been doing, Emma?- Nothing.","Terms of Endearment"
"82",473390,476350,"What is it, Momma?I really would like to get some sleep","Terms of Endearment"
"83",476434,479478,"so I could look halfway decentfor tomorrow.","Terms of Endearment"
"84",483275,485151,"Come on. What is it?","Terms of Endearment"
"85",485235,488070,"You wouldn't want me to be silent aboutsomething that's for your own good,","Terms of Endearment"
"86",488155,491282,"even if it might hurt a little, would you?","Terms of Endearment"
"87",491366,492908,"Yes, ma'am, I certainly would!","Terms of Endearment"
"88",507924,509466,"Okay, come on.","Terms of Endearment"
"89",514264,515472,"Come on.","Terms of Endearment"
"90",531948,534158,"I've been in here all night.","Terms of Endearment"
"91",535410,539872,"I've been trying to decidewhat wedding gift to get you.","Terms of Endearment"
"92",542792,545961,"I thought of that Renoirthat my mother gave me.","Terms of Endearment"
"93",549090,551842,"But I couldn't reach a conclusion.","Terms of Endearment"
"94",552385,554511,"Then I came to grips with the reason","Terms of Endearment"
"95",554596,557097,"why I couldn't thinkof a wedding gift for you.","Terms of Endearment"
"96",557182,561143,"Momma, it's all right.I need dishes of any kind, CorningWare,","Terms of Endearment"
"97",561228,565064,"a rotisserie, the car, a house.","Terms of Endearment"
"98",565148,566315,"Emma.","Terms of Endearment"
"99",568068,571695,"I'm totally convincedif you marry Flap Horton tomorrow,","Terms of Endearment"
"100",571780,574365,"it will be a mistakeof such gigantic proportions,","Terms of Endearment"
"101",574449,577868,"it will ruin your lifeand make wretched your destiny.","Terms of Endearment"
"102",581331,582790,"Why are you doing this to me?","Terms of Endearment"
"103",584417,588087,"You are not special enoughto overcome a bad marriage.","Terms of Endearment"
"104",590840,593676,"Emma, use your brains.","Terms of Endearment"
"105",593760,597429,"Flap is limited.He hasn't got any imagination.","Terms of Endearment"
"106",597514,600766,"Even at this age,all he wants is a secure teaching job.","Terms of Endearment"
"107",600850,604478,"Mother,I'm marrying Flap Horton tomorrow.","Terms of Endearment"
"108",605605,608023,"I thank God for Flapfor getting me out of here.","Terms of Endearment"
"109",608108,612486,"And if this is your attitude, you shouldn'tbother showing up to my wedding.","Terms of Endearment"
"110",617033,620202,"That's right. No, I think you're right.","Terms of Endearment"
"111",621955,624873,"The hypocrisy was bothering me, too.","Terms of Endearment"
"112",634551,637177,"My own mother'snot coming to my wedding.","Terms of Endearment"
"113",666041,668417,"Listen to her. She's going crazy.","Terms of Endearment"
"114",669836,672396,"I'll give her until noon tomorrow.That's about all she can take.","Terms of Endearment"
"115",672714,676258,"Emma, your motherboycotted your wedding,","Terms of Endearment"
"116",676343,678385,"she hates your husband,","Terms of Endearment"
"117",678470,681055,"and she only holds youin medium esteem.","Terms of Endearment"
"118",681139,687269,"Medium esteem.That is so cute. That is so cute.","Terms of Endearment"
"119",690982,695569,"Wouldn't it have been strange if oneof us married a person who didn't read?","Terms of Endearment"
"120",698448,700699,"God, there's millions ofinteresting people out there","Terms of Endearment"
"121",700784,702951,"who just never pick up a book.","Terms of Endearment"
"122",706790,712294,"Flap, I feel so totally good about us.I hope I get pregnant tonight.","Terms of Endearment"
"123",712962,714838,"That would be nice.","Terms of Endearment"
"124",719594,720719,"Emma.","Terms of Endearment"
"125",724641,727142,"I love the way you look.","Terms of Endearment"
"126",730397,732314,"You're so nice.","Terms of Endearment"
"127",737821,739196,"You're my sweet-ass gal.","Terms of Endearment"
"128",781656,783657,"Here comes the bride!","Terms of Endearment"
"129",788079,789830,"How do you... Yeah.","Terms of Endearment"
"130",790498,792339,"Wait, Flap.Where did you learn how to do that?","Terms of Endearment"
"131",792417,794001,"- Quit moving.- Flap?","Terms of Endearment"
"132",795920,799131,"That is the strangest musicto make love to.","Terms of Endearment"
"133",799215,800674,"I know.","Terms of Endearment"
"134",811060,813937,"Leave me alone. I don't wantto talk to you right now. I'm happy.","Terms of Endearment"
"135",814022,816148,"I don't want to talk to you.","Terms of Endearment"
"136",816232,819318,"No. Did you seethe tablecloth Rosie gave me?","Terms of Endearment"
"137",820195,822988,"It's beautiful. It's got red flowers on it.","Terms of Endearment"
"138",823072,826950,"Yeah. I think she made it.No. No, not yet.","Terms of Endearment"
"139",828244,831580,"No, I made omelettes.I started 'em. Kind of Tex-Mex.","Terms of Endearment"
"140",832624,837252,"No. That was the worst thing you'veever done to me in my life, Mother!","Terms of Endearment"
"141",838421,841423,"Well, I think you owe my husbandan apology.","Terms of Endearment"
"142",841508,845344,"Until you apologise to my husband,I'm not listening to any of your gossip.","Terms of Endearment"
"143",845428,848263,"No. Well, he's right here.","Terms of Endearment"
"144",849933,851308,"Hold on.","Terms of Endearment"
"145",854354,855771,"- Yes.- No.","Terms of Endearment"
"146",855855,858941,"- Yes.- No. No.","Terms of Endearment"
"147",859025,860484,"Yes.","Terms of Endearment"
"148",860568,862861,"Hello, Mrs Greenway.","Terms of Endearment"
"149",862946,865572,"No, ma'am,I am not enjoying your predicament.","Terms of Endearment"
"150",865657,867032,"Momma, you be nice. I swear.","Terms of Endearment"
"151",867116,871620,"As a matter of fact,I don't need or desire an apology.","Terms of Endearment"
"152",872580,877376,"All I want is for you to understandand appreciate my position,","Terms of Endearment"
"153",877460,879753,"to respect our marriage,","Terms of Endearment"
"154",880755,885551,"and to maybe wait another 15 minutesbefore you call in the morning.","Terms of Endearment"
"155",889138,891932,"Yes, I guess I've said my piece.","Terms of Endearment"
"156",892016,894560,"Okay, I'll put her on.","Terms of Endearment"
"157",894644,897729,"He's so great! I told you.I'll talk to you later. All right?","Terms of Endearment"
"158",904904,909533,"I don't care about the neighbourhood.Can't you stay a little while longer?","Terms of Endearment"
"159",911828,915414,"I thought we were havinga real good time, didn't you?","Terms of Endearment"
"160",917000,919293,"Listen, don't go yet.","Terms of Endearment"
"161",919377,923046,"One more minute. No, I've gotsomething I want to show you.","Terms of Endearment"
"162",924048,925549,"No, really.","Terms of Endearment"
"163",934767,936685,"- Thanks.- Good night.","Terms of Endearment"
"164",958875,960876,"- I bought you something.- What?","Terms of Endearment"
"165",965882,966965,"A tie.","Terms of Endearment"
"166",968217,969593,"Emma.","Terms of Endearment"
"167",970595,972387,"You didn't buy this tie for me.","Terms of Endearment"
"168",972472,974890,"You were worried abouthow I was gonna look to your mother.","Terms of Endearment"
"169",974974,979186,"Now I wish you would stop beingsuch a quisling where she is concerned.","Terms of Endearment"
"170",979270,982439,"Why is it every time I get happy,you turn perverse?","Terms of Endearment"
"171",982523,985734,"- Buying this tie made you happy?- Yes! Yes!","Terms of Endearment"
"172",987654,990364,"I wish you could understand this,'cause you really don't.","Terms of Endearment"
"173",990448,993659,"I mean, it made me very happy,buying this tie.","Terms of Endearment"
"174",993743,996578,"I went to two or three placesbefore I finally found the right place.","Terms of Endearment"
"175",996663,999206,"And then describing your jacketto the salesman","Terms of Endearment"
"176",999290,1002167,"and knowing how perfect it would matchwith what you were wearing,","Terms of Endearment"
"177",1002251,1005337,"which, by the way, it certainly does.","Terms of Endearment"
"178",1006422,1008256,"I mean, it was fun!","Terms of Endearment"
"179",1009759,1011343,"It was a goddamn Mardi Gras,","Terms of Endearment"
"180",1011427,1014262,"and you're just too dumbto understand that kind of happiness!","Terms of Endearment"
"181",1014347,1016682,"I'm sorry. I'm being terrible.","Terms of Endearment"
"182",1016766,1020268,"Going to your mother's,it makes me a little irrational.","Terms of Endearment"
"183",1026275,1028902,"- Can I help?- Yes. Thank you, Flap.","Terms of Endearment"
"184",1028986,1032322,"Would you take this candle to Emma?I need another one.","Terms of Endearment"
"185",1032407,1034199,"- In the kitchen?- Yes.","Terms of Endearment"
"186",1035660,1036827,"That looks great.","Terms of Endearment"
"187",1046045,1048338,"Who's that short gentleman?","Terms of Endearment"
"188",1049799,1053802,"Not that it's any of your business, but...Just leave it at that.","Terms of Endearment"
"189",1067316,1070986,"What are you looking at?She isn't there any more.","Terms of Endearment"
"190",1071070,1072612,"She'll be back.","Terms of Endearment"
"191",1073781,1076324,"I'm Edward Johnson, Aurora's friend.","Terms of Endearment"
"192",1077201,1079703,"Pleased to meet you. Vernon Dahlart.","Terms of Endearment"
"193",1080747,1082330,"God, isn't she something?","Terms of Endearment"
"194",1083166,1084666,"Here she comes.","Terms of Endearment"
"195",1085835,1088295,"I met her two weeks ago at church.","Terms of Endearment"
"196",1089172,1092716,"I guess you might sayshe's God's gift to Vernon Dahlart.","Terms of Endearment"
"197",1094385,1098680,"- Then you like her?- Oh, no. Does it show?","Terms of Endearment"
"198",1103519,1104686,"Good food.","Terms of Endearment"
"199",1105438,1108732,"Well, this is what I used to servewhen I lived in Boston.","Terms of Endearment"
"200",1111027,1113361,"Vernon, you haven't said a word.","Terms of Endearment"
"201",1113446,1117532,"Is that right? I feel like I haven'tstopped talking since I came in.","Terms of Endearment"
"202",1117617,1120994,"I guess becauseI've been thinking about you so much.","Terms of Endearment"
"203",1121704,1125332,"Can I give you a suggestionon how to handle me, Vernon?","Terms of Endearment"
"204",1125416,1127209,"Yes, ma'am.","Terms of Endearment"
"205",1127293,1130086,"Don't worship me until I've earned it.","Terms of Endearment"
"206",1130171,1134466,"Thank you, ma'am.I appreciate any advice you can give me.","Terms of Endearment"
"207",1134550,1137344,"Don't talk with your mouth full, Vernon.","Terms of Endearment"
"208",1141307,1145685,"I wouldn't do that, really.I just did it to make you laugh.","Terms of Endearment"
"209",1149565,1151024,"What's wrong with you?","Terms of Endearment"
"210",1153069,1156029,"- I got some good news.- What's that?","Terms of Endearment"
"211",1157698,1159449,"I'm unofficially pregnant.","Terms of Endearment"
"212",1159534,1163745,"We haven't gotten the tests back yet,but you know me. I'm never late.","Terms of Endearment"
"213",1164664,1165872,"Well...","Terms of Endearment"
"214",1167124,1168792,"I don't understand.","Terms of Endearment"
"215",1174257,1175966,"If you're not happy for me...","Terms of Endearment"
"216",1176050,1179010,"I'm gonna get so madif you're not happy.","Terms of Endearment"
"217",1186060,1189312,"Why should I? Why should I be happyabout being a grandmother?","Terms of Endearment"
"218",1191482,1195110,"Does this mean you won't beknitting the baby any booties?","Terms of Endearment"
"219",1196737,1198029,"Flap.","Terms of Endearment"
"220",1200157,1204119,"Every time you get morethan two drinks in you, you confront me.","Terms of Endearment"
"221",1205788,1210125,"And I won't have it. I won't have it,not in this house. Excuse me.","Terms of Endearment"
"222",1235151,1236776,"Do you need some help?","Terms of Endearment"
"223",1236861,1241489,"No. I'll be finejust as soon as I stretch my legs.","Terms of Endearment"
"224",1243409,1246202,"- Oh, God.- Mr Breedlove.","Terms of Endearment"
"225",1252209,1253335,"You're bleeding.","Terms of Endearment"
"226",1256005,1257130,"Yeah.","Terms of Endearment"
"227",1259842,1261426,"It's okay.","Terms of Endearment"
"228",1265473,1267891,"- Come on in.- No, thank you.","Terms of Endearment"
"229",1268768,1271811,"- What are you afraid of, Doris?- Afraid?","Terms of Endearment"
"230",1272521,1275273,"Well, why not...","Terms of Endearment"
"231",1279362,1281363,"Why not come on in then?","Terms of Endearment"
"232",1281989,1284699,"Because you're much olderthan the boys I date,","Terms of Endearment"
"233",1285201,1286868,"'cause you're drunk,","Terms of Endearment"
"234",1286953,1288453,"and because when I went there tonight","Terms of Endearment"
"235",1288537,1292040,"to see a United States astronautgive a lecture,","Terms of Endearment"
"236",1292458,1295251,"I didn't expect himto prowl after us all night long.","Terms of Endearment"
"237",1296337,1299714,"I didn't expect some silly flirtwho had to keep his jacket open","Terms of Endearment"
"238",1299799,1302342,"because his belly's getting too big.","Terms of Endearment"
"239",1305096,1307013,"I expected a hero.","Terms of Endearment"
"240",1320236,1324364,"Well, okay, Doris, don't come in.","Terms of Endearment"
"241",1324448,1327325,"I don't want you in my house.","Terms of Endearment"
"242",1328911,1331079,"Lee Anne, would you like to come in?","Terms of Endearment"
"243",1332081,1334207,"You better tend to that cut.","Terms of Endearment"
"244",1349557,1352600,"Tommy, show me your belly.Come on. Come on!","Terms of Endearment"
"245",1355271,1357022,"How can you let him run arounddressed like that?","Terms of Endearment"
"246",1357106,1359274,"He's adorable. Look at him.","Terms of Endearment"
"247",1366073,1367741,"Great, Tommy.","Terms of Endearment"
"248",1372288,1374080,"That's Vernon, I'm sure.So tell him that I'm...","Terms of Endearment"
"249",1374165,1375331,"Out?","Terms of Endearment"
"250",1376250,1377751,"No. Tell him I'm resting.","Terms of Endearment"
"251",1378711,1381296,"Hello? Hi, Flap.","Terms of Endearment"
"252",1383632,1386634,"Where? No. Tell me now.I want to know now.","Terms of Endearment"
"253",1396312,1398688,"Flap, you did not expect I'd be happy.","Terms of Endearment"
"254",1398773,1402275,"Let's be honest with each otherbefore we start pretending.","Terms of Endearment"
"255",1405780,1408323,"Look, Mom's staring at me right now,","Terms of Endearment"
"256",1409116,1411868,"so can I talk about it later to you?","Terms of Endearment"
"257",1411952,1415622,"Yeah. All right. Bye.","Terms of Endearment"
"258",1428844,1431679,"How long you going tokeep this a secret?","Terms of Endearment"
"259",1432681,1435442,"The only school that would accept Flapfor his associate professorship","Terms of Endearment"
"260",1435476,1437268,"is in Des Moines.","Terms of Endearment"
"261",1439438,1442148,"He can't even do the simple things,like fail locally.","Terms of Endearment"
"262",1445027,1448196,"It's gonna be fine, Momma.It's Des Moines.","Terms of Endearment"
"263",1450491,1452534,"- Say, ""Bye bye, house.""- Bye bye, house.","Terms of Endearment"
"264",1452618,1453910,"All right.","Terms of Endearment"
"265",1460501,1464754,"Be careful going down these steps.I don't want you to break your leg.","Terms of Endearment"
"266",1472555,1473888,"Come here.","Terms of Endearment"
"267",1476225,1478143,"Come here. Come here.","Terms of Endearment"
"268",1480604,1482647,"Stay sweet, honey.","Terms of Endearment"
"269",1483315,1484399,"Rosie.","Terms of Endearment"
"270",1486777,1490238,"That's enough, Rosie.They have to get started.","Terms of Endearment"
"271",1490364,1492615,"You tell Momma to drive you homewhen you work late.","Terms of Endearment"
"272",1492700,1493867,"Have some fun, Rosie.","Terms of Endearment"
"273",1494577,1497871,"Don't act so brave. I know you're gonnago crazy without me to nag.","Terms of Endearment"
"274",1497955,1501207,"You be good to her,or else we're gonna get you.","Terms of Endearment"
"275",1504044,1505336,"I mean it.","Terms of Endearment"
