"id","startTime","endTime","text","title"
"1",97680,101266,"Gentlemen of the jury, haveyou decided on your verdict?","The Adventures of Sherlock Holmes"
"2",101392,102768,"We have.","The Adventures of Sherlock Holmes"
"3",102894,105687,"The prisoner will rise.","The Adventures of Sherlock Holmes"
"4",105814,109650,"Do you find the prisoner guiltyor not guilty of willful murder?","The Adventures of Sherlock Holmes"
"5",109776,111360,"According to the evidence,we have no choice","The Adventures of Sherlock Holmes"
"6",111486,114154,"but to find the prisonernot guilty.","The Adventures of Sherlock Holmes"
"7",114280,118575,"So do we all findand may god forgive us.","The Adventures of Sherlock Holmes"
"8",118701,122037,"Prisoner, at the baryou have heard the verdict.","The Adventures of Sherlock Holmes"
"9",122163,124957,"Under the law,no other verdict is possible.","The Adventures of Sherlock Holmes"
"10",125083,129461,"Yet, it is undoubtedlya gross miscarriage of justice.","The Adventures of Sherlock Holmes"
"11",129587,133298,"It is deplorable, ProfessorMoriarty, that a man of your
intellectual attainments","The Adventures of Sherlock Holmes"
"12",133424,136844,"should be standing in theprisoner's box charged with
a crime of murder.","The Adventures of Sherlock Holmes"
"13",136970,142766,"And in setting you free, I cannotin my conscience exonerate you.","The Adventures of Sherlock Holmes"
"14",142892,144685,"Let the prisoner be discharged.","The Adventures of Sherlock Holmes"
"15",148606,150899,"[Pounding on door]Let me in, let me in.","The Adventures of Sherlock Holmes"
"16",151025,151942,"My Lord.","The Adventures of Sherlock Holmes"
"17",154821,158323,"My lord,I have important new evidence.","The Adventures of Sherlock Holmes"
"18",158449,160534,"You come too late, Mr. Holmes.The prisoner has been discharged.","The Adventures of Sherlock Holmes"
"19",160660,163287,"But my lord, you can't letMoriarty go free. He killed Loray.","The Adventures of Sherlock Holmes"
"20",163413,165497,"I can prove it.I can destroy his alibi.","The Adventures of Sherlock Holmes"
"21",165623,169001,"That alibi has beenestablished by three hundred
fellows of the Royal Society.","The Adventures of Sherlock Holmes"
"22",169127,171461,"Your lordship,my client has been acquitted.","The Adventures of Sherlock Holmes"
"23",171588,174089,"He cannot be tried twicefor the same charge.","The Adventures of Sherlock Holmes"
"24",183892,185100,"Oh, there you are, Holmes.","The Adventures of Sherlock Holmes"
"25",185226,186727,"I'm afraid you havea bad opinion of me.","The Adventures of Sherlock Holmes"
"26",186853,189146,"On the contrary, I hold youin the highest esteem","The Adventures of Sherlock Holmes"
"27",189272,191481,"but only as a maid.","The Adventures of Sherlock Holmes"
"28",191608,193692,"It's gratifying to know thatone's talents are appreciated","The Adventures of Sherlock Holmes"
"29",193818,196069,"by such a distinguishedconnoisseur.","The Adventures of Sherlock Holmes"
"30",196196,199364,"- May I give you a lift?Cabs are scarce in this rain.
- Thank you.","The Adventures of Sherlock Holmes"
"31",204704,206496,"- 221 Bakers Street.- Very good, sir.","The Adventures of Sherlock Holmes"
"32",206623,207915,"- After you, my dear Holmes.- By no means,","The Adventures of Sherlock Holmes"
"33",208041,210042,"I prefer that you precede meat all times.","The Adventures of Sherlock Holmes"
"34",210168,212127,"Such a creature of habit,you are.","The Adventures of Sherlock Holmes"
"35",219761,223472,"You have a magnificent brain,Moriarty. I admire it.","The Adventures of Sherlock Holmes"
"36",223598,227476,"I admire it so much I'd like topresent it pickled in alcohol
to the London Medical Society.","The Adventures of Sherlock Holmes"
"37",227602,229811,"That would make aninteresting exhibit.","The Adventures of Sherlock Holmes"
"38",232106,236610,"Holmes, you've only now barelymissed sending me to the gallows.","The Adventures of Sherlock Holmes"
"39",236736,239071,"You're the one man in Englandclever enough to defeat me.","The Adventures of Sherlock Holmes"
"40",239197,241406,"The situationhas become impossible.","The Adventures of Sherlock Holmes"
"41",241532,243283,"Have you any suggestions?","The Adventures of Sherlock Holmes"
"42",243409,245494,"I'm gonna break you, Holmes.","The Adventures of Sherlock Holmes"
"43",245620,247162,"I'm going to bring outright under your nose","The Adventures of Sherlock Holmes"
"44",247288,249581,"the most incredible crimeof the century","The Adventures of Sherlock Holmes"
"45",249707,252417,"and you'll never suspect ituntil it's too late.","The Adventures of Sherlock Holmes"
"46",252543,257798,"That will be the end of you,Mr. Sherlock Holmes.","The Adventures of Sherlock Holmes"
"47",257924,261718,"And when I've beaten and ruinedyou then I can retire in peace.","The Adventures of Sherlock Holmes"
"48",261844,263845,"I'd like to retire,crime no longer amuses me.","The Adventures of Sherlock Holmes"
"49",263972,267933,"I'd like to devote my remainingyears to abstract science.","The Adventures of Sherlock Holmes"
"50",274565,276149,"Well, here we areat my lodgings.","The Adventures of Sherlock Holmes"
"51",276276,278443,"I'm so sorryI can't ask you in.","The Adventures of Sherlock Holmes"
"52",278569,280404,"Good night,Professor Moriarty.","The Adventures of Sherlock Holmes"
"53",280530,281905,"Good night.","The Adventures of Sherlock Holmes"
"54",285702,290038,"??","The Adventures of Sherlock Holmes"
"55",324032,326283,"I was just coming inwhen you rang, sir.","The Adventures of Sherlock Holmes"
"56",326409,329453,"- Oh, there you are, Dawes.- Mr. Bassick is here, sir.","The Adventures of Sherlock Holmes"
"57",329579,331121,"I'll see him at once.","The Adventures of Sherlock Holmes"
"58",331247,332873,"Come to meas soon as he's gone, Dawes.","The Adventures of Sherlock Holmes"
"59",332999,334750,"There's somethingI want to say to you.","The Adventures of Sherlock Holmes"
"60",334876,336418,"Yes, sir.","The Adventures of Sherlock Holmes"
"61",365573,367074,"Well, Bassick.","The Adventures of Sherlock Holmes"
"62",370286,372954,"Don't that bloke never stop.","The Adventures of Sherlock Holmes"
"63",373081,374915,"That music gives me the creeps.","The Adventures of Sherlock Holmes"
"64",375041,378543,"Does it, Bassick?I rather like it.","The Adventures of Sherlock Holmes"
"65",378669,381421,"I want you to post that letterat the box at Portland Square","The Adventures of Sherlock Holmes"
"66",381547,384049,"just a few minutesbefore twelve.","The Adventures of Sherlock Holmes"
"67",384175,387803,"Then drive directly to yourlodgings by way of Oxford Circus.","The Adventures of Sherlock Holmes"
"68",387929,390764,"Wait there till I send for you.","The Adventures of Sherlock Holmes"
"69",390890,392724,"That's all.","The Adventures of Sherlock Holmes"
"70",392850,394226,"First, I want to knowwhat I'm getting into.","The Adventures of Sherlock Holmes"
"71",394352,395852,"You have your orders.That's enough.","The Adventures of Sherlock Holmes"
"72",395978,398980,"I have a right to know thelayout in case there's trouble.","The Adventures of Sherlock Holmes"
"73",399107,401400,"I'll take care of that.","The Adventures of Sherlock Holmes"
"74",401526,404486,"That's what you promised Higginsin that Hammersmith job.","The Adventures of Sherlock Holmes"
"75",404612,407155,"Oh, poor Higgins.","The Adventures of Sherlock Holmes"
"76",407281,408990,"They found nothingbut his boots.","The Adventures of Sherlock Holmes"
"77",409117,410992,"One boot.","The Adventures of Sherlock Holmes"
"78",411119,413620,"You know, Bassick,","The Adventures of Sherlock Holmes"
"79",413746,416998,"Higgins was a valuable manand a clever cracksman.","The Adventures of Sherlock Holmes"
"80",417125,420043,"But he had your unfortunate habitof asking too many questions","The Adventures of Sherlock Holmes"
"81",420169,423630,"and now all that's left of himis one boot.","The Adventures of Sherlock Holmes"
"82",423756,428760,"Don't take me wrong, Professor.I'll do what you tell me right enough.","The Adventures of Sherlock Holmes"
"83",428886,430804,"I'm sure you will, Bassick,","The Adventures of Sherlock Holmes"
"84",430930,434516,"and just to prove how I trust youI'm going to tell you my plan.","The Adventures of Sherlock Holmes"
"85",434642,438270,"Although, you haven't the imaginationto appreciate its subtlety.","The Adventures of Sherlock Holmes"
"86",438396,442524,"My whole success depends upona peculiarity of Holmes brain,","The Adventures of Sherlock Holmes"
"87",442650,444443,"its perpetual restlessness.","The Adventures of Sherlock Holmes"
"88",444569,446736,"Its constant struggleto escape boredom.","The Adventures of Sherlock Holmes"
"89",446863,448447,"Holmes again?","The Adventures of Sherlock Holmes"
"90",448573,450991,"Always Holmes until the end.","The Adventures of Sherlock Holmes"
"91",451117,453952,"He's like a spoiled boywho picks watches to pieces","The Adventures of Sherlock Holmes"
"92",454078,457664,"but loses interest in one toyas soon as he's given another.","The Adventures of Sherlock Holmes"
"93",457790,463170,"So, I'm presenting the ingenious butfickle Mr. Holmes with two toys,","The Adventures of Sherlock Holmes"
"94",463296,466173,"in the order in whichI mean him to have them.","The Adventures of Sherlock Holmes"
"95",466299,469384,"The first, that letter.","The Adventures of Sherlock Holmes"
"96",469510,473680,"If I know Mr. Holmes that willinterest him very little,","The Adventures of Sherlock Holmes"
"97",473806,479352,"after this comes to fascinateand tantalize his imagination.","The Adventures of Sherlock Holmes"
"98",480813,483148,"Blimey, what it mean?","The Adventures of Sherlock Holmes"
"99",483274,488528,"That is what I'm depending uponto absorb Mr. Holmes' interest
while I'm engaged elsewhere.","The Adventures of Sherlock Holmes"
"100",488654,491656,"I'll give him a toyto delight his heart","The Adventures of Sherlock Holmes"
"101",491782,496369,"so full of bizarrecomplications that he'll forget
all about the first toy,","The Adventures of Sherlock Holmes"
"102",496496,497913,"that letter.","The Adventures of Sherlock Holmes"
"103",500291,502542,"What's in the letter,Professor?","The Adventures of Sherlock Holmes"
"104",502668,506546,"The germ of a crime, Bassick.A truly great crime.","The Adventures of Sherlock Holmes"
"105",506672,508757,"A crime that willstir the empire,","The Adventures of Sherlock Holmes"
"106",508883,511843,"that children will read aboutin their history books","The Adventures of Sherlock Holmes"
"107",511969,514638,"and you're going to bepart of it, Bassick.","The Adventures of Sherlock Holmes"
"108",522230,523897,"Off with you now.","The Adventures of Sherlock Holmes"
"109",545795,547837,"You wanted to see me, sir?","The Adventures of Sherlock Holmes"
"110",547964,549297,"I'm away for a few weeks,Dawes,","The Adventures of Sherlock Holmes"
"111",549423,551508,"and I come back to findmy emfurium magenta,","The Adventures of Sherlock Holmes"
"112",551634,555303,"my incomparable emfurium magentawithered, ruined.","The Adventures of Sherlock Holmes"
"113",555429,557764,"I can't understand it, sir.I take good care of all the plants.","The Adventures of Sherlock Holmes"
"114",557890,560392,"- Did you water them?- Every day, sir,
just as you told me, sir.","The Adventures of Sherlock Holmes"
"115",560518,562477,"Then how did it happenthat I find a spider's web","The Adventures of Sherlock Holmes"
"116",562603,564688,"spun across the spoutof a watering can?","The Adventures of Sherlock Holmes"
"117",564814,567774,"- That can happen overnight, sir.- Overnight, uh.","The Adventures of Sherlock Holmes"
"118",567900,571194,"Then you didn't waterthem today.","The Adventures of Sherlock Holmes"
"119",571320,573321,"There has been so much to do,sir, preparing for your coming
back and all.","The Adventures of Sherlock Holmes"
"120",573447,575407,"Nothing is as importantas the care of my flowers.","The Adventures of Sherlock Holmes"
"121",575533,577409,"Through your neglectthis flower has died.","The Adventures of Sherlock Holmes"
"122",577535,579578,"- You've murdered a flower.- I'm sorry, sir.","The Adventures of Sherlock Holmes"
"123",579704,583164,"And to think that formerely murdering a man","The Adventures of Sherlock Holmes"
"124",583291,584499,"I was incarcerated for six wholeweeks in a filthy prison cell.","The Adventures of Sherlock Holmes"
"125",584625,586626,"A pity, sir.","The Adventures of Sherlock Holmes"
"126",586752,587544,"- A travesty on justice.- Quite so, sir.","The Adventures of Sherlock Holmes"
"127",587670,589546,"But for this crime, Dawes,","The Adventures of Sherlock Holmes"
"128",589672,592549,"you should be flogged,broken on the wheel,","The Adventures of Sherlock Holmes"
"129",592675,595343,"drawn and quartered.","The Adventures of Sherlock Holmes"
"130",595469,596511,"- Yes sir, will that be all, sir?- And boiled in oil.","The Adventures of Sherlock Holmes"
"131",596637,599598,"Thank you, sir.","The Adventures of Sherlock Holmes"
"132",599724,601600,"- Go away.- Yes, sir.","The Adventures of Sherlock Holmes"
"133",657740,659908,"Well Billy, when you finishsweeping you can dust.","The Adventures of Sherlock Holmes"
"134",660034,660867,"Yes, ma'am.","The Adventures of Sherlock Holmes"
"135",680221,683431,"- Well, good morning, Dr. Watson.- Good morning, Mrs. Hudson.","The Adventures of Sherlock Holmes"
"136",683557,685308,"Is Mr. Holmes in?","The Adventures of Sherlock Holmes"
"137",685434,686267,"- Go right up, doctor.- Ah good.","The Adventures of Sherlock Holmes"
"138",686394,687310,"Is he busy?","The Adventures of Sherlock Holmes"
"139",687436,690480,"Well you might say he was busy","The Adventures of Sherlock Holmes"
"140",690606,692107,"- and then again,you might say he was not busy.
- Huh?","The Adventures of Sherlock Holmes"
"141",692233,694776,"Say he was busy,not say he was busy...","The Adventures of Sherlock Holmes"
"142",697530,699531,"Well, well, well, well, Billy.","The Adventures of Sherlock Holmes"
"143",699657,701408,"That's a fetchy little froththat you're wearing.","The Adventures of Sherlock Holmes"
"144",701534,703243,"Mrs. Hudson made me put it in, sir.","The Adventures of Sherlock Holmes"
"145",703369,705453,"I was afraid Mr. Holmesor you would see me.","The Adventures of Sherlock Holmes"
"146",705579,707163,"I think it's very becoming.","The Adventures of Sherlock Holmes"
"147",712253,713378,"Come in, Watson.","The Adventures of Sherlock Holmes"
"148",724515,727684,"I trust I don't comeinopportunely.","The Adventures of Sherlock Holmes"
"149",727810,729853,"My dear fellow,as if you ever could.","The Adventures of Sherlock Holmes"
"150",729979,731813,"Come on, pull up a chair.","The Adventures of Sherlock Holmes"
"151",731939,733606,"As a matter of fact, you'rejust in time to help me decide","The Adventures of Sherlock Holmes"
"152",733733,735567,"a matter that is certainly delicate","The Adventures of Sherlock Holmes"
"153",735693,739863,"- and possibly of thegreatest importance.
- Of course, anything I can do.","The Adventures of Sherlock Holmes"
"154",739989,742365,"I received this notelast night.","The Adventures of Sherlock Holmes"
"155",742491,744451,"""My dear Mr. Holmes.","The Adventures of Sherlock Holmes"
"156",744577,746619,"I'm taking the liberty ofcalling on you at eleven
o'clock tomorrow morning.""","The Adventures of Sherlock Holmes"
"157",746746,748204,"That's very soon now.","The Adventures of Sherlock Holmes"
"158",748330,752083,"""To ask you what may appeara silly question","The Adventures of Sherlock Holmes"
"159",752209,755044,"whether or not I should go toa garden party on Saturday
at Lady Conyngham's.","The Adventures of Sherlock Holmes"
"160",755171,756045,"I beg you to see me. I'm indesperate need of advice.","The Adventures of Sherlock Holmes"
"161",756172,760383,"Sincerely yours, Ann Brandon.""","The Adventures of Sherlock Holmes"
"162",760509,762469,"What you make of it, Watson?","The Adventures of Sherlock Holmes"
"163",762595,764763,"Somebody's pulling your leg.","The Adventures of Sherlock Holmes"
"164",764889,767307,"No, no, no.I checked on the young lady.","The Adventures of Sherlock Holmes"
"165",767433,769768,"She lives in town with her brother.She's very rich, mining fortune.","The Adventures of Sherlock Holmes"
"166",769894,771811,"Her father died somewhatmysteriously about ten years ago.","The Adventures of Sherlock Holmes"
"167",771937,774063,"As for Miss Brandon's dilemma,","The Adventures of Sherlock Holmes"
"168",774190,776399,"Lady Conyngham isimminently respectable","The Adventures of Sherlock Holmes"
"169",776525,779027,"but she gives the kind ofparties that one comes away
from with a feeling","The Adventures of Sherlock Holmes"
"170",779153,780945,"that one hasn't been anywhere.","The Adventures of Sherlock Holmes"
"171",781071,783865,"Oh, how can you trifle withsuch inconsequentialities","The Adventures of Sherlock Holmes"
"172",783991,785992,"when Moriarty's lose on London?","The Adventures of Sherlock Holmes"
"173",786118,788036,"My dear Watson, you astound me.","The Adventures of Sherlock Holmes"
"174",788162,791039,"It's the veryinconsequentialities of
Miss Brandon's message","The Adventures of Sherlock Holmes"
"175",791165,792373,"that engages my interest.","The Adventures of Sherlock Holmes"
"176",792500,794501,"But Moriarty, what of him?","The Adventures of Sherlock Holmes"
"177",794627,798296,"I've taken the most efficient stepsof keeping in touch with Moriarty.","The Adventures of Sherlock Holmes"
"178",798422,800673,"- You're having him followed.- Oh, don't be so crude, Watson.","The Adventures of Sherlock Holmes"
"179",800800,803301,"Well, what are you doing?","The Adventures of Sherlock Holmes"
"180",803427,805220,"Nothing.","The Adventures of Sherlock Holmes"
"181",805346,808473,"Nothing?","The Adventures of Sherlock Holmes"
"182",808599,809808,"My dear Watson,you needn't check me back
as if I didn't have a voice.","The Adventures of Sherlock Holmes"
"183",809934,811684,"I said ""Nothing.""","The Adventures of Sherlock Holmes"
"184",811811,815230,"That's the best thing I canpossibly do at the moment.","The Adventures of Sherlock Holmes"
"185",815356,820485,"Moriarty is as curious aboutmy movement as I am about his.","The Adventures of Sherlock Holmes"
"186",820611,823112,"So, I sit here and waitfor him to come to me.","The Adventures of Sherlock Holmes"
"187",823239,825990,"And he'll come.","The Adventures of Sherlock Holmes"
"188",826116,827909,"Never doubt it.","The Adventures of Sherlock Holmes"
"189",828035,829285,"Ba, ba, ba, ba, ba.","The Adventures of Sherlock Holmes"
"190",829411,832121,"So, you fiddlewhile Rome burns.","The Adventures of Sherlock Holmes"
"191",832248,833832,"A daring metaphor, Watson.","The Adventures of Sherlock Holmes"
"192",833958,835875,"And what are you doingwith that inferno fiddle,","The Adventures of Sherlock Holmes"
"193",836001,839546,"with those flies?","The Adventures of Sherlock Holmes"
"194",839672,841923,"I was observing the reactionon the common housefly
of the chromatic scale.","The Adventures of Sherlock Holmes"
"195",843676,845677,"- A brilliant experiment.- Yes, it will be,","The Adventures of Sherlock Holmes"
"196",845803,848054,"if I can find a notethat annoys the housefly","The Adventures of Sherlock Holmes"
"197",848180,850056,"then might needonly play that one note","The Adventures of Sherlock Holmes"
"198",850182,853434,"and psstall the houseflies disappear.","The Adventures of Sherlock Holmes"
"199",853561,855019,"- Amazing.- No, no, no.","The Adventures of Sherlock Holmes"
"200",855145,857146,"Elementary, my dear Watson,purely elementary.","The Adventures of Sherlock Holmes"
"201",857273,859274,"(Knock at the door)","The Adventures of Sherlock Holmes"
