"id","startTime","endTime","text","title"
"1",28500,31460,"The Tesseract has awakened.","The Avengers"
"2",31460,33295,"The Tesseract has awakened.","The Avengers"
"3",33296,38255,"It is on a little world, a human world.","The Avengers"
"4",38969,42301,"They would wield its power,","The Avengers"
"5",42680,48350,"but our ally knows itsworkings as they never will.","The Avengers"
"6",49896,52981,"He is ready to lead","The Avengers"
"7",53192,58612,"and our force, our Chitauri, will follow.","The Avengers"
"8",60240,62613,"A world will be his.","The Avengers"
"9",62826,65947,"The universe, yours.","The Avengers"
"10",66164,72036,"And the humans,what can they do but burn?","The Avengers"
"11",86268,87518,"All personnel,","The Avengers"
"12",87519,89807,"the evacuation orderhas been confirmed.","The Avengers"
"13",121721,123388,"How bad is it?","The Avengers"
"14",123388,126674,"That's the problem, sir. We don't know.","The Avengers"
"15",130271,133188,"Dr Selvig read an energy surgefrom the Tesseract four hours ago.","The Avengers"
"16",133316,135316,"NASA didn't authorise Selvigto go to test phase.","The Avengers"
"17",135401,137560,"He wasn't testing it.He wasn't even in the room.","The Avengers"
"18",137778,138945,"Spontaneous event.","The Avengers"
"19",138947,140281,"It just turned itself on?","The Avengers"
"20",140282,141532,"Where are the energy levels now?","The Avengers"
"21",141533,143692,"Climbing. When Selvig couldn'tshut it down, we ordered evac.","The Avengers"
"22",143911,145328,"How long to get everyone out?","The Avengers"
"23",145329,146871,"Campus should be clearin the next half-hour.","The Avengers"
"24",146872,148872,"Do better.","The Avengers"
"25",149082,151082,"Sir, evacuation may be futile.","The Avengers"
"26",151251,152835,"We should tell themto go back to sleep?","The Avengers"
"27",152836,155043,"If we can't controlthe Tesseract's energy,","The Avengers"
"28",155254,157581,"there may not bea minimum safe distance.","The Avengers"
"29",157716,158883,"I need you to make sure","The Avengers"
"30",158884,160718,"the Phase 2 prototypesare shipped out.","The Avengers"
"31",160719,162759,"Sir, is that really a priority right now?","The Avengers"
"32",162972,164805,"Until such time as the world ends,","The Avengers"
"33",164807,166847,"we will act as thoughit intends to spin on.","The Avengers"
"34",167810,169394,"Clear out the tech below.","The Avengers"
"35",169395,171887,"Every piece of Phase 2on a truck and gone.","The Avengers"
"36",172106,173606,"Yes, sir.","The Avengers"
"37",173608,175608,"With me.","The Avengers"
"38",177861,179861,"Talk to me, Doctor.","The Avengers"
"39",180656,182240,"Director.","The Avengers"
"40",182241,184116,"Is there anything we know for certain?","The Avengers"
"41",184117,186360,"The Tesseract is misbehaving.","The Avengers"
"42",186579,189366,"- Is that supposed to be funny?- No, it's not funny at all.","The Avengers"
"43",189582,193081,"The Tesseract is not onlyactive, she's behaving.","The Avengers"
"44",193294,194503,"I assume you pulled the plug.","The Avengers"
"45",194504,196421,"She's an energy source.","The Avengers"
"46",196423,199460,"We turn off the power,she turns it back on.","The Avengers"
"47",199676,200968,"If she reaches peak level...","The Avengers"
"48",200969,204384,"We prepared for this, Doctor.Harnessing energy from space.","The Avengers"
"49",204598,206098,"But we don't have the harness.","The Avengers"
"50",206098,207933,"My calculations are far from complete.","The Avengers"
"51",207935,210473,"And she's throwing offinterference, radiation.","The Avengers"
"52",210687,212687,"Nothing harmful,low levels of gamma radiation.","The Avengers"
"53",213314,215314,"That can be harmful.","The Avengers"
"54",215359,216942,"Where's Agent Barton?","The Avengers"
"55",216944,218944,"The Hawk?","The Avengers"
"56",219530,221569,"Up in his nest, as usual.","The Avengers"
"57",223033,225033,"Agent Barton, report.","The Avengers"
"58",225704,226996,"I gave you this detail","The Avengers"
"59",226997,228788,"so you could keepa close eye on things.","The Avengers"
"60",228789,230373,"Well, I see better from a distance.","The Avengers"
"61",230375,232375,"Have you seen anythingthat might set this thing off?","The Avengers"
"62",232793,234917,"Doctor, it's spiking again.","The Avengers"
"63",235128,236712,"No one's come or gone.","The Avengers"
"64",236713,238549,"And Selvig's clean.","The Avengers"
"65",238550,240838,"No contacts, no IMs.","The Avengers"
"66",241343,243343,"If there was any tampering,sir, it wasn't at this end.","The Avengers"
"67",245056,246640,"""At this end""?","The Avengers"
"68",246641,250473,"Yeah, the Cube is a doorway tothe other end of space, right?","The Avengers"
"69",252313,254313,"Doors open from both sides.","The Avengers"
"70",254358,256358,"Not yet.","The Avengers"
"71",323596,326716,"Sir, please put down the spear.","The Avengers"
"72",366057,368057,"You have heart.","The Avengers"
"73",397797,399797,"Please don't.","The Avengers"
"74",401091,402509,"I still need that.","The Avengers"
"75",402509,404177,"This doesn't have to get any messier.","The Avengers"
"76",404178,405596,"Of course it does.","The Avengers"
"77",405596,407596,"I've come too far for anything else.","The Avengers"
"78",409433,412221,"I am Loki, of Asgard","The Avengers"
"79",412937,415310,"and I am burdened withglorious purpose.","The Avengers"
"80",415524,417442,"Loki,","The Avengers"
"81",417442,418944,"brother of Thor.","The Avengers"
"82",418944,421399,"We have no quarrel with your people.","The Avengers"
"83",421612,424567,"An ant has no quarrel with a boot.","The Avengers"
"84",425158,427158,"Are you planning to step on us?","The Avengers"
"85",427161,430245,"I come with glad tidings","The Avengers"
"86",431499,433499,"of a world made free.","The Avengers"
"87",433793,435000,"Free from what?","The Avengers"
"88",435002,436877,"Freedom.","The Avengers"
"89",436879,439500,"Freedom is life's great lie.","The Avengers"
"90",439716,443132,"Once you accept that, in your heart,","The Avengers"
"91",447641,449641,"you will know peace.","The Avengers"
"92",449809,452264,"Yeah, you say ""peace,""","The Avengers"
"93",452478,454478,"I kind of think you mean the other thing.","The Avengers"
"94",454521,457012,"Sir, Director Fury is stalling.","The Avengers"
"95",457233,458692,"This place is about to blow","The Avengers"
