"id","startTime","endTime","text","title"
"1",32396,35832,"There's a moment of orderlysilence before a football play begins.","The Blind Side"
"2",36232,40533,"Players are in position, linemenare frozen, and anything is possible.","The Blind Side"
"3",40704,43764,"Almost Indian-summerweather here in mid-November.","The Blind Side"
"4",45408,50311,"Then, like a traffic accident,stuff begins to randomly collide.","The Blind Side"
"5",50481,53244,"From the snap of the ballto the snap of the first bone...","The Blind Side"
"6",53417,56146,"...is closer to four seconds than five.","The Blind Side"
"7",56320,59220,"First and 10.Riggins, flea flicker back to Theismann.","The Blind Side"
"8",59390,61289,"Theismann's in a lot of trouble.","The Blind Side"
"9",64328,67593,"One Mississippi.Joe Theismann, the Redskins' quarterback...","The Blind Side"
"10",67765,70233,"...takes the snap and hands offto his running back.","The Blind Side"
"11",70400,71731,"First and 10. Riggins-","The Blind Side"
"12",71902,73493,"Two Mississippi.","The Blind Side"
"13",73670,75831,"It's a trick play, a flea flicker...","The Blind Side"
"14",76006,78941,"...and the running back tosses the ballback to the quarterback.","The Blind Side"
"15",79109,81441,"Flea flicker back to Theismann.","The Blind Side"
"16",81912,83037,"Three Mississippi.","The Blind Side"
"17",83213,87240,"Up to now, the play's been definedby what the quarterback sees.","The Blind Side"
"18",87418,90819,"Its about to be definedby what he doesn't.","The Blind Side"
"19",91588,92920,"Four Mississippi.","The Blind Side"
"20",93090,96718,"Lawrence Taylor is the bestdefensive player in the NFL...","The Blind Side"
"21",96894,100260,"...and has been from the time hestepped onto the field as a rookie.","The Blind Side"
"22",100430,102228,"Theismann's in a lot of trouble.","The Blind Side"
"23",102399,103923,"And it was Lawrence Taylor...","The Blind Side"
"24",104100,108299,"...who slammed Theismann to the groundat the 42-yard line. The blitz was on...","The Blind Side"
"25",108472,111771,"He will also changethe game of football as we know it.","The Blind Side"
"26",111942,114466,"We'll look at it withthe reverse angle one more time.","The Blind Side"
"27",114645,117512,"And I suggest if your stomach is weak,you just don't watch.","The Blind Side"
"28",117680,119740,"Legendary quarterback Joe Theismann...","The Blind Side"
"29",119917,122385,"...never played another down of football.","The Blind Side"
"30",124555,126887,"Now, y'all would guess that,more often than not...","The Blind Side"
"31",127057,130355,"...the highest paid playeron an NFL team is a quarterback...","The Blind Side"
"32",130527,132018,"...and you'd be right.","The Blind Side"
"33",132195,134925,"But what you probably don't knowis, more often than not...","The Blind Side"
"34",135098,139798,"...the second highest paid player is,thanks to Lawrence Taylor, a left tackle.","The Blind Side"
"35",139969,143906,"Because as every housewife knows, thefirst check you write is for the mortgage...","The Blind Side"
"36",144074,146564,"...but the second is for the insurance.","The Blind Side"
"37",146743,151306,"And the left tackle's job is to protect thequarterback from what he can't see coming.","The Blind Side"
"38",151481,153245,"To protect his blind side.","The Blind Side"
"39",153484,157250,"The ideal left tackle is big,but a lot of people are big.","The Blind Side"
"40",157420,160389,"He's wide in the buttand massive in the thighs.","The Blind Side"
"41",160557,164653,"He has long arms, giant handsand feet as quick as a hiccup.","The Blind Side"
"42",166829,169354,"This is a rare and expensivecombination...","The Blind Side"
"43",169533,174265,"...the need for which can be traced to thatMonday night game and Lawrence Taylor.","The Blind Side"
"44",174437,179067,"For on that day, he not onlyaltered Joe Theismann's life...","The Blind Side"
"45",179242,180641,"...but mine as well.","The Blind Side"
"46",187151,189015,"Mr. Oher.","The Blind Side"
"47",189186,191120,"Mr. Oher.","The Blind Side"
"48",191322,194155,"Do you understand?Do you know why I'm here?","The Blind Side"
"49",195292,197055,"To investigate?","The Blind Side"
"50",197227,198853,"Yes. To investigate.","The Blind Side"
"51",200730,204633,"I'm here to investigateyour odd... predicament.","The Blind Side"
"52",205235,208260,"Do you find it odd, your predicament?","The Blind Side"
"53",209973,211669,"Michael?","The Blind Side"
"54",212308,214209,"I don't know.","The Blind Side"
"55",215245,218680,"- Can I-? Can I leave now?- No, you cant.","The Blind Side"
"56",333629,335927,"Where's Coach Cotton's office?","The Blind Side"
"57",336567,338329,"Thanks, man.","The Blind Side"
"58",348177,350077,"They said you were the coach.","The Blind Side"
"59",350814,352110,"Bert Cotton.","The Blind Side"
"60",352983,356441,"Tony Hamilton, but everybodyjust calls me Big Tony.","The Blind Side"
"61",360790,363315,"Hey, Big Mike, check it out.","The Blind Side"
"62",365329,367422,"Not even locked.","The Blind Side"
"63",368398,370831,"White people are crazy.","The Blind Side"
"64",374637,377038,"I promised my ma, Boo,on her deathbed...","The Blind Side"
"65",377206,380870,"...that I'd get my son, Steven, out ofpublic school and into a church school.","The Blind Side"
"66",381043,385447,"I appreciate that, Tony,but I'm not involved with admissions.","The Blind Side"
"67",385615,388106,"I just figured maybeI can come talk to you...","The Blind Side"
"68",388285,390752,"...seeing as thoughyou might need some players.","The Blind Side"
"69",391521,396117,"- What kind of sport does he play?- Anything with a ball. The boy's good too.","The Blind Side"
"70",396293,399125,"Classes start in a week.It'd have to be for next semester.","The Blind Side"
"71",400531,402158,"I know what you're thinking, coach.","The Blind Side"
"72",402566,405466,"But look here, I got money, all right?","The Blind Side"
"73",405636,408730,"See, I'm a mechanic at Wilsons Auto,the other side of town.","The Blind Side"
"74",409072,413805,"Well, look, what if somebody drops outor moves? Could they get in then?","The Blind Side"
"75",414644,417011,"""They""? You only mentioned one son.","The Blind Side"
"76",417180,420309,"Thats right, Steven.But there's another boy.","The Blind Side"
"77",420651,423983,"- Heh. Another boy?- Yeah.","The Blind Side"
"78",427024,430481,"Big Mike. Sleeps on my couchfrom time to time.","The Blind Side"
"79",430661,433221,"It's a bad deal. You know,his mom's on that crack pipe.","The Blind Side"
"80",433396,436855,"He ain't got nobody else. He justwanted to come along for the ride.","The Blind Side"
"81",437233,438894,"- They're here?- Yeah.","The Blind Side"
"82",439937,443372,"Now, the little one, thats Steven...","The Blind Side"
"83",443540,445132,"...and the big one...","The Blind Side"
"84",445309,446401,"Big Mike.","The Blind Side"
"85",455451,457043,"Swish!","The Blind Side"
"86",459555,461581,"Big Mike! Ha-ha.","The Blind Side"
"87",463393,464826,"Come on.","The Blind Side"
"88",471701,473293,"Mother of God.","The Blind Side"
"89",474771,477740,"Steven Hamilton's paperworklooks acceptable to me...","The Blind Side"
"90",477908,481139,"...and I believe he'll do fine.But this other kid...","The Blind Side"
"91",481310,483370,"- Big Mike.- Michael Oher...","The Blind Side"
"92",483547,485980,"...gives us no reason to believe that...","The Blind Side"
"93",486149,489516,"...based on his records,that he would be successful here.","The Blind Side"
"94",489685,490879,"Well, how bad could it be?","The Blind Side"
"95",491053,494581,"We're not exactly sure how old he is,due to his lack of records.","The Blind Side"
"96",494757,497750,"He has a measured IQ of 80,which is sixth percentile.","The Blind Side"
"97",498327,502593,"His grade-point averagebegins with zero, 0.6.","The Blind Side"
"98",502766,504699,"Everyone passed him along.","The Blind Side"
"99",504867,508303,"They gave him D's so they couldhand their problem off to the next school.","The Blind Side"
"100",510274,511605,"He's a brave kid.","The Blind Side"
"101",514378,518905,"For wanting to come here,for wanting a quality education.","The Blind Side"
"102",519081,523576,"An education denied him bythe poor quality of schools he's attended.","The Blind Side"
"103",523754,527553,"Most kids with his background wouldntcome within 200 miles of this place.","The Blind Side"
"104",527724,532683,"Coach Cotton, we understand your interestin this young mans athletic abilities.","The Blind Side"
"105",532863,535831,"He wouldnt be able to play sportsuntil he got his grades up.","The Blind Side"
"106",535999,538091,"Forget sports.","The Blind Side"
"107",538302,539792,"Look at the wall.","The Blind Side"
"108",539970,544168,"""Christian. "" We either take thatseriously or we paint over it.","The Blind Side"
"109",545075,548475,"You don't admit Michael Oherbecause of sports.","The Blind Side"
"110",548644,551705,"You admit him becauseit's the right thing to do.","The Blind Side"
"111",597193,598855,"Class, this is Mike Oher...","The Blind Side"
"112",599028,602658,"...and he's new here so I expectyou all to make him feel welcome.","The Blind Side"
"113",602832,605028,"Mike, just take any empty seat.","The Blind Side"
"114",608538,611597,"This is a quiz based on the information...","The Blind Side"
"115",611774,615267,"...you learned last yearin your science curriculum.","The Blind Side"
"116",615445,618208,"Don't worry, it's not gonna be graded.","The Blind Side"
"117",618381,621111,"I just wanna see how much informationwe need to hit again.","The Blind Side"
"118",621283,623615,"Just answer whatever you know.","The Blind Side"
"119",655985,658250,"Thank you.","The Blind Side"
"120",674837,678399,"- Can I leave now?- Yeah.","The Blind Side"
"121",682379,683640,"Take your book.","The Blind Side"
"122",702099,704192,"I'm tiredof having someone always in our home.","The Blind Side"
"123",704366,706129,"I'm tired of him eating all the food.","The Blind Side"
