"id","startTime","endTime","text","title"
"1",83165,86225,"Beware of the BlobIt creeps and leaps","The Blob"
"2",86302,88668,"And glides and slides across the floor","The Blob"
"3",88738,91673,"Right through the doorand all around the wall","The Blob"
"4",91741,96041,"A splotch, a blotchBe careful of the Blob","The Blob"
"5",96112,98478,"Beware of the BlobIt creeps and leaps","The Blob"
"6",98547,100879,"And glides and slidesacross the floor","The Blob"
"7",100950,103851,"Right through the doorand all around the wall","The Blob"
"8",103919,107582,"A splotch, a blotchBe careful of the Blob","The Blob"
"9",107656,110887,"Beware of the BlobIt creeps and leaps","The Blob"
"10",110960,113451,"And glides and slidesacross the floor","The Blob"
"11",113529,116589,"Right through the doorand all around the wall","The Blob"
"12",116665,119793,"A splotch, a blotchBe careful of the Blob","The Blob"
"13",136385,138319,"No.","The Blob"
"14",138387,141015,"Well, it's a shooting star.","The Blob"
"15",141090,143854,"I thought you were supposed to wish on shooting stars.","The Blob"
"16",143926,146224,"- But I did.- We only saw one.","The Blob"
"17",146295,149196,"- But you see a lot of 'em up here at night.- What?","The Blob"
"18",149265,152200,"Well, I mean, there'sa lot of 'em out at night.","The Blob"
"19",152268,155203,"You don't see 'em in town.That's why I come up here.","The Blob"
"20",155271,157535,"Oh, no, that's not what I mean.","The Blob"
"21",157606,160871,"- I mean, you can see 'em better up here...- I know what you mean, Steve.","The Blob"
"22",160943,163912,"No, no, it's not what you think, Janey girl.","The Blob"
"23",163979,168279,"My name is Jane.Just Jane.","The Blob"
"24",171821,177123,"For a little while, I thought that ""shooting star"" business wasn't just part of your line.","The Blob"
"25",177193,179559,"But it's not, Janey gir...","The Blob"
"26",179628,183564,"Jane, I've never brought anyone up here before.","The Blob"
"27",183632,185566,"Never?","The Blob"
"28",188871,190805,"Never.","The Blob"
"29",194343,199212,"Well, I may be crazy, but... I believe you.","The Blob"
"30",199281,201749,"Well, you're not crazy.","The Blob"
"31",208290,210281,"Boy, that was close!","The Blob"
"32",210359,213089,"Come on. I want to see if I can find it.","The Blob"
"33",253636,256036,"Shut up.Get back inside.","The Blob"
"34",256105,258972,"Get back in there.","The Blob"
"35",300716,303685,"Huh. Huh.","The Blob"
"36",381864,384264,"I could've sworn it landedjust over this hill.","The Blob"
"37",384333,388099,"Maybe it's like lightning. Sometimes you think it's striking right next door,","The Blob"
"38",388170,390331,"and it's really miles away.","The Blob"
"39",390406,393375,"No, I still think it's close by.","The Blob"
"40",393442,396741,"Well, do you want to go backand try the other road?","The Blob"
"41",400049,402984,"No. Um... um...","The Blob"
"42",403052,406818,"well, I'm sorry about the bumpy ride.","The Blob"
"43",406889,410256,"It's all right, Steve.","The Blob"
"44",410326,414160,"Well, listen, why don't we go back to town and I'll apologize.","The Blob"
"45",414229,417756,"I'll apologize over a sandwich.I mean, on me.","The Blob"
"46",417833,420199,"- Okay?- Okay.","The Blob"
"47",435050,437314,"Steve, watch out!","The Blob"
"48",440456,443448,"- What was that?- It looked like an old man.","The Blob"
"49",446061,449690,"Where'd he go?Hey, you okay?","The Blob"
"50",449765,452928,"Oh! Take me to a doctor!","The Blob"
"51",453001,455868,"- What's the matter?- I can't get it off!","The Blob"
"52",455938,458907,"- Well, here, let me try. Maybe I can get it off.- No! You can't!","The Blob"
"53",458974,462774,"Okay. Come on.We'll get you in the car.","The Blob"
"54",464847,467680,"- Yeah, okay, get in.- It hurts.","The Blob"
"55",467750,469877,"Take it easy, now.","The Blob"
"56",473455,475685,"Here, better put this on.Take it easy.","The Blob"
"57",475758,479694,"We'll get you there as fast as we can.Boy, I hope the doctor's in.","The Blob"
"58",479762,484028,"Mrs. Porter, Dr. Hallen.I'm leaving now.","The Blob"
"59",484099,487694,"Yes, I'll be back tomorrow night, probably late.","The Blob"
"60",487770,490864,"No, I haven't forgotten anything.","The Blob"
"61",490939,494033,"Ye-Yes, I'll be fine.","The Blob"
"62",494109,498705,"Look, Mrs. Porter, if you'll just keepyour eye on the house while I'm gone.","The Blob"
"63",498781,500976,"Thank you.Good-bye.","The Blob"
"64",510592,513925,"Come on!","The Blob"
"65",523338,526774,"- Hey, who's the cowboy?- That's no cowboy. That's Steve Andrews.","The Blob"
"66",526842,529777,"- What?- Yeah, that's his container. It's a real dog.","The Blob"
