"id","startTime","endTime","text","title"
"1",136603,140069,"Sync Fixed (English Subs) ..by iUrop","The Bourne Ultimatum"
"2",141603,143069,"Send him in.","The Bourne Ultimatum"
"3",155250,157615,"Will you commit to this program?","The Bourne Ultimatum"
"4",159554,160816,"I can't.","The Bourne Ultimatum"
"5",171432,173798,"Will you commit to this program?","The Bourne Ultimatum"
"6",182943,185310,"Will you commit to this program?","The Bourne Ultimatum"
"7",187147,188376,"I can't.","The Bourne Ultimatum"
"8",253715,254841,"There's no place itwon't catch up to you.","The Bourne Ultimatum"
"9",254915,257384,"It's how every story ends.","The Bourne Ultimatum"
"10",257451,260148,"It's what you are, Jason, a killer.","The Bourne Ultimatum"
"11",261355,262754,"You always will be.","The Bourne Ultimatum"
"12",262824,265384,"Go ahead. Go on.Go on! Do it! Do it!","The Bourne Ultimatum"
"13",268562,270622,"She wouldn't want me to.","The Bourne Ultimatum"
"14",270697,273165,"That's the only reason you're alive.","The Bourne Ultimatum"
"15",273233,274701,"Who is ""she""?","The Bourne Ultimatum"
"16",274769,277533,"Marie Kreutz, his girlfriend.","The Bourne Ultimatum"
"17",277605,279266,"She was killed in India.","The Bourne Ultimatum"
"18",279340,282468,"Director of OperationsWard Abbott arranged it.","The Bourne Ultimatum"
"19",285913,289576,"So we have a dirty sectionchief who kills Bourne's girl.","The Bourne Ultimatum"
"20",289651,292882,"Bourne comes back for revenge,tapes Abbott's confession...","The Bourne Ultimatum"
"21",292954,295047,"And Abbott commits suicide.","The Bourne Ultimatum"
"22",295122,297283,"Now Bourne's gunning for us.","The Bourne Ultimatum"
"23",297725,300091,"You couldn't make this stuff up.","The Bourne Ultimatum"
"24",301829,305492,"Bourne's last confirmed locationwas Moscow, six weeks ago.","The Bourne Ultimatum"
"25",305565,306589,"Right.Sir.","The Bourne Ultimatum"
"26",306668,308362,"He's on the run.He's dangerous.","The Bourne Ultimatum"
"27",308435,311666,"Well, sir, with respect, I thinksomething else could be going on here.","The Bourne Ultimatum"
"28",311738,314071,"What? What's he after?","The Bourne Ultimatum"
"29",314141,317600,"The reason Bourne went to Moscow wasto see the daughter of his first target.","The Bourne Ultimatum"
"30",317678,319009,"What's your point, Pam?","The Bourne Ultimatum"
"31",319079,321605,"Maybe he was retracing his steps.","The Bourne Ultimatum"
"32",321682,324447,"He's looking for something.Something in his past.","The Bourne Ultimatum"
"33",324519,327682,"Maybe he hasn't found it yetand we need to know what it is.","The Bourne Ultimatum"
