"id","startTime","endTime","text","title"
"1",38840,39841,"(BIRDS CHIRPING)","The Conjuring 2"
"2",43520,46329,"LORRAINE: After everything we've seen,","The Conjuring 2"
"3",46520,49807,"there isn't much that rattleseither of us anymore.","The Conjuring 2"
"4",52320,54162,"But this one...","The Conjuring 2"
"5",55240,57481,"This one still haunts me.","The Conjuring 2"
"6",72319,74162,"Two months prior to our involvement,","The Conjuring 2"
"7",74319,77528,"the Lutz family had fled their homein the middle of the night,","The Conjuring 2"
"8",77719,80405,"claiming that the house was haunted.","The Conjuring 2"
"9",83319,86164,"The Church had reached out to us for help.","The Conjuring 2"
"10",86599,87805,"They wanted to see","The Conjuring 2"
"11",87960,91600,"if we could confirm the activitythat had been reported by the Lutzes.","The Conjuring 2"
"12",92599,94522,"- (INDISTINCT CONVERSATIONS)- Mm-hmm.","The Conjuring 2"
"13",95319,97322,"Okay. We ready?","The Conjuring 2"
"14",98479,100243,"Then let's get started.","The Conjuring 2"
"15",110439,113091,"I'd like you to sit quietlyand close your eyes.","The Conjuring 2"
"16",114680,116444,"(BREATHES DEEPLY)","The Conjuring 2"
"17",116640,119210,"Envision yourself in a haloof glowing white light.","The Conjuring 2"
"18",120319,122322,"It will protect you.","The Conjuring 2"
"19",124640,126641,"LORRAINE: The year beforethe Lutzes moved in,","The Conjuring 2"
"20",126799,128801,"a young man named Ronny DeFeo","The Conjuring 2"
"21",128960,132282,"had brutally murderedhis entire family in this house.","The Conjuring 2"
"22",133120,137688,"We'd hoped to discover if the killingshad been motivated purely by anger","The Conjuring 2"
"23",137840,141721,"or if, as Ronny DeFeo testified in court,","The Conjuring 2"
"24",141879,146044,"he had been under the influenceof something demonic.","The Conjuring 2"
"25",147960,148961,"(GUNSHOT)","The Conjuring 2"
"26",161639,163324,"(INDISTINCT WHISPERING)","The Conjuring 2"
"27",185199,188885,"WHISPERING VOICES: Stay here. Stay.","The Conjuring 2"
"28",201800,204007,"(DOOR CREAKING)","The Conjuring 2"
"29",213479,216211,"WHISPERING VOICES: Kill her. Kill her.","The Conjuring 2"
"30",218319,219889,"Shoot them.","The Conjuring 2"
"31",220039,221689,"Shoot them!","The Conjuring 2"
"32",221840,222841,"Shoot her!","The Conjuring 2"
"33",223319,226641,"What did you do?","The Conjuring 2"
"34",226879,228120,"WHISPERING VOICES: Shoot her. Kill her.","The Conjuring 2"
"35",228280,229485,"- Shoot her!- (COCKS GUN)","The Conjuring 2"
"36",230079,231081,"(GUNSHOT)","The Conjuring 2"
"37",232199,233200,"(COCKS GUN)","The Conjuring 2"
"38",236199,237645,"(INDISTINCT WHISPERING CONTINUES)","The Conjuring 2"
"39",243360,245361,"WHISPERING VOICES: Shoot them all.","The Conjuring 2"
"40",246039,247165,"Shoot!","The Conjuring 2"
"41",249199,250200,"(COCKS GUN)","The Conjuring 2"
"42",250560,251561,"(GUNSHOT)","The Conjuring 2"
"43",253680,254681,"- (GUNSHOT)- Kill!","The Conjuring 2"
"44",255879,257370,"(GASPING)","The Conjuring 2"
"45",263839,264841,"(COCKS GUN)","The Conjuring 2"
"46",273639,274971,"(BREATHING HEAVILY)","The Conjuring 2"
"47",275319,277288,"WHISPERING VOICES: Kill her. Shoot her.","The Conjuring 2"
"48",277439,281161,"Kill her. Shoot her.","The Conjuring 2"
"49",282319,283321,"(GUNSHOT)","The Conjuring 2"
"50",285240,286240,"(GASPS)","The Conjuring 2"
"51",289040,290644,"(GASPING)","The Conjuring 2"
"52",292040,294247,"Honey, you okay? What are you seeing?","The Conjuring 2"
"53",300399,301889,"(GASPING CONTINUES)","The Conjuring 2"
"54",305040,306882,"(SOBBING)","The Conjuring 2"
"55",328120,329201,"ED: Lorraine.","The Conjuring 2"
"56",329720,331165,"Lorraine, what is happening?","The Conjuring 2"
"57",332079,333605,"I have to see.","The Conjuring 2"
"58",333759,335409,"We're through. We're through.It's time to come back.","The Conjuring 2"
"59",340639,341687,"What is happening?","The Conjuring 2"
"60",341840,343079,"(KID LAUGHING)","The Conjuring 2"
"61",346600,348601,"(BREATHING SHAKILY) It wants to show me.","The Conjuring 2"
"62",362279,363281,"(LAUGHING)","The Conjuring 2"
"63",412040,413245,"(GASPING)","The Conjuring 2"
"64",416920,417920,"(CHOKING)","The Conjuring 2"
"65",419519,420521,"(GRUNTS)","The Conjuring 2"
"66",423480,424480,"(LOUD CLATTER)","The Conjuring 2"
"67",426920,428000,"(PANTING)","The Conjuring 2"
"68",429360,430360,"(SCREAMING)","The Conjuring 2"
"69",430680,431680,"Lorraine!","The Conjuring 2"
"70",432079,433127,"Lorraine!","The Conjuring 2"
"71",433600,436079,"(SOBS) Oh, God! Oh!","The Conjuring 2"
"72",436279,437281,"Honey.","The Conjuring 2"
"73",437439,438850,"- Honey.- (PANTING)","The Conjuring 2"
"74",442519,443680,"- It's okay.- (SOBS)","The Conjuring 2"
"75",451360,452566,"ED: It's okay.","The Conjuring 2"
"76",456480,457480,"Ed.","The Conjuring 2"
"77",459720,462040,"This is as close to hellas I ever wanna get.","The Conjuring 2"
"78",504839,506922,"- (INDISTINCT SHOUTING)- (MUSIC PLAYING)","The Conjuring 2"
"79",517120,518803,"(INDISTINCT SHOUTING)","The Conjuring 2"
"80",527240,528730,"(KIDS SHOUTING)","The Conjuring 2"
"81",532399,534084,"(SQUEALING AND LAUGHTER)","The Conjuring 2"
"82",535679,536885,"- Damn kids!- Really.","The Conjuring 2"
"83",537039,538086,"- Yeah.- (KIDS GIGGLING)","The Conjuring 2"
"84",541120,542120,"KID: Oh, my gosh.","The Conjuring 2"
"85",542960,545691,"CAMILLA: Keith and I are going to sneakout tonight with his friend, Michael,","The Conjuring 2"
"86",545840,547524,"who wants to meet you, by the way.","The Conjuring 2"
"87",547679,551240,"No way.If my mum ever found out, I'd be dead.","The Conjuring 2"
"88",551440,552965,"So don't get caught, you priss.","The Conjuring 2"
"89",553120,554280,"Here, hold this.","The Conjuring 2"
"90",555120,557850,"Gotta give you backthe spirit board that we made.","The Conjuring 2"
"91",561840,564605,"I think I'll let Keith French kiss me.","The Conjuring 2"
"92",564759,566649,"What? No way!","The Conjuring 2"
"93",566799,567801,"MRS. MORE: What you two doing?","The Conjuring 2"
"94",568559,570927,"Janet, give that to me.","The Conjuring 2"
"95",571279,572850,"And get inside, both of you.","The Conjuring 2"
"96",573480,574480,"Go.","The Conjuring 2"
"97",583879,584880,"(BELL TOLLING)","The Conjuring 2"
"98",587279,588850,"(SQUEALING AND LAUGHTER)","The Conjuring 2"
"99",591159,592730,"M-M-M-M-Margaret.","The Conjuring 2"
"100",592879,594484,"Margaret! Johnny!","The Conjuring 2"
"101",594639,595801,"Janet! Billy! (CHUCKLES)","The Conjuring 2"
"102",597919,600399,"Hello. How was your day?","The Conjuring 2"
"103",600679,601726,"Not good.","The Conjuring 2"
"104",601919,602966,"Why? What happened?","The Conjuring 2"
"105",603200,605123,"It's a long story. I'll tell you later.","The Conjuring 2"
"106",605360,606360,"All right, then.","The Conjuring 2"
"107",607600,608681,"(MOCKINGLY) W-w-what's up?","The Conjuring 2"
"108",608919,610570,"B-B-B-B-Billy?","The Conjuring 2"
"109",610759,611966,"Shut up, Peter.","The Conjuring 2"
"110",612120,613120,"Lesbo!","The Conjuring 2"
"111",613279,614884,"What, are you talking about your mum?","The Conjuring 2"
"112",615159,616446,"- Oh.- (LAUGHING)","The Conjuring 2"
"113",616720,617960,"Thank you, Camilla.","The Conjuring 2"
"114",618159,619286,"No problem!","The Conjuring 2"
"115",619600,621886,"He's just a wanker. Ignore him.","The Conjuring 2"
"116",622080,623365,"(STUTTERS)","The Conjuring 2"
"117",623679,624681,"Okay.","The Conjuring 2"
"118",628480,630129,"- JANET: Mum's gonna kill me.- MARGARET: What did you do now?","The Conjuring 2"
"119",630279,631963,"JANET: It wasn't me, it was Camilla.","The Conjuring 2"
"120",632120,633690,"MARGARET: What did you do with Camilla?","The Conjuring 2"
"121",634039,637048,"- JANET: (CHUCKLES) It's a long story.- MARGARET: Boys! Watch the road!","The Conjuring 2"
"122",640679,642682,"- Janet!- Up you go, Billy.","The Conjuring 2"
"123",643600,644647,"Ow!","The Conjuring 2"
"124",645120,646120,"Come on.","The Conjuring 2"
"125",649120,651248,"PEGGY: I'm saying I won't be ableto pay my rent this month.","The Conjuring 2"
"126",651480,652561,"(WOMAN ON PHONE SPEAKING INDISTINCTLY)","The Conjuring 2"
"127",652799,655451,"No. I talked to them,and they put me through to you.","The Conjuring 2"
"128",655919,657331,"WOMAN: (ON PHONE) Please keep calm...","The Conjuring 2"
"129",657519,659249,"I am being calm.","The Conjuring 2"
"130",659799,662245,"Well, I don't understandwhy you can't help me.","The Conjuring 2"
"131",663679,664726,"No.","The Conjuring 2"
"132",664879,667280,"No. He hasn't paid a pennyof child maintenance for three months.","The Conjuring 2"
"133",668039,670246,"- We're home!- I see. That's bloody brilliant.","The Conjuring 2"
"134",670440,672807,"- JOHNNY: Hi, Mum!- You have a good afternoon as well.","The Conjuring 2"
"135",674519,675520,"(SIGHS)","The Conjuring 2"
"136",678080,679081,"PEGGY: Janet.","The Conjuring 2"
"137",679279,680566,"Are things not bad enough around here,","The Conjuring 2"
"138",680720,682609,"that I've got to get a callfrom your headmistress","The Conjuring 2"
"139",682759,684443,"who says that you was caught smoking?","The Conjuring 2"
"140",684600,686966,"I wasn't! I wasn't smoking. I promise.","The Conjuring 2"
"141",687159,689082,"- Did you get the biscuits?- Did you just not hear me?","The Conjuring 2"
"142",689240,690605,"I talked to Mrs. More on the telephone.","The Conjuring 2"
"143",690759,692250,"How can you stand thereand lie to me like that?","The Conjuring 2"
"144",692399,693400,"I'm not lying!","The Conjuring 2"
"145",693559,695721,"Yes, she is! It's all over the school.","The Conjuring 2"
"146",695919,696921,"She was smoking with Camilla.","The Conjuring 2"
"147",697120,699043,"Shut up! You are such a liar, Johnny!","The Conjuring 2"
"148",699440,701807,"(STAMMERS) Mum! You saidwe would get me some...","The Conjuring 2"
"149",702000,703683,"No, Billy. I didn't getany bloody biscuits","The Conjuring 2"
"150",703840,705729,"because we don't have any bloody money!","The Conjuring 2"
"151",712600,714125,"(MUSIC PLAYING)","The Conjuring 2"
"152",717799,718926,"MARGARET: Mum's coming.","The Conjuring 2"
"153",719080,721241,"You better quit messing with thatand brush your teeth!","The Conjuring 2"
"154",721799,723005,"(SIGHS) All right.","The Conjuring 2"
"155",724840,727320,"- (BLOWING RASPBERRIES)- (SIRENS WAILING)","The Conjuring 2"
"156",727879,730690,"Sounds like the whole city'sburning down in here.","The Conjuring 2"
"157",730840,731966,"Look what I found!","The Conjuring 2"
"158",732120,733405,"- Biscuits!- (CHUCKLES)","The Conjuring 2"
"159",734320,737129,"(STAMMERS) But you said wedon't have any money.","The Conjuring 2"
"160",737279,739486,"Well, I've been meaningto quit smoking anyway.","The Conjuring 2"
"161",739639,741323,"- Margaret?- Yes?","The Conjuring 2"
"162",741480,743926,"Have you got yourschool uniform for tomorrow?","The Conjuring 2"
