"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","The Conjuring"
"2",24519,26521,"It scares us just thinking about it.","The Conjuring"
"3",26679,28762,"When you hear it, you're gonnathink we're insane.","The Conjuring"
"4",28960,31611,"Try us. Please, from the start.","The Conjuring"
"5",33880,38886,"It started out small, like a handor a leg was in a different position.","The Conjuring"
"6",39039,41566,"Then its head was looking upinstead of down.","The Conjuring"
"7",41719,44768,"And then one day, it was ina completely different room.","The Conjuring"
"8",44920,46490,"It was moving around by itself.","The Conjuring"
"9",46640,50804,"Ever think maybe somebody had a keyto your apartment and was playing a trick?","The Conjuring"
"10",50960,52643,"That's exactly what we thought.","The Conjuring"
"11",53119,55804,"But never once did we find anysign or evidence of intrusion.","The Conjuring"
"12",55960,58725,"And this all led you to believethat the doll was possessed?","The Conjuring"
"13",58880,60290,"Yes.","The Conjuring"
"14",60439,64161,"Camilla got in touch with a medium. Welearned from her that a 7-year-old girl...","The Conjuring"
"15",64319,67243,"named Annabelle Higginshad died in this apartment.","The Conjuring"
"16",67400,71120,"She was lonely and took a likingto my doll.","The Conjuring"
"17",71719,73643,"All she wanted was to be friends.","The Conjuring"
"18",73879,76167,"When we heard this,we felt really sorry for her.","The Conjuring"
"19",76359,79010,"I mean, we're nurses, we help people.","The Conjuring"
"20",79359,80486,"So...","The Conjuring"
"21",81680,84126,"we gave her permissionto move into the doll.","The Conjuring"
"22",84280,86281,"Wait, you did what?","The Conjuring"
"23",86680,89081,"She wanted to live with usby inhabiting the doll.","The Conjuring"
"24",89239,90445,"We said yes.","The Conjuring"
"25",90599,93001,"But then things got worse.","The Conjuring"
"26",107039,108371,"God.","The Conjuring"
"27",111200,114362,"When we came home,she was sitting in the hallway.","The Conjuring"
"28",114520,116966,"But we had left herin the spare room.","The Conjuring"
"29",154879,156961,"Debbie! Debbie, wait!","The Conjuring"
"30",231800,233768,"We are beyond terrified.","The Conjuring"
"31",233960,237930,"We don't know what's going onor what to do. Can you help us?","The Conjuring"
"32",239000,240525,"Yes, we can.","The Conjuring"
"33",240960,245009,"Now, firstly, there's no such thingas Annabelle, and there never was.","The Conjuring"
"34",245159,247241,"Ghosts don't possess such power.","The Conjuring"
"35",247400,250050,"I think what we have here is somethingextremely manipulative.","The Conjuring"
"36",250199,252168,"It's something inhuman.","The Conjuring"
"37",252599,254841,"It was a big mistakeacknowledging this doll.","The Conjuring"
"38",255000,257161,"And through that,the inhuman spirit tricked you.","The Conjuring"
"39",257360,260091,"You gave it permissionto infest your lives.","The Conjuring"
"40",260600,262488,"What's an inhuman spirit?","The Conjuring"
"41",263079,266526,"It's something that's never walkedthe earth in human form.","The Conjuring"
"42",266920,268809,"It's something demonic.","The Conjuring"
"43",272639,274768,"So the doll was never possessed?","The Conjuring"
"44",274959,276848,"No, no, it was used as a conduit.","The Conjuring"
"45",277040,279360,"It was moved around to givethe impression of possession.","The Conjuring"
"46",279519,283206,"Demonic spirits don't possess things,they possess people.","The Conjuring"
"47",284279,286442,"It wanted to get inside of you.","The Conjuring"
"48",295800,299201,"All right, that's good, Drew.You can shut it down now.","The Conjuring"
"49",300879,302040,"Hit the lights.","The Conjuring"
"50",305040,307168,"So we got the church tosend a priest over...","The Conjuring"
"51",307319,309401,"to bless the house and the occupants.","The Conjuring"
"52",309560,313245,"Whatever was oppressing that apartmentwas no longer with them. Any questions?","The Conjuring"
"53",315360,316406,"Yes.","The Conjuring"
"54",316560,318209,"Where's the doll now?","The Conjuring"
"55",318360,320124,"Someplace safe.","The Conjuring"
"56",321480,323562,"- Yep.- So, what are you guys?","The Conjuring"
